,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,役所,、私は、私個人はいかがかなと、こう思っておりますし、恐らく私どもの役所も同じ見解に立っていると思います。しかし、今の地方自治制度は大統領制ですから、,"['、', '私', 'は', '、', '私', '個人', 'は', 'いかが', 'か', 'な', 'と', '、', 'こう', '思っ', 'て', 'おり', 'ます', 'し', '、', '恐らく', '私', 'ども', 'の', '役所', 'も', '同じ', '見解', 'に', '立っ', 'て', 'いる', 'と', '思い', 'ます', '。', 'しかし', '、', '今', 'の', '地方', '自治', '制度', 'は', '大統領', '制', 'です', 'から', '、']",['役所'],NO,役所,NO,NO
1,役所,整備につきましては、再度申し上げておりますように、地元にも大変関連します役所でございますので、地元の意向等につきましても十分御相談をしながら進めていき,"['整備', 'に', 'つき', 'まし', 'て', 'は', '、', '再度', '申し上げ', 'て', 'おり', 'ます', 'よう', 'に', '、', '地元', 'に', 'も', '大変', '関連', 'し', 'ます', '役所', 'で', 'ござい', 'ます', 'の', 'で', '、', '地元', 'の', '意向', '等', 'に', 'つき', 'まし', 'て', 'も', '十分', '御', '相談', 'を', 'し', 'ながら', '進め', 'て', 'いき']",['役所'],NO,役所,NO,NO
2,役所,基本的に税金は全て口座で引き落としできます。多分そっちの方が自治体も喜びます。役所か金融機関に行って、手続きをしてください。確か口座の印鑑と通帳が要った,"['基本', '的', 'に', '税金', 'は', '全て', '口座', 'で', '引き落とし', 'でき', 'ます', '。', '多分', 'そっち', 'の', '方', 'が', '自治', '体', 'も', '喜び', 'ます', '。', '役所', 'か', '金融', '機関', 'に', '行っ', 'て', '、', '手続き', 'を', 'し', 'て', 'ください', '。', '確か', '口座', 'の', '印鑑', 'と', '通帳', 'が', '要っ', 'た']",['役所'],NO,役所,NO,NO
3,役所,と分析から確信できることである。（７）出来る方法、やれる方法を見出そうよく役所の人間はやらない理由、やれない理由を並べるのが得意であるし、やらない,"['と', '分析', 'から', '確信', 'できる', 'こと', 'で', 'ある', '。', '（', '７', '）', '出来る', '方法', '、', 'やれる', '方法', 'を', '見出そう', 'よく', '役所', 'の', '人間', 'は', 'やら', 'ない', '理由', '、', 'やれ', 'ない', '理由', 'を', '並べる', 'の', 'が', '得意', 'で', 'ある', 'し', '、', 'やら', 'ない']",['役所'],NO,役所,NO,NO
4,役所,を論拠に反対をされておられる方がいるわけであります。この点について、役所としてどういうふうに考えておられるのか、副大臣に御見解をお聞きしたいと思います,"['を', '論拠', 'に', '反対', 'を', 'さ', 'れ', 'て', 'おら', 'れる', '方', 'が', 'いる', 'わけ', 'で', 'あり', 'ます', '。', 'この', '点', 'に', 'つい', 'て', '、', '役所', 'と', 'し', 'て', 'どう', 'いう', 'ふう', 'に', '考え', 'て', 'おら', 'れる', 'の', 'か', '、', '副', '大臣', 'に', '御', '見解', 'を', 'お', '聞き', 'し', 'たい', 'と', '思い', 'ます']",['役所'],NO,役所,NO,NO
5,役所,いく。午前中には布袋を肩から下げて近隣の私立小・中学校に通学する子供たち、都市の役所や病院へ行く人たちがバス停へと向かっていく。酷暑期には、日中は人通りも,"['いく', '。', '午前', '中', 'に', 'は', '布袋', 'を', '肩', 'から', '下げ', 'て', '近隣', 'の', '私立', '小', '・', '中', '学校', 'に', '通学', 'する', '子供', 'たち', '、', '都市', 'の', '役所', 'や', '病院', 'へ', '行く', '人', 'たち', 'が', 'バス', '停', 'へ', 'と', '向かっ', 'て', 'いく', '。', '酷暑', '期', 'に', 'は', '、', '日中', 'は', '人通り', 'も']",['役所'],NO,役所,NO,NO
6,役所,も見られなくてよかった…。彼女はくすくすと笑いながら思った。そして、役所の保安官事務所の暗い窓を見上げながら、誰にも聞かれなかったでしょうね、と,"['も', '見', 'られ', 'なく', 'て', 'よかっ', 'た', '…', '。', '彼女', 'は', 'くすくす', 'と', '笑い', 'ながら', '思っ', 'た', '。', 'そして', '、', '役所', 'の', '保安', '官', '事務', '所', 'の', '暗い', '窓', 'を', '見上げ', 'ながら', '、', '誰', 'に', 'も', '聞か', 'れ', 'なかっ', 'た', 'でしょう', 'ね', '、', 'と']",['役所'],NO,役所,NO,NO
7,役所,二千一」による。産業の発展と消費生活働く人の家庭では、会社や役所などでえた収入から、税金や社会保険費をはらい、残りのお金で、生活に,"['二千', '一', '」', 'に', 'よる', '。', '産業', 'の', '発展', 'と', '消費', '生活', '働く', '人', 'の', '家庭', 'で', 'は', '、', '会社', 'や', '役所', 'など', 'で', 'え', 'た', '収入', 'から', '、', '税金', 'や', '社会', '保険', '費', 'を', 'はらい', '、', '残り', 'の', 'お', '金', 'で', '、', '生活', 'に']",['役所'],NO,役所,NO,NO
8,役所,つきまして積極的に取り組んでまいりたいと考えております。○濱田（健）委員役所の方も、警察や法務省の方も、一貫して体罰は暴力としてあってはならないという,"['つき', 'まし', 'て', '積極', '的', 'に', '取り組ん', 'で', 'まいり', 'たい', 'と', '考え', 'て', 'おり', 'ます', '。', '○', '濱田', '（', '健', '）', '委員', '役所', 'の', '方', 'も', '、', '警察', 'や', '法務', '省', 'の', '方', 'も', '、', '一貫', 'し', 'て', '体罰', 'は', '暴力', 'と', 'し', 'て', 'あっ', 'て', 'は', 'なら', 'ない', 'と', 'いう']",['役所'],NO,役所,NO,NO
9,役所,（写真，ビデオ，スケッチ，測定）。・聞き取り調査…事前に約束をして，役所や農協，商店，農家などを訪ねて，話を聞く。３いろいろな方法で,"['（', '写真', '，', 'ビデオ', '，', 'スケッチ', '，', '測定', '）', '。', '・', '聞き取り', '調査', '…', '事前', 'に', '約束', 'を', 'し', 'て', '，', '役所', 'や', '農協', '，', '商店', '，', '農家', 'など', 'を', '訪ね', 'て', '，', '話', 'を', '聞く', '。', '３', 'いろいろ', 'な', '方法', 'で']",['役所'],NO,役所,NO,NO
