,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,役者,多い。ちょっと調子悪いな」と思うと、少し気分が落ち込みます。それは役者も感じますから、役者があせって、オマケのアドリブをどんどんやるようになります,"['多い', '。', 'ちょっと', '調子', '悪い', 'な', '」', 'と', '思う', 'と', '、', '少し', '気分', 'が', '落ち込み', 'ます', '。', 'それ', 'は', '役者', 'も', '感じ', 'ます', 'から', '、', '役者', 'が', 'あせっ', 'て', '、', 'オマケ', 'の', 'アドリブ', 'を', 'どんどん', 'やる', 'よう', 'に', 'なり', 'ます']",['役者'],NO,役者,NO,NO
1,役者,多い。ちょっと調子悪いな」と思うと、少し気分が落ち込みます。それは役者も感じますから、役者があせって、オマケのアドリブをどんどんやるようになります,"['多い', '。', 'ちょっと', '調子', '悪い', 'な', '」', 'と', '思う', 'と', '、', '少し', '気分', 'が', '落ち込み', 'ます', '。', 'それ', 'は', '役者', 'も', '感じ', 'ます', 'から', '、', '役者', 'が', 'あせっ', 'て', '、', 'オマケ', 'の', 'アドリブ', 'を', 'どんどん', 'やる', 'よう', 'に', 'なり', 'ます']",['役者'],NO,役者,NO,NO
2,役者,に仕掛けた最初の大河ドラマだったという見方もできる。それも、やはり小川という役者の存在なくしては不可能なことだったろう。競技柔道とは違うプロ格闘家の強さ、,"['に', '仕掛け', 'た', '最初', 'の', '大河', 'ドラマ', 'だっ', 'た', 'と', 'いう', '見', '方', 'も', 'できる', '。', 'それ', 'も', '、', 'やはり', '小川', 'と', 'いう', '役者', 'の', '存在', 'なく', 'し', 'て', 'は', '不', '可能', 'な', 'こと', 'だっ', 'たろう', '。', '競技', '柔道', 'と', 'は', '違う', 'プロ', '格闘', '家', 'の', '強', 'さ', '、']",['役者'],NO,役者,NO,NO
3,役者,赤子ともいわれている。いずれにせよ、踊りと芝居に才能を発揮した天性の役者だ。大部屋時代には凄惨ないじめにあい、両国橋から身を投げたこともあるという,"['赤子', 'と', 'も', 'いわ', 'れ', 'て', 'いる', '。', 'いずれ', 'に', 'せよ', '、', '踊り', 'と', '芝居', 'に', '才能', 'を', '発揮', 'し', 'た', '天性', 'の', '役者', 'だ', '。', '大部屋', '時代', 'に', 'は', '凄惨', 'な', 'いじめ', 'に', 'あい', '、', '両国', '橋', 'から', '身', 'を', '投げ', 'た', 'こと', 'も', 'ある', 'と', 'いう']",['役者'],NO,役者,NO,NO
4,役者,を三人ばかり連れた女役人が、宿の主を脅している。“声の良い役者”。“名前が、梧林”。聞くうちに、身体が震えだした。,"['を', '三', '人', 'ばかり', '連れ', 'た', '女', '役人', 'が', '、', '宿', 'の', '主', 'を', '脅し', 'て', 'いる', '。', '“', '声', 'の', '良い', '役者', '”', '。', '“', '名前', 'が', '、', '梧', '林', '”', '。', '聞く', 'うち', 'に', '、', '身体', 'が', '震え', 'だし', 'た', '。']",['役者'],NO,役者,NO,NO
5,役者,どころではなかった。彼は、一時に百以上のことを考えようとしていた。『役者』は、待ちくたびれた女を見ると、女の傍へもどった。そして清作へ,"['どころ', 'で', 'は', 'なかっ', 'た', '。', '彼', 'は', '、', '一時', 'に', '百', '以上', 'の', 'こと', 'を', '考えよう', 'と', 'し', 'て', 'い', 'た', '。', '『', '役者', '』', 'は', '、', '待ちくたびれ', 'た', '女', 'を', '見る', 'と', '、', '女', 'の', '傍', 'へ', 'もどっ', 'た', '。', 'そして', '清', '作', 'へ']",['役者'],NO,役者,NO,NO
6,役者,。「…そんな姿を見て、あたしもふっきれたところはあるのね。役者も本当に才能があって、オリジナルが強い人は、世の中でうまくやっていけ,"['。', '「', '…', 'そんな', '姿', 'を', '見', 'て', '、', 'あたし', 'も', 'ふっきれ', 'た', 'ところ', 'は', 'ある', 'の', 'ね', '。', '役者', 'も', '本当', 'に', '才能', 'が', 'あっ', 'て', '、', 'オリジナル', 'が', '強い', '人', 'は', '、', '世の中', 'で', 'うまく', 'やっ', 'て', 'いけ']",['役者'],NO,役者,NO,NO
7,役者,。段田のほうが玄人好みしやすい傾向があるけど、上杉もうこの再演の時点で結構いい役者なんですね。上杉は『大脱走』からよくなりましたね。『大脱走』,"['。', '段田', 'の', 'ほう', 'が', '玄人', '好み', 'し', 'やすい', '傾向', 'が', 'ある', 'けど', '、', '上杉', 'もう', 'この', '再演', 'の', '時点', 'で', '結構', 'いい', '役者', 'な', 'ん', 'です', 'ね', '。', '上杉', 'は', '『', '大', '脱走', '』', 'から', 'よく', 'なり', 'まし', 'た', 'ね', '。', '『', '大', '脱走', '』']",['役者'],NO,役者,NO,NO
8,役者,約束に対し律儀なカミさんとしては、これも心穏やかになれない大きな理由だ。役者はその舞台の上で息絶えるのが理想といわれる。それは何も役者,"['約束', 'に', '対し', '律儀', 'な', 'カミ', 'さん', 'と', 'し', 'て', 'は', '、', 'これ', 'も', '心穏やか', 'に', 'なれ', 'ない', '大きな', '理由', 'だ', '。', '役者', 'は', 'その', '舞台', 'の', '上', 'で', '息', '絶える', 'の', 'が', '理想', 'と', 'いわ', 'れる', '。', 'それ', 'は', '何', 'も', '役者']",['役者'],NO,役者,NO,NO
9,役者,約束に対し律儀なカミさんとしては、これも心穏やかになれない大きな理由だ。役者はその舞台の上で息絶えるのが理想といわれる。それは何も役者,"['約束', 'に', '対し', '律儀', 'な', 'カミ', 'さん', 'と', 'し', 'て', 'は', '、', 'これ', 'も', '心穏やか', 'に', 'なれ', 'ない', '大きな', '理由', 'だ', '。', '役者', 'は', 'その', '舞台', 'の', '上', 'で', '息', '絶える', 'の', 'が', '理想', 'と', 'いわ', 'れる', '。', 'それ', 'は', '何', 'も', '役者']",['役者'],NO,役者,NO,NO
10,役者,部外者は居心地が悪くて仕方がない。「ナンセンスですよ、権田さん。俺は役者なんだ。仲よし俱楽部で遊んでるつもりはないよ」権田は部屋に飛び込んでいっ,"['部外', '者', 'は', '居心地', 'が', '悪く', 'て', '仕方', 'が', 'ない', '。', '「', 'ナンセンス', 'です', 'よ', '、', '権田', 'さん', '。', '俺', 'は', '役者', 'な', 'ん', 'だ', '。', '仲よし', '俱楽部', 'で', '遊ん', 'でる', 'つもり', 'は', 'ない', 'よ', '」', '権田', 'は', '部屋', 'に', '飛び込ん', 'で', 'いっ']",['役者'],NO,役者,NO,NO
11,役者,は、純粋な仕事場であるかつら屋とはまたちがう、職人の仕事場でありながら、どこか役者の楽屋に通じる雰囲気が感じられた。モニターに舞台の進行が映し出され、桐,"['は', '、', '純粋', 'な', '仕事場', 'で', 'ある', 'か', 'つら', '屋', 'と', 'は', 'また', 'ちがう', '、', '職人', 'の', '仕事場', 'で', 'あり', 'ながら', '、', 'どこ', 'か', '役者', 'の', '楽屋', 'に', '通じる', '雰囲気', 'が', '感じ', 'られ', 'た', '。', 'モニター', 'に', '舞台', 'の', '進行', 'が', '映し出さ', 'れ', '、', '桐']",['役者'],NO,役者,NO,NO
12,役者,は、群をぬいた見事な版面をもつ。特に、定紋まで付して画いた役者の挿絵は、役者評判記と同じように享受されたのであろう。元禄末期から宝永にかけ,"['は', '、', '群', 'を', 'ぬい', 'た', '見事', 'な', '版面', 'を', 'もつ', '。', '特に', '、', '定紋', 'まで', '付し', 'て', '画い', 'た', '役者', 'の', '挿絵', 'は', '、', '役者', '評判', '記', 'と', '同じ', 'よう', 'に', '享受', 'さ', 'れ', 'た', 'の', 'で', 'あろう', '。', '元禄', '末期', 'から', '宝永', 'に', 'かけ']",['役者'],NO,役者,NO,NO
