,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,戦場,、厳しい報いとなって現れている。日本への憎しみを鈍らせたのでは、戦場での恐怖に負けて、ただ空へ向けて銃を放つことしかできなくなり,"['、', '厳しい', '報い', 'と', 'なっ', 'て', '現れ', 'て', 'いる', '。', '日本', 'へ', 'の', '憎しみ', 'を', '鈍ら', 'せ', 'た', 'の', 'で', 'は', '、', '戦場', 'で', 'の', '恐怖', 'に', '負け', 'て', '、', 'ただ', '空', 'へ', '向け', 'て', '銃', 'を', '放つ', 'こと', 'しか', 'でき', 'なく', 'なり']",['戦場'],NO,戦場,NO,NO
1,戦場,検視第一日目から、カルテの書式などをまとめる一方、二十名の歯科医の間を廻り、戦場のような修羅場で戸惑っている医師をバックアップする大国医師は、心身共に疲労の極み達し,"['検視', '第', '一', '日', '目', 'から', '、', 'カルテ', 'の', '書式', 'など', 'を', 'まとめる', '一方', '、', '二十', '名', 'の', '歯科', '医', 'の', '間', 'を', '廻り', '、', '戦場', 'の', 'よう', 'な', '修羅', '場', 'で', '戸惑っ', 'て', 'いる', '医師', 'を', 'バックアップ', 'する', '大国', '医師', 'は', '、', '心身', '共', 'に', '疲労', 'の', '極み', '達し']",['戦場'],NO,戦場,NO,NO
2,戦場,は島原半島の各地でだれが買ったのか、明言を避けています。しかし、戦場で生捕られた転売される人々を、島原半島の港々で待ち受けていたのは,"['は', '島原', '半島', 'の', '各地', 'で', 'だれ', 'が', '買っ', 'た', 'の', 'か', '、', '明言', 'を', '避け', 'て', 'い', 'ます', '。', 'しかし', '、', '戦場', 'で', '生', '捕ら', 'れ', 'た', '転売', 'さ', 'れる', '人々', 'を', '、', '島原', '半島', 'の', '港', '々', 'で', '待ち受け', 'て', 'い', 'た', 'の', 'は']",['戦場'],NO,戦場,NO,NO
3,戦場,た。九十三年に『ＵＦＣ』が開かれ、トーナメントに出場したホイスは、グレイシー・トレインによって戦場に向かう、紛れもない一族の代表だった。もしもホイスが敗れるようなこと,"['た', '。', '九十', '三', '年', 'に', '『', 'ＵＦＣ', '』', 'が', '開か', 'れ', '、', 'トーナメント', 'に', '出場', 'し', 'た', 'ホイス', 'は', '、', 'グレイシー', '・', 'トレイン', 'に', 'よっ', 'て', '戦場', 'に', '向かう', '、', '紛れ', 'も', 'ない', '一族', 'の', '代表', 'だっ', 'た', '。', 'もし', 'も', 'ホイス', 'が', '敗れる', 'よう', 'な', 'こと']",['戦場'],NO,戦場,NO,NO
4,戦場,の子２歳、本当に甘えたかったときに下の子が生まれてそれからの戦場のような日々で上の子の２歳からの記憶があまりないの。（＾＾；赤ちゃん,"['の', '子', '２', '歳', '、', '本当', 'に', '甘え', 'たかっ', 'た', 'とき', 'に', '下', 'の', '子', 'が', '生まれ', 'て', 'それ', 'から', 'の', '戦場', 'の', 'よう', 'な', '日々', 'で', '上', 'の', '子', 'の', '２', '歳', 'から', 'の', '記憶', 'が', 'あまり', 'ない', 'の', '。', '（＾＾；', '赤ちゃん']",['戦場'],NO,戦場,NO,NO
5,戦場,や恋人や、幼い子供や、老人たちである。無防備な非力な非戦闘員たちを、殺戮し、戦場でどれだけ大量の兵士たちが虐殺されようと、戦争は殺した人間を殊勲者にする,"['や', '恋人', 'や', '、', '幼い', '子供', 'や', '、', '老人', 'たち', 'で', 'ある', '。', '無', '防備', 'な', '非力', 'な', '非', '戦闘', '員', 'たち', 'を', '、', '殺戮', 'し', '、', '戦場', 'で', 'どれ', 'だけ', '大量', 'の', '兵士', 'たち', 'が', '虐殺', 'さ', 'れよう', 'と', '、', '戦争', 'は', '殺し', 'た', '人間', 'を', '殊勲', '者', 'に', 'する']",['戦場'],NO,戦場,NO,NO
6,戦場,をやってました。失われた熱を呼び覚ますように・・・・！ふたたび戦場へ舞い戻ったわけです。まぁ、久しぶりなので当然のようにフルボッコにされまし,"['を', 'やっ', 'て', 'まし', 'た', '。', '失わ', 'れ', 'た', '熱', 'を', '呼び覚ます', 'よう', 'に', '・', '・', '・', '・', '！', 'ふたたび', '戦場', 'へ', '舞い戻っ', 'た', 'わけ', 'です', '。', 'まぁ', '、', '久し', 'ぶり', 'な', 'の', 'で', '当然', 'の', 'よう', 'に', 'フルボ', 'ッコ', 'に', 'さ', 'れ', 'まし']",['戦場'],NO,戦場,NO,NO
7,戦場,また北流し、このふたつの川は北のかたスノンという町の北で合流している。戦場となったのは、いわば川中島とでもいうべきところで、丘の南方に,"['また', '北流', 'し', '、', 'この', 'ふた', 'つ', 'の', '川', 'は', '北のかた', 'スノン', 'と', 'いう', '町', 'の', '北', 'で', '合流', 'し', 'て', 'いる', '。', '戦場', 'と', 'なっ', 'た', 'の', 'は', '、', 'いわば', '川中島', 'と', 'で', 'も', 'いう', 'べき', 'ところ', 'で', '、', '丘', 'の', '南方', 'に']",['戦場'],NO,戦場,NO,NO
8,戦場,。そこにカティがやってきて、卒論を褒め、「次に合うのは戦場かしら？できたら、敵同士で会いたくは無いわね」というカティ。時間は現代,"['。', 'そこ', 'に', 'カティ', 'が', 'やっ', 'て', 'き', 'て', '、', '卒論', 'を', '褒め', '、', '「', '次', 'に', '合う', 'の', 'は', '戦場', 'かしら', '？', 'でき', 'たら', '、', '敵', '同士', 'で', '会い', 'たく', 'は', '無い', 'わ', 'ね', '」', 'と', 'いう', 'カティ', '。', '時間', 'は', '現代']",['戦場'],NO,戦場,NO,NO
9,戦場,。そのほうもよく存じておるようにわしの家は尾張の小侍の出で、戦場の指揮をあずけるほどの者がおらぬ。来てくれぬか」と、まるで賓客,"['。', 'そのほう', 'も', 'よく', '存じ', 'て', 'おる', 'よう', 'に', 'わし', 'の', '家', 'は', '尾張', 'の', '小侍', 'の', '出', 'で', '、', '戦場', 'の', '指揮', 'を', 'あずける', 'ほど', 'の', '者', 'が', 'おら', 'ぬ', '。', '来', 'て', 'くれ', 'ぬ', 'か', '」', 'と', '、', 'まるで', '賓客']",['戦場'],NO,戦場,NO,NO
10,戦場,士官ではあったはずだが、伸行はシドニーがどんな階級だったのか、戦場でどんな任務についていたのかさえ知らない。その当時、伸行はまだ,"['士官', 'で', 'は', 'あっ', 'た', 'はず', 'だ', 'が', '、', '伸行', 'は', 'シドニー', 'が', 'どんな', '階級', 'だっ', 'た', 'の', 'か', '、', '戦場', 'で', 'どんな', '任務', 'に', 'つい', 'て', 'い', 'た', 'の', 'か', 'さえ', '知ら', 'ない', '。', 'その', '当時', '、', '伸行', 'は', 'まだ']",['戦場'],NO,戦場,NO,NO
