,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,教師,した所為とよりほかには認められんのであります。教頭はその原因を教師の人物いかんにお求めになるようでありますが失礼ながらそれは失言かと思います。某氏,"['し', 'た', '所為', 'と', 'より', 'ほか', 'に', 'は', '認め', 'られん', 'の', 'で', 'あり', 'ます', '。', '教頭', 'は', 'その', '原因', 'を', '教師', 'の', '人物', 'いかん', 'に', 'お', '求め', 'に', 'なる', 'よう', 'で', 'あり', 'ます', 'が', '失礼', 'ながら', 'それ', 'は', '失言', 'か', 'と', '思い', 'ます', '。', '某氏']",['教師'],NO,教師,NO,NO
1,教師,でいる―幅がせまく、インク瓶を置くためのへこみがついた旧式の机だ。教師の机は三つのグループ全部に向かいあわせになる位置にあった。金髪の女が鉛筆,"['で', 'いる', '―', '幅', 'が', 'せまく', '、', 'インク', '瓶', 'を', '置く', 'ため', 'の', 'へこみ', 'が', 'つい', 'た', '旧式', 'の', '机', 'だ', '。', '教師', 'の', '机', 'は', '三', 'つ', 'の', 'グループ', '全部', 'に', '向かいあわせ', 'に', 'なる', '位置', 'に', 'あっ', 'た', '。', '金髪', 'の', '女', 'が', '鉛筆']",['教師'],NO,教師,NO,NO
2,教師,たんです。英語教師として生徒達を導く熱心な方で多くの人に慕われた。教師の職を退いたヴォーリズは建築家として仕事を始める。池田町洋風住宅街は、近江ミッションの米国人スタッフの,"['た', 'ん', 'です', '。', '英語', '教師', 'と', 'し', 'て', '生徒', '達', 'を', '導く', '熱心', 'な', '方', 'で', '多く', 'の', '人', 'に', '慕わ', 'れ', 'た', '。', '教師', 'の', '職', 'を', '退い', 'た', 'ヴォーリズ', 'は', '建築', '家', 'と', 'し', 'て', '仕事', 'を', '始める', '。', '池田', '町', '洋風', '住宅', '街', 'は', '、', '近江', 'ミッション', 'の', '米国', '人', 'スタッフ', 'の']",['教師'],NO,教師,NO,NO
3,教師,たんです。英語教師として生徒達を導く熱心な方で多くの人に慕われた。教師の職を退いたヴォーリズは建築家として仕事を始める。池田町洋風住宅街は、近江ミッションの米国人スタッフの,"['た', 'ん', 'です', '。', '英語', '教師', 'と', 'し', 'て', '生徒', '達', 'を', '導く', '熱心', 'な', '方', 'で', '多く', 'の', '人', 'に', '慕わ', 'れ', 'た', '。', '教師', 'の', '職', 'を', '退い', 'た', 'ヴォーリズ', 'は', '建築', '家', 'と', 'し', 'て', '仕事', 'を', '始める', '。', '池田', '町', '洋風', '住宅', '街', 'は', '、', '近江', 'ミッション', 'の', '米国', '人', 'スタッフ', 'の']",['教師'],NO,教師,NO,NO
4,教師,していること期待していることを聞きました。楽しみだな！期待します！宮川小学校父母と教師の会設立準備委員長■■■■さん宮川小学校のスタートに合わせて、私たちも新しく発足する父母と教師の会,"['し', 'て', 'いる', 'こと', '期待', 'し', 'て', 'いる', 'こと', 'を', '聞き', 'まし', 'た', '。', '楽しみ', 'だ', 'な', '！', '期待', 'し', 'ます', '！', '宮川', '小', '学校', '父母', 'と', '教師', 'の', '会', '設立', '準備', '委員', '長', '■', '■', '■', '■', 'さん', '宮川', '小', '学校', 'の', 'スタート', 'に', '合わせ', 'て', '、', '私', 'たち', 'も', '新しく', '発足', 'する', '父母', 'と', '教師', 'の', '会']",['教師'],NO,教師,NO,NO
5,教師,していること期待していることを聞きました。楽しみだな！期待します！宮川小学校父母と教師の会設立準備委員長■■■■さん宮川小学校のスタートに合わせて、私たちも新しく発足する父母と教師の会,"['し', 'て', 'いる', 'こと', '期待', 'し', 'て', 'いる', 'こと', 'を', '聞き', 'まし', 'た', '。', '楽しみ', 'だ', 'な', '！', '期待', 'し', 'ます', '！', '宮川', '小', '学校', '父母', 'と', '教師', 'の', '会', '設立', '準備', '委員', '長', '■', '■', '■', '■', 'さん', '宮川', '小', '学校', 'の', 'スタート', 'に', '合わせ', 'て', '、', '私', 'たち', 'も', '新しく', '発足', 'する', '父母', 'と', '教師', 'の', '会']",['教師'],NO,教師,NO,NO
6,教師,ない子供が」彼は名栗にあった父親の実家の農家を思い出した。教師だった父親には近隣の子供でも泊って行っていいという大らかさがあった。,"['ない', '子供', 'が', '」', '彼', 'は', '名栗', 'に', 'あっ', 'た', '父親', 'の', '実家', 'の', '農家', 'を', '思い出し', 'た', '。', '教師', 'だっ', 'た', '父親', 'に', 'は', '近隣', 'の', '子供', 'で', 'も', '泊っ', 'て', '行っ', 'て', 'いい', 'と', 'いう', '大らか', 'さ', 'が', 'あっ', 'た', '。']",['教師'],NO,教師,NO,NO
7,教師,程度」によって，儒教主義の道徳教育は排除され，その教科書使用まで禁止となりました。教師による口授法を採用することで新しい時代の息吹を伝えようとしたのです。森文相が最も,"['程度', '」', 'に', 'よっ', 'て', '，', '儒教', '主義', 'の', '道徳', '教育', 'は', '排除', 'さ', 'れ', '，', 'その', '教科', '書', '使用', 'まで', '禁止', 'と', 'なり', 'まし', 'た', '。', '教師', 'に', 'よる', '口授', '法', 'を', '採用', 'する', 'こと', 'で', '新しい', '時代', 'の', '息吹', 'を', '伝えよう', 'と', 'し', 'た', 'の', 'です', '。', '森', '文相', 'が', '最も']",['教師'],NO,教師,NO,NO
8,教師,を招いています。このようにして、軍人式教師が養成されたのです。この教師に教えられた小学校教育が軍隊を理想として構成されたのは言うまでもありませ,"['を', '招い', 'て', 'い', 'ます', '。', 'この', 'よう', 'に', 'し', 'て', '、', '軍人', '式', '教師', 'が', '養成', 'さ', 'れ', 'た', 'の', 'です', '。', 'この', '教師', 'に', '教え', 'られ', 'た', '小', '学校', '教育', 'が', '軍隊', 'を', '理想', 'と', 'し', 'て', '構成', 'さ', 'れ', 'た', 'の', 'は', '言う', 'まで', 'も', 'あり', 'ませ']",['教師'],NO,教師,NO,NO
9,教師,を招いています。このようにして、軍人式教師が養成されたのです。この教師に教えられた小学校教育が軍隊を理想として構成されたのは言うまでもありませ,"['を', '招い', 'て', 'い', 'ます', '。', 'この', 'よう', 'に', 'し', 'て', '、', '軍人', '式', '教師', 'が', '養成', 'さ', 'れ', 'た', 'の', 'です', '。', 'この', '教師', 'に', '教え', 'られ', 'た', '小', '学校', '教育', 'が', '軍隊', 'を', '理想', 'と', 'し', 'て', '構成', 'さ', 'れ', 'た', 'の', 'は', '言う', 'まで', 'も', 'あり', 'ませ']",['教師'],NO,教師,NO,NO
10,教師,人生を自分で切り拓くことを教えるドイツ「留年」さえあるドイツの幼稚園学級崩壊や教師によるハレンチ行為など、教育現場ではさまざまな事件が噴出している。不況のさなか、最近の,"['人生', 'を', '自分', 'で', '切り拓く', 'こと', 'を', '教える', 'ドイツ', '「', '留年', '」', 'さえ', 'ある', 'ドイツ', 'の', '幼稚', '園', '学級', '崩壊', 'や', '教師', 'に', 'よる', 'ハレンチ', '行為', 'など', '、', '教育', '現場', 'で', 'は', 'さまざま', 'な', '事件', 'が', '噴出', 'し', 'て', 'いる', '。', '不況', 'の', 'さなか', '、', '最近', 'の']",['教師'],NO,教師,NO,NO
11,教師,あった。「どうしてそういうことをするの！」と肩をゆさぶられながら教師に問いつめられても、私は沈黙していた。「黙っていれば、そのうち,"['あっ', 'た', '。', '「', 'どう', 'し', 'て', 'そう', 'いう', 'こと', 'を', 'する', 'の', '！', '」', 'と', '肩', 'を', 'ゆさぶら', 'れ', 'ながら', '教師', 'に', '問いつめ', 'られ', 'て', 'も', '、', '私', 'は', '沈黙', 'し', 'て', 'い', 'た', '。', '「', '黙っ', 'て', 'いれ', 'ば', '、', 'その', 'うち']",['教師'],NO,教師,NO,NO
12,教師,ている。そこで平林がいわんとしているのは、こんなことであろう。どんな教師でも、職業上、教育の実践に取り組んでいる。そして、私たちが日常生活のうえで,"['て', 'いる', '。', 'そこ', 'で', '平林', 'が', 'いわ', 'ん', 'と', 'し', 'て', 'いる', 'の', 'は', '、', 'こんな', 'こと', 'で', 'あろう', '。', 'どんな', '教師', 'で', 'も', '、', '職業', '上', '、', '教育', 'の', '実践', 'に', '取り組ん', 'で', 'いる', '。', 'そして', '、', '私', 'たち', 'が', '日常', '生活', 'の', 'うえ', 'で']",['教師'],NO,教師,NO,NO
13,教師,せることである。生き甲斐を見出したとき、天分の発見は全く自主的となり、教師が天分を発見して育成してやるという作業は、まったく副次的なものとなる。どちらが,"['せる', 'こと', 'で', 'ある', '。', '生き甲斐', 'を', '見出し', 'た', 'とき', '、', '天分', 'の', '発見', 'は', '全く', '自主', '的', 'と', 'なり', '、', '教師', 'が', '天分', 'を', '発見', 'し', 'て', '育成', 'し', 'て', 'やる', 'と', 'いう', '作業', 'は', '、', 'まったく', '副次', '的', 'な', 'もの', 'と', 'なる', '。', 'どちら', 'が']",['教師'],NO,教師,NO,NO
