,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,教育者,十六壱万円札の福沢諭吉ってどんな人なの？Ａ福沢諭吉は、明治の思想家で教育者なの。天保５（千八百三十五）年に、豊前中津藩（現在の大分県中津市）の武士,"['十', '六', '壱', '万', '円', '札', 'の', '福沢', '諭吉', 'って', 'どんな', '人', 'な', 'の', '？', 'Ａ', '福沢', '諭吉', 'は', '、', '明治', 'の', '思想', '家', 'で', '教育', '者', 'な', 'の', '。', '天保', '５', '（', '千', '八百', '三十', '五', '）', '年', 'に', '、', '豊前', '中津', '藩', '（', '現在', 'の', '大分', '県', '中津', '市', '）', 'の', '武士']","['教育', '者']",YES,教育者,NO,NO
1,教育者,をみて、講義だけでなく問題解決の手助けに多くの時間を割けるようになる。教育者の第一の役割は、人間の成長を助けるということだ。したがって、他の,"['を', 'み', 'て', '、', '講義', 'だけ', 'で', 'なく', '問題', '解決', 'の', '手助け', 'に', '多く', 'の', '時間', 'を', '割ける', 'よう', 'に', 'なる', '。', '教育', '者', 'の', '第', '一', 'の', '役割', 'は', '、', '人間', 'の', '成長', 'を', '助ける', 'と', 'いう', 'こと', 'だ', '。', 'したがっ', 'て', '、', '他', 'の']","['教育', '者']",YES,教育者,NO,NO
2,教育者,がために、平然と」鷲津は息苦しさを覚えた。個人営業とはいえ、一応は教育者の端くれだ。家庭教師にそこまでモラルは要求されないのかもしれないが、忸怩たるもの,"['が', 'ため', 'に', '、', '平然', 'と', '」', '鷲津', 'は', '息苦し', 'さ', 'を', '覚え', 'た', '。', '個人', '営業', 'と', 'は', 'いえ', '、', '一応', 'は', '教育', '者', 'の', '端くれ', 'だ', '。', '家庭', '教師', 'に', 'そこ', 'まで', 'モラル', 'は', '要求', 'さ', 'れ', 'ない', 'の', 'か', 'も', 'しれ', 'ない', 'が', '、', '忸怩', 'たる', 'もの']","['教育', '者']",YES,教育者,NO,NO
3,教育者,歴史として、前記の正成の劇的情景がある。この情景は悲憤とともに軍人や教育者や一般の間で共有されていたにちがいない。福沢諭吉よりも楠木正成のほうがつよかった,"['歴史', 'と', 'し', 'て', '、', '前記', 'の', '正成', 'の', '劇的', '情景', 'が', 'ある', '。', 'この', '情景', 'は', '悲憤', 'と', 'とも', 'に', '軍人', 'や', '教育', '者', 'や', '一般', 'の', '間', 'で', '共有', 'さ', 'れ', 'て', 'い', 'た', 'に', 'ちがい', 'ない', '。', '福沢', '諭吉', 'より', 'も', '楠木', '正成', 'の', 'ほう', 'が', 'つよかっ', 'た']","['教育', '者']",YES,教育者,NO,NO
4,教育者,て検討し、過去の誤りを根本的に是正せねばならぬのであります。而して教育者のうちにも甚しき軍国主義者、極端偏狭なる国家主義者は、精査の上罷免せられねばなら,"['て', '検討', 'し', '、', '過去', 'の', '誤り', 'を', '根本', '的', 'に', '是正', 'せ', 'ね', 'ば', 'なら', 'ぬ', 'の', 'で', 'あり', 'ます', '。', '而し', 'て', '教育', '者', 'の', 'うち', 'に', 'も', '甚', 'しき', '軍国', '主義', '者', '、', '極端', '偏狭', 'なる', '国家', '主義', '者', 'は', '、', '精査', 'の', '上', '罷免', 'せ', 'られ', 'ね', 'ば', 'なら']","['教育', '者']",YES,教育者,NO,NO
5,教育者,な住宅と、被害者の高校生の爽やかな笑顔の写真も掲載されている。「教育者の家庭での事件ということで、大々的に報道されたので、おぼえていらっしゃる方,"['な', '住宅', 'と', '、', '被害', '者', 'の', '高校', '生', 'の', '爽やか', 'な', '笑顔', 'の', '写真', 'も', '掲載', 'さ', 'れ', 'て', 'いる', '。', '「', '教育', '者', 'の', '家庭', 'で', 'の', '事件', 'と', 'いう', 'こと', 'で', '、', '大々', '的', 'に', '報道', 'さ', 'れ', 'た', 'の', 'で', '、', 'おぼえ', 'て', 'いらっしゃる', '方']","['教育', '者']",YES,教育者,NO,NO
6,教育者,芸術の力をかりて一世を動かしたいと思うであろう。（６）明治期の教育者（千八百四十三〜千八百九十）。江戸（東京）生れ。二十一歳のとき箱館から禁を犯し,"['芸術', 'の', '力', 'を', 'かり', 'て', '一世', 'を', '動かし', 'たい', 'と', '思う', 'で', 'あろう', '。', '（', '６', '）', '明治', '期', 'の', '教育', '者', '（', '千', '八百', '四十', '三', '〜', '千', '八百', '九十', '）', '。', '江戸', '（', '東京', '）', '生れ', '。', '二十', '一', '歳', 'の', 'とき', '箱館', 'から', '禁', 'を', '犯し']","['教育', '者']",YES,教育者,NO,NO
7,教育者,がそうであったように、教育の実践と研究をつねに統一的に考えることができた教育者だった、ということである。そこからのちの「梅根教育学」がペスタロッチー研究に支えられ,"['が', 'そう', 'で', 'あっ', 'た', 'よう', 'に', '、', '教育', 'の', '実践', 'と', '研究', 'を', 'つね', 'に', '統一', '的', 'に', '考える', 'こと', 'が', 'でき', 'た', '教育', '者', 'だっ', 'た', '、', 'と', 'いう', 'こと', 'で', 'ある', '。', 'そこ', 'から', 'のち', 'の', '「', '梅根', '教育', '学', '」', 'が', 'ペスタロッチー', '研究', 'に', '支え', 'られ']","['教育', '者']",YES,教育者,NO,NO
8,教育者,で教職についているわけですね。つまり、「研究者」としての能力と「教育者」としての能力が全く異質なものであることをわきまえていない。学識があれば,"['で', '教職', 'に', 'つい', 'て', 'いる', 'わけ', 'です', 'ね', '。', 'つまり', '、', '「', '研究', '者', '」', 'と', 'し', 'て', 'の', '能力', 'と', '「', '教育', '者', '」', 'と', 'し', 'て', 'の', '能力', 'が', '全く', '異質', 'な', 'もの', 'で', 'ある', 'こと', 'を', 'わきまえ', 'て', 'い', 'ない', '。', '学識', 'が', 'あれ', 'ば']","['教育', '者']",YES,教育者,NO,NO
9,教育者,二十世紀でもあったというふうに思います。科学者として輝けるノーベル賞をいただかれ、教育者でもある江崎先生には、たくさんお聞きしたいことがあるのですけれども、どうも十五分というの,"['二十', '世紀', 'で', 'も', 'あっ', 'た', 'と', 'いう', 'ふう', 'に', '思い', 'ます', '。', '科学', '者', 'と', 'し', 'て', '輝ける', 'ノーベル', '賞', 'を', 'いただか', 'れ', '、', '教育', '者', 'で', 'も', 'ある', '江崎', '先生', 'に', 'は', '、', 'たくさん', 'お', '聞き', 'し', 'たい', 'こと', 'が', 'ある', 'の', 'です', 'けれど', 'も', '、', 'どう', 'も', '十', '五', '分', 'と', 'いう', 'の']","['教育', '者']",YES,教育者,NO,NO
10,教育者,若さであり、教育界の全体では彼を知る人は少なかった。しかし、彼の教育者としての識見はすぐれ、とくにその学問的力量はずば抜けていた。東京文理科大学の卒業論文（千九百三十二年度）,"['若', 'さ', 'で', 'あり', '、', '教育', '界', 'の', '全体', 'で', 'は', '彼', 'を', '知る', '人', 'は', '少なかっ', 'た', '。', 'しかし', '、', '彼', 'の', '教育', '者', 'と', 'し', 'て', 'の', '識見', 'は', 'すぐれ', '、', 'とくに', 'その', '学問', '的', '力量', 'は', 'ずば抜け', 'て', 'い', 'た', '。', '東京', '文理科', '大学', 'の', '卒業', '論文', '（', '千', '九百', '三十', '二', '年度', '）']","['教育', '者']",YES,教育者,NO,NO
11,教育者,身体障害者の話になっていた。化粧気のまるで無い貴女の顔に俺は本当の教育者の姿を見ていたのさ。「障害を持って生まれた人達ね、,"['身体', '障害', '者', 'の', '話', 'に', 'なっ', 'て', 'い', 'た', '。', '化粧', '気', 'の', 'まるで', '無い', '貴女', 'の', '顔', 'に', '俺', 'は', '本当', 'の', '教育', '者', 'の', '姿', 'を', '見', 'て', 'い', 'た', 'の', 'さ', '。', '「', '障害', 'を', '持っ', 'て', '生まれ', 'た', '人', '達', 'ね', '、']","['教育', '者']",YES,教育者,NO,NO
12,教育者,によるものか、またはコンピュータ業界でコンサルタントをしている（あるいは、したいと思っている）教育者が行ったものである。教室での輝かしい成功例でさえ、コンピュータ業界への就職をもくろむ,"['に', 'よる', 'もの', 'か', '、', 'また', 'は', 'コンピュータ', '業', '界', 'で', 'コンサルタント', 'を', 'し', 'て', 'いる', '（', 'あるいは', '、', 'し', 'たい', 'と', '思っ', 'て', 'いる', '）', '教育', '者', 'が', '行っ', 'た', 'もの', 'で', 'ある', '。', '教室', 'で', 'の', '輝かしい', '成功', '例', 'で', 'さえ', '、', 'コンピュータ', '業', '界', 'へ', 'の', '就職', 'を', 'もくろむ']","['教育', '者']",YES,教育者,NO,NO
