,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,法師,もあるかもしれず、うーん」「何をひとりでぶつくさ言っとる」法師が悠然と言いました。「ですから、ここを抜け出す算段をしているのです」,"['も', 'ある', 'か', 'も', 'しれ', 'ず', '、', 'うーん', '」', '「', '何', 'を', 'ひとり', 'で', 'ぶつくさ', '言っ', 'とる', '」', '法師', 'が', '悠然', 'と', '言い', 'まし', 'た', '。', '「', 'です', 'から', '、', 'ここ', 'を', '抜け出す', '算段', 'を', 'し', 'て', 'いる', 'の', 'です', '」']",['法師'],NO,法師,NO,NO
1,法師,「やつがれのことでおじゃるか」「左様。さんぬる日、笠置で大力無双の法師が、人の持ちもならぬ大石あまたを投げつけ、数百騎の坂東の人馬を殺し,"['「', 'やつがれ', 'の', 'こと', 'で', 'お', 'じゃ', 'る', 'か', '」', '「', '左様', '。', 'さん', 'ぬる', '日', '、', '笠置', 'で', '大力', '無双', 'の', '法師', 'が', '、', '人', 'の', '持ち', 'も', 'なら', 'ぬ', '大石', 'あまた', 'を', '投げつけ', '、', '数百', '騎', 'の', '坂東', 'の', '人馬', 'を', '殺し']",['法師'],NO,法師,NO,NO
2,法師,。他の客と何か摩擦をおこしたのだろうか。船頭が西行に「その法師、下りろ」と言ったのに下りなかったので、船頭は西行を鞭で打ち,"['。', '他', 'の', '客', 'と', '何', 'か', '摩擦', 'を', 'おこし', 'た', 'の', 'だろう', 'か', '。', '船頭', 'が', '西行', 'に', '「', 'その', '法師', '、', '下りろ', '」', 'と', '言っ', 'た', 'の', 'に', '下り', 'なかっ', 'た', 'の', 'で', '、', '船頭', 'は', '西行', 'を', '鞭', 'で', '打ち']",['法師'],NO,法師,NO,NO
3,法師,、四季の風情の中でもっともうとんじられている冬の良さを見直すよう訴えている。法師は冬景色のわびの味わいとともに、清冽な霜の朝、身の引き締まる,"['、', '四季', 'の', '風情', 'の', '中', 'で', 'もっとも', 'うとんじ', 'られ', 'て', 'いる', '冬', 'の', '良', 'さ', 'を', '見直す', 'よう', '訴え', 'て', 'いる', '。', '法師', 'は', '冬', '景色', 'の', 'わび', 'の', '味わい', 'と', 'とも', 'に', '、', '清冽', 'な', '霜', 'の', '朝', '、', '身', 'の', '引き締まる']",['法師'],NO,法師,NO,NO
4,法師,下に踏み、太陽を胸に当ててお抱きになっている」というものだった。法師は、「この夢の意味を夢占いをするものにお聞きになってごらんなさい」と伝言してき,"['下', 'に', '踏み', '、', '太陽', 'を', '胸', 'に', '当て', 'て', 'お', '抱き', 'に', 'なっ', 'て', 'いる', '」', 'と', 'いう', 'もの', 'だっ', 'た', '。', '法師', 'は', '、', '「', 'この', '夢', 'の', '意味', 'を', '夢占い', 'を', 'する', 'もの', 'に', 'お', '聞き', 'に', 'なっ', 'て', 'ごらん', 'なさい', '」', 'と', '伝言', 'し', 'て', 'き']",['法師'],NO,法師,NO,NO
5,法師,て話の続きを促した。「真夜中の河原に、少し年のいった法師らしき方がおりまして、何やら木の枝のようなものを、しきりに,"['て', '話', 'の', '続き', 'を', '促し', 'た', '。', '「', '真', '夜中', 'の', '河原', 'に', '、', '少し', '年', 'の', 'いっ', 'た', '法師', 'らしき', '方', 'が', 'おり', 'まし', 'て', '、', '何', 'やら', '木', 'の', '枝', 'の', 'よう', 'な', 'もの', 'を', '、', 'しきり', 'に']",['法師'],NO,法師,NO,NO
6,法師,。「サヴォイ」の第一号、第二号に載った『丘の麓で』は、ファンフルリュシュ法師（タンホイザーに相当する人物）がウェヌスの丘に到着し、ヘレン（ウェヌスに相当する女主人）,"['。', '「', 'サヴォイ', '」', 'の', '第', '一', '号', '、', '第', '二', '号', 'に', '載っ', 'た', '『', '丘', 'の', '麓', 'で', '』', 'は', '、', 'ファンフルリュシュ', '法師', '（', 'タンホイザー', 'に', '相当', 'する', '人物', '）', 'が', 'ウェヌス', 'の', '丘', 'に', '到着', 'し', '、', 'ヘレン', '（', 'ウェヌス', 'に', '相当', 'する', '女', '主人', '）']",['法師'],NO,法師,NO,NO
7,法師,ようになったのだ。宿に到着したら、まずは何をおいても「法師乃湯」へ向かいたい。木の扉を開けると、高い天井とゆったりとし,"['よう', 'に', 'なっ', 'た', 'の', 'だ', '。', '宿', 'に', '到着', 'し', 'たら', '、', 'まず', 'は', '何', 'を', 'おい', 'て', 'も', '「', '法師', '乃', '湯', '」', 'へ', '向かい', 'たい', '。', '木', 'の', '扉', 'を', '開ける', 'と', '、', '高い', '天井', 'と', 'ゆったり', 'と', 'し']",['法師'],NO,法師,NO,NO
8,法師,だけは、口にしなかった。何心なく語り出したのであったが…、と、法師は、なにものかにあやつられる心地がした。鎌倉殿の恩賞にあずかろうとの目算,"['だけ', 'は', '、', '口', 'に', 'し', 'なかっ', 'た', '。', '何', '心なく', '語り', '出し', 'た', 'の', 'で', 'あっ', 'た', 'が', '…', '、', 'と', '、', '法師', 'は', '、', 'なにもの', 'か', 'に', 'あやつら', 'れる', '心地', 'が', 'し', 'た', '。', '鎌倉', '殿', 'の', '恩賞', 'に', 'あずかろう', 'と', 'の', '目算']",['法師'],NO,法師,NO,NO
9,法師,長柄の銚子に酒をうけて、客にすすめているところだったが、腹巻姿の法師がうち入ってきたのを見て、屁っぴり腰に遁げだしかけるのを追いかければ、後,"['長柄', 'の', '銚子', 'に', '酒', 'を', 'うけ', 'て', '、', '客', 'に', 'すすめ', 'て', 'いる', 'ところ', 'だっ', 'た', 'が', '、', '腹巻', '姿', 'の', '法師', 'が', 'うち入っ', 'て', 'き', 'た', 'の', 'を', '見', 'て', '、', '屁っぴり', '腰', 'に', '遁げ', 'だし', 'かける', 'の', 'を', '追いかけれ', 'ば', '、', '後']",['法師'],NO,法師,NO,NO
