,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,添乗員,になる。スーパーで大袋を購入。八百ｇ入りＷ４、二百九十。韓国達人十加藤明美さん旅行会社の添乗員として７年間勤務後、現在はタレント原田伸朗のマネージャーに転身。添乗員時代に年間百日以上、韓国に滞在した,"['に', 'なる', '。', 'スーパー', 'で', '大袋', 'を', '購入', '。', '八百', 'ｇ', '入り', 'Ｗ', '４', '、', '二百', '九十', '。', '韓国', '達人', '十', '加藤', '明美', 'さん', '旅行', '会社', 'の', '添乗', '員', 'と', 'し', 'て', '７', '年間', '勤務', '後', '、', '現在', 'は', 'タレント', '原田', '伸朗', 'の', 'マネージャー', 'に', '転身', '。', '添乗', '員', '時代', 'に', '年間', '百', '日', '以上', '、', '韓国', 'に', '滞在', 'し', 'た']","['添乗', '員']",YES,添乗員,NO,NO
1,添乗員,になる。スーパーで大袋を購入。八百ｇ入りＷ４、二百九十。韓国達人十加藤明美さん旅行会社の添乗員として７年間勤務後、現在はタレント原田伸朗のマネージャーに転身。添乗員時代に年間百日以上、韓国に滞在した,"['に', 'なる', '。', 'スーパー', 'で', '大袋', 'を', '購入', '。', '八百', 'ｇ', '入り', 'Ｗ', '４', '、', '二百', '九十', '。', '韓国', '達人', '十', '加藤', '明美', 'さん', '旅行', '会社', 'の', '添乗', '員', 'と', 'し', 'て', '７', '年間', '勤務', '後', '、', '現在', 'は', 'タレント', '原田', '伸朗', 'の', 'マネージャー', 'に', '転身', '。', '添乗', '員', '時代', 'に', '年間', '百', '日', '以上', '、', '韓国', 'に', '滞在', 'し', 'た']","['添乗', '員']",YES,添乗員,NO,NO
2,添乗員,て、インド、パキスタン、タイ、シンガポール、香港、それだけ行ったの。当時は添乗員をつけるなんてお金も無い頃で、私は、本当に英語が出来ないんだけれど,"['て', '、', 'インド', '、', 'パキスタン', '、', 'タイ', '、', 'シンガポール', '、', '香港', '、', 'それ', 'だけ', '行っ', 'た', 'の', '。', '当時', 'は', '添乗', '員', 'を', 'つける', 'なんて', 'お', '金', 'も', '無い', '頃', 'で', '、', '私', 'は', '、', '本当', 'に', '英語', 'が', '出来', 'ない', 'ん', 'だ', 'けれど']","['添乗', '員']",YES,添乗員,NO,NO
3,添乗員,さらに旅行現場の情報を主催社側にフィードバックするなど，広範な業務を担ってきたのが“添乗員”であり，わが国の海外旅行の大衆化に一定の役割を果たしてきた．“添乗員,"['さらに', '旅行', '現場', 'の', '情報', 'を', '主催', '社', '側', 'に', 'フィードバック', 'する', 'など', '，', '広範', 'な', '業務', 'を', '担っ', 'て', 'き', 'た', 'の', 'が', '“', '添乗', '員', '”', 'で', 'あり', '，', 'わが', '国', 'の', '海外', '旅行', 'の', '大衆', '化', 'に', '一定', 'の', '役割', 'を', '果たし', 'て', 'き', 'た', '．', '“', '添乗', '員']","['添乗', '員']",YES,添乗員,NO,NO
4,添乗員,さらに旅行現場の情報を主催社側にフィードバックするなど，広範な業務を担ってきたのが“添乗員”であり，わが国の海外旅行の大衆化に一定の役割を果たしてきた．“添乗員,"['さらに', '旅行', '現場', 'の', '情報', 'を', '主催', '社', '側', 'に', 'フィードバック', 'する', 'など', '，', '広範', 'な', '業務', 'を', '担っ', 'て', 'き', 'た', 'の', 'が', '“', '添乗', '員', '”', 'で', 'あり', '，', 'わが', '国', 'の', '海外', '旅行', 'の', '大衆', '化', 'に', '一定', 'の', '役割', 'を', '果たし', 'て', 'き', 'た', '．', '“', '添乗', '員']","['添乗', '員']",YES,添乗員,NO,NO
5,添乗員,”の仲居の一言がオレの背中に飛んで来た。「ちょっとあんた、添乗員でしょ？添乗員はお客さまを楽しませるのが仕事でしょ。お客さまをほったらかして自分だけ,"['”', 'の', '仲居', 'の', '一言', 'が', 'オレ', 'の', '背中', 'に', '飛ん', 'で', '来', 'た', '。', '「', 'ちょっと', 'あんた', '、', '添乗', '員', 'でしょ', '？', '添乗', '員', 'は', 'お', '客', 'さま', 'を', '楽しま', 'せる', 'の', 'が', '仕事', 'でしょ', '。', 'お', '客', 'さま', 'を', 'ほったらかし', 'て', '自分', 'だけ']","['添乗', '員']",YES,添乗員,NO,NO
6,添乗員,”の仲居の一言がオレの背中に飛んで来た。「ちょっとあんた、添乗員でしょ？添乗員はお客さまを楽しませるのが仕事でしょ。お客さまをほったらかして自分だけ,"['”', 'の', '仲居', 'の', '一言', 'が', 'オレ', 'の', '背中', 'に', '飛ん', 'で', '来', 'た', '。', '「', 'ちょっと', 'あんた', '、', '添乗', '員', 'でしょ', '？', '添乗', '員', 'は', 'お', '客', 'さま', 'を', '楽しま', 'せる', 'の', 'が', '仕事', 'でしょ', '。', 'お', '客', 'さま', 'を', 'ほったらかし', 'て', '自分', 'だけ']","['添乗', '員']",YES,添乗員,NO,NO
7,添乗員,幅広い知識や経験が必要となり，個人の能力と資質が大きく影響する．しかし，添乗員として欠くことのできないサービス提供の基盤となる豊かな知識や人間性の涵養については,"['幅広い', '知識', 'や', '経験', 'が', '必要', 'と', 'なり', '，', '個人', 'の', '能力', 'と', '資質', 'が', '大きく', '影響', 'する', '．', 'しかし', '，', '添乗', '員', 'と', 'し', 'て', '欠く', 'こと', 'の', 'でき', 'ない', 'サービス', '提供', 'の', '基盤', 'と', 'なる', '豊か', 'な', '知識', 'や', '人間', '性', 'の', '涵養', 'に', 'つい', 'て', 'は']","['添乗', '員']",YES,添乗員,NO,NO
8,添乗員,パッケージツアー「プッシュ・ボタン」が発売された．これは航空会社主導であるものの，最初の個人向け海外パッケージ商品であったが，添乗員の同行はなかった．翌六十五年，日本初の海外旅行企画商品である「ジャルパック」が誕生し，六十八年に,"['パッケージ', 'ツアー', '「', 'プッシュ', '・', 'ボタン', '」', 'が', '発売', 'さ', 'れ', 'た', '．', 'これ', 'は', '航空', '会社', '主導', 'で', 'ある', 'もの', 'の', '，', '最初', 'の', '個人', '向け', '海外', 'パッケージ', '商品', 'で', 'あっ', 'た', 'が', '，', '添乗', '員', 'の', '同行', 'は', 'なかっ', 'た', '．', '翌', '六十', '五', '年', '，', '日本', '初', 'の', '海外', '旅行', '企画', '商品', 'で', 'ある', '「', 'ジャル', 'パック', '」', 'が', '誕生', 'し', '，', '六十', '八', '年', 'に']","['添乗', '員']",YES,添乗員,NO,NO
9,添乗員,て海外旅行マナーの周知を図った。ⅱ旅行業者に対して不健全な旅行に関与しないこと、添乗員をはじめ従業員に対する教育・研修を強化すること、旅行参加者に対し海外旅行のマナーを周知徹底すること等について指導監督してきた,"['て', '海外', '旅行', 'マナー', 'の', '周知', 'を', '図っ', 'た', '。', 'ⅱ', '旅行', '業', '者', 'に', '対し', 'て', '不', '健全', 'な', '旅行', 'に', '関与', 'し', 'ない', 'こと', '、', '添乗', '員', 'を', 'はじめ', '従業', '員', 'に', '対する', '教育', '・', '研修', 'を', '強化', 'する', 'こと', '、', '旅行', '参加', '者', 'に', '対し', '海外', '旅行', 'の', 'マナー', 'を', '周知', '徹底', 'する', 'こと', '等', 'に', 'つい', 'て', '指導', '監督', 'し', 'て', 'き', 'た']","['添乗', '員']",YES,添乗員,NO,NO
