,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,漁師,火をもやしつづけていた伽羅であった。口ノ津で駕籠をおり、伽羅は漁師に金をあたえて、瀬詰瀬戸の底を探ってくれるように依頼したようであった,"['火', 'を', 'もやし', 'つづけ', 'て', 'い', 'た', '伽羅', 'で', 'あっ', 'た', '。', '口', 'ノ', '津', 'で', '駕籠', 'を', 'おり', '、', '伽羅', 'は', '漁師', 'に', '金', 'を', 'あたえ', 'て', '、', '瀬詰', '瀬戸', 'の', '底', 'を', '探っ', 'て', 'くれる', 'よう', 'に', '依頼', 'し', 'た', 'よう', 'で', 'あっ', 'た']",['漁師'],NO,漁師,NO,NO
1,漁師,の昼頃に赤坂の高級ホテルのダブル・ルームをリザーブして、五時に一人で入った」と漁師が言った。「あとで夫が来ると言った。名前と電話は偽物。,"['の', '昼', '頃', 'に', '赤坂', 'の', '高級', 'ホテル', 'の', 'ダブル', '・', 'ルーム', 'を', 'リザーブ', 'し', 'て', '、', '五', '時', 'に', '一人', 'で', '入っ', 'た', '」', 'と', '漁師', 'が', '言っ', 'た', '。', '「', 'あと', 'で', '夫', 'が', '来る', 'と', '言っ', 'た', '。', '名前', 'と', '電話', 'は', '偽物', '。']",['漁師'],NO,漁師,NO,NO
2,漁師,をしたときに、クリントンに自分の身の上話をしたんだそうです。自分は漁師のせがれで、若い頃からいかに苦労し、そして今日に至ったかという話。そ,"['を', 'し', 'た', 'とき', 'に', '、', 'クリントン', 'に', '自分', 'の', '身の上', '話', 'を', 'し', 'た', 'ん', 'だ', 'そう', 'です', '。', '自分', 'は', '漁師', 'の', 'せがれ', 'で', '、', '若い', '頃', 'から', 'いかに', '苦労', 'し', '、', 'そして', '今日', 'に', '至っ', 'た', 'か', 'と', 'いう', '話', '。', 'そ']",['漁師'],NO,漁師,NO,NO
3,漁師,に生まれ、とうふ屋になった。私の生まれた町では、漁師の息子は漁師に、左官の息子は左官になる。訃報に接したのは早朝である。同じく,"['に', '生まれ', '、', 'とうふ', '屋', 'に', 'なっ', 'た', '。', '私', 'の', '生まれ', 'た', '町', 'で', 'は', '、', '漁師', 'の', '息子', 'は', '漁師', 'に', '、', '左官', 'の', '息子', 'は', '左官', 'に', 'なる', '。', '訃報', 'に', '接し', 'た', 'の', 'は', '早朝', 'で', 'ある', '。', '同じく']",['漁師'],NO,漁師,NO,NO
4,漁師,に生まれ、とうふ屋になった。私の生まれた町では、漁師の息子は漁師に、左官の息子は左官になる。訃報に接したのは早朝である。同じく,"['に', '生まれ', '、', 'とうふ', '屋', 'に', 'なっ', 'た', '。', '私', 'の', '生まれ', 'た', '町', 'で', 'は', '、', '漁師', 'の', '息子', 'は', '漁師', 'に', '、', '左官', 'の', '息子', 'は', '左官', 'に', 'なる', '。', '訃報', 'に', '接し', 'た', 'の', 'は', '早朝', 'で', 'ある', '。', '同じく']",['漁師'],NO,漁師,NO,NO
5,漁師,た。「田宮社長は潜りには自信があるようですよ。俺は浜松の漁師の子だから、素潜りで十五メートルは平気だ、と言ってらっしゃいましたよ。」,"['た', '。', '「', '田宮', '社長', 'は', '潜り', 'に', 'は', '自信', 'が', 'ある', 'よう', 'です', 'よ', '。', '俺', 'は', '浜松', 'の', '漁師', 'の', '子', 'だ', 'から', '、', '素潜り', 'で', '十', '五', 'メートル', 'は', '平気', 'だ', '、', 'と', '言っ', 'てらっしゃい', 'まし', 'た', 'よ', '。', '」']",['漁師'],NO,漁師,NO,NO
6,漁師,ぐらい前に亡くなられましたけど、若いときは舟を持ってて、専門の漁師ではないですけど、海辺ですから晩になると夜釣りに出たり、昼はお百姓を,"['ぐらい', '前', 'に', '亡くなら', 'れ', 'まし', 'た', 'けど', '、', '若い', 'とき', 'は', '舟', 'を', '持っ', 'て', 'て', '、', '専門', 'の', '漁師', 'で', 'は', 'ない', 'です', 'けど', '、', '海辺', 'です', 'から', '晩', 'に', 'なる', 'と', '夜釣り', 'に', '出', 'たり', '、', '昼', 'は', 'お', '百姓', 'を']",['漁師'],NO,漁師,NO,NO
7,漁師,十五）。海女の収入別に夫の職業をみると、約四十万円以下の海女は、漁師、自営業者、無職の者が過半数を占めている。約六十万円以上の海女は、会社員が多い,"['十', '五', '）', '。', '海女', 'の', '収入', '別', 'に', '夫', 'の', '職業', 'を', 'みる', 'と', '、', '約', '四十', '万', '円', '以下', 'の', '海女', 'は', '、', '漁師', '、', '自営', '業', '者', '、', '無職', 'の', '者', 'が', '過', '半数', 'を', '占め', 'て', 'いる', '。', '約', '六十', '万', '円', '以上', 'の', '海女', 'は', '、', '会社', '員', 'が', '多い']",['漁師'],NO,漁師,NO,NO
8,漁師,釣れず、しょうがないので餌のカツオを弁当のおかずにして食った。漁師のさばくその船上ぶったぎり料理は、カツオの大きな切り身をバケツの中に入れてそこ,"['釣れ', 'ず', '、', 'しょう', 'が', 'ない', 'の', 'で', '餌', 'の', 'カツオ', 'を', '弁当', 'の', 'おかず', 'に', 'し', 'て', '食っ', 'た', '。', '漁師', 'の', 'さばく', 'その', '船上', 'ぶったぎり', '料理', 'は', '、', 'カツオ', 'の', '大きな', '切り身', 'を', 'バケツ', 'の', '中', 'に', '入れ', 'て', 'そこ']",['漁師'],NO,漁師,NO,NO
9,漁師,してこなかったからでしょう。昔の西鉄ライオンズの黄金期を築いた稲尾投手は、大分県の漁師の出身です。子供の頃から船に乗って櫓を漕いでいたので、肩,"['し', 'て', 'こ', 'なかっ', 'た', 'から', 'でしょう', '。', '昔', 'の', '西鉄', 'ライオンズ', 'の', '黄金', '期', 'を', '築い', 'た', '稲尾', '投手', 'は', '、', '大分', '県', 'の', '漁師', 'の', '出身', 'です', '。', '子供', 'の', '頃', 'から', '船', 'に', '乗っ', 'て', '櫓', 'を', '漕い', 'で', 'い', 'た', 'の', 'で', '、', '肩']",['漁師'],NO,漁師,NO,NO
