,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,現場,ている。システムだけではなく、生のコミュニケーションを通じて徹底して現場の情報を集める。つまり「現場の見える化」を実践しているのだ。さらに、居酒屋・外食チェーンのワタミフードサービスでは「顧客の,"['て', 'いる', '。', 'システム', 'だけ', 'で', 'は', 'なく', '、', '生', 'の', 'コミュニケーション', 'を', '通じ', 'て', '徹底', 'し', 'て', '現場', 'の', '情報', 'を', '集める', '。', 'つまり', '「', '現場', 'の', '見える', '化', '」', 'を', '実践', 'し', 'て', 'いる', 'の', 'だ', '。', 'さらに', '、', '居酒屋', '・', '外食', 'チェーン', 'の', 'ワタミ', 'フード', 'サービス', 'で', 'は', '「', '顧客', 'の']",['現場'],NO,現場,NO,NO
1,現場,ている。システムだけではなく、生のコミュニケーションを通じて徹底して現場の情報を集める。つまり「現場の見える化」を実践しているのだ。さらに、居酒屋・外食チェーンのワタミフードサービスでは「顧客の,"['て', 'いる', '。', 'システム', 'だけ', 'で', 'は', 'なく', '、', '生', 'の', 'コミュニケーション', 'を', '通じ', 'て', '徹底', 'し', 'て', '現場', 'の', '情報', 'を', '集める', '。', 'つまり', '「', '現場', 'の', '見える', '化', '」', 'を', '実践', 'し', 'て', 'いる', 'の', 'だ', '。', 'さらに', '、', '居酒屋', '・', '外食', 'チェーン', 'の', 'ワタミ', 'フード', 'サービス', 'で', 'は', '「', '顧客', 'の']",['現場'],NO,現場,NO,NO
2,現場,後だった。ドクター・ブラックウェルの調書の後半は、月曜日の朝、急遽呼びだされて現場に駆けつけたくだりで、これはもっぱら冷徹な医学用語にみちていた。彼女は遺体,"['後', 'だっ', 'た', '。', 'ドクター', '・', 'ブラックウェル', 'の', '調書', 'の', '後半', 'は', '、', '月曜', '日', 'の', '朝', '、', '急遽', '呼びださ', 'れ', 'て', '現場', 'に', '駆けつけ', 'た', 'くだり', 'で', '、', 'これ', 'は', 'もっぱら', '冷徹', 'な', '医学', '用語', 'に', 'みち', 'て', 'い', 'た', '。', '彼女', 'は', '遺体']",['現場'],NO,現場,NO,NO
3,現場,のだ（政府の統計では十五パーセントとなっているが）。先ほどの稲刈りや道路工事の現場を見てもわかるように、その日暮らしが当たり前なのだ。働き手がいくらでも,"['の', 'だ', '（', '政府', 'の', '統計', 'で', 'は', '十', '五', 'パーセント', 'と', 'なっ', 'て', 'いる', 'が', '）', '。', '先ほど', 'の', '稲刈り', 'や', '道路', '工事', 'の', '現場', 'を', '見', 'て', 'も', 'わかる', 'よう', 'に', '、', 'その', '日暮らし', 'が', '当たり前', 'な', 'の', 'だ', '。', '働き手', 'が', 'いくら', 'で', 'も']",['現場'],NO,現場,NO,NO
4,現場,生きてる鮎を？」「どうもそうらしいんじゃが、わしはまだその現場を見たことがない」「ぼくは信じられませんね」と井手は,"['生き', 'てる', '鮎', 'を', '？', '」', '「', 'どう', 'も', 'そう', 'らしい', 'ん', 'じゃ', 'が', '、', 'わし', 'は', 'まだ', 'その', '現場', 'を', '見', 'た', 'こと', 'が', 'ない', '」', '「', 'ぼく', 'は', '信じ', 'られ', 'ませ', 'ん', 'ね', '」', 'と', '井手', 'は']",['現場'],NO,現場,NO,NO
5,現場,た。この雪の中、何というタフさぶり。やるな姜文。行きあたりばったりの極致。現場にいなくて良かった。十一月二十二日曇り〈Ｓ＃十八Ｂ、三十八、三十八Ｂ,"['た', '。', 'この', '雪', 'の', '中', '、', '何', 'と', 'いう', 'タフ', 'さ', 'ぶり', '。', 'やる', 'な', '姜文', '。', '行き', 'あたり', 'ばったり', 'の', '極致', '。', '現場', 'に', 'い', 'なく', 'て', '良かっ', 'た', '。', '十', '一', '月', '二十', '二', '日', '曇り', '〈', 'Ｓ', '＃', '十', '八', 'Ｂ', '、', '三十', '八', '、', '三十', '八', 'Ｂ']",['現場'],NO,現場,NO,NO
6,現場,けど、ある婚礼の当日になってお客さんが二人増えたと連絡があった。現場のシェフは平気で「できん」って言いましたよ。「１日二十件も婚礼,"['けど', '、', 'ある', '婚礼', 'の', '当日', 'に', 'なっ', 'て', 'お', '客', 'さん', 'が', '二人', '増え', 'た', 'と', '連絡', 'が', 'あっ', 'た', '。', '現場', 'の', 'シェフ', 'は', '平気', 'で', '「', 'でき', 'ん', '」', 'って', '言い', 'まし', 'た', 'よ', '。', '「', '１日', '二十', '件', 'も', '婚礼']",['現場'],NO,現場,NO,NO
7,現場,の拡大等による救急業務の高度化の推進にあわせて、救急事故発生時において、救急隊到着前に、バイスタンダー（現場に居合わせた人）による適切な心肺マッサージや人工呼吸などの応急手当の実施を確保することが,"['の', '拡大', '等', 'に', 'よる', '救急', '業務', 'の', '高度', '化', 'の', '推進', 'に', 'あわせ', 'て', '、', '救急', '事故', '発生', '時', 'に', 'おい', 'て', '、', '救急', '隊', '到着', '前', 'に', '、', 'バイ', 'スタンダー', '（', '現場', 'に', '居合わせ', 'た', '人', '）', 'に', 'よる', '適切', 'な', '心肺', 'マッサージ', 'や', '人工', '呼吸', 'など', 'の', '応急', '手当', 'の', '実施', 'を', '確保', 'する', 'こと', 'が']",['現場'],NO,現場,NO,NO
8,現場,僕も働いてる若者をそうは知らないけど、家を建ててたとき、現場の若いやつとチラッとだけど話をすると、いいんですねえ、なんだか感じが,"['僕', 'も', '働い', 'てる', '若者', 'を', 'そう', 'は', '知ら', 'ない', 'けど', '、', '家', 'を', '建て', 'て', 'た', 'とき', '、', '現場', 'の', '若い', 'やつ', 'と', 'チラッ', 'と', 'だ', 'けど', '話', 'を', 'する', 'と', '、', 'いい', 'ん', 'です', 'ねえ', '、', 'なん', 'だ', 'か', '感じ', 'が']",['現場'],NO,現場,NO,NO
9,現場,も珍しいでしょうが、その作業服も、たんに制服だから着ているのではなく、実際にみずから現場の作業にかかわっているからこそ着ていたのです。本田さんは工場の環境をよく,"['も', '珍しい', 'でしょう', 'が', '、', 'その', '作業', '服', 'も', '、', 'たんに', '制服', 'だ', 'から', '着', 'て', 'いる', 'の', 'で', 'は', 'なく', '、', '実際', 'に', 'みずから', '現場', 'の', '作業', 'に', 'かかわっ', 'て', 'いる', 'から', 'こそ', '着', 'て', 'い', 'た', 'の', 'です', '。', '本田', 'さん', 'は', '工場', 'の', '環境', 'を', 'よく']",['現場'],NO,現場,NO,NO
