,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,立場,あるのなら法律をつくってくれというふうに居直られたわけでございました。そういう立場からすると、法律のない段階で行った取引について通産省が乗り出したとして、素直,"['ある', 'の', 'なら', '法律', 'を', 'つくっ', 'て', 'くれ', 'と', 'いう', 'ふう', 'に', '居直ら', 'れ', 'た', 'わけ', 'で', 'ござい', 'まし', 'た', '。', 'そう', 'いう', '立場', 'から', 'する', 'と', '、', '法律', 'の', 'ない', '段階', 'で', '行っ', 'た', '取引', 'に', 'つい', 'て', '通産', '省', 'が', '乗り出し', 'た', 'と', 'し', 'て', '、', '素直']",['立場'],NO,立場,NO,NO
1,立場,ないつもりでいても結果として悪くしてしまう人」もいるのである。状況や立場が異なれば、信頼関係も変化してくる。そうなってから相手の性格や人間性を追及し,"['ない', 'つもり', 'で', 'い', 'て', 'も', '結果', 'と', 'し', 'て', '悪く', 'し', 'て', 'しまう', '人', '」', 'も', 'いる', 'の', 'で', 'ある', '。', '状況', 'や', '立場', 'が', '異なれ', 'ば', '、', '信頼', '関係', 'も', '変化', 'し', 'て', 'くる', '。', 'そう', 'なっ', 'て', 'から', '相手', 'の', '性格', 'や', '人間', '性', 'を', '追及', 'し']",['立場'],NO,立場,NO,NO
2,立場,何十万、何百万もの人々にシワ寄せが及んでいるのは事実です。「開発援助」の立場からいえば、「ごく一部」だって、とんでもない話で、決してあってはならないこと,"['何十', '万', '、', '何百', '万', 'も', 'の', '人々', 'に', 'シワ寄せ', 'が', '及ん', 'で', 'いる', 'の', 'は', '事実', 'です', '。', '「', '開発', '援助', '」', 'の', '立場', 'から', 'いえ', 'ば', '、', '「', 'ごく', '一部', '」', 'だ', 'って', '、', 'とんでも', 'ない', '話', 'で', '、', '決して', 'あっ', 'て', 'は', 'なら', 'ない', 'こと']",['立場'],NO,立場,NO,NO
3,立場,ほかに術がない。医療の中では、どうしても医師は強く、患者は弱い立場に置かれがちである。オランダでは、患者がかかりつけの医者を“さん”づけで呼び、患者,"['ほか', 'に', '術', 'が', 'ない', '。', '医療', 'の', '中', 'で', 'は', '、', 'どう', 'し', 'て', 'も', '医師', 'は', '強く', '、', '患者', 'は', '弱い', '立場', 'に', '置か', 'れ', 'がち', 'で', 'ある', '。', 'オランダ', 'で', 'は', '、', '患者', 'が', 'かかり', 'つけ', 'の', '医者', 'を', '“', 'さん', '”', 'づけ', 'で', '呼び', '、', '患者']",['立場'],NO,立場,NO,NO
4,立場,重荷ということはまずないんじゃないか。女の初めての男となることを忝けなく感じる立場なら、棚から牡丹餅に押し潰されるケース。閨の楽しみを第一とするなら、処女,"['重荷', 'と', 'いう', 'こと', 'は', 'まず', 'ない', 'ん', 'じゃ', 'ない', 'か', '。', '女', 'の', '初めて', 'の', '男', 'と', 'なる', 'こと', 'を', '忝', 'け', 'なく', '感じる', '立場', 'なら', '、', '棚', 'から', '牡丹餅', 'に', '押し潰さ', 'れる', 'ケース', '。', '閨', 'の', '楽しみ', 'を', '第', '一', 'と', 'する', 'なら', '、', '処女']",['立場'],NO,立場,NO,NO
5,立場,次のとおりである。○ステップ１：問題点を明らかにする。このとき，中立的な立場で考える。○ステップ２：解決するための考えや意見を出し合う。○ステップ３：解決策,"['次', 'の', 'とおり', 'で', 'ある', '。', '○', 'ステップ', '１', '：', '問題', '点', 'を', '明らか', 'に', 'する', '。', 'この', 'とき', '，', '中立', '的', 'な', '立場', 'で', '考える', '。', '○', 'ステップ', '２', '：', '解決', 'する', 'ため', 'の', '考え', 'や', '意見', 'を', '出し合う', '。', '○', 'ステップ', '３', '：', '解決', '策']",['立場'],NO,立場,NO,NO
6,立場,。願う心はわかるが、やはりそればかりでは面白くないだろう。やはり視聴者の立場として、芸能界にはエンターテイメントを期待しているものだから。案の定、そんなことをいわ,"['。', '願う', '心', 'は', 'わかる', 'が', '、', 'やはり', 'それ', 'ばかり', 'で', 'は', '面白く', 'ない', 'だろう', '。', 'やはり', '視聴', '者', 'の', '立場', 'と', 'し', 'て', '、', '芸能', '界', 'に', 'は', 'エンターテイメント', 'を', '期待', 'し', 'て', 'いる', 'もの', 'だ', 'から', '。', '案の定', '、', 'そんな', 'こと', 'を', 'いわ']",['立場'],NO,立場,NO,NO
7,立場,相手を大切にする言葉のはたらき。利行…人を助ける行為。同事…相手の立場に立って信頼が成立してから、人を迷いから悟りへ導く智慧と行動。,"['相手', 'を', '大切', 'に', 'する', '言葉', 'の', 'はたらき', '。', '利行', '…', '人', 'を', '助ける', '行為', '。', '同', '事', '…', '相手', 'の', '立場', 'に', '立っ', 'て', '信頼', 'が', '成立', 'し', 'て', 'から', '、', '人', 'を', '迷い', 'から', '悟り', 'へ', '導く', '智慧', 'と', '行動', '。']",['立場'],NO,立場,NO,NO
8,立場,なっている。８事業所で、喫煙者と非喫煙者と利害が対立した場合、どちらの立場を優先するかについて図１‐十喫煙者と非喫煙者の利害が対立した場合喫煙者,"['なっ', 'て', 'いる', '。', '８', '事業', '所', 'で', '、', '喫煙', '者', 'と', '非', '喫煙', '者', 'と', '利害', 'が', '対立', 'し', 'た', '場合', '、', 'どちら', 'の', '立場', 'を', '優先', 'する', 'か', 'に', 'つい', 'て', '図', '１', '‐', '十', '喫煙', '者', 'と', '非', '喫煙', '者', 'の', '利害', 'が', '対立', 'し', 'た', '場合', '喫煙', '者']",['立場'],NO,立場,NO,NO
9,立場,し、千九百四十九年（昭和二十四年）に成立した「中華人民共和国」は「人民」つまり社会主義的な立場に立った国であるとか、千九百四十八年成立の「朝鮮民主主義人民共和国」にしても「人民の民主主義」という,"['し', '、', '千', '九百', '四十', '九', '年', '（', '昭和', '二十', '四', '年', '）', 'に', '成立', 'し', 'た', '「', '中華', '人民', '共和', '国', '」', 'は', '「', '人民', '」', 'つまり', '社会', '主義', '的', 'な', '立場', 'に', '立っ', 'た', '国', 'で', 'ある', 'と', 'か', '、', '千', '九百', '四十', '八', '年', '成立', 'の', '「', '朝鮮', '民主', '主義', '人民', '共和', '国', '」', 'に', 'し', 'て', 'も', '「', '人民', 'の', '民主', '主義', '」', 'と', 'いう']",['立場'],NO,立場,NO,NO
10,立場,た友軍である細川晴元の同勢に協力を求めたが、晴元は応じることなく中立の立場をつらぬこうとした。その年の盂蘭盆会は、法華門徒が血眼で洛中の防備,"['た', '友軍', 'で', 'ある', '細川', '晴元', 'の', '同勢', 'に', '協力', 'を', '求め', 'た', 'が', '、', '晴元', 'は', '応じる', 'こと', 'なく', '中立', 'の', '立場', 'を', 'つらぬこう', 'と', 'し', 'た', '。', 'その', '年', 'の', '盂蘭盆', '会', 'は', '、', '法華', '門徒', 'が', '血眼', 'で', '洛中', 'の', '防備']",['立場'],NO,立場,NO,NO
11,立場,ができました。父と母がよくニュースなどを見て、被害者と加害者の立場になって話をしているのも参考になりました。なぜ犯罪を犯し,"['が', 'でき', 'まし', 'た', '。', '父', 'と', '母', 'が', 'よく', 'ニュース', 'など', 'を', '見', 'て', '、', '被害', '者', 'と', '加害', '者', 'の', '立場', 'に', 'なっ', 'て', '話', 'を', 'し', 'て', 'いる', 'の', 'も', '参考', 'に', 'なり', 'まし', 'た', '。', 'なぜ', '犯罪', 'を', '犯し']",['立場'],NO,立場,NO,NO
12,立場,困難な状況にありながら自立を目指す人々の立場、すなわち生活者、納税者、消費者の立場を代表するとの理念を明らかにしています。民主党が掲げる民主・中道は、自由放任、,"['困難', 'な', '状況', 'に', 'あり', 'ながら', '自立', 'を', '目指す', '人々', 'の', '立場', '、', 'すなわち', '生活', '者', '、', '納税', '者', '、', '消費', '者', 'の', '立場', 'を', '代表', 'する', 'と', 'の', '理念', 'を', '明らか', 'に', 'し', 'て', 'い', 'ます', '。', '民主', '党', 'が', '掲げる', '民主', '・', '中道', 'は', '、', '自由', '放任', '、']",['立場'],NO,立場,NO,NO
13,立場,困難な状況にありながら自立を目指す人々の立場、すなわち生活者、納税者、消費者の立場を代表するとの理念を明らかにしています。民主党が掲げる民主・中道は、自由放任、,"['困難', 'な', '状況', 'に', 'あり', 'ながら', '自立', 'を', '目指す', '人々', 'の', '立場', '、', 'すなわち', '生活', '者', '、', '納税', '者', '、', '消費', '者', 'の', '立場', 'を', '代表', 'する', 'と', 'の', '理念', 'を', '明らか', 'に', 'し', 'て', 'い', 'ます', '。', '民主', '党', 'が', '掲げる', '民主', '・', '中道', 'は', '、', '自由', '放任', '、']",['立場'],NO,立場,NO,NO
14,立場,徐々に下がる。そして第三に、マネジャーの信頼は限りなくゼロに近づく。従業員の立場で考えてみよう。誰かが自分をチェックしにくると分かっていたら、どんな行動を,"['徐々', 'に', '下がる', '。', 'そして', '第', '三', 'に', '、', 'マネジャー', 'の', '信頼', 'は', '限りなく', 'ゼロ', 'に', '近づく', '。', '従業', '員', 'の', '立場', 'で', '考え', 'て', 'みよう', '。', '誰', 'か', 'が', '自分', 'を', 'チェック', 'し', 'に', 'くる', 'と', '分かっ', 'て', 'い', 'たら', '、', 'どんな', '行動', 'を']",['立場'],NO,立場,NO,NO
15,立場,はあなたの好みじゃないのかと思ってたわ」ジョウナは微笑した。「立場を考えてみろよ。君はレイチェルのお気に入りの姪、僕はレイチェルの,"['は', 'あなた', 'の', '好み', 'じゃ', 'ない', 'の', 'か', 'と', '思っ', 'て', 'た', 'わ', '」', 'ジョウナ', 'は', '微笑', 'し', 'た', '。', '「', '立場', 'を', '考え', 'て', 'みろ', 'よ', '。', '君', 'は', 'レイチェル', 'の', 'お', '気', 'に', '入り', 'の', '姪', '、', '僕', 'は', 'レイチェル', 'の']",['立場'],NO,立場,NO,NO
16,立場,外面的な、偽善でしかないルサンチマンとしての似非道徳ではなく、道徳を自己において検証するような立場からすれば、そのような自己は、歴史とは別の、もっと固有の道徳の領域,"['外面', '的', 'な', '、', '偽善', 'で', 'しか', 'ない', 'ルサンチマン', 'と', 'し', 'て', 'の', '似非', '道徳', 'で', 'は', 'なく', '、', '道徳', 'を', '自己', 'に', 'おい', 'て', '検証', 'する', 'よう', 'な', '立場', 'から', 'すれ', 'ば', '、', 'その', 'よう', 'な', '自己', 'は', '、', '歴史', 'と', 'は', '別', 'の', '、', 'もっと', '固有', 'の', '道徳', 'の', '領域']",['立場'],NO,立場,NO,NO
17,立場,見に行って見ようかな？カメラ持って行かなくちゃ〜。いっちょ前にも忙しい立場になってしまったドリママ・・・。他店舗へヘルプで入ったり新しく入ったバイトさんへ,"['見', 'に', '行っ', 'て', '見よう', 'か', 'な', '？', 'カメラ', '持っ', 'て', '行か', 'なく', 'ちゃ〜', '。', 'いっちょ前', 'に', 'も', '忙しい', '立場', 'に', 'なっ', 'て', 'しまっ', 'た', 'ドリ', 'ママ', '・', '・', '・', '。', '他', '店舗', 'へ', 'ヘルプ', 'で', '入っ', 'たり', '新しく', '入っ', 'た', 'バイト', 'さん', 'へ']",['立場'],NO,立場,NO,NO
18,立場,）短い感情線（六十七ページ参照）。感情欠乏症です。冷血人間ともいえます。人の立場に立って考えることなど思いもよらないので、この手の人と付き合うと、,"['）', '短い', '感情', '線', '（', '六十', '七', 'ページ', '参照', '）', '。', '感情', '欠乏', '症', 'です', '。', '冷血', '人間', 'と', 'も', 'いえ', 'ます', '。', '人', 'の', '立場', 'に', '立っ', 'て', '考える', 'こと', 'など', '思い', 'も', 'よら', 'ない', 'の', 'で', '、', 'この', '手', 'の', '人', 'と', '付き合う', 'と', '、']",['立場'],NO,立場,NO,NO
19,立場,たよね、高校生、中学校のとき。ああいうやつに、自分が選挙に出る立場になって同級生へちょっとあいさつに行こうかということになって、三十も半ば過ぎぐらいに,"['た', 'よ', 'ね', '、', '高校', '生', '、', '中', '学校', 'の', 'とき', '。', 'ああ', 'いう', 'やつ', 'に', '、', '自分', 'が', '選挙', 'に', '出る', '立場', 'に', 'なっ', 'て', '同級', '生', 'へ', 'ちょっと', 'あいさつ', 'に', '行こう', 'か', 'と', 'いう', 'こと', 'に', 'なっ', 'て', '、', '三十', 'も', '半ば', '過ぎ', 'ぐらい', 'に']",['立場'],NO,立場,NO,NO
20,立場,な立場に落ち込んだ。人民軍捕虜であることは確かなのに、いつしか曖昧な立場に落ち込んでしまったのだ。襄陽警察署を発ち江陵へ着いたときには、現地の,"['な', '立場', 'に', '落ち込ん', 'だ', '。', '人民', '軍', '捕虜', 'で', 'ある', 'こと', 'は', '確か', 'な', 'の', 'に', '、', 'いつ', 'しか', '曖昧', 'な', '立場', 'に', '落ち込ん', 'で', 'しまっ', 'た', 'の', 'だ', '。', '襄', '陽', '警察', '署', 'を', '発ち', '江陵', 'へ', '着い', 'た', 'とき', 'に', 'は', '、', '現地', 'の']",['立場'],NO,立場,NO,NO
21,立場,な立場に落ち込んだ。人民軍捕虜であることは確かなのに、いつしか曖昧な立場に落ち込んでしまったのだ。襄陽警察署を発ち江陵へ着いたときには、現地の,"['な', '立場', 'に', '落ち込ん', 'だ', '。', '人民', '軍', '捕虜', 'で', 'ある', 'こと', 'は', '確か', 'な', 'の', 'に', '、', 'いつ', 'しか', '曖昧', 'な', '立場', 'に', '落ち込ん', 'で', 'しまっ', 'た', 'の', 'だ', '。', '襄', '陽', '警察', '署', 'を', '発ち', '江陵', 'へ', '着い', 'た', 'とき', 'に', 'は', '、', '現地', 'の']",['立場'],NO,立場,NO,NO
22,立場,は紙切れだと思っている、この二つの違いが大きくあると思うのです。中小企業の立場に立てば恐らく手形は紙切れだと、大変言葉は汚うございますけれども、紙,"['は', '紙切れ', 'だ', 'と', '思っ', 'て', 'いる', '、', 'この', '二', 'つ', 'の', '違い', 'が', '大きく', 'ある', 'と', '思う', 'の', 'です', '。', '中', '小', '企業', 'の', '立場', 'に', '立て', 'ば', '恐らく', '手形', 'は', '紙切れ', 'だ', 'と', '、', '大変', '言葉', 'は', '汚う', 'ござい', 'ます', 'けれど', 'も', '、', '紙']",['立場'],NO,立場,NO,NO
23,立場,を助けるのに、わずかなことしかなしえなかった。現在では彼女の能力と立場はいちじるしく強化され、彼女の存在がなければヤンの事務処理能力は半減してしまう。自分の,"['を', '助ける', 'の', 'に', '、', 'わずか', 'な', 'こと', 'しか', 'なし', 'え', 'なかっ', 'た', '。', '現在', 'で', 'は', '彼女', 'の', '能力', 'と', '立場', 'は', 'いちじるしく', '強化', 'さ', 'れ', '、', '彼女', 'の', '存在', 'が', 'なけれ', 'ば', 'ヤン', 'の', '事務', '処理', '能力', 'は', '半減', 'し', 'て', 'しまう', '。', '自分', 'の']",['立場'],NO,立場,NO,NO
24,立場,納得のいく説明がなされないのか医療の中で患者は非常に弱い立場です。昔もいまも同じように、医師が生殺与奪の権を握っています。,"['納得', 'の', 'いく', '説明', 'が', 'なさ', 'れ', 'ない', 'の', 'か', '医療', 'の', '中', 'で', '患者', 'は', '非常', 'に', '弱い', '立場', 'です', '。', '昔', 'も', 'いま', 'も', '同じ', 'よう', 'に', '、', '医師', 'が', '生殺', '与奪', 'の', '権', 'を', '握っ', 'て', 'い', 'ます', '。']",['立場'],NO,立場,NO,NO
25,立場,せるために、市民委員を募集します。保健・医療・福祉などの関係機関の方と共に、市民の立場からの意見をお願いします。申込資格次の条件を全て満たす人１市内に１年以上居住し,"['せる', 'ため', 'に', '、', '市民', '委員', 'を', '募集', 'し', 'ます', '。', '保健', '・', '医療', '・', '福祉', 'など', 'の', '関係', '機関', 'の', '方', 'と', '共', 'に', '、', '市民', 'の', '立場', 'から', 'の', '意見', 'を', 'お', '願い', 'し', 'ます', '。', '申込', '資格', '次', 'の', '条件', 'を', '全て', '満たす', '人', '１', '市内', 'に', '１', '年', '以上', '居住', 'し']",['立場'],NO,立場,NO,NO
26,立場,をもつ三宅雪嶺は、『真善美日本人』（千八百九十一年）を著わして、そのような国粋主義の立場をこう定式化しました。いわく、「自国の為に力を尽すは、世界の,"['を', 'もつ', '三宅', '雪嶺', 'は', '、', '『', '真', '善美', '日本', '人', '』', '（', '千', '八百', '九十', '一', '年', '）', 'を', '著わし', 'て', '、', 'その', 'よう', 'な', '国粋', '主義', 'の', '立場', 'を', 'こう', '定式', '化', 'し', 'まし', 'た', '。', 'いわく', '、', '「', '自国', 'の', '為', 'に', '力', 'を', '尽す', 'は', '、', '世界', 'の']",['立場'],NO,立場,NO,NO
