,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,組合員,技術者」は常勤かつ専任の職員でなければなりません。この場合、当然、組合員である単体企業の許可上の者とは重複できません。よくある例として、組合の理事,"['技術', '者', '」', 'は', '常勤', 'かつ', '専任', 'の', '職員', 'で', 'なけれ', 'ば', 'なり', 'ませ', 'ん', '。', 'この', '場合', '、', '当然', '、', '組合', '員', 'で', 'ある', '単体', '企業', 'の', '許可', '上', 'の', '者', 'と', 'は', '重複', 'でき', 'ませ', 'ん', '。', 'よく', 'ある', '例', 'と', 'し', 'て', '、', '組合', 'の', '理事']","['組合', '員']",YES,組合員,NO,NO
1,組合員,。このような状況の変化に対応しつつ，漁協が将来にわたって漁村地域の中核的存在として，組合員の負託にこたえていくためには，組織体制の整備と事業基盤の強化が必要となっている,"['。', 'この', 'よう', 'な', '状況', 'の', '変化', 'に', '対応', 'し', 'つつ', '，', '漁協', 'が', '将来', 'に', 'わたっ', 'て', '漁村', '地域', 'の', '中核', '的', '存在', 'と', 'し', 'て', '，', '組合', '員', 'の', '負託', 'に', 'こたえ', 'て', 'いく', 'ため', 'に', 'は', '，', '組織', '体制', 'の', '整備', 'と', '事業', '基盤', 'の', '強化', 'が', '必要', 'と', 'なっ', 'て', 'いる']","['組合', '員']",YES,組合員,NO,NO
2,組合員,、やめました。都道府県単位では、組合と官僚は完全に馴れ合っており、末端の組合員などは金ヅルでしかありません。絶対にやめたほうがいいと思います。,"['、', 'やめ', 'まし', 'た', '。', '都', '道', '府', '県', '単位', 'で', 'は', '、', '組合', 'と', '官僚', 'は', '完全', 'に', '馴れ合っ', 'て', 'おり', '、', '末端', 'の', '組合', '員', 'など', 'は', '金ヅル', 'で', 'しか', 'あり', 'ませ', 'ん', '。', '絶対', 'に', 'やめ', 'た', 'ほう', 'が', 'いい', 'と', '思い', 'ます', '。']","['組合', '員']",YES,組合員,NO,NO
3,組合員,にならなかった。新しい法案では、それはもうそんなことはありません。組合員になりましたらすぐに対象になりますけれども、かつては一年を経過しないと,"['に', 'なら', 'なかっ', 'た', '。', '新しい', '法案', 'で', 'は', '、', 'それ', 'は', 'もう', 'そんな', 'こと', 'は', 'あり', 'ませ', 'ん', '。', '組合', '員', 'に', 'なり', 'まし', 'たら', 'すぐ', 'に', '対象', 'に', 'なり', 'ます', 'けれど', 'も', '、', 'かつて', 'は', '一', '年', 'を', '経過', 'し', 'ない', 'と']","['組合', '員']",YES,組合員,NO,NO
4,組合員,定められた基準の全体としての合理性に照らせば、同協約が特定の又は一部の組合員を殊更不利益に取り扱うことを目的として締結されたなど労働組合の目的を逸脱し,"['定め', 'られ', 'た', '基準', 'の', '全体', 'と', 'し', 'て', 'の', '合理', '性', 'に', '照らせ', 'ば', '、', '同', '協約', 'が', '特定', 'の', '又', 'は', '一部', 'の', '組合', '員', 'を', '殊更', '不', '利益', 'に', '取り扱う', 'こと', 'を', '目的', 'と', 'し', 'て', '締結', 'さ', 'れ', 'た', 'など', '労働', '組合', 'の', '目的', 'を', '逸脱', 'し']","['組合', '員']",YES,組合員,NO,NO
5,組合員,又は同法第二十四条第一項の規定による住宅街区整備促進区域内のものを除く。）を転用し、その土地に組合員の委託を受けて賃貸住宅を建設する場合においては、当該賃貸住宅が農地所有者等賃貸住宅建設融資利子補給臨時措置法第二条第二項に規定する特定賃貸住宅,"['又', 'は', '同法', '第', '二十', '四', '条', '第', '一', '項', 'の', '規定', 'に', 'よる', '住宅', '街区', '整備', '促進', '区域', '内', 'の', 'もの', 'を', '除く', '。', '）', 'を', '転用', 'し', '、', 'その', '土地', 'に', '組合', '員', 'の', '委託', 'を', '受け', 'て', '賃貸', '住宅', 'を', '建設', 'する', '場合', 'に', 'おい', 'て', 'は', '、', '当該', '賃貸', '住宅', 'が', '農地', '所有', '者', '等', '賃貸', '住宅', '建設', '融資', '利子', '補給', '臨時', '措置', '法', '第', '二', '条', '第', '二', '項', 'に', '規定', 'する', '特定', '賃貸', '住宅']","['組合', '員']",YES,組合員,NO,NO
6,組合員,他方では農産物の出荷量の減少で、販売事業は実質的に赤字続きである。それにもかかわらず、組合員の農家向けに、農協はさまざまなサービスを提供し続けている。たとえば、葬祭事業である。葬式に,"['他方', 'で', 'は', '農産', '物', 'の', '出荷', '量', 'の', '減少', 'で', '、', '販売', '事業', 'は', '実質', '的', 'に', '赤字', '続き', 'で', 'ある', '。', 'それ', 'に', 'も', 'かかわら', 'ず', '、', '組合', '員', 'の', '農家', '向け', 'に', '、', '農協', 'は', 'さまざま', 'な', 'サービス', 'を', '提供', 'し', '続け', 'て', 'いる', '。', 'たとえば', '、', '葬祭', '事業', 'で', 'ある', '。', '葬式', 'に']","['組合', '員']",YES,組合員,NO,NO
7,組合員,や組合への事前通知を義務づけるにとどまる条項も，労働組合が解雇・人事の対象となった組合員の意を受けて組合員のために交渉する機会を保障するものであり，やはり個々の組合員保護,"['や', '組合', 'へ', 'の', '事前', '通知', 'を', '義務', 'づける', 'に', 'とどまる', '条項', 'も', '，', '労働', '組合', 'が', '解雇', '・', '人事', 'の', '対象', 'と', 'なっ', 'た', '組合', '員', 'の', '意', 'を', '受け', 'て', '組合', '員', 'の', 'ため', 'に', '交渉', 'する', '機会', 'を', '保障', 'する', 'もの', 'で', 'あり', '，', 'やはり', '個々', 'の', '組合', '員', '保護']","['組合', '員']",YES,組合員,NO,NO
8,組合員,や組合への事前通知を義務づけるにとどまる条項も，労働組合が解雇・人事の対象となった組合員の意を受けて組合員のために交渉する機会を保障するものであり，やはり個々の組合員保護,"['や', '組合', 'へ', 'の', '事前', '通知', 'を', '義務', 'づける', 'に', 'とどまる', '条項', 'も', '，', '労働', '組合', 'が', '解雇', '・', '人事', 'の', '対象', 'と', 'なっ', 'た', '組合', '員', 'の', '意', 'を', '受け', 'て', '組合', '員', 'の', 'ため', 'に', '交渉', 'する', '機会', 'を', '保障', 'する', 'もの', 'で', 'あり', '，', 'やはり', '個々', 'の', '組合', '員', '保護']","['組合', '員']",YES,組合員,NO,NO
9,組合員,や組合への事前通知を義務づけるにとどまる条項も，労働組合が解雇・人事の対象となった組合員の意を受けて組合員のために交渉する機会を保障するものであり，やはり個々の組合員保護,"['や', '組合', 'へ', 'の', '事前', '通知', 'を', '義務', 'づける', 'に', 'とどまる', '条項', 'も', '，', '労働', '組合', 'が', '解雇', '・', '人事', 'の', '対象', 'と', 'なっ', 'た', '組合', '員', 'の', '意', 'を', '受け', 'て', '組合', '員', 'の', 'ため', 'に', '交渉', 'する', '機会', 'を', '保障', 'する', 'もの', 'で', 'あり', '，', 'やはり', '個々', 'の', '組合', '員', '保護']","['組合', '員']",YES,組合員,NO,NO
