,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,舞踊家,と舞踊家の奇しきロマンスの人生の一ページがきられたのだった。戦場ではじまった舞踊家としての青春戦後、平和になったとはいえ、芸能界も復活するのに時間がかかっ,"['と', '舞踊', '家', 'の', '奇しき', 'ロマンス', 'の', '人生', 'の', '一', 'ページ', 'が', 'きら', 'れ', 'た', 'の', 'だっ', 'た', '。', '戦場', 'で', 'はじまっ', 'た', '舞踊', '家', 'と', 'し', 'て', 'の', '青春', '戦後', '、', '平和', 'に', 'なっ', 'た', 'と', 'は', 'いえ', '、', '芸能', '界', 'も', '復活', 'する', 'の', 'に', '時間', 'が', 'かかっ']","['舞踊', '家']",YES,舞踊家,NO,NO
1,舞踊家,と舞踊家の奇しきロマンスの人生の一ページがきられたのだった。戦場ではじまった舞踊家としての青春戦後、平和になったとはいえ、芸能界も復活するのに時間がかかっ,"['と', '舞踊', '家', 'の', '奇しき', 'ロマンス', 'の', '人生', 'の', '一', 'ページ', 'が', 'きら', 'れ', 'た', 'の', 'だっ', 'た', '。', '戦場', 'で', 'はじまっ', 'た', '舞踊', '家', 'と', 'し', 'て', 'の', '青春', '戦後', '、', '平和', 'に', 'なっ', 'た', 'と', 'は', 'いえ', '、', '芸能', '界', 'も', '復活', 'する', 'の', 'に', '時間', 'が', 'かかっ']","['舞踊', '家']",YES,舞踊家,NO,NO
2,舞踊家,もモナコでも、マタ・ハリは喝采を浴びた。あの高名なダンサー、イサドラ・ダンカンに匹敵する舞踊家だと、ジャーナリズムにも絶賛された。ギャラもどんどん高額になっていった。金持ち,"['も', 'モナコ', 'で', 'も', '、', 'マタ', '・', 'ハリ', 'は', '喝采', 'を', '浴び', 'た', '。', 'あの', '高名', 'な', 'ダンサー', '、', 'イサドラ', '・', 'ダンカン', 'に', '匹敵', 'する', '舞踊', '家', 'だ', 'と', '、', 'ジャーナリズム', 'に', 'も', '絶賛', 'さ', 'れ', 'た', '。', 'ギャラ', 'も', 'どんどん', '高額', 'に', 'なっ', 'て', 'いっ', 'た', '。', '金持ち']","['舞踊', '家']",YES,舞踊家,NO,NO
3,舞踊家,５月，職業的日本舞踊家の個人参加による任意団体として発足した日本舞踊協会（昭和三十年十二月に社団法人）に所属する舞踊家について見ると，流派数は約百流と言われており，このうち藤間，西川，若柳，,"['５', '月', '，', '職業', '的', '日本', '舞踊', '家', 'の', '個人', '参加', 'に', 'よる', '任意', '団体', 'と', 'し', 'て', '発足', 'し', 'た', '日本', '舞踊', '協会', '（', '昭和', '三十', '年', '十', '二', '月', 'に', '社団', '法人', '）', 'に', '所属', 'する', '舞踊', '家', 'に', 'つい', 'て', '見る', 'と', '，', '流派', '数', 'は', '約', '百', '流', 'と', '言わ', 'れ', 'て', 'おり', '，', 'この', 'うち', '藤間', '，', '西川', '，', '若柳', '，']","['舞踊', '家']",YES,舞踊家,NO,NO
4,舞踊家,５月，職業的日本舞踊家の個人参加による任意団体として発足した日本舞踊協会（昭和三十年十二月に社団法人）に所属する舞踊家について見ると，流派数は約百流と言われており，このうち藤間，西川，若柳，,"['５', '月', '，', '職業', '的', '日本', '舞踊', '家', 'の', '個人', '参加', 'に', 'よる', '任意', '団体', 'と', 'し', 'て', '発足', 'し', 'た', '日本', '舞踊', '協会', '（', '昭和', '三十', '年', '十', '二', '月', 'に', '社団', '法人', '）', 'に', '所属', 'する', '舞踊', '家', 'に', 'つい', 'て', '見る', 'と', '，', '流派', '数', 'は', '約', '百', '流', 'と', '言わ', 'れ', 'て', 'おり', '，', 'この', 'うち', '藤間', '，', '西川', '，', '若柳', '，']","['舞踊', '家']",YES,舞踊家,NO,NO
5,舞踊家,三十三年３月には日本バレエ協会が設立され（昭和四十九年十二月に社団法人），昭和六十二年３月末で舞踊家の会員数千二百七十人，会員の所属バレエ団は十六団体となっている。また，東京地区の日本バレエ協会会員以外のバレエ団,"['三十', '三', '年', '３', '月', 'に', 'は', '日本', 'バレエ', '協会', 'が', '設立', 'さ', 'れ', '（', '昭和', '四十', '九', '年', '十', '二', '月', 'に', '社団', '法人', '）', '，', '昭和', '六十', '二', '年', '３', '月', '末', 'で', '舞踊', '家', 'の', '会員', '数千', '二百', '七十', '人', '，', '会員', 'の', '所属', 'バレエ', '団', 'は', '十', '六', '団体', 'と', 'なっ', 'て', 'いる', '。', 'また', '，', '東京', '地区', 'の', '日本', 'バレエ', '協会', '会員', '以外', 'の', 'バレエ', '団']","['舞踊', '家']",YES,舞踊家,NO,NO
6,舞踊家,かくれたスポンサーでもあった。悲惨な戦争の中で生まれた、兵士と舞踊家の奇しきロマンスの人生の一ページがきられたのだった。戦場ではじまった舞踊家として,"['かくれ', 'た', 'スポンサー', 'で', 'も', 'あっ', 'た', '。', '悲惨', 'な', '戦争', 'の', '中', 'で', '生まれ', 'た', '、', '兵士', 'と', '舞踊', '家', 'の', '奇しき', 'ロマンス', 'の', '人生', 'の', '一', 'ページ', 'が', 'きら', 'れ', 'た', 'の', 'だっ', 'た', '。', '戦場', 'で', 'はじまっ', 'た', '舞踊', '家', 'と', 'し', 'て']","['舞踊', '家']",YES,舞踊家,NO,NO
7,舞踊家,かくれたスポンサーでもあった。悲惨な戦争の中で生まれた、兵士と舞踊家の奇しきロマンスの人生の一ページがきられたのだった。戦場ではじまった舞踊家として,"['かくれ', 'た', 'スポンサー', 'で', 'も', 'あっ', 'た', '。', '悲惨', 'な', '戦争', 'の', '中', 'で', '生まれ', 'た', '、', '兵士', 'と', '舞踊', '家', 'の', '奇しき', 'ロマンス', 'の', '人生', 'の', '一', 'ページ', 'が', 'きら', 'れ', 'た', 'の', 'だっ', 'た', '。', '戦場', 'で', 'はじまっ', 'た', '舞踊', '家', 'と', 'し', 'て']","['舞踊', '家']",YES,舞踊家,NO,NO
8,舞踊家,た」（「暗黒舞踊」）というのは、事実だったのである。たまたまノイエ・タンツ系の舞踊家には秋田出身者が多かった。そして土方巽も、秋田という文化風土を場としてノイエ・タンツに出会っ,"['た', '」', '（', '「', '暗黒', '舞踊', '」', '）', 'と', 'いう', 'の', 'は', '、', '事実', 'だっ', 'た', 'の', 'で', 'ある', '。', 'たまたま', 'ノイエ', '・', 'タンツ', '系', 'の', '舞踊', '家', 'に', 'は', '秋田', '出身', '者', 'が', '多かっ', 'た', '。', 'そして', '土方', '巽', 'も', '、', '秋田', 'と', 'いう', '文化', '風土', 'を', '場', 'と', 'し', 'て', 'ノイエ', '・', 'タンツ', 'に', '出会っ']","['舞踊', '家']",YES,舞踊家,NO,NO
9,舞踊家,なものを感じた。映画俳優になるといって父趙丹の反対にあい、のちに舞踊家として大成する長女趙青に趙丹はこのころこういったものである。「『武訓伝』批判で気が,"['な', 'もの', 'を', '感じ', 'た', '。', '映画', '俳優', 'に', 'なる', 'と', 'いっ', 'て', '父', '趙丹', 'の', '反対', 'に', 'あい', '、', 'のち', 'に', '舞踊', '家', 'と', 'し', 'て', '大成', 'する', '長女', '趙青', 'に', '趙丹', 'は', 'この', 'ころ', 'こう', 'いっ', 'た', 'もの', 'で', 'ある', '。', '「', '『', '武訓', '伝', '』', '批判', 'で', '気', 'が']","['舞踊', '家']",YES,舞踊家,NO,NO
