,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,調理師,にこの街を逃げ出すことができるの？リンが立ちすくんでいると、主人が中華鍋を若い調理師にあずけて近寄ってきた。顎を大きく前に動かす。リンの背後へ注意,"['に', 'この', '街', 'を', '逃げ出す', 'こと', 'が', 'できる', 'の', '？', 'リン', 'が', '立ちすくん', 'で', 'いる', 'と', '、', '主人', 'が', '中華', '鍋', 'を', '若い', '調理', '師', 'に', 'あずけ', 'て', '近寄っ', 'て', 'き', 'た', '。', '顎', 'を', '大きく', '前', 'に', '動かす', '。', 'リン', 'の', '背後', 'へ', '注意']","['調理', '師']",YES,調理師,NO,NO
1,調理師,、札幌市豊平区の自衛隊札幌病院給食課が事務局を引き受けてくれた。メンバーは病院の管理栄養士、調理師、看護師、教員らだ。年に数回例会を開き、食育の大切さについての認識を深め,"['、', '札幌', '市', '豊平', '区', 'の', '自衛', '隊', '札幌', '病院', '給食', '課', 'が', '事務', '局', 'を', '引き受け', 'て', 'くれ', 'た', '。', 'メンバー', 'は', '病院', 'の', '管理', '栄養', '士', '、', '調理', '師', '、', '看護', '師', '、', '教員', 'ら', 'だ', '。', '年', 'に', '数', '回', '例会', 'を', '開き', '、', '食育', 'の', '大切', 'さ', 'に', 'つい', 'て', 'の', '認識', 'を', '深め']","['調理', '師']",YES,調理師,NO,NO
2,調理師,ＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＳ十一ＴＡＥＧＵ，ＫＯＲＥＡルネッサンス（韓国・大邱）プロの調理師が顧客第一主義で築き上げた本格派洋食店一流のホテルなどで調理畑を二十年も経験すると「おれ,"['ＡＳＩＡＮＲＥＳＴＡＵＲＡＮＴＳ', '十', '一', 'ＴＡＥＧＵ', '，', 'ＫＯＲＥＡ', 'ルネッサンス', '（', '韓国', '・', '大邱', '）', 'プロ', 'の', '調理', '師', 'が', '顧客', '第', '一', '主義', 'で', '築き上げ', 'た', '本格', '派', '洋食', '店', '一流', 'の', 'ホテル', 'など', 'で', '調理', '畑', 'を', '二十', '年', 'も', '経験', 'する', 'と', '「', 'おれ']","['調理', '師']",YES,調理師,NO,NO
3,調理師,Ｘが３拍以上のものにも語例が多いもの（例：庭師、針師；ペテン師、調理師）。さて、Ｙが３拍の複合語の場合の、ア核の位置の例外について,"['Ｘ', 'が', '３', '拍', '以上', 'の', 'もの', 'に', 'も', '語例', 'が', '多い', 'もの', '（', '例', '：', '庭師', '、', '針', '師', '；', 'ペテン', '師', '、', '調理', '師', '）', '。', 'さて', '、', 'Ｙ', 'が', '３', '拍', 'の', '複合', '語', 'の', '場合', 'の', '、', 'ア', '核', 'の', '位置', 'の', '例外', 'に', 'つい', 'て']","['調理', '師']",YES,調理師,NO,NO
4,調理師,を運営し、職業紹介、求人情報の提供を行うほか、講習会（パソコン、ホームヘルパー、簿記、調理師）、各種相談、日常生活支援なども実施しています。問合せ天王寺区母と子の共励会事務局区民企画担当☎,"['を', '運営', 'し', '、', '職業', '紹介', '、', '求人', '情報', 'の', '提供', 'を', '行う', 'ほか', '、', '講習', '会', '（', 'パソコン', '、', 'ホーム', 'ヘルパー', '、', '簿記', '、', '調理', '師', '）', '、', '各種', '相談', '、', '日常', '生活', '支援', 'など', 'も', '実施', 'し', 'て', 'い', 'ます', '。', '問合せ', '天王寺', '区', '母', 'と', '子', 'の', '共励', '会', '事務', '局', '区民', '企画', '担当', '☎']","['調理', '師']",YES,調理師,NO,NO
5,調理師,大切さが分からないまま、店をやってしまうからです。私の店から独立した調理師は、もう何人もいます。彼らは、外のこと、お客さまの大切さを、,"['大切', 'さ', 'が', '分から', 'ない', 'まま', '、', '店', 'を', 'やっ', 'て', 'しまう', 'から', 'です', '。', '私', 'の', '店', 'から', '独立', 'し', 'た', '調理', '師', 'は', '、', 'もう', '何', '人', 'も', 'い', 'ます', '。', '彼', 'ら', 'は', '、', '外', 'の', 'こと', '、', 'お', '客', 'さま', 'の', '大切', 'さ', 'を', '、']","['調理', '師']",YES,調理師,NO,NO
6,調理師,６）障害による資格制限の見直し平成５年の精神保健法等の改正により，栄養士，診療放射線技師，調理師，製菓衛生士等の免許の取得に当たって，従来，精神障害者であることを絶対的欠格事由としていたもの,"['６', '）', '障害', 'に', 'よる', '資格', '制限', 'の', '見直し', '平成', '５', '年', 'の', '精神', '保健', '法', '等', 'の', '改正', 'に', 'より', '，', '栄養', '士', '，', '診療', '放射', '線', '技師', '，', '調理', '師', '，', '製菓', '衛生', '士', '等', 'の', '免許', 'の', '取得', 'に', '当たっ', 'て', '，', '従来', '，', '精神', '障害', '者', 'で', 'ある', 'こと', 'を', '絶対', '的', '欠格', '事由', 'と', 'し', 'て', 'い', 'た', 'もの']","['調理', '師']",YES,調理師,NO,NO
7,調理師,ように蒼白した。「エリカさん」「何でもないわ。そいつ、看護婦じゃなくて調理師なの？」「一応、医療ではなく食事関係ですね」座木は嘘は吐か,"['よう', 'に', '蒼白', 'し', 'た', '。', '「', 'エリカ', 'さん', '」', '「', '何', 'で', 'も', 'ない', 'わ', '。', 'そいつ', '、', '看護', '婦', 'じゃ', 'なく', 'て', '調理', '師', 'な', 'の', '？', '」', '「', '一応', '、', '医療', 'で', 'は', 'なく', '食事', '関係', 'です', 'ね', '」', '座木', 'は', '嘘', 'は', '吐か']","['調理', '師']",YES,調理師,NO,NO
8,調理師,）障害による資格制限の見直し平成５年の精神保健法等の改正により，栄養士，診療放射線技師，調理師，製菓衛生師等の免許の取得に当たって，従来，精神障害者であることを絶対的欠格事由としていたもの,"['）', '障害', 'に', 'よる', '資格', '制限', 'の', '見直し', '平成', '５', '年', 'の', '精神', '保健', '法', '等', 'の', '改正', 'に', 'より', '，', '栄養', '士', '，', '診療', '放射', '線', '技師', '，', '調理', '師', '，', '製菓', '衛生', '師', '等', 'の', '免許', 'の', '取得', 'に', '当たっ', 'て', '，', '従来', '，', '精神', '障害', '者', 'で', 'ある', 'こと', 'を', '絶対', '的', '欠格', '事由', 'と', 'し', 'て', 'い', 'た', 'もの']","['調理', '師']",YES,調理師,NO,NO
9,調理師,食事をこう言って、最初まったく手をつけようとしなかった。食事は学園の調理師が栄養のバランスを考えてつくるのだが、「こんなのいらねー」と料理に,"['食事', 'を', 'こう', '言っ', 'て', '、', '最初', 'まったく', '手', 'を', 'つけよう', 'と', 'し', 'なかっ', 'た', '。', '食事', 'は', '学園', 'の', '調理', '師', 'が', '栄養', 'の', 'バランス', 'を', '考え', 'て', 'つくる', 'の', 'だ', 'が', '、', '「', 'こんな', 'の', 'いら', 'ねー', '」', 'と', '料理', 'に']","['調理', '師']",YES,調理師,NO,NO
