,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,退院,んです」と涙ぐみながら繰り返し話す（図４‐２）．母親の強い希望により，退院まで付き添いをすることになった．図４‐２混乱する家族６．今後の治療方針,"['ん', 'です', '」', 'と', '涙ぐみ', 'ながら', '繰り返し', '話す', '（', '図', '４', '‐', '２', '）', '．', '母親', 'の', '強い', '希望', 'に', 'より', '，', '退院', 'まで', '付き添い', 'を', 'する', 'こと', 'に', 'なっ', 'た', '．', '図', '４', '‐', '２', '混乱', 'する', '家族', '６', '．', '今後', 'の', '治療', '方針']",['退院'],NO,退院,NO,NO
1,退院,額の半分を返礼。しかし、病気見舞いに関しては礼状だけでもよいと思います。退院の際、見舞いを戴いた方々へ、返礼の品物（例えば、石鹸・洗剤の詰め合わせ）,"['額', 'の', '半分', 'を', '返礼', '。', 'しかし', '、', '病気', '見舞い', 'に', '関し', 'て', 'は', '礼状', 'だけ', 'で', 'も', 'よい', 'と', '思い', 'ます', '。', '退院', 'の', '際', '、', '見舞い', 'を', '戴い', 'た', '方々', 'へ', '、', '返礼', 'の', '品物', '（', '例えば', '、', '石鹸', '・', '洗剤', 'の', '詰め合わせ', '）']",['退院'],NO,退院,NO,NO
2,退院,退院１週間後外来にて診察（以後は約２〜３週間後，約１か月後と間隔をあけて状態を見る）退院２か月後眼鏡，コンタクトレンズ処方表２‐２白内障手術の安静度の例図２‐２白内障手術,"['退院', '１', '週間', '後', '外来', 'にて', '診察', '（', '以後', 'は', '約', '２', '〜', '３', '週間', '後', '，', '約', '１', 'か月', '後', 'と', '間隔', 'を', 'あけ', 'て', '状態', 'を', '見る', '）', '退院', '２', 'か月', '後', '眼鏡', '，', 'コンタクト', 'レンズ', '処方', '表', '２', '‐', '２', '白', '内障', '手術', 'の', '安静', '度', 'の', '例', '図', '２', '‐', '２', '白', '内障', '手術']",['退院'],NO,退院,NO,NO
3,退院,退院１週間後外来にて診察（以後は約２〜３週間後，約１か月後と間隔をあけて状態を見る）退院２か月後眼鏡，コンタクトレンズ処方表２‐２白内障手術の安静度の例図２‐２白内障手術,"['退院', '１', '週間', '後', '外来', 'にて', '診察', '（', '以後', 'は', '約', '２', '〜', '３', '週間', '後', '，', '約', '１', 'か月', '後', 'と', '間隔', 'を', 'あけ', 'て', '状態', 'を', '見る', '）', '退院', '２', 'か月', '後', '眼鏡', '，', 'コンタクト', 'レンズ', '処方', '表', '２', '‐', '２', '白', '内障', '手術', 'の', '安静', '度', 'の', '例', '図', '２', '‐', '２', '白', '内障', '手術']",['退院'],NO,退院,NO,NO
4,退院,と、返事をしていたのですが」しかし、ついに病名を知らされることなく退院の日を迎えた。ただ、ある日、医師が書いていたカルテをのぞき込んだ,"['と', '、', '返事', 'を', 'し', 'て', 'い', 'た', 'の', 'です', 'が', '」', 'しかし', '、', 'ついに', '病名', 'を', '知らさ', 'れる', 'こと', 'なく', '退院', 'の', '日', 'を', '迎え', 'た', '。', 'ただ', '、', 'ある', '日', '、', '医師', 'が', '書い', 'て', 'い', 'た', 'カルテ', 'を', 'のぞき込ん', 'だ']",['退院'],NO,退院,NO,NO
5,退院,娘が産まれました。まだ母子共に退院は４日後ですが、家の掃除が気になって仕方ないです。毎日帰宅後掃除機掛け,"['娘', 'が', '産まれ', 'まし', 'た', '。', 'まだ', '母', '子共', 'に', '退院', 'は', '４', '日', '後', 'です', 'が', '、', '家', 'の', '掃除', 'が', '気', 'に', 'なっ', 'て', '仕方ない', 'です', '。', '毎日', '帰宅', '後', '掃除', '機', '掛け']",['退院'],NO,退院,NO,NO
6,退院,ません。快気祝いは退院してからでしょうか？完治してからですか？いまのところ退院の予定はありません。退院してからでいいと思います。もし、長期にわたって,"['ませ', 'ん', '。', '快気', '祝い', 'は', '退院', 'し', 'て', 'から', 'でしょう', 'か', '？', '完治', 'し', 'て', 'から', 'です', 'か', '？', 'いま', 'の', 'ところ', '退院', 'の', '予定', 'は', 'あり', 'ませ', 'ん', '。', '退院', 'し', 'て', 'から', 'で', 'いい', 'と', '思い', 'ます', '。', 'もし', '、', '長期', 'に', 'わたっ', 'て']",['退院'],NO,退院,NO,NO
7,退院,ません。快気祝いは退院してからでしょうか？完治してからですか？いまのところ退院の予定はありません。退院してからでいいと思います。もし、長期にわたって,"['ませ', 'ん', '。', '快気', '祝い', 'は', '退院', 'し', 'て', 'から', 'でしょう', 'か', '？', '完治', 'し', 'て', 'から', 'です', 'か', '？', 'いま', 'の', 'ところ', '退院', 'の', '予定', 'は', 'あり', 'ませ', 'ん', '。', '退院', 'し', 'て', 'から', 'で', 'いい', 'と', '思い', 'ます', '。', 'もし', '、', '長期', 'に', 'わたっ', 'て']",['退院'],NO,退院,NO,NO
8,退院,ません。快気祝いは退院してからでしょうか？完治してからですか？いまのところ退院の予定はありません。退院してからでいいと思います。もし、長期にわたって,"['ませ', 'ん', '。', '快気', '祝い', 'は', '退院', 'し', 'て', 'から', 'でしょう', 'か', '？', '完治', 'し', 'て', 'から', 'です', 'か', '？', 'いま', 'の', 'ところ', '退院', 'の', '予定', 'は', 'あり', 'ませ', 'ん', '。', '退院', 'し', 'て', 'から', 'で', 'いい', 'と', '思い', 'ます', '。', 'もし', '、', '長期', 'に', 'わたっ', 'て']",['退院'],NO,退院,NO,NO
9,退院,だけでいいですよね？私は出産と自分の入院に必要な物と、退院に私が必要な物と赤ちゃんの物とを、２つに分けていました。,"['だけ', 'で', 'いい', 'です', 'よ', 'ね', '？', '私', 'は', '出産', 'と', '自分', 'の', '入院', 'に', '必要', 'な', '物', 'と', '、', '退院', 'に', '私', 'が', '必要', 'な', '物', 'と', '赤ちゃん', 'の', '物', 'と', 'を', '、', '２', 'つ', 'に', '分け', 'て', 'い', 'まし', 'た', '。']",['退院'],NO,退院,NO,NO
10,退院,他の血管の働きに期待し、手術をせず今に至ってます。が、退院から現在まで時折、めまい、息切れ、軽い頭痛があります。このまま慣れるに任せる,"['他', 'の', '血管', 'の', '働き', 'に', '期待', 'し', '、', '手術', 'を', 'せ', 'ず', '今', 'に', '至っ', 'て', 'ます', '。', 'が', '、', '退院', 'から', '現在', 'まで', '時折', '、', 'めまい', '、', '息切れ', '、', '軽い', '頭痛', 'が', 'あり', 'ます', '。', 'この', 'まま', '慣れる', 'に', '任せる']",['退院'],NO,退院,NO,NO
11,退院,来なくていい」と言って何だか寂しそうです。母の唯一の友達は明日退院です。母は退院はまだ先の話なのでどうしたらいいでしょうか？もと病院スタッフです,"['来', 'なく', 'て', 'いい', '」', 'と', '言っ', 'て', '何', 'だ', 'か', '寂し', 'そう', 'です', '。', '母', 'の', '唯一', 'の', '友達', 'は', '明日', '退院', 'です', '。', '母', 'は', '退院', 'は', 'まだ', '先', 'の', '話', 'な', 'の', 'で', 'どう', 'し', 'たら', 'いい', 'でしょう', 'か', '？', 'もと', '病院', 'スタッフ', 'です']",['退院'],NO,退院,NO,NO
12,退院,来なくていい」と言って何だか寂しそうです。母の唯一の友達は明日退院です。母は退院はまだ先の話なのでどうしたらいいでしょうか？もと病院スタッフです,"['来', 'なく', 'て', 'いい', '」', 'と', '言っ', 'て', '何', 'だ', 'か', '寂し', 'そう', 'です', '。', '母', 'の', '唯一', 'の', '友達', 'は', '明日', '退院', 'です', '。', '母', 'は', '退院', 'は', 'まだ', '先', 'の', '話', 'な', 'の', 'で', 'どう', 'し', 'たら', 'いい', 'でしょう', 'か', '？', 'もと', '病院', 'スタッフ', 'です']",['退院'],NO,退院,NO,NO
13,退院,２‐２に示した．表２‐１白内障手術のスケジュール例（両眼の手術決定から退院まで）入院前（外来にて）手術前検査（心電図，採血，採尿，胸部Ｘ線撮影等）看護師による入院説明,"['２', '‐', '２', 'に', '示し', 'た', '．', '表', '２', '‐', '１', '白', '内障', '手術', 'の', 'スケジュール', '例', '（', '両眼', 'の', '手術', '決定', 'から', '退院', 'まで', '）', '入院', '前', '（', '外来', 'にて', '）', '手術', '前', '検査', '（', '心電', '図', '，', '採血', '，', '採尿', '，', '胸部', 'Ｘ', '線', '撮影', '等', '）', '看護', '師', 'に', 'よる', '入院', '説明']",['退院'],NO,退院,NO,NO
14,退院,を伝え納得してもらいました。ボケは良くならないのですが、脳出血は良くなり退院となりました。［退院後］自宅に帰り奥さんが一人で介護をしてい,"['を', '伝え', '納得', 'し', 'て', 'もらい', 'まし', 'た', '。', 'ボケ', 'は', '良く', 'なら', 'ない', 'の', 'です', 'が', '、', '脳', '出血', 'は', '良く', 'なり', '退院', 'と', 'なり', 'まし', 'た', '。', '［', '退院', '後', '］', '自宅', 'に', '帰り', '奥', 'さん', 'が', '一人', 'で', '介護', 'を', 'し', 'て', 'い']",['退院'],NO,退院,NO,NO
15,退院,を伝え納得してもらいました。ボケは良くならないのですが、脳出血は良くなり退院となりました。［退院後］自宅に帰り奥さんが一人で介護をしてい,"['を', '伝え', '納得', 'し', 'て', 'もらい', 'まし', 'た', '。', 'ボケ', 'は', '良く', 'なら', 'ない', 'の', 'です', 'が', '、', '脳', '出血', 'は', '良く', 'なり', '退院', 'と', 'なり', 'まし', 'た', '。', '［', '退院', '後', '］', '自宅', 'に', '帰り', '奥', 'さん', 'が', '一人', 'で', '介護', 'を', 'し', 'て', 'い']",['退院'],NO,退院,NO,NO
16,退院,ていた何人かの顔を想い浮かべて、昔なら仇討ちものだと思った。２退院二月十二日ダディがもしほんとうにこのままだめなものであるなら、と先日から、,"['て', 'い', 'た', '何', '人', 'か', 'の', '顔', 'を', '想い浮かべ', 'て', '、', '昔', 'なら', '仇討ち', 'もの', 'だ', 'と', '思っ', 'た', '。', '２', '退院', '二', '月', '十', '二', '日', 'ダディ', 'が', 'もし', 'ほんとう', 'に', 'この', 'まま', 'だめ', 'な', 'もの', 'で', 'ある', 'なら', '、', 'と', '先日', 'から', '、']",['退院'],NO,退院,NO,NO
17,退院,でも、運はまだ少し残っていたようで、命を助けていただき、五十歳で退院！私の足も手術をせずに私の体にしっかりと付いている。,"['で', 'も', '、', '運', 'は', 'まだ', '少し', '残っ', 'て', 'い', 'た', 'よう', 'で', '、', '命', 'を', '助け', 'て', 'いただき', '、', '五十', '歳', 'で', '退院', '！', '私', 'の', '足', 'も', '手術', 'を', 'せ', 'ず', 'に', '私', 'の', '体', 'に', 'しっかり', 'と', '付い', 'て', 'いる', '。']",['退院'],NO,退院,NO,NO
