,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,音楽家,家庭の団らんを持ち、年に一度か二度演奏会を開かれていた。時には音楽家を招いての演奏会になることもあった。秋篠宮さまが紀子さまとご結婚されてからは,"['家庭', 'の', '団らん', 'を', '持ち', '、', '年', 'に', '一', '度', 'か', '二', '度', '演奏', '会', 'を', '開か', 'れ', 'て', 'い', 'た', '。', '時', 'に', 'は', '音楽', '家', 'を', '招い', 'て', 'の', '演奏', '会', 'に', 'なる', 'こと', 'も', 'あっ', 'た', '。', '秋篠宮', 'さま', 'が', '紀子', 'さま', 'と', 'ご', '結婚', 'さ', 'れ', 'て', 'から', 'は']","['音楽', '家']",YES,音楽家,NO,NO
1,音楽家,が必要である。言うまでもなく、環は幅広い思想の持ち主だった。ぼくはいろいろな音楽家と仕事をしたが、環ほど芸術家としてばかりでなく人間的にも尊敬の念を,"['が', '必要', 'で', 'ある', '。', '言う', 'まで', 'も', 'なく', '、', '環', 'は', '幅広い', '思想', 'の', '持ち主', 'だっ', 'た', '。', 'ぼく', 'は', 'いろいろ', 'な', '音楽', '家', 'と', '仕事', 'を', 'し', 'た', 'が', '、', '環', 'ほど', '芸術', '家', 'と', 'し', 'て', 'ばかり', 'で', 'なく', '人間', '的', 'に', 'も', '尊敬', 'の', '念', 'を']","['音楽', '家']",YES,音楽家,NO,NO
2,音楽家,はドゥガの絵と軌を一にしている上に、オーケストラ席の中にいる四人の音楽家が、一つの矩形を形成するよう配置されている点でも、正にドゥガの《オーケストラ,"['は', 'ドゥガ', 'の', '絵', 'と', '軌', 'を', '一', 'に', 'し', 'て', 'いる', '上', 'に', '、', 'オーケストラ', '席', 'の', '中', 'に', 'いる', '四', '人', 'の', '音楽', '家', 'が', '、', '一', 'つ', 'の', '矩形', 'を', '形成', 'する', 'よう', '配置', 'さ', 'れ', 'て', 'いる', '点', 'で', 'も', '、', '正に', 'ドゥガ', 'の', '《', 'オーケストラ']","['音楽', '家']",YES,音楽家,NO,NO
3,音楽家,た演奏家は出てこまい。ホロヴィッツはかつての時代へのノスタルジーを象徴する唯ひとりの音楽家として生き残っていた人である。彼を最初にレコードで聞いたのは小学生の,"['た', '演奏', '家', 'は', '出', 'て', 'こまい', '。', 'ホロヴィッツ', 'は', 'かつて', 'の', '時代', 'へ', 'の', 'ノスタルジー', 'を', '象徴', 'する', '唯', 'ひとり', 'の', '音楽', '家', 'と', 'し', 'て', '生き残っ', 'て', 'い', 'た', '人', 'で', 'ある', '。', '彼', 'を', '最初', 'に', 'レコード', 'で', '聞い', 'た', 'の', 'は', '小学', '生', 'の']","['音楽', '家']",YES,音楽家,NO,NO
4,音楽家,利用になります。問中央図書館市駅前サテライト☎０５０・７１０２・３１００、ＦＡＸ八百四十三．二三二二音楽枚方市民憲章普及啓発事業■■■■・■■■■コンサート枚方出身の二人の音楽家が奏でるコンサート。大阪フィルハーモニー交響楽団チェロ首席奏者として国際的に活躍する■■■■さん（写真右）と、フライブルク音楽大学で学ぶピアニスト・■■■■さん（,"['利用', 'に', 'なり', 'ます', '。', '問', '中央', '図書', '館', '市', '駅前', 'サテライト', '☎', '０５０', '・', '７１０２', '・', '３１００', '、', 'ＦＡＸ', '八百', '四十', '三', '．', '二', '三', '二', '二', '音楽', '枚方', '市民', '憲章', '普及', '啓発', '事業', '■', '■', '■', '■', '・', '■', '■', '■', '■', 'コンサート', '枚方', '出身', 'の', '二人', 'の', '音楽', '家', 'が', '奏でる', 'コンサート', '。', '大阪', 'フィルハーモニー', '交響', '楽団', 'チェロ', '首席', '奏者', 'と', 'し', 'て', '国際', '的', 'に', '活躍', 'する', '■', '■', '■', '■', 'さん', '（', '写真', '右', '）', 'と', '、', 'フライブルク', '音楽', '大学', 'で', '学ぶ', 'ピアニスト', '・', '■', '■', '■', '■', 'さん', '（']","['音楽', '家']",YES,音楽家,NO,NO
5,音楽家,。少し前までは、気持ちが、沈んでいたのに。ラルフ・ベッカーは、偉大な音楽家だわ。わたくし、お会いしたく思います」ジェニファ「い、偉大な音楽家。そ,"['。', '少し', '前', 'まで', 'は', '、', '気持ち', 'が', '、', '沈ん', 'で', 'い', 'た', 'の', 'に', '。', 'ラルフ', '・', 'ベッカー', 'は', '、', '偉大', 'な', '音楽', '家', 'だ', 'わ', '。', 'わたくし', '、', 'お', '会い', 'し', 'たく', '思い', 'ます', '」', 'ジェニファ', '「', 'い', '、', '偉大', 'な', '音楽', '家', '。', 'そ']","['音楽', '家']",YES,音楽家,NO,NO
6,音楽家,。少し前までは、気持ちが、沈んでいたのに。ラルフ・ベッカーは、偉大な音楽家だわ。わたくし、お会いしたく思います」ジェニファ「い、偉大な音楽家。そ,"['。', '少し', '前', 'まで', 'は', '、', '気持ち', 'が', '、', '沈ん', 'で', 'い', 'た', 'の', 'に', '。', 'ラルフ', '・', 'ベッカー', 'は', '、', '偉大', 'な', '音楽', '家', 'だ', 'わ', '。', 'わたくし', '、', 'お', '会い', 'し', 'たく', '思い', 'ます', '」', 'ジェニファ', '「', 'い', '、', '偉大', 'な', '音楽', '家', '。', 'そ']","['音楽', '家']",YES,音楽家,NO,NO
7,音楽家,当時、雑誌『広告』（博報堂）の編集長をしていた池田正昭は、イベントの打ち上げパーティーで音楽家の坂本龍一から声をかけられた。「アースデーは年に一日しかないけど、,"['当時', '、', '雑誌', '『', '広告', '』', '（', '博報', '堂', '）', 'の', '編集', '長', 'を', 'し', 'て', 'い', 'た', '池田', '正昭', 'は', '、', 'イベント', 'の', '打ち上げ', 'パーティー', 'で', '音楽', '家', 'の', '坂本', '龍一', 'から', '声', 'を', 'かけ', 'られ', 'た', '。', '「', 'アース', 'デー', 'は', '年', 'に', '一', '日', 'しか', 'ない', 'けど', '、']","['音楽', '家']",YES,音楽家,NO,NO
8,音楽家,は甚だ大きい彼以降の音楽家は大なり小なり彼の影響を受けているベートーヴェン以前の音楽家は宮廷や有力貴族に仕え作品は公式・私的行事における機会音楽として作曲されたものがほとんど,"['は', '甚だ', '大きい', '彼', '以降', 'の', '音楽', '家', 'は', '大なり', '小', 'なり', '彼', 'の', '影響', 'を', '受け', 'て', 'いる', 'ベートーヴェン', '以前', 'の', '音楽', '家', 'は', '宮廷', 'や', '有力', '貴族', 'に', '仕え', '作品', 'は', '公式', '・', '私的', '行事', 'に', 'おけ', 'る', '機会', '音楽', 'と', 'し', 'て', '作曲', 'さ', 'れ', 'た', 'もの', 'が', 'ほとんど']","['音楽', '家']",YES,音楽家,NO,NO
9,音楽家,は甚だ大きい彼以降の音楽家は大なり小なり彼の影響を受けているベートーヴェン以前の音楽家は宮廷や有力貴族に仕え作品は公式・私的行事における機会音楽として作曲されたものがほとんど,"['は', '甚だ', '大きい', '彼', '以降', 'の', '音楽', '家', 'は', '大なり', '小', 'なり', '彼', 'の', '影響', 'を', '受け', 'て', 'いる', 'ベートーヴェン', '以前', 'の', '音楽', '家', 'は', '宮廷', 'や', '有力', '貴族', 'に', '仕え', '作品', 'は', '公式', '・', '私的', '行事', 'に', 'おけ', 'る', '機会', '音楽', 'と', 'し', 'て', '作曲', 'さ', 'れ', 'た', 'もの', 'が', 'ほとんど']","['音楽', '家']",YES,音楽家,NO,NO
