,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,飛行場,わしさんです。三保の飛行場に行って見ました。三保はのんびりするのに良いところです。小さな飛行機も飛んでいる,"['わし', 'さん', 'です', '。', '三保', 'の', '飛行', '場', 'に', '行っ', 'て', '見', 'まし', 'た', '。', '三保', 'は', 'のんびり', 'する', 'の', 'に', '良い', 'ところ', 'です', '。', '小さな', '飛行', '機', 'も', '飛ん', 'で', 'いる']","['飛行', '場']",YES,飛行場,NO,NO
1,飛行場,二十七日環境庁告示第百五十四号）を昭和五十八年までに完全に達成すること。イ国は，本空港を飛行場として使用中は適時被害の実情を把握し，防音工事助成区域及び対象建築物の指定を適正に改めること。,"['二十', '七', '日', '環境', '庁', '告示', '第', '百', '五十', '四', '号', '）', 'を', '昭和', '五十', '八', '年', 'まで', 'に', '完全', 'に', '達成', 'する', 'こと', '。', 'イ', '国', 'は', '，', '本', '空港', 'を', '飛行', '場', 'と', 'し', 'て', '使用', '中', 'は', '適時', '被害', 'の', '実情', 'を', '把握', 'し', '，', '防音', '工事', '助成', '区域', '及び', '対象', '建築', '物', 'の', '指定', 'を', '適正', 'に', '改める', 'こと', '。']","['飛行', '場']",YES,飛行場,NO,NO
2,飛行場,，軍事行動等によって推測するしかない。敵対的国家が国境に軍隊を集結させたり，軍港や軍の飛行場に艦船や航空機を集結させたり，ミサイルの発射準備をするなどして臨戦態勢にある,"['，', '軍事', '行動', '等', 'に', 'よっ', 'て', '推測', 'する', 'しか', 'ない', '。', '敵対', '的', '国家', 'が', '国境', 'に', '軍隊', 'を', '集結', 'さ', 'せ', 'たり', '，', '軍港', 'や', '軍', 'の', '飛行', '場', 'に', '艦船', 'や', '航空', '機', 'を', '集結', 'さ', 'せ', 'たり', '，', 'ミサイル', 'の', '発射', '準備', 'を', 'する', 'など', 'し', 'て', '臨戦', '態勢', 'に', 'ある']","['飛行', '場']",YES,飛行場,NO,NO
3,飛行場,いた。メジャーリーガーの場合、移動は全席ファーストクラスのチャーター機である。たいてい２時間後には最寄の飛行場から専用機で翌日のゲーム地に移動するのが一般的だ。これは各航空機会社と球団が,"['い', 'た', '。', 'メジャー', 'リーガー', 'の', '場合', '、', '移動', 'は', '全席', 'ファースト', 'クラス', 'の', 'チャーター', '機', 'で', 'ある', '。', 'たいてい', '２', '時間', '後', 'に', 'は', '最寄', 'の', '飛行', '場', 'から', '専用', '機', 'で', '翌日', 'の', 'ゲーム', '地', 'に', '移動', 'する', 'の', 'が', '一般', '的', 'だ', '。', 'これ', 'は', '各', '航空', '機', '会社', 'と', '球団', 'が']","['飛行', '場']",YES,飛行場,NO,NO
4,飛行場,飛行場いくのに指定席料金はおかしくないですか？指定席だから安心できます。会社に行くの,"['飛行', '場', 'いく', 'の', 'に', '指定', '席料', '金', 'は', 'おかしく', 'ない', 'です', 'か', '？', '指定', '席', 'だ', 'から', '安心', 'でき', 'ます', '。', '会社', 'に', '行く', 'の']","['飛行', '場']",YES,飛行場,NO,NO
5,飛行場,銀河）、第三飛行隊（夜間戦闘機彗星、および偵察機彩雲）が配備された。滑走路を越えた飛行場の西側は、第一、第二相模野海軍航空隊（教育整備隊）の建物が見える。相模野空は、昭和十六年,"['銀河', '）', '、', '第', '三', '飛行', '隊', '（', '夜間', '戦闘', '機', '彗星', '、', 'および', '偵察', '機', '彩雲', '）', 'が', '配備', 'さ', 'れ', 'た', '。', '滑走', '路', 'を', '越え', 'た', '飛行', '場', 'の', '西側', 'は', '、', '第', '一', '、', '第', '二', '相模', '野', '海軍', '航空', '隊', '（', '教育', '整備', '隊', '）', 'の', '建物', 'が', '見える', '。', '相模', '野', '空', 'は', '、', '昭和', '十', '六', '年']","['飛行', '場']",YES,飛行場,NO,NO
6,飛行場,のは有り難いみたいな話で、アメリカの外圧で開いてもらいたいんだ、どこかの飛行場でも。結局、成田があのていたらくですから、だから私が亀井君と諮って、,"['の', 'は', '有り難い', 'みたい', 'な', '話', 'で', '、', 'アメリカ', 'の', '外圧', 'で', '開い', 'て', 'もらい', 'たい', 'ん', 'だ', '、', 'どこ', 'か', 'の', '飛行', '場', 'で', 'も', '。', '結局', '、', '成田', 'が', 'あの', 'ていたらく', 'です', 'から', '、', 'だ', 'から', '私', 'が', '亀井', '君', 'と', '諮っ', 'て', '、']","['飛行', '場']",YES,飛行場,NO,NO
7,飛行場,着手し、平成二十年度に完成する予定でございます。この目的は、騒音の問題、それから飛行場の運用、安全の問題を勘案しまして、米軍の駐留を円滑化するとともに飛行場の安定的使用,"['着手', 'し', '、', '平成', '二十', '年度', 'に', '完成', 'する', '予定', 'で', 'ござい', 'ます', '。', 'この', '目的', 'は', '、', '騒音', 'の', '問題', '、', 'それ', 'から', '飛行', '場', 'の', '運用', '、', '安全', 'の', '問題', 'を', '勘案', 'し', 'まし', 'て', '、', '米軍', 'の', '駐留', 'を', '円滑', '化', 'する', 'と', 'とも', 'に', '飛行', '場', 'の', '安定', '的', '使用']","['飛行', '場']",YES,飛行場,NO,NO
8,飛行場,着手し、平成二十年度に完成する予定でございます。この目的は、騒音の問題、それから飛行場の運用、安全の問題を勘案しまして、米軍の駐留を円滑化するとともに飛行場の安定的使用,"['着手', 'し', '、', '平成', '二十', '年度', 'に', '完成', 'する', '予定', 'で', 'ござい', 'ます', '。', 'この', '目的', 'は', '、', '騒音', 'の', '問題', '、', 'それ', 'から', '飛行', '場', 'の', '運用', '、', '安全', 'の', '問題', 'を', '勘案', 'し', 'まし', 'て', '、', '米軍', 'の', '駐留', 'を', '円滑', '化', 'する', 'と', 'とも', 'に', '飛行', '場', 'の', '安定', '的', '使用']","['飛行', '場']",YES,飛行場,NO,NO
9,飛行場,雪のしぶきをあげ、やがてよろめいて停止した。悲壮な情況を迎えようとしている飛行場に、またしても壊れた飛行機が一機増えた。機体が炎上しなかったこと,"['雪', 'の', 'しぶき', 'を', 'あげ', '、', 'やがて', 'よろめい', 'て', '停止', 'し', 'た', '。', '悲壮', 'な', '情況', 'を', '迎えよう', 'と', 'し', 'て', 'いる', '飛行', '場', 'に', '、', 'また', 'し', 'て', 'も', '壊れ', 'た', '飛行', '機', 'が', '一', '機', '増え', 'た', '。', '機体', 'が', '炎上', 'し', 'なかっ', 'た', 'こと']","['飛行', '場']",YES,飛行場,NO,NO
