,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,駐輪場,１アパートの駐輪場にオートバイを停め、ヒカルは思いきって訊いた。「金はありますか」,"['１', 'アパート', 'の', '駐輪', '場', 'に', 'オートバイ', 'を', '停め', '、', 'ヒカル', 'は', '思いきっ', 'て', '訊い', 'た', '。', '「', '金', 'は', 'あり', 'ます', 'か', '」']","['駐輪', '場']",YES,駐輪場,NO,NO
1,駐輪場,たつだけでお客さんの足が遠のき、売上にも響くことでしょう。そうした駐輪場を全面的に管理するシステムをつくったのが、日本コンピュータ・ダイナミクスです。一見ニッチなビジネスですが,"['た', 'つ', 'だけ', 'で', 'お', '客', 'さん', 'の', '足', 'が', '遠のき', '、', '売上', 'に', 'も', '響く', 'こと', 'でしょう', '。', 'そう', 'し', 'た', '駐輪', '場', 'を', '全面', '的', 'に', '管理', 'する', 'システム', 'を', 'つくっ', 'た', 'の', 'が', '、', '日本', 'コンピュータ', '・', 'ダイナミクス', 'です', '。', '一見', 'ニッチ', 'な', 'ビジネス', 'です', 'が']","['駐輪', '場']",YES,駐輪場,NO,NO
2,駐輪場,）十五歳、十四歳の彼氏と。悲惨だった。家の隣のマンションの、駐輪場みたいなところ。場所がなくて、若かったから。彼はやる気満々で、でも「,"['）', '十', '五', '歳', '、', '十', '四', '歳', 'の', '彼氏', 'と', '。', '悲惨', 'だっ', 'た', '。', '家', 'の', '隣', 'の', 'マンション', 'の', '、', '駐輪', '場', 'みたい', 'な', 'ところ', '。', '場所', 'が', 'なく', 'て', '、', '若かっ', 'た', 'から', '。', '彼', 'は', 'やる気', '満々', 'で', '、', 'で', 'も', '「']","['駐輪', '場']",YES,駐輪場,NO,NO
3,駐輪場,など、駐輪ひとつにたいへんな手間とコストを使っているのが現状です。安心して駐輪場に自転車を止められるとなれば、都心部のクルマも少しは減るかもしれません。そういう,"['など', '、', '駐輪', 'ひと', 'つ', 'に', 'たいへん', 'な', '手間', 'と', 'コスト', 'を', '使っ', 'て', 'いる', 'の', 'が', '現状', 'です', '。', '安心', 'し', 'て', '駐輪', '場', 'に', '自転', '車', 'を', '止め', 'られる', 'と', 'なれ', 'ば', '、', '都心', '部', 'の', 'クルマ', 'も', '少し', 'は', '減る', 'か', 'も', 'しれ', 'ませ', 'ん', '。', 'そう', 'いう']","['駐輪', '場']",YES,駐輪場,NO,NO
4,駐輪場,、鶴見駅西口駐輪場等の改修・修繕工事を行います。併せて引き続き、歩行者の安全確保のため、放置自転車の駐輪場への誘導や撤去等の対策を行います。【道路局、区役所地域振興課】〈指針Ⅱ,"['、', '鶴見', '駅', '西口', '駐輪', '場', '等', 'の', '改修', '・', '修繕', '工事', 'を', '行い', 'ます', '。', '併せ', 'て', '引き続き', '、', '歩行', '者', 'の', '安全', '確保', 'の', 'ため', '、', '放置', '自転', '車', 'の', '駐輪', '場', 'へ', 'の', '誘導', 'や', '撤去', '等', 'の', '対策', 'を', '行い', 'ます', '。', '【', '道路', '局', '、', '区', '役所', '地域', '振興', '課', '】', '〈', '指針', 'Ⅱ']","['駐輪', '場']",YES,駐輪場,NO,NO
5,駐輪場,、鶴見駅西口駐輪場等の改修・修繕工事を行います。併せて引き続き、歩行者の安全確保のため、放置自転車の駐輪場への誘導や撤去等の対策を行います。【道路局、区役所地域振興課】〈指針Ⅱ,"['、', '鶴見', '駅', '西口', '駐輪', '場', '等', 'の', '改修', '・', '修繕', '工事', 'を', '行い', 'ます', '。', '併せ', 'て', '引き続き', '、', '歩行', '者', 'の', '安全', '確保', 'の', 'ため', '、', '放置', '自転', '車', 'の', '駐輪', '場', 'へ', 'の', '誘導', 'や', '撤去', '等', 'の', '対策', 'を', '行い', 'ます', '。', '【', '道路', '局', '、', '区', '役所', '地域', '振興', '課', '】', '〈', '指針', 'Ⅱ']","['駐輪', '場']",YES,駐輪場,NO,NO
6,駐輪場,マンションの駐輪場に、猫が捨てられていました。飼う事ができないマンションです。放置しておい,"['マンション', 'の', '駐輪', '場', 'に', '、', '猫', 'が', '捨て', 'られ', 'て', 'い', 'まし', 'た', '。', '飼う', '事', 'が', 'でき', 'ない', 'マンション', 'です', '。', '放置', 'し', 'て', 'おい']","['駐輪', '場']",YES,駐輪場,NO,NO
7,駐輪場,、バイクの件は非常識ですから、管理会社に言いましょう！もしくは、来ている時に駐輪場に移動してもらいましょう。管理会社には現場を押さえて、言ってもらうといいと思います,"['、', 'バイク', 'の', '件', 'は', '非', '常識', 'です', 'から', '、', '管理', '会社', 'に', '言い', 'ましょう', '！', 'もしくは', '、', '来', 'て', 'いる', '時', 'に', '駐輪', '場', 'に', '移動', 'し', 'て', 'もらい', 'ましょう', '。', '管理', '会社', 'に', 'は', '現場', 'を', '押さえ', 'て', '、', '言っ', 'て', 'もらう', 'と', 'いい', 'と', '思い', 'ます']","['駐輪', '場']",YES,駐輪場,NO,NO
8,駐輪場,まで人通勤・通学で１カ月に十五日以上利用し、１午前７時以降に駐輪場を出発して午後８時までに駐輪場に到着できる方、または２午後５時以降に駐輪場を出発して翌午前９時までに駐輪場に到着できる,"['まで', '人', '通勤', '・', '通学', 'で', '１', 'カ月', 'に', '十', '五', '日', '以上', '利用', 'し', '、', '１', '午前', '７', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '午後', '８', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる', '方', '、', 'また', 'は', '２', '午後', '５', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '翌', '午前', '９', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる']","['駐輪', '場']",YES,駐輪場,NO,NO
9,駐輪場,まで人通勤・通学で１カ月に十五日以上利用し、１午前７時以降に駐輪場を出発して午後８時までに駐輪場に到着できる方、または２午後５時以降に駐輪場を出発して翌午前９時までに駐輪場に到着できる,"['まで', '人', '通勤', '・', '通学', 'で', '１', 'カ月', 'に', '十', '五', '日', '以上', '利用', 'し', '、', '１', '午前', '７', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '午後', '８', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる', '方', '、', 'また', 'は', '２', '午後', '５', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '翌', '午前', '９', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる']","['駐輪', '場']",YES,駐輪場,NO,NO
10,駐輪場,まで人通勤・通学で１カ月に十五日以上利用し、１午前７時以降に駐輪場を出発して午後８時までに駐輪場に到着できる方、または２午後５時以降に駐輪場を出発して翌午前９時までに駐輪場に到着できる,"['まで', '人', '通勤', '・', '通学', 'で', '１', 'カ月', 'に', '十', '五', '日', '以上', '利用', 'し', '、', '１', '午前', '７', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '午後', '８', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる', '方', '、', 'また', 'は', '２', '午後', '５', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '翌', '午前', '９', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる']","['駐輪', '場']",YES,駐輪場,NO,NO
11,駐輪場,まで人通勤・通学で１カ月に十五日以上利用し、１午前７時以降に駐輪場を出発して午後８時までに駐輪場に到着できる方、または２午後５時以降に駐輪場を出発して翌午前９時までに駐輪場に到着できる,"['まで', '人', '通勤', '・', '通学', 'で', '１', 'カ月', 'に', '十', '五', '日', '以上', '利用', 'し', '、', '１', '午前', '７', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '午後', '８', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる', '方', '、', 'また', 'は', '２', '午後', '５', '時', '以降', 'に', '駐輪', '場', 'を', '出発', 'し', 'て', '翌', '午前', '９', '時', 'まで', 'に', '駐輪', '場', 'に', '到着', 'できる']","['駐輪', '場']",YES,駐輪場,NO,NO
12,駐輪場,のカネが支給されるが、それだけではとても食べてはいけない。家計を維持するために、駐輪場で働いたり、野菜や雑貨を販売する商売をはじめたりなど、それぞれの方法で新しい,"['の', 'カネ', 'が', '支給', 'さ', 'れる', 'が', '、', 'それ', 'だけ', 'で', 'は', 'とても', '食べ', 'て', 'は', 'いけ', 'ない', '。', '家計', 'を', '維持', 'する', 'ため', 'に', '、', '駐輪', '場', 'で', '働い', 'たり', '、', '野菜', 'や', '雑貨', 'を', '販売', 'する', '商売', 'を', 'はじめ', 'たり', 'など', '、', 'それぞれ', 'の', '方法', 'で', '新しい']","['駐輪', '場']",YES,駐輪場,NO,NO
13,駐輪場,会社は、駐輪場の管理システムをつくっている企業です。上場は、ジャスダック市場です。いま駐輪場の管理は、いろいろな問題を抱えています。駅前商店街の駐輪場やスーパーの駐輪場,"['会社', 'は', '、', '駐輪', '場', 'の', '管理', 'システム', 'を', 'つくっ', 'て', 'いる', '企業', 'です', '。', '上場', 'は', '、', 'ジャスダック', '市場', 'です', '。', 'いま', '駐輪', '場', 'の', '管理', 'は', '、', 'いろいろ', 'な', '問題', 'を', '抱え', 'て', 'い', 'ます', '。', '駅前', '商店', '街', 'の', '駐輪', '場', 'や', 'スーパー', 'の', '駐輪', '場']","['駐輪', '場']",YES,駐輪場,NO,NO
14,駐輪場,会社は、駐輪場の管理システムをつくっている企業です。上場は、ジャスダック市場です。いま駐輪場の管理は、いろいろな問題を抱えています。駅前商店街の駐輪場やスーパーの駐輪場,"['会社', 'は', '、', '駐輪', '場', 'の', '管理', 'システム', 'を', 'つくっ', 'て', 'いる', '企業', 'です', '。', '上場', 'は', '、', 'ジャスダック', '市場', 'です', '。', 'いま', '駐輪', '場', 'の', '管理', 'は', '、', 'いろいろ', 'な', '問題', 'を', '抱え', 'て', 'い', 'ます', '。', '駅前', '商店', '街', 'の', '駐輪', '場', 'や', 'スーパー', 'の', '駐輪', '場']","['駐輪', '場']",YES,駐輪場,NO,NO
15,駐輪場,会社は、駐輪場の管理システムをつくっている企業です。上場は、ジャスダック市場です。いま駐輪場の管理は、いろいろな問題を抱えています。駅前商店街の駐輪場やスーパーの駐輪場,"['会社', 'は', '、', '駐輪', '場', 'の', '管理', 'システム', 'を', 'つくっ', 'て', 'いる', '企業', 'です', '。', '上場', 'は', '、', 'ジャスダック', '市場', 'です', '。', 'いま', '駐輪', '場', 'の', '管理', 'は', '、', 'いろいろ', 'な', '問題', 'を', '抱え', 'て', 'い', 'ます', '。', '駅前', '商店', '街', 'の', '駐輪', '場', 'や', 'スーパー', 'の', '駐輪', '場']","['駐輪', '場']",YES,駐輪場,NO,NO
16,駐輪場,会社は、駐輪場の管理システムをつくっている企業です。上場は、ジャスダック市場です。いま駐輪場の管理は、いろいろな問題を抱えています。駅前商店街の駐輪場やスーパーの駐輪場,"['会社', 'は', '、', '駐輪', '場', 'の', '管理', 'システム', 'を', 'つくっ', 'て', 'いる', '企業', 'です', '。', '上場', 'は', '、', 'ジャスダック', '市場', 'です', '。', 'いま', '駐輪', '場', 'の', '管理', 'は', '、', 'いろいろ', 'な', '問題', 'を', '抱え', 'て', 'い', 'ます', '。', '駅前', '商店', '街', 'の', '駐輪', '場', 'や', 'スーパー', 'の', '駐輪', '場']","['駐輪', '場']",YES,駐輪場,NO,NO
17,駐輪場,、不良債権処理も裏事情にも詳しく、色々私も勉強に成りました★自転車多いので駐輪場を屋根つきにすべきは考えていた………隣の場所の利用方法は考えアドバイス,"['、', '不良', '債権', '処理', 'も', '裏', '事情', 'に', 'も', '詳しく', '、', '色々', '私', 'も', '勉強', 'に', '成り', 'まし', 'た', '★', '自転', '車', '多い', 'の', 'で', '駐輪', '場', 'を', '屋根', 'つき', 'に', 'す', 'べき', 'は', '考え', 'て', 'い', 'た', '…', '…', '…', '隣', 'の', '場所', 'の', '利用', '方法', 'は', '考え', 'アドバイス']","['駐輪', '場']",YES,駐輪場,NO,NO
18,駐輪場,られる場所を教えてください。調べたら駅の駐輪場はまだないとのことでした。駐輪場でなくても路駐でももっていかれにくいところお願いします。紅葉坂の県立図書館が良いと思い,"['られる', '場所', 'を', '教え', 'て', 'ください', '。', '調べ', 'たら', '駅', 'の', '駐輪', '場', 'は', 'まだ', 'ない', 'と', 'の', 'こと', 'でし', 'た', '。', '駐輪', '場', 'で', 'なく', 'て', 'も', '路駐', 'で', 'も', 'もっ', 'て', 'いか', 'れ', 'にくい', 'ところ', 'お', '願い', 'し', 'ます', '。', '紅葉', '坂', 'の', '県立', '図書', '館', 'が', '良い', 'と', '思い']","['駐輪', '場']",YES,駐輪場,NO,NO
