,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不便,いくのか。右利きのへんじんとしては、右肩・右腕の可動域が狭くなると何かと不便だ。根気よくリハビリ・運動を続けるしかないな。やっぱり『忍』と『努』だな,"['いく', 'の', 'か', '。', '右', '利き', 'の', 'へん', 'じん', 'として', 'は', '、', '右肩', '・', '右腕', 'の', '可動', '域', 'が', '狭く', 'なる', 'と', '何かと', '不便', 'だ', '。', '根気', 'よく', 'リハビリ', '・', '運動', 'を', '続ける', 'しか', 'ない', 'な', '。', 'やっぱり', '『', '忍', '』', 'と', '『', '努', '』', 'だ', 'な']",['不便'],NO,不便,NO,NO
1,不便,の遊び場もかねていた。ドイツ語でメニューが書かれているので、料理の注文は不便ではないが、料理の内容が分からない。とりあえず野菜が入った料理を選んだ。,"['の', '遊び場', 'も', 'かね', 'て', 'い', 'た', '。', 'ドイツ', '語', 'で', 'メニュー', 'が', '書か', 'れ', 'て', 'いる', 'ので', '、', '料理', 'の', '注文', 'は', '不便', 'で', 'は', 'ない', 'が', '、', '料理', 'の', '内容', 'が', '分から', 'ない', '。', 'とりあえず', '野菜', 'が', '入っ', 'た', '料理', 'を', '選ん', 'だ', '。']",['不便'],NO,不便,NO,NO
2,不便,たらはたして不便か、という話があってね。数の表現がとても長くなるから不便だって言う人もいるんだけど、長くなると言っても、たかが三倍でしょ,"['たら', 'はたして', '不便', 'か', '、', 'という', '話', 'が', 'あっ', 'て', 'ね', '。', '数', 'の', '表現', 'が', 'とても', '長く', 'なる', 'から', '不便', 'だって', '言う', '人', 'も', 'いる', 'ん', 'だ', 'けど', '、', '長く', 'なる', 'と', '言っ', 'て', 'も', '、', 'たかが', '三', '倍', 'でしょ']",['不便'],NO,不便,NO,NO
3,不便,たらはたして不便か、という話があってね。数の表現がとても長くなるから不便だって言う人もいるんだけど、長くなると言っても、たかが三倍でしょ,"['たら', 'はたして', '不便', 'か', '、', 'という', '話', 'が', 'あっ', 'て', 'ね', '。', '数', 'の', '表現', 'が', 'とても', '長く', 'なる', 'から', '不便', 'だって', '言う', '人', 'も', 'いる', 'ん', 'だ', 'けど', '、', '長く', 'なる', 'と', '言っ', 'て', 'も', '、', 'たかが', '三', '倍', 'でしょ']",['不便'],NO,不便,NO,NO
4,不便,出入り口によく使っているみたいなことを言っていたけど、この環境って出入り口には不便よね？もしかして、ここにいなくちゃいけない用事が、他,"['出入り口', 'に', 'よく', '使っ', 'て', 'いる', 'みたい', 'な', 'こと', 'を', '言っ', 'て', 'い', 'た', 'けど', '、', 'この', '環境', 'って', '出入り口', 'に', 'は', '不便', 'よ', 'ね', '？', 'もしかして', '、', 'ここ', 'に', 'い', 'なく', 'ちゃ', 'いけ', 'ない', '用事', 'が', '、', '他']",['不便'],NO,不便,NO,NO
5,不便,。●ダイレクト便は高く、乗り換えが必要になると安い。簡単に言ってしまえば、不便なものほど安い！■オーバー・ブッキングには正当性がある格安とはいえお金を払っ,"['。', '●', 'ダイレクト', '便', 'は', '高く', '、', '乗り換え', 'が', '必要', 'に', 'なる', 'と', '安い', '。', '簡単', 'に', '言っ', 'て', 'しまえ', 'ば', '、', '不便', 'な', 'もの', 'ほど', '安い', '！', '■', 'オーバー・ブッキング', 'に', 'は', '正当', '性', 'が', 'ある', '格安', 'と', 'は', 'いえ', 'お金', 'を', '払っ']",['不便'],NO,不便,NO,NO
6,不便,。実際の取引では両替手数料などに金利が組み込まれる形で機能していたが、不便であったことには変わりがない。そのような状態が中世後半になると緩和され,"['。', '実際', 'の', '取引', 'で', 'は', '両替', '手数料', 'など', 'に', '金利', 'が', '組み込ま', 'れる', '形', 'で', '機能', 'し', 'て', 'い', 'た', 'が', '、', '不便', 'で', 'あっ', 'た', 'こと', 'に', 'は', '変わり', 'が', 'ない', '。', 'その', 'よう', 'な', '状態', 'が', '中世', '後半', 'に', 'なる', 'と', '緩和', 'さ', 'れ']",['不便'],NO,不便,NO,NO
7,不便,、解決しよう」という気持ちさえ起こらなくなるらしい。●これらの他にも「日本の不便はお役所の産物」を裏づける事例は枚挙にいとまがない。＊郵政省が通信回線や,"['、', '解決', 'しよ', 'う', '」', 'という', '気持ち', 'さえ', '起こら', 'なく', 'なる', 'らしい', '。', '●', 'これら', 'の', '他', 'に', 'も', '「', '日本', 'の', '不便', 'は', 'お', '役所', 'の', '産物', '」', 'を', '裏づける', '事例', 'は', '枚挙', 'に', 'いと', 'ま', 'が', 'ない', '。', '＊', '郵政省', 'が', '通信', '回線', 'や']",['不便'],NO,不便,NO,NO
8,不便,良く使おうとする民族の発想からくる文化である。重いものだけでも勝手が不便であり、軽いものだけでも浅はかな印象が残ってしまう。両者を適当に合わせた,"['良く', '使お', 'う', 'と', 'する', '民族', 'の', '発想', 'から', 'くる', '文化', 'で', 'ある', '。', '重い', 'もの', 'だけ', 'でも', '勝手', 'が', '不便', 'で', 'あり', '、', '軽い', 'もの', 'だけ', 'でも', '浅はか', 'な', '印象', 'が', '残っ', 'て', 'しまう', '。', '両者', 'を', '適当', 'に', '合わせ', 'た']",['不便'],NO,不便,NO,NO
9,不便,ここは軍艦内であるから、待遇も、客船のようなわけにはいかない。いろいろ不便もあろうかと思うが、しばらくの間、辛抱してもらいたい。まず、食事について,"['ここ', 'は', '軍艦', '内', 'で', 'ある', 'から', '、', '待遇', 'も', '、', '客船', 'の', 'よう', 'な', 'わけ', 'に', 'は', 'いか', 'ない', '。', 'いろいろ', '不便', 'も', 'あろ', 'う', 'か', 'と', '思う', 'が', '、', 'しばらく', 'の', '間', '、', '辛抱', 'し', 'て', 'もらい', 'たい', '。', 'まず', '、', '食事', 'について']",['不便'],NO,不便,NO,NO
