,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不平,ということで、私を酔わせようとしているの？」とあるｅメールのなかで不平を言う。ただし、他の多数のｅメールはだいたいがグラブマンが困難な時期を送っ,"['という', 'こと', 'で', '、', '私', 'を', '酔わ', 'せよ', 'う', 'と', 'し', 'て', 'いる', 'の', '？', '」', 'と', 'ある', 'ｅメール', 'の', 'なか', 'で', '不平', 'を', '言う', '。', 'ただし', '、', '他', 'の', '多数', 'の', 'ｅメール', 'は', 'だいたい', 'が', 'グラブ', 'マン', 'が', '困難', 'な', '時期', 'を', '送っ']",['不平'],NO,不平,NO,NO
1,不平,言っている。「自分の担当以外によけいな仕事を頼まれると、たいていの人は不平を言い、嫌がり、バカバカしいと憤慨する。十中八九人までが、なるべく仕事は他にやら,"['言っ', 'て', 'いる', '。', '「', '自分', 'の', '担当', '以外', 'に', 'よけい', 'な', '仕事', 'を', '頼ま', 'れる', 'と', '、', 'たいてい', 'の', '人', 'は', '不平', 'を', '言い', '、', '嫌がり', '、', 'バカバカしい', 'と', '憤慨', 'する', '。', '十', '中', '八', '九', '人', 'まで', 'が', '、', 'なるべく', '仕事', 'は', '他', 'に', 'やら']",['不平'],NO,不平,NO,NO
2,不平,を気にかけてなんぞ、おるもんかい。」おじいちゃんも毎年、母さんに不平をこぼす。「あいつはな、ケイト。わしを老人ホームへぶちこんで、そのすき,"['を', '気', 'に', 'かけ', 'て', 'なんぞ', '、', 'おる', 'もん', 'かい', '。', '」', 'おじいちゃん', 'も', '毎年', '、', '母さん', 'に', '不平', 'を', 'こぼす', '。', '「', 'あいつ', 'は', 'な', '、', 'ケイト', '。', 'わし', 'を', '老人', 'ホーム', 'へ', 'ぶちこん', 'で', '、', 'その', 'すき']",['不平'],NO,不平,NO,NO
3,不平,よ。おい」石川啄木には他に「人並の才に過ぎざるわが友の深き不平もあわれなるかな」という歌がある。しかしそんなことを言ったら大喧嘩だ,"['よ', '。', 'おい', '」', '石川', '啄木', 'に', 'は', '他', 'に', '「', '人並', 'の', '才', 'に', '過ぎ', 'ざる', 'わが', '友', 'の', '深き', '不平', 'も', 'あわ', 'れ', 'なる', 'か', 'な', '」', 'という', '歌', 'が', 'ある', '。', 'しかし', 'そんな', 'こと', 'を', '言っ', 'たら', '大', '喧嘩', 'だ']",['不平'],NO,不平,NO,NO
4,不平,なくなると、働く意欲がなくなるとか、肩書きがないのは社会的に困るなどの不平も多かった。しかし、それは内部的なことにすぎず、どれだけ県民にサービスできるのか,"['なくなる', 'と', '、', '働く', '意欲', 'が', 'なくなる', 'とか', '、', '肩書き', 'が', 'ない', 'の', 'は', '社会', '的', 'に', '困る', 'など', 'の', '不平', 'も', '多かっ', 'た', '。', 'しかし', '、', 'それ', 'は', '内部', '的', 'な', 'こと', 'に', 'すぎ', 'ず', '、', 'どれ', 'だけ', '県民', 'に', 'サービス', 'できる', 'の', 'か']",['不平'],NO,不平,NO,NO
5,不平,に抗して、ハーフハイドは体を立て直した。「それが正常なんだ、警衛兵曹。不平が炎症を起こすことはまずない。奥にたまった毒がぶつぶつ噴き出すときは、,"['に', '抗', 'し', 'て', '、', 'ハーフハイド', 'は', '体', 'を', '立て直し', 'た', '。', '「', 'それ', 'が', '正常', 'な', 'ん', 'だ', '、', '警衛', '兵曹', '。', '不平', 'が', '炎症', 'を', '起こす', 'こと', 'は', 'まず', 'ない', '。', '奥', 'に', 'たまっ', 'た', '毒', 'が', 'ぶつぶつ', '噴き出す', 'とき', 'は', '、']",['不平'],NO,不平,NO,NO
6,不平,いつもはもったいぶって顔を見せようともしないお偉方が何の用だと、不平をこぼしたそうな顔をしてるな」「正直に言えば、大変居心地,"['いつも', 'は', 'もったいぶっ', 'て', '顔', 'を', '見せよ', 'う', 'と', 'も', 'し', 'ない', 'お偉方', 'が', '何', 'の', '用', 'だ', 'と', '、', '不平', 'を', 'こぼし', 'た', 'そう', 'な', '顔', 'を', 'し', 'てる', 'な', '」', '「', '正直', 'に', '言え', 'ば', '、', '大変', '居心地']",['不平'],NO,不平,NO,NO
7,不平,修養講話の恨みは修養講話の恨みとして、これはナカナカ話せらあ」「それだから余り不平を言うもんじゃないよ。講話が夜業並みに計上してあるんだ」「今夜は講話を,"['修養', '講話', 'の', '恨み', 'は', '修養', '講話', 'の', '恨み', 'として', '、', 'これ', 'は', 'ナカ', 'ナカ', '話せ', 'ら', 'あ', '」', '「', 'それ', 'だ', 'から', '余り', '不平', 'を', '言う', 'もん', 'じゃ', 'ない', 'よ', '。', '講話', 'が', '夜業', '並み', 'に', '計上', 'し', 'て', 'ある', 'ん', 'だ', '」', '「', '今夜', 'は', '講話', 'を']",['不平'],NO,不平,NO,NO
8,不平,だからといって、波止の石垣を外から登らせて追い上げられた。少し不平であったけれども、もともと特別の便乗なのだから仕方がない。その夜は三津,"['だからといって', '、', '波', '止', 'の', '石垣', 'を', '外', 'から', '登ら', 'せ', 'て', '追い上げ', 'られ', 'た', '。', '少し', '不平', 'で', 'あっ', 'た', 'けれども', '、', 'もともと', '特別', 'の', '便乗', 'な', 'の', 'だ', 'から', '仕方', 'が', 'ない', '。', 'その', '夜', 'は', '三津']",['不平'],NO,不平,NO,NO
9,不平,たえぐち」「してえ」「ひてえ」ぶてえ［舞台］ぶたい。ふてえら［不平］たいらでないこと。ふてくって［太］太くて。『あんまり（余り,"['たえ', 'ぐち', '」', '「', 'し', 'て', 'え', '」', '「', 'ひ', 'て', 'え', '」', 'ぶて', 'え', '［', '舞台', '］', 'ぶた', 'い', '。', 'ふて', 'えら', '［', '不平', '］', 'たい', 'ら', 'で', 'ない', 'こと', '。', 'ふて', 'くっ', 'て', '［', '太', '］', '太く', 'て', '。', '『', 'あんまり', '（', '余り']",['不平'],NO,不平,NO,NO
10,不平,から、別にこの部分でひっかかって前へ読み進めないというものでもない。私の不平は、たとえばアメリカ映画を観ていて、そこに出てくる日本人を見て、我々観客が,"['から', '、', '別に', 'この', '部分', 'で', 'ひっかかっ', 'て', '前', 'へ', '読み', '進め', 'ない', 'という', 'もの', 'で', 'も', 'ない', '。', '私', 'の', '不平', 'は', '、', 'たとえば', 'アメリカ', '映画', 'を', '観', 'て', 'い', 'て', '、', 'そこ', 'に', '出', 'て', 'くる', '日本人', 'を', '見', 'て', '、', '我々', '観客', 'が']",['不平'],NO,不平,NO,NO
11,不平,、ふたりしてこの泥棒この泥棒って、ちょっとひどくないか？」エメラインが横から不平を鳴らすと、「ぜんぜん」コラリーとフェリックスはめずらしく気のあったところを,"['、', 'ふたり', 'し', 'て', 'この', '泥棒', 'この', '泥棒', 'って', '、', 'ちょっと', 'ひどく', 'ない', 'か', '？', '」', 'エメライン', 'が', '横', 'から', '不平', 'を', '鳴らす', 'と', '、', '「', 'ぜんぜん', '」', 'コラリー', 'と', 'フェリックス', 'は', 'めずらしく', '気', 'の', 'あっ', 'た', 'ところ', 'を']",['不平'],NO,不平,NO,NO
12,不平,、密書を百通書いても間に合わない、そうした気持ちだった。三成は不平たらたらだったが、人質の徴集はけっきょくガラシアが帰天したこの日をもってひとまず,"['、', '密書', 'を', '百', '通', '書い', 'て', 'も', '間に合わ', 'ない', '、', 'そうした', '気持ち', 'だっ', 'た', '。', '三成', 'は', '不平', 'たら', 'たら', 'だっ', 'た', 'が', '、', '人質', 'の', '徴集', 'は', 'けっきょ', 'く', 'ガラシア', 'が', '帰', '天', 'し', 'た', 'この', '日', 'を', 'もっ', 'て', 'ひとまず']",['不平'],NO,不平,NO,NO
13,不平,一枚の布を巻き付けただけの格好だというのに、彼は陽ざしが強過ぎると不平を言い、コットンのセーターと帽子を離そうとしなかった。ぼんやりと水平線をながめ,"['一', '枚', 'の', '布', 'を', '巻き付け', 'た', 'だけ', 'の', '格好', 'だ', 'と', 'いう', 'のに', '、', '彼', 'は', '陽ざし', 'が', '強', '過ぎる', 'と', '不平', 'を', '言い', '、', 'コットン', 'の', 'セーター', 'と', '帽子', 'を', '離そ', 'う', 'と', 'し', 'なかっ', 'た', '。', 'ぼんやり', 'と', '水平', '線', 'を', 'ながめ']",['不平'],NO,不平,NO,NO
14,不平,日本の男子と女子で共通して２年時でチェック率が増加した項目は，「６．不平や不満が多い」（男子ｐ＜．０１，女子ｐ＜．０５），「十．人に,"['日本', 'の', '男子', 'と', '女子', 'で', '共通', 'し', 'て', '２', '年', '時', 'で', 'チェック', '率', 'が', '増加', 'し', 'た', '項目', 'は', '，', '「', '６', '．', '不平', 'や', '不満', 'が', '多い', '」', '（', '男子', 'ｐ', '＜', '．', '０', '１', '，', '女子', 'ｐ', '＜', '．', '０', '５', '）', '，', '「', '十', '．', '人', 'に']",['不平'],NO,不平,NO,NO
15,不平,公平ということは、誰もが満足しているということではない。誰もがなにかしら、不平を抱えて我慢しているということなのだよ。北府軍と西府が、痛み分けの状態な,"['公平', 'という', 'こと', 'は', '、', '誰', 'も', 'が', '満足', 'し', 'て', 'いる', 'という', 'こと', 'で', 'は', 'ない', '。', '誰', 'も', 'が', 'なに', 'かしら', '、', '不平', 'を', '抱え', 'て', '我慢', 'し', 'て', 'いる', 'という', 'こと', 'な', 'の', 'だ', 'よ', '。', '北府', '軍', 'と', '西府', 'が', '、', '痛み分け', 'の', '状態', 'な']",['不平'],NO,不平,NO,NO
16,不平,にして人民は平等なり。公平から不満生ぜず。不公平から不平出ず。不平満ちれば国家疲弊す」「弁士中止。保安条例違反により拘束」大郎がゆっくりとたえを指さす。,"['に', 'し', 'て', '人民', 'は', '平等', 'なり', '。', '公平', 'から', '不満', '生ぜ', 'ず', '。', '不公平', 'から', '不平', '出', 'ず', '。', '不平', '満ちれ', 'ば', '国家', '疲弊', 'す', '」', '「', '弁士', '中止', '。', '保安', '条例', '違反', 'により', '拘束', '」', '大', '郎', 'が', 'ゆっくり', 'と', 'たえ', 'を', '指さす', '。']",['不平'],NO,不平,NO,NO
17,不平,にして人民は平等なり。公平から不満生ぜず。不公平から不平出ず。不平満ちれば国家疲弊す」「弁士中止。保安条例違反により拘束」大郎がゆっくりとたえを指さす。,"['に', 'し', 'て', '人民', 'は', '平等', 'なり', '。', '公平', 'から', '不満', '生ぜ', 'ず', '。', '不公平', 'から', '不平', '出', 'ず', '。', '不平', '満ちれ', 'ば', '国家', '疲弊', 'す', '」', '「', '弁士', '中止', '。', '保安', '条例', '違反', 'により', '拘束', '」', '大', '郎', 'が', 'ゆっくり', 'と', 'たえ', 'を', '指さす', '。']",['不平'],NO,不平,NO,NO
18,不平,科学的教義によって成功したのではない。大衆のうちにある永遠の欲望や野心、怨恨、不平、羨望に火を付ける事によってである。これらは一階級の弱点ではない。人間の弱点,"['科学', '的', '教義', 'によって', '成功', 'し', 'た', 'の', 'で', 'は', 'ない', '。', '大衆', 'の', 'うち', 'に', 'ある', '永遠', 'の', '欲望', 'や', '野心', '、', '怨恨', '、', '不平', '、', '羨望', 'に', '火', 'を', '付ける', '事', 'によって', 'で', 'ある', '。', 'これら', 'は', '一', '階', '級', 'の', '弱点', 'で', 'は', 'ない', '。', '人間', 'の', '弱点']",['不平'],NO,不平,NO,NO
19,不平,の祭典』を、それに向いてはいない観衆、だからこそ当然、それについて不平を鳴らした観衆の前で演じなければならなかったのである。聖具室の匂いと教会の華麗さ,"['の', '祭典', '』', 'を', '、', 'それ', 'に', '向い', 'て', 'は', 'い', 'ない', '観衆', '、', 'だからこそ', '当然', '、', 'それ', 'について', '不平', 'を', '鳴らし', 'た', '観衆', 'の', '前', 'で', '演じ', 'なけれ', 'ば', 'なら', 'なかっ', 'た', 'の', 'で', 'ある', '。', '聖', '具', '室', 'の', '匂い', 'と', '教会', 'の', '華麗', 'さ']",['不平'],NO,不平,NO,NO
