,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不明,？とゆうのはマイクロソフト株がいいなぁとおもったもので・・質問の内容が一部不明な点がありますが、おそらく貴方は「マイクロソフトの株が売買できたらいいなぁ」と,"['？', 'と', 'ゆう', 'の', 'は', 'マイクロソフト', '株', 'が', 'いい', 'なぁ', 'と', 'おもっ', 'た', 'もの', 'で', '・', '・', '質問', 'の', '内容', 'が', '一部', '不明', 'な', '点', 'が', 'あり', 'ます', 'が', '、', 'おそらく', '貴方', 'は', '「', 'マイクロソフト', 'の', '株', 'が', '売買', 'でき', 'たら', 'いい', 'なぁ', '」', 'と']",['不明'],NO,不明,NO,NO
1,不明,捜査方針は物盗りによる犯行という線に大きな比重をかけていた。結局、犯人は不明で、六年経ったいまも犯人は捕まっていない。友子の店『エリーゼ』,"['捜査', '方針', 'は', '物', '盗り', 'による', '犯行', 'という', '線', 'に', '大きな', '比重', 'を', 'かけ', 'て', 'い', 'た', '。', '結局', '、', '犯人', 'は', '不明', 'で', '、', '六', '年', '経っ', 'た', 'いま', 'も', '犯人', 'は', '捕まっ', 'て', 'い', 'ない', '。', '友子', 'の', '店', '『', 'エリーゼ', '』']",['不明'],NO,不明,NO,NO
2,不明,壊死を伴わない類上皮細胞肉芽腫。２．環状肉芽腫ｇｒａｎｕｌｏｍａａｎｎｕｌａｒｅ〔病因〕発症の原因は不明であるが，虫刺部，外傷部，ＰＵＶＡ治療部に発生することがある。汎発性の場合約半数の患者,"['壊死', 'を', '伴わ', 'ない', '類', '上皮', '細胞', '肉芽', '腫', '。', '２', '．', '環状', '肉芽', '腫', 'ｇｒａｎｕｌｏｍａａｎｎｕｌａｒｅ', '〔', '病因', '〕', '発症', 'の', '原因', 'は', '不明', 'で', 'ある', 'が', '，', '虫', '刺', '部', '，', '外傷', '部', '，', 'ＰＵＶＡ', '治療', '部', 'に', '発生', 'する', 'こと', 'が', 'ある', '。', '汎', '発', '性', 'の', '場合', '約', '半数', 'の', '患者']",['不明'],NO,不明,NO,NO
3,不明,十数万になるものも。しかし、いったいどんな人が出品していることやら。鑑識バッグ真偽は不明なものの、確かに「警視庁」「鑑識課」と書いてある…。官製品ではないだけに,"['十', '数', '万', 'に', 'なる', 'もの', 'も', '。', 'しかし', '、', 'いったい', 'どんな', '人', 'が', '出品', 'し', 'て', 'いる', 'こと', 'やら', '。', '鑑識', 'バッグ', '真偽', 'は', '不明', 'な', 'ものの', '、', '確か', 'に', '「', '警視庁', '」', '「', '鑑識', '課', '」', 'と', '書い', 'て', 'ある', '…', '。', '官製', '品', 'で', 'は', 'ない', 'だけ', 'に']",['不明'],NO,不明,NO,NO
4,不明,十五日に参加出来ないので、司書さん・さいみやさんに贈る記事関羽雲長（不明〜二百十九）〜劉備が曹操に破れ落ち延びたとき、カヒを任されていた,"['十', '五', '日', 'に', '参加', '出来', 'ない', 'ので', '、', '司書', 'さん', '・', 'さい', 'みや', 'さん', 'に', '贈る', '記事', '関', '羽', '雲', '長', '（', '不明', '〜', '二', '百', '十', '九', '）', '〜', '劉', '備', 'が', '曹操', 'に', '破れ', '落ち延び', 'た', 'とき', '、', 'カヒ', 'を', '任さ', 'れ', 'て', 'い', 'た']",['不明'],NO,不明,NO,NO
5,不明,、當時三井文庫の所藏であった「石上漫錄」をも加えて、はじめその所在の不明であった「松乃落葉」を除く十三卷について、群書抄出（改定第一卷―第七卷）、聞知の,"['、', '當時', '三井', '文庫', 'の', '所', '藏', 'で', 'あっ', 'た', '「', '石上', '漫錄', '」', 'を', 'も', '加え', 'て', '、', 'はじめ', 'その', '所在', 'の', '不明', 'で', 'あっ', 'た', '「', '松乃', '落葉', '」', 'を', '除く', '十', '三', '卷', 'について', '、', '群', '書', '抄出', '（', '改定', '第', '一', '卷', '―', '第', '七', '卷', '）', '、', '聞知', 'の']",['不明'],NO,不明,NO,NO
6,不明,？猫ニャーミャーグルーミャーニャムニャムネーミャニャー《猫単ワンポイント》ニャムニャム＝あいまいな、不明の［英語訳］解説猫の兄弟はご存知の通り非常に多いので、いちいちおぼえ,"['？', '猫', 'ニャーミャーグルーミャーニャムニャムネーミャニャー', '《', '猫', '単', 'ワンポイント', '》', 'ニャムニャム', '＝', 'あいまい', 'な', '、', '不明', 'の', '［', '英語', '訳', '］', '解説', '猫', 'の', '兄弟', 'は', 'ご存知', 'の', '通り', '非常', 'に', '多い', 'ので', '、', 'いちいち', 'おぼえ']",['不明'],NO,不明,NO,NO
7,不明,撮影）一枚目は資源分別回収のキャラクター『ワケトン』です。二枚目は？？？何でしょう（不明です）,"['撮影', '）', '一', '枚', '目', 'は', '資源', '分別', '回収', 'の', 'キャラクター', '『', 'ワケトン', '』', 'です', '。', '二枚目', 'は', '？', '？', '？', '何', 'でしょ', 'う', '（', '不明', 'です', '）']",['不明'],NO,不明,NO,NO
8,不明,明石と啓子の仲を知ったといったらしい。だが、真偽のほどは不明である。ひろ子はとうに明石と啓子の仲をしらべあげて赤堀へ報告していたの,"['明石', 'と', '啓子', 'の', '仲', 'を', '知っ', 'た', 'と', 'いっ', 'た', 'らしい', '。', 'だが', '、', '真偽', 'の', 'ほど', 'は', '不明', 'で', 'ある', '。', 'ひろ子', 'は', 'とうに', '明石', 'と', '啓子', 'の', '仲', 'を', 'しらべ', 'あげ', 'て', '赤堀', 'へ', '報告', 'し', 'て', 'い', 'た', 'の']",['不明'],NO,不明,NO,NO
9,不明,の与党医療保険制度改革協議会に提出した資料だったが、同じ九十五年度の先の二千億円との関係は不明だった。この報道は、大きな関心を集めた。それは、この年の,"['の', '与党', '医療', '保険', '制度', '改革', '協議', '会', 'に', '提出', 'し', 'た', '資料', 'だっ', 'た', 'が', '、', '同じ', '九', '十', '五', '年度', 'の', '先', 'の', '二', '千', '億', '円', 'と', 'の', '関係', 'は', '不明', 'だっ', 'た', '。', 'この', '報道', 'は', '、', '大きな', '関心', 'を', '集め', 'た', '。', 'それ', 'は', '、', 'この', '年', 'の']",['不明'],NO,不明,NO,NO
10,不明,を構成していたことがわかる。これら２つの断片を含むペディメントの当初の位置は不明である。これらのペディメント断片によると，当初のペディメントは，文様帯（列弁文）によって上・中・下,"['を', '構成', 'し', 'て', 'い', 'た', 'こと', 'が', 'わかる', '。', 'これら', '２つ', 'の', '断片', 'を', '含む', 'ペディメント', 'の', '当初', 'の', '位置', 'は', '不明', 'で', 'ある', '。', 'これら', 'の', 'ペディメント', '断片', 'に', 'よる', 'と', '，', '当初', 'の', 'ペディメント', 'は', '，', '文様', '帯', '（', '列', '弁', '文', '）', 'によって', '上', '・', '中', '・', '下']",['不明'],NO,不明,NO,NO
11,不明,があったことは前述した。この木箱の中になにが入っていたかは不明である。問題は１七百三十一が平房の地から撤収する際に日本へ持ち帰った白金、,"['が', 'あっ', 'た', 'こと', 'は', '前述', 'し', 'た', '。', 'この', '木', '箱', 'の', '中', 'に', 'なに', 'が', '入っ', 'て', 'い', 'た', 'か', 'は', '不明', 'で', 'ある', '。', '問題', 'は', '１', '七', '百', '三', '十', '一', 'が', '平房', 'の', '地', 'から', '撤収', 'する', '際', 'に', '日本', 'へ', '持ち帰っ', 'た', '白金', '、']",['不明'],NO,不明,NO,NO
