,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不正確,なかったりするような場合に、それを今度はトレースいたしまして、だれの報告が不正確であるか等々チェックするということも、これまたきわめて大変な事務量を必要といたしまして,"['なかっ', 'たり', 'する', 'よう', 'な', '場合', 'に', '、', 'それ', 'を', '今度', 'は', 'トレース', 'いたし', 'まし', 'て', '、', 'だれ', 'の', '報告', 'が', '不', '正確', 'で', 'ある', 'か', '等々', 'チェック', 'する', 'という', 'こと', 'も', '、', 'これ', 'また', 'きわめて', '大変', 'な', '事務', '量', 'を', '必要', 'と', 'いたし', 'まし', 'て']","['不', '正確']",YES,不正確,NO,NO
1,不正確,。［十三］「小さな老婆たち」（ＬｅｓＰｅｔｉｔｅｓＶｉｅｉｌｌｅｓ）より。引用はやや不正確。これを凌ぐことは不可能に見えます。しかしこの印象を、ボードレールはなお一段,"['。', '［', '十', '三', '］', '「', '小さな', '老婆', 'たち', '」', '（', 'ＬｅｓＰｅｔｉｔｅｓＶｉｅｉｌｌｅｓ', '）', 'より', '。', '引用', 'は', 'やや', '不正確', '。', 'これ', 'を', '凌ぐ', 'こと', 'は', '不可能', 'に', '見え', 'ます', '。', 'しかし', 'この', '印象', 'を', '、', 'ボード', 'レール', 'は', 'なお', '一段']",['不正確'],NO,不正確,NO,NO
2,不正確,のに間違いなく、恐らく、ドイツ表現派の中に居たに違いないこの小詩人が、このように不正確に伝わってしまったのは、佐川君だけに責任があるとは言えない。「,"['の', 'に', '間違い', 'なく', '、', '恐らく', '、', 'ドイツ', '表現', '派', 'の', '中', 'に', '居', 'た', 'に', '違い', 'ない', 'この', '小', '詩人', 'が', '、', 'この', 'よう', 'に', '不正確', 'に', '伝わっ', 'て', 'しまっ', 'た', 'の', 'は', '、', '佐川', '君', 'だけ', 'に', '責任', 'が', 'ある', 'と', 'は', '言え', 'ない', '。', '「']",['不正確'],NO,不正確,NO,NO
3,不正確,。この意味で日本の天皇が外国に出かけないのが伝統だ、というのは不正確な認識であると言ってよいと思う。こんな例を挙げたのはほかで,"['。', 'この', '意味', 'で', '日本', 'の', '天皇', 'が', '外国', 'に', '出かけ', 'ない', 'の', 'が', '伝統', 'だ', '、', 'という', 'の', 'は', '不正確', 'な', '認識', 'で', 'ある', 'と', '言っ', 'て', 'よい', 'と', '思う', '。', 'こんな', '例', 'を', '挙げ', 'た', 'の', 'は', 'ほか', 'で']",['不正確'],NO,不正確,NO,NO
4,不正確,ことでございます。ただ、これは全体で見ていますので、それだけ言うと不正確でございますが、四十歳から六十五歳の方だけが介護保険料を負担しますから、その年齢,"['こと', 'で', 'ござい', 'ます', '。', 'ただ', '、', 'これ', 'は', '全体', 'で', '見', 'て', 'い', 'ます', 'ので', '、', 'それだけ', '言う', 'と', '不正確', 'で', 'ござい', 'ます', 'が', '、', '四', '十', '歳', 'から', '六', '十', '五', '歳', 'の', '方', 'だけ', 'が', '介護', '保険', '料', 'を', '負担', 'し', 'ます', 'から', '、', 'その', '年齢']",['不正確'],NO,不正確,NO,NO
5,不正確,なければならない．日本語で話すときに，特に気をつけるべきことをいくつか述べよう．不正確であいまいなものの言い方を避けて，正しくコミュニケーションを保ち，豊かな人間関係を目指す,"['なけれ', 'ば', 'なら', 'ない', '．', '日本語', 'で', '話す', 'とき', 'に', '，', '特に', '気', 'を', 'つける', 'べき', 'こと', 'を', 'いくつ', 'か', '述べよ', 'う', '．', '不正確', 'で', 'あいまい', 'な', 'もの', 'の', '言い方', 'を', '避け', 'て', '，', '正しく', 'コミュニケーション', 'を', '保ち', '，', '豊か', 'な', '人間', '関係', 'を', '目指す']",['不正確'],NO,不正確,NO,NO
6,不正確,には化学シナプスの方が便利と言える。反対に、少しでも速く伝達できれば多少不正確でもよいという場合、電気シナプスが有利だろう。伝達物質は神経のホルモンところで、シナプス,"['に', 'は', '化学', 'シナプス', 'の', '方', 'が', '便利', 'と', '言える', '。', '反対', 'に', '、', '少し', 'でも', '速く', '伝達', 'できれ', 'ば', '多少', '不', '正確', 'で', 'も', 'よい', 'という', '場合', '、', '電気', 'シナプス', 'が', '有利', 'だろ', 'う', '。', '伝達', '物質', 'は', '神経', 'の', 'ホルモン', 'ところ', 'で', '、', 'シナプス']","['不', '正確']",YES,不正確,NO,NO
7,不正確,武器輸出三原則統一見解の後か前かによって武器輸出三原則の適用の問題が起こってくる。こんな不正確な議論で国会はもめているわけですよ。共同開発の定義がはっきりしなければ、それ,"['武器', '輸出', '三', '原則', '統一', '見解', 'の', '後', 'か', '前', 'か', 'によって', '武器', '輸出', '三', '原則', 'の', '適用', 'の', '問題', 'が', '起こっ', 'て', 'くる', '。', 'こんな', '不正確', 'な', '議論', 'で', '国会', 'は', 'もめ', 'て', 'いる', 'わけ', 'です', 'よ', '。', '共同', '開発', 'の', '定義', 'が', 'はっきり', 'し', 'なけれ', 'ば', '、', 'それ']",['不正確'],NO,不正確,NO,NO
8,不正確,，精神薬などの不正使用，少しネットをうかがうだけで，法に触れないまでも，不正確で無責任な情報があふれているのも現状である．医薬品情報活動は収集整理のみならず，その評価に,"['，', '精神', '薬', 'など', 'の', '不正', '使用', '，', '少し', 'ネット', 'を', 'うかがう', 'だけ', 'で', '，', '法', 'に', '触れ', 'ない', 'まで', 'も', '，', '不正確', 'で', '無責任', 'な', '情報', 'が', 'あふれ', 'て', 'いる', 'の', 'も', '現状', 'で', 'ある', '．', '医薬品', '情報', '活動', 'は', '収集', '整理', 'のみ', 'なら', 'ず', '，', 'その', '評価', 'に']",['不正確'],NO,不正確,NO,NO
9,不正確,のはよくあることである。したがって、いかなる日のいかなるポートフォリオに対しても、方法によっては不正確なＶａＲがはじき出されるに違いないし、場合によってはすべての方法によるＶａＲが信頼性のない,"['の', 'は', 'よく', 'ある', 'こと', 'で', 'ある', '。', 'したがって', '、', 'いかなる', '日', 'の', 'いかなる', 'ポートフォリオ', 'に対して', 'も', '、', '方法', 'によって', 'は', '不正確', 'な', 'ＶａＲ', 'が', 'はじき出さ', 'れる', 'に', '違い', 'ない', 'し', '、', '場合', 'によって', 'は', 'すべて', 'の', '方法', 'による', 'ＶａＲ', 'が', '信頼', '性', 'の', 'ない']",['不正確'],NO,不正確,NO,NO
