,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不経済,し、けっこう楽なのである。弁当のおかずも、冷凍食品は楽だが、意外と不経済であることがわかった。とにもかくにも育ち盛りの子供たちだから、言い方は悪いが質より量,"['し', '、', 'けっこう', '楽', 'な', 'の', 'で', 'ある', '。', '弁当', 'の', 'おかず', 'も', '、', '冷凍', '食品', 'は', '楽', 'だ', 'が', '、', '意外と', '不経済', 'で', 'ある', 'こと', 'が', 'わかっ', 'た', '。', 'と', 'に', 'も', 'かく', 'に', 'も', '育ち', '盛り', 'の', '子供', 'たち', 'だ', 'から', '、', '言い方', 'は', '悪い', 'が', '質', 'より', '量']",['不経済'],NO,不経済,NO,NO
1,不経済,バランスを欠いた姿とされ、また、和服と洋服の両方を購入することの不経済が批判の対象とされた。それは、当然ながら、新しい生活や住まいの,"['バランス', 'を', '欠い', 'た', '姿', 'と', 'さ', 'れ', '、', 'また', '、', '和服', 'と', '洋服', 'の', '両方', 'を', '購入', 'する', 'こと', 'の', '不', '経済', 'が', '批判', 'の', '対象', 'と', 'さ', 'れ', 'た', '。', 'それ', 'は', '、', '当然', 'ながら', '、', '新しい', '生活', 'や', '住まい', 'の']","['不', '経済']",YES,不経済,NO,NO
2,不経済,ていく習慣のことです。つまりは、各家庭が毎日、風呂を沸かすのは不経済なので、順番に沸かしていこうというものです。で、男達の後が女達な,"['て', 'いく', '習慣', 'の', 'こと', 'です', '。', 'つまり', 'は', '、', '各', '家庭', 'が', '毎日', '、', '風呂', 'を', '沸かす', 'の', 'は', '不経済', 'な', 'ので', '、', '順番', 'に', '沸かし', 'て', 'いこ', 'う', 'という', 'もの', 'です', '。', 'で', '、', '男', '達', 'の', '後', 'が', '女', '達', 'な']",['不経済'],NO,不経済,NO,NO
3,不経済,とはいっても蛋白質のかたまりであり，これを家畜に食わせるのは非常に不経済である。農家の自家用味噌は，以前１人当たり１斗または２斗といわれ，地域によって様々,"['と', 'は', 'いっ', 'て', 'も', '蛋白', '質', 'の', 'かたまり', 'で', 'あり', '，', 'これ', 'を', '家畜', 'に', '食わ', 'せる', 'の', 'は', '非常', 'に', '不', '経済', 'で', 'ある', '。', '農家', 'の', '自家用', '味噌', 'は', '，', '以前', '１', '人', '当たり', '１', '斗', 'または', '２', '斗', 'と', 'いわ', 'れ', '，', '地域', 'によって', '様々']","['不', '経済']",YES,不経済,NO,NO
4,不経済,は何もなかった。縁談は恙なく進行し、そして住む部屋があるのに借家住まいは不経済だと云う、ただそれだけの理由で、保田は同居を決めた。その頃,"['は', '何', 'も', 'なかっ', 'た', '。', '縁談', 'は', '恙', 'なく', '進行', 'し', '、', 'そして', '住む', '部屋', 'が', 'ある', 'のに', '借家', '住まい', 'は', '不', '経済', 'だ', 'と', '云う', '、', 'ただ', 'それだけ', 'の', '理由', 'で', '、', '保田', 'は', '同居', 'を', '決め', 'た', '。', 'その', '頃']","['不', '経済']",YES,不経済,NO,NO
5,不経済,買い物に行ってはいけません。絶対に不要な物、使いずらいものを買って不経済です。生活していて消費してしまったり必要性が出てきたときに初めて買いにいってください,"['買い物', 'に', '行っ', 'て', 'は', 'いけ', 'ませ', 'ん', '。', '絶対', 'に', '不要', 'な', '物', '、', '使い', 'ずら', 'い', 'もの', 'を', '買っ', 'て', '不経済', 'です', '。', '生活', 'し', 'て', 'い', 'て', '消費', 'し', 'て', 'しまっ', 'たり', '必要', '性', 'が', '出', 'て', 'き', 'た', 'とき', 'に', '初めて', '買い', 'に', 'いっ', 'て', 'ください']",['不経済'],NO,不経済,NO,NO
6,不経済,ＭＯＬ』二十八巻五号、千九百九十年五月、六十二頁。表４農地と森林の公益的価値クルマの不経済〜具体的試算例自動車の社会的費用の一例として、１エネルギー消費、２二酸化炭素の処理相当額、３労働力,"['ＭＯＬ', '』', '二', '十', '八', '巻', '五', '号', '、', '千', '九', '百', '九', '十', '年', '五月', '、', '六', '十', '二', '頁', '。', '表', '４', '農地', 'と', '森林', 'の', '公益', '的', '価値', 'クルマ', 'の', '不', '経済', '〜', '具体', '的', '試算', '例', '自動車', 'の', '社会', '的', '費用', 'の', '一', '例', 'として', '、', '１', 'エネルギー', '消費', '、', '２', '二酸化炭素', 'の', '処理', '相当', '額', '、', '３', '労働', '力']","['不', '経済']",YES,不経済,NO,NO
7,不経済,。ひとつには食事は家庭内で完結するものであるのに、わざわざ外で食べるのは不経済であるということと、主婦が手抜きをしているという罪悪感のようなしがらみがあった,"['。', 'ひとつ', 'に', 'は', '食事', 'は', '家庭', '内', 'で', '完結', 'する', 'もの', 'で', 'ある', 'のに', '、', 'わざわざ', '外', 'で', '食べる', 'の', 'は', '不経済', 'で', 'ある', 'という', 'こと', 'と', '、', '主婦', 'が', '手抜き', 'を', 'し', 'て', 'いる', 'という', '罪悪', '感', 'の', 'よう', 'な', 'しがらみ', 'が', 'あっ', 'た']",['不経済'],NO,不経済,NO,NO
8,不経済,ではない。たとえば、午前だけ働くために都心への通勤に行き帰り２時間も使っていては不経済である。子どもを預けて働こうにも、やはり長時間通勤は不便である。そもそも郊外居住と専業主婦,"['で', 'は', 'ない', '。', 'たとえば', '、', '午前', 'だけ', '働く', 'ため', 'に', '都心', 'へ', 'の', '通勤', 'に', '行き', '帰り', '２', '時間', 'も', '使っ', 'て', 'い', 'て', 'は', '不経済', 'で', 'ある', '。', '子ども', 'を', '預け', 'て', '働こ', 'う', 'に', 'も', '、', 'やはり', '長時間', '通勤', 'は', '不便', 'で', 'ある', '。', 'そもそも', '郊外', '居住', 'と', '専業', '主婦']",['不経済'],NO,不経済,NO,NO
9,不経済,の一部屋をつくっておいた。そして、大きさもあまり大きいとかえっておちつかないし、だいいち不経済なので、三畳以下に抑えることにした。サラリーマンは、たとえ猛烈サラリーマンでなくても、ときどき,"['の', '一', '部屋', 'を', 'つくっ', 'て', 'おい', 'た', '。', 'そして', '、', '大き', 'さ', 'も', 'あまり', '大きい', 'と', 'かえって', 'おちつか', 'ない', 'し', '、', 'だいいち', '不経済', 'な', 'ので', '、', '三', '畳', '以下', 'に', '抑える', 'こと', 'に', 'し', 'た', '。', 'サラリーマン', 'は', '、', 'たとえ', '猛烈', 'サラリーマン', 'で', 'なく', 'て', 'も', '、', 'ときどき']",['不経済'],NO,不経済,NO,NO
10,不経済,を買えないとなると、こんなにも他への購買欲が増大するなんて、ダイエットって不経済よねーーヾ（≧▽≦）ノギャハハッさすがに帰りのバスでは疲れてました（爆,"['を', '買え', 'ない', 'と', 'なる', 'と', '、', 'こんなにも', '他', 'へ', 'の', '購買', '欲', 'が', '増大', 'する', 'なんて', '、', 'ダイエット', 'って', '不', '経済', 'よ', 'ね', 'ーーヾ', '（≧▽≦）', 'ノギャハハッ', 'さすが', 'に', '帰り', 'の', 'バス', 'で', 'は', '疲れ', 'て', 'まし', 'た', '（', '爆']","['不', '経済']",YES,不経済,NO,NO
