,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不親切,やったー！★画面に歌詞が１回もでなかった。なんでぇー、不親切ー！★やっぱり今回もキムタクがギターを弾いていた。最後の方はドラムも,"['やっ', 'た', 'ー', '！', '★', '画面', 'に', '歌詞', 'が', '１', '回', 'も', 'で', 'なかっ', 'た', '。', 'なんで', 'ぇ', 'ー', '、', '不親切', 'ー', '！', '★', 'やっぱり', '今回', 'も', 'キムタク', 'が', 'ギター', 'を', '弾い', 'て', 'い', 'た', '。', '最後', 'の', '方', 'は', 'ドラム', 'も']",['不親切'],NO,不親切,NO,NO
1,不親切,ん？お店に提案してみては？ちょっと矛盾していますね。こどもの健康には不親切なお店ですね。,"['ん', '？', 'お', '店', 'に', '提案', 'し', 'て', 'み', 'て', 'は', '？', 'ちょっと', '矛盾', 'し', 'て', 'い', 'ます', 'ね', '。', 'こども', 'の', '健康', 'に', 'は', '不親切', 'な', 'お', '店', 'です', 'ね', '。']",['不親切'],NO,不親切,NO,NO
2,不親切,しかしセーブが１ッ箇所しか出来ないし、悪魔全書が無いというのはなんという不親切（−”−）やはり２周目以降でないと作れない悪魔もいるらしい。などですね〜,"['しかし', 'セーブ', 'が', '１', 'ッ', '箇所', 'しか', '出来', 'ない', 'し', '、', '悪魔', '全書', 'が', '無い', 'という', 'の', 'は', 'なんと', 'いう', '不親切', '（', '−', '”', '−', '）', 'や', 'はり', '２', '周', '目', '以降', 'で', 'ない', 'と', '作れ', 'ない', '悪魔', 'も', 'いる', 'らしい', '。', 'など', 'です', 'ね', '〜']",['不親切'],NO,不親切,NO,NO
3,不親切,よく目にするブラジルや東南アジアの原生林の伐採である。説明は、なるほど幼稚園児向きには不親切だ。小学生でもこれでは不十分だ。なぜ他国の企業がやって来,"['よく', '目', 'に', 'する', 'ブラジル', 'や', '東南アジア', 'の', '原生', '林', 'の', '伐採', 'で', 'ある', '。', '説明', 'は', '、', 'なるほど', '幼稚園', '児', '向き', 'に', 'は', '不親切', 'だ', '。', '小学生', 'で', 'も', 'これ', 'で', 'は', '不十分', 'だ', '。', 'なぜ', '他国', 'の', '企業', 'が', 'やって来']",['不親切'],NO,不親切,NO,NO
4,不親切,ているのに、自分は幾らもらえるだろうというのがわからぬような年金というのは不親切ですよ。そうすると、あなたの方はそこに政策的と言うが、政策的意図が,"['て', 'いる', 'のに', '、', '自分', 'は', '幾ら', 'もらえる', 'だろ', 'う', 'という', 'の', 'が', 'わから', 'ぬ', 'よう', 'な', '年金', 'という', 'の', 'は', '不親切', 'です', 'よ', '。', 'そう', 'する', 'と', '、', 'あなた', 'の', '方', 'は', 'そこ', 'に', '政策', '的', 'と', '言う', 'が', '、', '政策', '的', '意図', 'が']",['不親切'],NO,不親切,NO,NO
5,不親切,から聞いたことなんだけど、普通はメーカーの担当者が教える内容じゃないの？（不親切に感じた！！！）車検証には所有者と使用者の欄があり、名義変更と,"['から', '聞い', 'た', 'こと', 'な', 'ん', 'だ', 'けど', '、', '普通', 'は', 'メーカー', 'の', '担当', '者', 'が', '教える', '内容', 'じゃ', 'ない', 'の', '？', '（', '不親切', 'に', '感じ', 'た', '！', '！', '！', '）', '車検', '証', 'に', 'は', '所有', '者', 'と', '使用', '者', 'の', '欄', 'が', 'あり', '、', '名義', '変更', 'と']",['不親切'],NO,不親切,NO,NO
6,不親切,を見てくれ」と言われ見たんですが分かりにくかったので、、すいません。説明書も不親切で困ってます。ｉＰｏｄを「復元（Ｒｅｓｔｏｒｅ）」する、すなわち工場出荷時の設定に戻す,"['を', '見', 'て', 'くれ', '」', 'と', '言わ', 'れ', '見', 'た', 'ん', 'です', 'が', '分かり', 'にくかっ', 'た', 'ので', '、', '、', 'すいません', '。', '説明', '書', 'も', '不親切', 'で', '困っ', 'て', 'ます', '。', 'ｉＰｏｄ', 'を', '「', '復元', '（', 'Ｒｅｓｔｏｒｅ', '）', '」', 'する', '、', 'すなわち', '工場', '出荷', '時', 'の', '設定', 'に', '戻す']",['不親切'],NO,不親切,NO,NO
7,不親切,六十になってもらうか悩むのです、この重大なことが法律にないというのは極めて不親切ではないか、こう言ったのですが、法制局はどういう見解であるか、これをお聞かせ願い,"['六', '十', 'に', 'なっ', 'て', 'もらう', 'か', '悩む', 'の', 'です', '、', 'この', '重大', 'な', 'こと', 'が', '法律', 'に', 'ない', 'という', 'の', 'は', '極めて', '不親切', 'で', 'は', 'ない', 'か', '、', 'こう', '言っ', 'た', 'の', 'です', 'が', '、', '法制', '局', 'は', 'どういう', '見解', 'で', 'ある', 'か', '、', 'これ', 'を', 'お', '聞か', 'せ', '願い']",['不親切'],NO,不親切,NO,NO
8,不親切,の改札に入りなおす」必要はないですか？これからスイカを買うので、乗り換え口の不親切な掲示だけではわかりません。菊名の乗換口であれば、乗換口にある掲示に,"['の', '改札', 'に', '入り', 'なおす', '」', '必要', 'は', 'ない', 'です', 'か', '？', 'これから', 'スイカ', 'を', '買う', 'ので', '、', '乗り換え', '口', 'の', '不親切', 'な', '掲示', 'だけ', 'で', 'は', 'わかり', 'ませ', 'ん', '。', '菊名', 'の', '乗換', '口', 'で', 'あれ', 'ば', '、', '乗換', '口', 'に', 'ある', '掲示', 'に']",['不親切'],NO,不親切,NO,NO
9,不親切,が重なっていますと言うことでなんの連絡もなしにダウンしました。ちょっとユーザーに不親切な会社ではありませんか？それなら初めから登録してる人間に前もって,"['が', '重なっ', 'て', 'い', 'ます', 'と', '言う', 'こと', 'で', 'なん', 'の', '連絡', 'も', 'なし', 'に', 'ダウン', 'し', 'まし', 'た', '。', 'ちょっと', 'ユーザー', 'に', '不親切', 'な', '会社', 'で', 'は', 'あり', 'ませ', 'ん', 'か', '？', 'それなら', '初め', 'から', '登録', 'し', 'てる', '人間', 'に', '前もって']",['不親切'],NO,不親切,NO,NO
