,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各新聞,ない。２県からも公開しないよう申し入れがあった、として非公開で押し通したと各新聞は伝えていた。,"['ない', '。', '２', '県', 'から', 'も', '公開', 'し', 'ない', 'よう', '申し入れ', 'が', 'あっ', 'た', '、', 'として', '非公開', 'で', '押し通し', 'た', 'と', '各', '新聞', 'は', '伝え', 'て', 'い', 'た', '。']","['各', '新聞']",YES,各新聞,NO,NO
1,各新聞,ましたか？」「ああ。実に…ひどいもんだ。朝からずっと、各新聞から電話が入ってきている」「いったいなにが起きたと思います？」,"['まし', 'た', 'か', '？', '」', '「', 'ああ', '。', '実に', '…', 'ひどい', 'もん', 'だ', '。', '朝', 'から', 'ずっと', '、', '各', '新聞', 'から', '電話', 'が', '入っ', 'て', 'き', 'て', 'いる', '」', '「', 'いったい', 'なに', 'が', '起き', 'た', 'と', '思い', 'ます', '？', '」']","['各', '新聞']",YES,各新聞,NO,NO
2,各新聞,ならば民政党は田中内閣打倒大会を開催するはずだった。しかし、急遽浜口内閣祝賀大会になった。各新聞もおおむね歓迎ムードだった。まずその驚きは組閣スピードである。七月三日の『東京日日新聞』に,"['ならば', '民政', '党', 'は', '田中', '内閣', '打倒', '大会', 'を', '開催', 'する', 'はず', 'だっ', 'た', '。', 'しかし', '、', '急遽', '浜口', '内閣', '祝賀', '大会', 'に', 'なっ', 'た', '。', '各', '新聞', 'も', 'おおむね', '歓迎', 'ムード', 'だっ', 'た', '。', 'まず', 'その', '驚き', 'は', '組閣', 'スピード', 'で', 'ある', '。', '七月', '三', '日', 'の', '『', '東京日日新聞', '』', 'に']","['各', '新聞']",YES,各新聞,NO,NO
3,各新聞,が、イスラマバードですか、そこへ行って発言をしておりますね。あの発言が各新聞に大きく出されて「「３％参入」も浮上」、こういう形になっている。,"['が', '、', 'イスラマバード', 'です', 'か', '、', 'そこ', 'へ', '行っ', 'て', '発言', 'を', 'し', 'て', 'おり', 'ます', 'ね', '。', 'あの', '発言', 'が', '各', '新聞', 'に', '大きく', '出さ', 'れ', 'て', '「', '「', '３', '％', '参入', '」', 'も', '浮上', '」', '、', 'こういう', '形', 'に', 'なっ', 'て', 'いる', '。']","['各', '新聞']",YES,各新聞,NO,NO
4,各新聞,なかった読者たちが、「布哇国にて日本人移住民の苛使虐待せし報告に接するや、日本国中の各新聞は筆陣を張り、囂々嘖々として之を痛論したるに非ずや」という状況に陥っ,"['なかっ', 'た', '読者', 'たち', 'が', '、', '「', '布', '哇国', 'にて', '日本人', '移住', '民', 'の', '苛使', '虐待', 'せ', 'し', '報告', 'に', '接する', 'や', '、', '日本', '国', '中', 'の', '各', '新聞', 'は', '筆陣', 'を', '張り', '、', '囂々', '嘖々', 'として', '之', 'を', '痛論', 'し', 'たる', 'に', '非', 'ず', 'や', '」', 'という', '状況', 'に', '陥っ']","['各', '新聞']",YES,各新聞,NO,NO
5,各新聞,ます。○正森委員そういう答弁ですが、しかし半導体問題を例にとると、その後各新聞は次のような論評を一斉に掲げております。「この達成には、「,"['ます', '。', '○', '正', '森', '委員', 'そういう', '答弁', 'です', 'が', '、', 'しかし', '半導体', '問題', 'を', '例', 'に', 'とる', 'と', '、', 'その後', '各', '新聞', 'は', '次', 'の', 'よう', 'な', '論評', 'を', '一斉', 'に', '掲げ', 'て', 'おり', 'ます', '。', '「', 'この', '達成', 'に', 'は', '、', '「']","['各', '新聞']",YES,各新聞,NO,NO
6,各新聞,各行政センターなどの主な出先機関にも用意してありますので、利用してください。広報おおたは朝日・産経・上毛・東京・日経・毎日・読売の各新聞に折り込み配布されます。これらを宅配購読されていない人は広報統計課（☎４７‐１８１２）へご連絡ください,"['各', '行政', 'センター', 'など', 'の', '主', 'な', '出先', '機関', 'に', 'も', '用意', 'し', 'て', 'あり', 'ます', 'ので', '、', '利用', 'し', 'て', 'ください', '。', '広報', 'おお', 'た', 'は', '朝日', '・', '産経', '・', '上', '毛', '・', '東京', '・', '日経', '・', '毎日', '・', '読売', 'の', '各', '新聞', 'に', '折り込み', '配布', 'さ', 'れ', 'ます', '。', 'これら', 'を', '宅配', '購読', 'さ', 'れ', 'て', 'い', 'ない', '人', 'は', '広報', '統計', '課', '（☎', '４', '７', '‐', '１', '８', '１', '２', '）', 'へ', 'ご', '連絡', 'ください']","['各', '新聞']",YES,各新聞,NO,NO
7,各新聞,逃さず自分の主張を訴えようという魂胆かららしい。自らの信念を吐露し、これから各新聞に投書をして、長官のばけの皮をひんむいてやると宣言（事実いつも,"['逃さ', 'ず', '自分', 'の', '主張', 'を', '訴えよ', 'う', 'という', '魂胆', 'から', 'らしい', '。', '自ら', 'の', '信念', 'を', '吐露', 'し', '、', 'これから', '各', '新聞', 'に', '投書', 'を', 'し', 'て', '、', '長官', 'の', 'ばけ', 'の', '皮', 'を', 'ひん', 'むい', 'て', 'やる', 'と', '宣言', '（', '事実', 'いつも']","['各', '新聞']",YES,各新聞,NO,NO
8,各新聞,おみやげ」を日本経済新聞が最初に報じたのが端緒となった。その後、各新聞がそれぞれ取材力を駆使して隠された事実を掘り起こす調査報道合戦に発展したが、やはり最初,"['おみやげ', '」', 'を', '日本経済新聞', 'が', '最初', 'に', '報じ', 'た', 'の', 'が', '端緒', 'と', 'なっ', 'た', '。', 'その後', '、', '各', '新聞', 'が', 'それぞれ', '取材', '力', 'を', '駆使', 'し', 'て', '隠さ', 'れ', 'た', '事実', 'を', '掘り起こす', '調査', '報道', '合戦', 'に', '発展', 'し', 'た', 'が', '、', 'やはり', '最初']","['各', '新聞']",YES,各新聞,NO,NO
9,各新聞,から、警察は過激派を泳がせているという声すらも出ている。それから、これは各新聞はみんな書いていますから、朝日新聞も言わないと公正を欠きますから、朝日新聞の,"['から', '、', '警察', 'は', '過激', '派', 'を', '泳がせ', 'て', 'いる', 'という', '声', 'すら', 'も', '出', 'て', 'いる', '。', 'それから', '、', 'これ', 'は', '各', '新聞', 'は', 'みんな', '書い', 'て', 'い', 'ます', 'から', '、', '朝日新聞', 'も', '言わ', 'ない', 'と', '公正', 'を', '欠き', 'ます', 'から', '、', '朝日新聞', 'の']","['各', '新聞']",YES,各新聞,NO,NO
