,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各種,。そのような社会にあっては，日常生活を営みながら健康増進，疾病予防からリハビリテーションまで各種のサービスを必要に応じ手軽に利用できる体制が必須である。高齢者や病人を必要以上に,"['。', 'その', 'よう', 'な', '社会', 'に', 'あっ', 'て', 'は', '，', '日常', '生活', 'を', '営み', 'ながら', '健康', '増進', '，', '疾病', '予防', 'から', 'リハビリテーション', 'まで', '各種', 'の', 'サービス', 'を', '必要', 'に', '応じ', '手軽', 'に', '利用', 'できる', '体制', 'が', '必須', 'で', 'ある', '。', '高齢', '者', 'や', '病人', 'を', '必要', '以上', 'に']",['各種'],NO,各種,NO,NO
1,各種,ますが、あわせてこれを実効あらしめますために、貿管令に基づきます事前確認制を含む各種の措置を講じておりまして、大体現在のところ秩序ある輸入という体制になっておる,"['ます', 'が', '、', 'あわせ', 'て', 'これ', 'を', '実効', 'あら', 'しめ', 'ます', 'ため', 'に', '、', '貿管', '令', 'に', '基づき', 'ます', '事前', '確認', '制', 'を', '含む', '各種', 'の', '措置', 'を', '講じ', 'て', 'おり', 'まし', 'て', '、', '大体', '現在', 'の', 'ところ', '秩序', 'ある', '輸入', 'という', '体制', 'に', 'なっ', 'て', 'おる']",['各種'],NO,各種,NO,NO
2,各種,都市基幹公園約一万千三百ヘクタール（１人当たり面積約１．２１平方メートル）である。また、児童が遊びながら交通知識等を体得できるような各種の施設を設置した交通公園は、昭和四十九年度末現在、全国で百五十五か所が開設され、一般の,"['都市', '基幹', '公園', '約', '一', '万', '千', '三', '百', 'ヘクタール', '（', '１', '人', '当たり', '面積', '約', '１', '．', '２', '１', '平方メートル', '）', 'で', 'ある', '。', 'また', '、', '児童', 'が', '遊び', 'ながら', '交通', '知識', '等', 'を', '体得', 'できる', 'よう', 'な', '各種', 'の', '施設', 'を', '設置', 'し', 'た', '交通', '公園', 'は', '、', '昭和', '四', '十', '九', '年度', '末', '現在', '、', '全国', 'で', '百', '五', '十', '五', 'か所', 'が', '開設', 'さ', 'れ', '、', '一般', 'の']",['各種'],NO,各種,NO,NO
3,各種,Ｃｏｍｍａｎｄ，Ｃｏｎｔｒｏｌ，ＣｏｍｍｕｎｉｃａｔｉｏｎａｎｄＩｎｔｅｌｌｉｇｅｎｃｅ（Ｃ３Ｉ）である。１は、各種の手段を駆使して、たとえばアメリカのトマホーク巡航ミサイルなどで打撃するものである。しかし、平時から,"['Ｃｏｍｍａｎｄ', '，', 'Ｃｏｎｔｒｏｌ', '，', 'Ｃ', 'ｏ', 'ｍ', 'ｍｕｎｉｃａｔｉｏｎａｎｄＩｎｔｅｌｌｉｇｅｎｃｅ', '（', 'Ｃ', '３', 'Ｉ', '）', 'で', 'ある', '。', '１', 'は', '、', '各種', 'の', '手段', 'を', '駆使', 'し', 'て', '、', 'たとえば', 'アメリカ', 'の', 'トマホーク', '巡航', 'ミサイル', 'など', 'で', '打撃', 'する', 'もの', 'で', 'ある', '。', 'しかし', '、', '平時', 'から']",['各種'],NO,各種,NO,NO
4,各種,まだひろく用いられなかった時代には、その用途はきわめてひろく、水甕・酒甕・藍甕はもとより、各種の物資貯蔵用にも用いられた。また摺鉢も多く産しているが、これもこの時代,"['まだ', 'ひろく', '用い', 'られ', 'なかっ', 'た', '時代', 'に', 'は', '、', 'その', '用途', 'は', 'きわめて', 'ひろく', '、', '水甕', '・', '酒甕', '・', '藍', '甕', 'は', 'もとより', '、', '各種', 'の', '物資', '貯蔵', '用', 'に', 'も', '用い', 'られ', 'た', '。', 'また', '摺', '鉢', 'も', '多く', '産し', 'て', 'いる', 'が', '、', 'これ', 'も', 'この', '時代']",['各種'],NO,各種,NO,NO
5,各種,に向けて検討が進められました。具体化に向けては、情報の共有化や各種の施策の連携を図るため各部門共通の場を設けながら検討が加えられました。,"['に', '向け', 'て', '検討', 'が', '進め', 'られ', 'まし', 'た', '。', '具体', '化', 'に', '向け', 'て', 'は', '、', '情報', 'の', '共有', '化', 'や', '各種', 'の', '施策', 'の', '連携', 'を', '図る', 'ため', '各', '部門', '共通', 'の', '場', 'を', '設け', 'ながら', '検討', 'が', '加え', 'られ', 'まし', 'た', '。']",['各種'],NO,各種,NO,NO
6,各種,れた遺伝子組換えトマト（朝日新聞社提供）産業界、学会は反対遺伝子操作生物の開放系での利用は、各種の応用が期待される分野だけに、法律による規制導入には研究者や産業界から、,"['れ', 'た', '遺伝子', '組', '換え', 'トマト', '（', '朝日新聞社', '提供', '）', '産業', '界', '、', '学会', 'は', '反対', '遺伝子', '操作', '生物', 'の', '開放', '系', 'で', 'の', '利用', 'は', '、', '各種', 'の', '応用', 'が', '期待', 'さ', 'れる', '分野', 'だけ', 'に', '、', '法律', 'による', '規制', '導入', 'に', 'は', '研究', '者', 'や', '産業', '界', 'から', '、']",['各種'],NO,各種,NO,NO
7,各種,あるいは財政投融資などを通じて国の関係公団が行うに最もふさわしい事業ではないかなと、私は各種の国の公社公団を見ていて思うのですけれども、なぜそういうふうな方式を,"['あるいは', '財政', '投融資', 'など', 'を通じて', '国', 'の', '関係', '公団', 'が', '行う', 'に', '最も', 'ふさわしい', '事業', 'で', 'は', 'ない', 'か', 'な', 'と', '、', '私', 'は', '各種', 'の', '国', 'の', '公社', '公団', 'を', '見', 'て', 'い', 'て', '思う', 'の', 'です', 'けれども', '、', 'なぜ', 'そういう', 'ふう', 'な', '方式', 'を']",['各種'],NO,各種,NO,NO
8,各種,と、せっせと苗を植え、種を蒔いた。前庭には次から次と、各種の花が咲き、門前を通る人の中には、わざわざ足を止め、鑑賞し,"['と', '、', 'せっせと', '苗', 'を', '植え', '、', '種', 'を', '蒔い', 'た', '。', '前庭', 'に', 'は', '次', 'から', '次', 'と', '、', '各種', 'の', '花', 'が', '咲き', '、', '門前', 'を', '通る', '人', 'の', '中', 'に', 'は', '、', 'わざわざ', '足', 'を', '止め', '、', '鑑賞', 'し']",['各種'],NO,各種,NO,NO
9,各種,問題は基本的には解決し、まさに小康に向かって邁進している」状況にある。また各種の経済体制改革は一方で不合理な停滞した経済状況に活力を与え、人びとの政策への,"['問題', 'は', '基本', '的', 'に', 'は', '解決', 'し', '、', 'まさに', '小康', 'に', '向かっ', 'て', '邁進', 'し', 'て', 'いる', '」', '状況', 'に', 'ある', '。', 'また', '各種', 'の', '経済', '体制', '改革', 'は', '一方', 'で', '不合理', 'な', '停滞', 'し', 'た', '経済', '状況', 'に', '活力', 'を', '与え', '、', '人びと', 'の', '政策', 'へ', 'の']",['各種'],NO,各種,NO,NO
