,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未発表,ａ）と北越地域（山北町）（ｂ）のスギ林地位指数（橋本ら，千九百六十九）（真下ら，未発表）表３．十三各部分林分生長量（四大学合同調査，千九百六十六）（２）ヒノキスギととも,"['ａ', '）', 'と', '北越', '地域', '（', '山北', '町', '）', '（', 'ｂ', '）', 'の', 'スギ', '林地', '位', '指数', '（', '橋本', 'ら', '，', '千', '九', '百', '六', '十', '九', '）', '（', '真下', 'ら', '，', '未', '発表', '）', '表', '３', '．', '十', '三', '各', '部分', '林', '分', '生長', '量', '（', '四', '大学', '合同', '調査', '，', '千', '九', '百', '六', '十', '六', '）', '（', '２', '）', 'ヒノキ', 'スギ', 'と', 'とも']","['未', '発表']",YES,未発表,NO,NO
1,未発表,。◇…採用作品の使用などに係る一切の著作権は主催著に帰属します。◇…未発表かつオリジナル作品に限ります。◇…応募作品は第三者の著作権・商標権を侵害しないものおよび公序良俗に,"['。', '◇', '…', '採用', '作品', 'の', '使用', 'など', 'に', '係る', '一切', 'の', '著作', '権', 'は', '主催', '著', 'に', '帰属', 'し', 'ます', '。', '◇', '…', '未', '発表', 'かつ', 'オリジナル', '作品', 'に', '限り', 'ます', '。', '◇', '…', '応募', '作品', 'は', '第三者', 'の', '著作', '権', '・', '商標', '権', 'を', '侵害', 'し', 'ない', 'もの', 'および', '公序良俗', 'に']","['未', '発表']",YES,未発表,NO,NO
2,未発表,な標語【応募資格】どなたでも応募できますが、個人によるものとし、作品は未発表の自作のものに限ります。【応募締切】２月二十九日（金）（必着）【,"['な', '標語', '【', '応募', '資格', '】', 'どなた', 'でも', '応募', 'でき', 'ます', 'が', '、', '個人', 'による', 'もの', 'と', 'し', '、', '作品', 'は', '未', '発表', 'の', '自作', 'の', 'もの', 'に', '限り', 'ます', '。', '【', '応募', '締切', '】', '２月', '二', '十', '九', '日', '（', '金', '）', '（', '必着', '）', '【']","['未', '発表']",YES,未発表,NO,NO
3,未発表,温かい卵酒で早く良くなって下さい。お大事に。ご応募をお待ちしています●はがき１枚に未発表のもの２作品（ふりがな）まで●応募部門・住所・氏名（ふりがな）・電話番号を明記●あて先／広報担当,"['温かい', '卵酒', 'で', '早く', '良く', 'なっ', 'て', '下さい', '。', 'お', '大事', 'に', '。', 'ご', '応募', 'を', 'お待ち', 'し', 'て', 'い', 'ます', '●', 'はがき', '１', '枚', 'に', '未', '発表', 'の', 'もの', '２', '作品', '（', 'ふりがな', '）', 'まで', '●', '応募', '部門', '・', '住所', '・', '氏名', '（', 'ふりがな', '）', '・', '電話', '番号', 'を', '明記', '●', 'あて先', '／', '広報', '担当']","['未', '発表']",YES,未発表,NO,NO
4,未発表,」の虚像性が見透かされ、創作過程という認識それ自体の虚構性が明らかとなってしまったのである。未発表の原稿は、作者が公表を意図したにもかかわらずたまたま活字にならなかった,"['」', 'の', '虚像', '性', 'が', '見透かさ', 'れ', '、', '創作', '過程', 'という', '認識', 'それ', '自体', 'の', '虚構', '性', 'が', '明らか', 'と', 'なっ', 'て', 'しまっ', 'た', 'の', 'で', 'ある', '。', '未', '発表', 'の', '原稿', 'は', '、', '作者', 'が', '公表', 'を', '意図', 'し', 'た', 'に', 'も', 'かかわら', 'ず', 'たまたま', '活字', 'に', 'なら', 'なかっ', 'た']","['未', '発表']",YES,未発表,NO,NO
5,未発表,ｍｔ）や小胞体（ｅｒ）を巻き込み，平面的にはひも状に見える．［小林・岩松，未発表］図１‐５メダカの大きい卵母細胞を取り囲む濾胞構成成分の卵巣内における位置関係卵母細胞の,"['ｍ', 'ｔ', '）', 'や', '小', '胞体', '（', 'ｅ', 'ｒ', '）', 'を', '巻き込み', '，', '平面', '的', 'に', 'は', 'ひも', '状', 'に', '見える', '．', '［', '小林', '・', '岩松', '，', '未', '発表', '］', '図', '１', '‐', '５', 'メダカ', 'の', '大きい', '卵', '母', '細胞', 'を', '取り囲む', '濾胞', '構成', '成分', 'の', '卵巣', '内', 'における', '位置', '関係', '卵', '母', '細胞', 'の']","['未', '発表']",YES,未発表,NO,NO
6,未発表,た！！！のだそうだ」（アドルノのクラカウアーあての手紙、三十一年六月八日付、未発表）。ヴィーン学派とのきみの対決ＡＧＳ１、三百三十一以下を参照。現象学とのきみ,"['た', '！', '！', '！', 'の', 'だ', 'そう', 'だ', '」', '（', 'アドルノ', 'の', 'クラカウアー', 'あて', 'の', '手紙', '、', '三', '十', '一', '年', '六月', '八', '日', '付', '、', '未', '発表', '）', '。', 'ヴィーン', '学派', 'と', 'の', 'きみ', 'の', '対決', 'ＡＧＳ', '１', '、', '三', '百', '三', '十', '一', '以下', 'を', '参照', '。', '現象', '学', 'と', 'の', 'きみ']","['未', '発表']",YES,未発表,NO,NO
7,未発表,．（Ｌ．）ｏｋｉｎａｗａが多化性であることが最近になってわかった（宮永ら，未発表）。ただし，後の２種は南西諸島にのみ分布する亜熱帯産種である。図２には,"['．', '（', 'Ｌ', '．', '）', 'ｏｋｉｎａｗａ', 'が', '多', '化', '性', 'で', 'ある', 'こと', 'が', '最近', 'に', 'なっ', 'て', 'わかっ', 'た', '（', '宮永', 'ら', '，', '未', '発表', '）', '。', 'ただし', '，', '後', 'の', '２', '種', 'は', '南西諸島', 'に', 'のみ', '分布', 'する', '亜熱帯', '産', '種', 'で', 'ある', '。', '図', '２', 'に', 'は']","['未', '発表']",YES,未発表,NO,NO
8,未発表,（人・もの）、撮影日時、住所、氏名・年齢・電話番号］※写真の大きさは４つ切りかＡ４。未発表の作品で、人物の場合は本人が承諾済みのこと。■申込み十一月十七日（,"['（', '人', '・', 'もの', '）', '、', '撮影', '日', '時', '、', '住所', '、', '氏名', '・', '年齢', '・', '電話', '番号', '］', '※', '写真', 'の', '大き', 'さ', 'は', '４つ', '切り', 'か', 'Ａ', '４', '。', '未', '発表', 'の', '作品', 'で', '、', '人物', 'の', '場合', 'は', '本人', 'が', '承諾', '済み', 'の', 'こと', '。', '■', '申込み', '十一月', '十', '七', '日', '（']","['未', '発表']",YES,未発表,NO,NO
9,未発表,公募部門）に出品しませんか９．１０月に鎌倉芸術館で開催する「鎌倉市展」公募部門の美術展・写真展・書道展の作品（未発表のもの）を募集します。詳細は応募要項をご覧ください。応募期間…８月４日〜８日（,"['公募', '部門', '）', 'に', '出品', 'し', 'ませ', 'ん', 'か', '９', '．', '１０月', 'に', '鎌倉', '芸術', '館', 'で', '開催', 'する', '「', '鎌倉', '市', '展', '」', '公募', '部門', 'の', '美術', '展', '・', '写真', '展', '・', '書道', '展', 'の', '作品', '（', '未', '発表', 'の', 'もの', '）', 'を', '募集', 'し', 'ます', '。', '詳細', 'は', '応募', '要項', 'を', 'ご覧', 'ください', '。', '応募', '期間', '…', '８月', '４', '日', '〜', '８', '日', '（']","['未', '発表']",YES,未発表,NO,NO
10,未発表,ている。優秀作は同演芸場の公演で上演する。今年度の募集は浪曲。題材は自由で未発表の創作作品に限る。四百字詰め原稿用紙で十五〜二十枚程度。応募には所定の応募用紙が必要。応募期間は,"['て', 'いる', '。', '優秀', '作', 'は', '同', '演芸', '場', 'の', '公演', 'で', '上演', 'する', '。', '今年度', 'の', '募集', 'は', '浪曲', '。', '題材', 'は', '自由', 'で', '未', '発表', 'の', '創作', '作品', 'に', '限る', '。', '四', '百', '字詰め', '原稿', '用紙', 'で', '十', '五', '〜', '二', '十', '枚', '程度', '。', '応募', 'に', 'は', '所定', 'の', '応募', '用紙', 'が', '必要', '。', '応募', '期間', 'は']","['未', '発表']",YES,未発表,NO,NO
11,未発表,応募は、１点とします。◇類似施設における名称として使用されておらず、自作で未発表の作品に限ります。◇使用できる文字は、漢字、ひらがな及びカタカナです。※漢字,"['応募', 'は', '、', '１', '点', 'と', 'し', 'ます', '。', '◇', '類似', '施設', 'における', '名称', 'として', '使用', 'さ', 'れ', 'て', 'おら', 'ず', '、', '自作', 'で', '未', '発表', 'の', '作品', 'に', '限り', 'ます', '。', '◇', '使用', 'できる', '文字', 'は', '、', '漢字', '、', 'ひ', 'ら', 'が', 'な', '及び', 'カタカナ', 'です', '。', '※', '漢字']","['未', '発表']",YES,未発表,NO,NO
12,未発表,前にずれるだけで，深さ十ｃｍまで融解するのはやはり消雪日から約２週間後である（池田，未発表；梶本，二千）．風衝地の場合，このように雪どけが早くしかも季節凍土がしばらく,"['前', 'に', 'ずれる', 'だけ', 'で', '，', '深', 'さ', '十', 'ｃｍ', 'まで', '融解', 'する', 'の', 'は', 'やはり', '消', '雪', '日', 'から', '約', '２', '週間', '後', 'で', 'ある', '（', '池田', '，', '未', '発表', '；', '梶本', '，', '二', '千', '）', '．', '風', '衝地', 'の', '場合', '，', 'この', 'よう', 'に', '雪どけ', 'が', '早く', 'しかも', '季節', '凍土', 'が', 'しばらく']","['未', '発表']",YES,未発表,NO,NO
13,未発表,募集作品画用紙四つ切を使用し、たて十八ｃｍ×よこ五十四ｃｍ一人何点でも可＊未発表のもの◆対象どなたでも◆申込・問合せ９月二十六日（必着）までに、作品,"['募集', '作品', '画用紙', '四つ', '切', 'を', '使用', 'し', '、', 'たて', '十', '八', 'ｃｍ', '×', 'よ', 'こ', '五', '十', '四', 'ｃｍ', '一', '人', '何', '点', 'でも', '可', '＊', '未', '発表', 'の', 'もの', '◆', '対象', 'どなた', 'でも', '◆', '申込', '・', '問合せ', '９月', '二', '十', '六', '日', '（', '必着', '）', 'まで', 'に', '、', '作品']","['未', '発表']",YES,未発表,NO,NO
14,未発表,送付するか、区役所１番窓口へお持ちください。２月７日（木）締切。※自作で未発表の作品に限ります（選考のうえ掲載）。応募作品は返還しません。掲載された,"['送付', 'する', 'か', '、', '区役所', '１', '番', '窓口', 'へ', 'お', '持ち', 'ください', '。', '２月', '７', '日', '（', '木', '）', '締切', '。', '※', '自作', 'で', '未', '発表', 'の', '作品', 'に', '限り', 'ます', '（', '選考', 'の', 'うえ', '掲載', '）', '。', '応募', '作品', 'は', '返還', 'し', 'ませ', 'ん', '。', '掲載', 'さ', 'れ', 'た']","['未', '発表']",YES,未発表,NO,NO
15,未発表,三十二）主演のフジテレビの連続ドラマ「エンジン」の主題歌を教えてください。残念ながら今現在は主題歌（未発表）です。もう少し待ってください。。。。。。。,"['三', '十', '二', '）', '主演', 'の', 'フジテレビ', 'の', '連続', 'ドラマ', '「', 'エンジン', '」', 'の', '主題歌', 'を', '教え', 'て', 'ください', '。', '残念', 'ながら', '今', '現在', 'は', '主題歌', '（', '未', '発表', '）', 'です', '。', 'もう少し', '待っ', 'て', 'ください', '。', '。', '。', '。', '。', '。', '。']","['未', '発表']",YES,未発表,NO,NO
