,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無料,（登別小５年生）※学校・学年は応募時のものです。５月下旬〜６月中旬の市立図書館行事▼参加料無料※幼児は、保護者同伴とします。※５月十七日の『わらじを作ろう』は５月,"['（', '登別', '小', '５', '年生', '）', '※', '学校', '・', '学年', 'は', '応募', '時', 'の', 'もの', 'です', '。', '５月', '下旬', '〜', '６月', '中旬', 'の', '市立', '図書館', '行事', '▼', '参加', '料', '無料', '※', '幼児', 'は', '、', '保護', '者', '同伴', 'と', 'し', 'ます', '。', '※', '５月', '十', '七', '日', 'の', '『', 'わらじ', 'を', '作ろ', 'う', '』', 'は', '５月']",['無料'],NO,無料,NO,NO
1,無料,お聴きし解決や実現を図ります。◎問い合わせ先＝広報広聴課広聴グループ☎（六十四）０９５５人権相談●相談は無料（予約不要）・相談日・場所・５月十四日（水）霧島総合支所３階会議室・５月十五日（木）国分総合福祉センター２階教養娯楽室,"['お', '聴き', 'し', '解決', 'や', '実現', 'を', '図り', 'ます', '。', '◎', '問い合わせ', '先', '＝', '広報', '広', '聴課', '広', '聴', 'グループ', '☎（', '六', '十', '四', '）', '０', '９', '５', '５', '人', '権', '相談', '●', '相談', 'は', '無料', '（', '予約', '不要', '）', '・', '相談', '日', '・', '場所', '・', '５月', '十', '四', '日', '（', '水', '）', '霧島', '総合', '支所', '３', '階', '会議', '室', '・', '５月', '十', '五', '日', '（', '木', '）', '国分', '総合', '福祉', 'センター', '２', '階', '教養', '娯楽', '室']",['無料'],NO,無料,NO,NO
2,無料,「第５回厚木ビデオまつり」十月十二日、十四時〜十六時三十分。文化会館。１年間の成果を発表。無料。問■■☎■■■■■■■■。◆厚木精華園「ラ・フェスタ」十月十九日、十時三十分〜十四時三十分。厚木精華園（上荻野,"['「', '第', '５', '回', '厚木', 'ビデオ', 'まつり', '」', '十月', '十', '二', '日', '、', '十', '四', '時', '〜', '十', '六', '時', '三', '十', '分', '。', '文化', '会館', '。', '１', '年間', 'の', '成果', 'を', '発表', '。', '無料', '。', '問', '■■☎■■■■■■■■。◆', '厚木', '精華', '園', '「', 'ラ・フェスタ', '」', '十月', '十', '九', '日', '、', '十', '時', '三', '十', '分', '〜', '十', '四', '時', '三', '十', '分', '。', '厚木', '精華', '園', '（', '上荻野']",['無料'],NO,無料,NO,NO
3,無料,朝顔日記」などをテーマにした紙芝居で民話を学ぶ対象：どなたでも四十人（無料）申込み：９月二十五日（木）、午前９時〜、電話で入江生涯学習交流館へどうぞ（申込順,"['朝顔', '日記', '」', 'など', 'を', 'テーマ', 'に', 'し', 'た', '紙芝居', 'で', '民話', 'を', '学ぶ', '対象', '：', 'どなた', 'でも', '四', '十', '人', '（', '無料', '）', '申込み', '：', '９月', '二', '十', '五', '日', '（', '木', '）', '、', '午前', '９', '時', '〜', '、', '電話', 'で', '入江', '生涯', '学習', '交流', '館', 'へ', 'どうぞ', '（', '申込', '順']",['無料'],NO,無料,NO,NO
4,無料,である―に対し、発電に使われる水が住民のものであるという理由で、電力を無料で供給するよう要求しているにもかかわらず、この建設は大成功と考えられていて、二番目の発電機,"['で', 'ある', '―', 'に対し', '、', '発電', 'に', '使わ', 'れる', '水', 'が', '住民', 'の', 'もの', 'で', 'ある', 'という', '理由', 'で', '、', '電力', 'を', '無料', 'で', '供給', 'する', 'よう', '要求', 'し', 'て', 'いる', 'に', 'も', 'かかわら', 'ず', '、', 'この', '建設', 'は', '大', '成功', 'と', '考え', 'られ', 'て', 'い', 'て', '、', '二', '番目', 'の', '発電', '機']",['無料'],NO,無料,NO,NO
5,無料,対象四十五歳までの市民で、３日間参加できる人＝二十人▽参加料無料※保育室（無料）を準備します。希望者は参加申し込み時に申し出ください。▽問い合わせ・申込先６月十六日までに、市民参画センター,"['対象', '四', '十', '五', '歳', 'まで', 'の', '市民', 'で', '、', '３', '日間', '参加', 'できる', '人', '＝', '二', '十', '人', '▽', '参加', '料', '無料', '※', '保育', '室', '（', '無料', '）', 'を', '準備', 'し', 'ます', '。', '希望', '者', 'は', '参加', '申し込み', '時', 'に', '申し出', 'ください', '。', '▽', '問い合わせ', '・', '申込', '先', '６月', '十', '六', '日', 'まで', 'に', '、', '市民', '参画', 'センター']",['無料'],NO,無料,NO,NO
6,無料,対象四十五歳までの市民で、３日間参加できる人＝二十人▽参加料無料※保育室（無料）を準備します。希望者は参加申し込み時に申し出ください。▽問い合わせ・申込先６月十六日までに、市民参画センター,"['対象', '四', '十', '五', '歳', 'まで', 'の', '市民', 'で', '、', '３', '日間', '参加', 'できる', '人', '＝', '二', '十', '人', '▽', '参加', '料', '無料', '※', '保育', '室', '（', '無料', '）', 'を', '準備', 'し', 'ます', '。', '希望', '者', 'は', '参加', '申し込み', '時', 'に', '申し出', 'ください', '。', '▽', '問い合わせ', '・', '申込', '先', '６月', '十', '六', '日', 'まで', 'に', '、', '市民', '参画', 'センター']",['無料'],NO,無料,NO,NO
7,無料,剪定のしかたの講習と屋外での実演◎定員＝各四十人（申込順）◎費用＝無料果樹の剪定の講習会◎とき＝平成二十一年１月二十四日（土）１午前十時〜正午,"['剪定', 'の', 'しかた', 'の', '講習', 'と', '屋外', 'で', 'の', '実演', '◎', '定員', '＝', '各', '四', '十', '人', '（', '申込', '順', '）', '◎', '費用', '＝', '無料', '果樹', 'の', '剪定', 'の', '講習', '会', '◎', 'とき', '＝', '平成', '二', '十', '一', '年', '１月', '二', '十', '四', '日', '（', '土', '）', '１', '午前', '十', '時', '〜', '正午']",['無料'],NO,無料,NO,NO
8,無料,▼対象講習後、活動に参加できる人▼定員先着十人▼参加費無料▼申込期限十月三十一日（金）▼申込先・問い合わせ水声会■■☎■■■■■■■■●,"['▼', '対象', '講習', '後', '、', '活動', 'に', '参加', 'できる', '人', '▼', '定員', '先着', '十', '人', '▼', '参加', '費', '無料', '▼', '申込', '期限', '十月', '三', '十', '一', '日', '（', '金', '）', '▼', '申込', '先', '・', '問い合わせ', '水声', '会', '■■☎■■■■■■■■●']",['無料'],NO,無料,NO,NO
9,無料,無料でメールアドレスが幾つも取れるというのを聞きました。誰か詳しく教えて下さい。あと,"['無料', 'で', 'メールアドレス', 'が', '幾つ', 'も', '取れる', 'という', 'の', 'を', '聞き', 'まし', 'た', '。', '誰か', '詳しく', '教え', 'て', '下さい', '。', 'あと']",['無料'],NO,無料,NO,NO
