,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総則,どのような法律支援体制を組織しているかについて，その内容を見ることにしたい。法の総則第１章第１条（総則）にあわせて，第２章に総合法律支援の実施体制の整備を設け（第２条,"['どの', 'よう', 'な', '法律', '支援', '体制', 'を', '組織', 'し', 'て', 'いる', 'か', 'について', '，', 'その', '内容', 'を', '見る', 'こと', 'に', 'し', 'たい', '。', '法', 'の', '総則', '第', '１', '章', '第', '１', '条', '（', '総則', '）', 'に', 'あわせ', 'て', '，', '第', '２', '章', 'に', '総合', '法律', '支援', 'の', '実施', '体制', 'の', '整備', 'を', '設け', '（', '第', '２', '条']",['総則'],NO,総則,NO,NO
1,総則,どのような法律支援体制を組織しているかについて，その内容を見ることにしたい。法の総則第１章第１条（総則）にあわせて，第２章に総合法律支援の実施体制の整備を設け（第２条,"['どの', 'よう', 'な', '法律', '支援', '体制', 'を', '組織', 'し', 'て', 'いる', 'か', 'について', '，', 'その', '内容', 'を', '見る', 'こと', 'に', 'し', 'たい', '。', '法', 'の', '総則', '第', '１', '章', '第', '１', '条', '（', '総則', '）', 'に', 'あわせ', 'て', '，', '第', '２', '章', 'に', '総合', '法律', '支援', 'の', '実施', '体制', 'の', '整備', 'を', '設け', '（', '第', '２', '条']",['総則'],NO,総則,NO,NO
2,総則,第二章保全命令に関する手続第一節総則（釈明処分の特例）第九条裁判所は、争いに係る事実関係に関し、当事者の主張,"['第', '二', '章', '保全', '命令', 'に関する', '手続', '第', '一節', '総則', '（', '釈明', '処分', 'の', '特例', '）', '第', '九', '条', '裁判所', 'は', '、', '争い', 'に', '係る', '事実', '関係', 'に関し', '、', '当事者', 'の', '主張']",['総則'],NO,総則,NO,NO
3,総則,解雇第９章退職金第十章安全衛生第十一章表彰及び制裁第十二章災害補償第十三章セクシュアル・ハラスメント第１章総則（目的）第１条この就業規則は、（以下「会社」という）の社員の,"['解雇', '第', '９', '章', '退職', '金', '第', '十', '章', '安全', '衛生', '第', '十', '一', '章', '表彰', '及び', '制裁', '第', '十', '二', '章', '災害', '補償', '第', '十', '三', '章', 'セクシュアル・ハラスメント', '第', '１', '章', '総則', '（', '目的', '）', '第', '１', '条', 'この', '就業', '規則', 'は', '、', '（', '以下', '「', '会社', '」', 'という', '）', 'の', '社員', 'の']",['総則'],NO,総則,NO,NO
4,総則,第一章総則（目的）第一条広域臨海環境整備センターは、廃棄物の広域的な処理が必要であると認められる区域,"['第', '一', '章', '総則', '（', '目的', '）', '第', '一', '条', '広域', '臨海', '環境', '整備', 'センター', 'は', '、', '廃棄', '物', 'の', '広域', '的', 'な', '処理', 'が', '必要', 'で', 'ある', 'と', '認め', 'られる', '区域']",['総則'],NO,総則,NO,NO
5,総則,第一章総則（趣旨）第一条この法律は、地価税について、納税義務者、課税の対象、税額の,"['第', '一', '章', '総則', '（', '趣旨', '）', '第', '一', '条', 'この', '法律', 'は', '、', '地価', '税', 'について', '、', '納税', '義務', '者', '、', '課税', 'の', '対象', '、', '税額', 'の']",['総則'],NO,総則,NO,NO
6,総則,第一章総則（目的）第一条この法律は、情報通信技術の活用により世界的規模で生じている急激かつ大幅,"['第', '一', '章', '総則', '（', '目的', '）', '第', '一', '条', 'この', '法律', 'は', '、', '情報', '通信', '技術', 'の', '活用', 'により', '世界', '的', '規模', 'で', '生じ', 'て', 'いる', '急激', 'かつ', '大幅']",['総則'],NO,総則,NO,NO
7,総則,（四平成十五年三月一日知的財産基本法を施行）知的財産基本法（平成十四年法律第百二十二号）第一章総則【目的】第一条この法律は、内外の社会経済情勢の変化に伴い、我が国産業,"['（', '四', '平成', '十', '五', '年', '三月', '一', '日', '知的', '財産', '基本', '法', 'を', '施行', '）', '知的', '財産', '基本', '法', '（', '平成', '十', '四', '年', '法律', '第', '百', '二', '十', '二', '号', '）', '第', '一', '章', '総則', '【', '目的', '】', '第', '一', '条', 'この', '法律', 'は', '、', '内外', 'の', '社会', '経済', '情勢', 'の', '変化', 'に', '伴い', '、', '我が国', '産業']",['総則'],NO,総則,NO,NO
8,総則,すれば残念なことです。「キリストのからだ」であるという自分たちの身分を想起させる総則の式文を遵守しましょう。この言葉はまた、信者が互いに及ぼす相互の影響力,"['すれ', 'ば', '残念', 'な', 'こと', 'です', '。', '「', 'キリスト', 'の', 'から', 'だ', '」', 'で', 'ある', 'という', '自分', 'たち', 'の', '身分', 'を', '想起', 'さ', 'せる', '総則', 'の', '式', '文', 'を', '遵守', 'し', 'ましょ', 'う', '。', 'この', '言葉', 'は', 'また', '、', '信者', 'が', '互いに', '及ぼす', '相互', 'の', '影響', '力']",['総則'],NO,総則,NO,NO
9,総則,同章第二節（第五百十条、第五百十一条及び第五百十四条を除く。）（特別清算）、第七編第三章第一節（総則）及び第三節（特別清算の手続に関する特則）並びに第九百三十八条第一項から第五項まで（特別清算に関する裁判,"['同', '章', '第', '二', '節', '（', '第', '五', '百', '十', '条', '、', '第', '五', '百', '十', '一', '条', '及び', '第', '五', '百', '十', '四', '条', 'を', '除く', '。', '）', '（', '特別', '清算', '）', '、', '第', '七', '編', '第', '三', '章', '第', '一節', '（', '総則', '）', '及び', '第', '三', '節', '（', '特別', '清算', 'の', '手続', 'に関する', '特', '則', '）', '並び', 'に', '第', '九', '百', '三', '十', '八', '条', '第', '一', '項', 'から', '第', '五', '項', 'まで', '（', '特別', '清算', 'に関する', '裁判']",['総則'],NO,総則,NO,NO
