,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総合,を過ぎ、後半戦に突入です。スプリンターの為のレースと言われるだけあって、総合のタイム差なんて、まだ秒単位ですから、流れ次第で、どうなるか解りませんね。,"['を', '過ぎ', '、', '後半', '戦', 'に', '突入', 'です', '。', 'スプリンター', 'の', '為', 'の', 'レース', 'と', '言わ', 'れる', 'だけ', 'あっ', 'て', '、', '総合', 'の', 'タイム', '差', 'なんて', '、', 'まだ', '秒', '単位', 'です', 'から', '、', '流れ', '次第', 'で', '、', 'どう', 'なる', 'か', '解り', 'ませ', 'ん', 'ね', '。']",['総合'],NO,総合,NO,NO
1,総合,総務庁「全国消費実態調査報告」、「消費者物価指数」により作成。２．消費者物価指数（持家の帰属家賃を除く総合）により実質化。３．昭和五十九年（対五十四年）は農林漁業世帯を含まない。第Ⅰ‐,"['総務庁', '「', '全国', '消費', '実態', '調査', '報告', '」', '、', '「', '消費', '者', '物価', '指数', '」', 'により', '作成', '。', '２', '．', '消費', '者', '物価', '指数', '（', '持家', 'の', '帰属', '家賃', 'を', '除く', '総合', '）', 'により', '実質', '化', '。', '３', '．', '昭和', '五', '十', '九', '年', '（', '対', '五', '十', '四', '年', '）', 'は', '農林', '漁業', '世帯', 'を', '含ま', 'ない', '。', '第', 'Ⅰ', '‐']",['総合'],NO,総合,NO,NO
2,総合,全国消費実態調査報告」、「消費者物価指数」により作成。２．消費支出から家賃を除き、家賃を除く総合により実質化。第Ⅰ‐２‐十一図交通・通信を中心に家具・家庭用品などが伸びた大都市圏（,"['全国', '消費', '実態', '調査', '報告', '」', '、', '「', '消費', '者', '物価', '指数', '」', 'により', '作成', '。', '２', '．', '消費', '支出', 'から', '家賃', 'を', '除き', '、', '家賃', 'を', '除く', '総合', 'により', '実質', '化', '。', '第', 'Ⅰ', '‐', '２', '‐', '十', '一', '図', '交通', '・', '通信', 'を', '中心', 'に', '家具', '・', '家庭', '用品', 'など', 'が', '伸び', 'た', '大都市', '圏', '（']",['総合'],NO,総合,NO,NO
3,総合,ないようにとの注意の指示さえ記されていたのである。これではせっかくの総合の意味がまったくうすれてしまう。また、現代社会をまず地域的にわけて教えようとするとき,"['ない', 'よう', 'に', 'と', 'の', '注意', 'の', '指示', 'さえ', '記さ', 'れ', 'て', 'い', 'た', 'の', 'で', 'ある', '。', 'これ', 'で', 'は', 'せっかく', 'の', '総合', 'の', '意味', 'が', 'まったく', 'うすれ', 'て', 'しまう', '。', 'また', '、', '現代', '社会', 'を', 'まず', '地域', '的', 'に', 'わけ', 'て', '教えよ', 'う', 'と', 'する', 'とき']",['総合'],NO,総合,NO,NO
4,総合,たようですが２回戦で敗退してしまいました。。。さてさてレッドソックスｖｓレイズ松坂大輔ｖｓカズミアー今日のＮＨＫは総合でこのカード、ＢＳ１でヤンキースｖｓレンジャーズを中継放送！大盤振る舞いだね♪この３連戦はレッドソックスは,"['た', 'よう', 'です', 'が', '２', '回戦', 'で', '敗退', 'し', 'て', 'しまい', 'まし', 'た', '。', '。', '。', 'さて', 'さて', 'レッド', 'ソックス', 'ｖ', 'ｓ', 'レイズ', '松坂', '大輔', 'ｖ', 'ｓ', 'カズミアー', '今日', 'の', 'ＮＨＫ', 'は', '総合', 'で', 'この', 'カード', '、', 'ＢＳ', '１', 'で', 'ヤンキース', 'ｖ', 'ｓ', 'レンジャーズ', 'を', '中継', '放送', '！', '大盤振る舞い', 'だ', 'ね', '♪', 'この', '３', '連戦', 'は', 'レッド', 'ソックス', 'は']",['総合'],NO,総合,NO,NO
5,総合,を四領域で構成することに抵抗を示す教師はいた。行事による振り替えで、総合の時数消化を目論む教師である。そのような教師の意見を突っぱねると、二年前の,"['を', '四', '領域', 'で', '構成', 'する', 'こと', 'に', '抵抗', 'を', '示す', '教師', 'は', 'い', 'た', '。', '行事', 'による', '振り替え', 'で', '、', '総合', 'の', '時数', '消化', 'を', '目論む', '教師', 'で', 'ある', '。', 'その', 'よう', 'な', '教師', 'の', '意見', 'を', '突っぱねる', 'と', '、', '二', '年', '前', 'の']",['総合'],NO,総合,NO,NO
6,総合,のですか？先ほど回答にあったのですが。知っている方教えてください。「貢献度ランキング（総合）」に百位まで表示されています。知恵袋のトップ（メニュー）の左側にあり,"['の', 'です', 'か', '？', '先ほど', '回答', 'に', 'あっ', 'た', 'の', 'です', 'が', '。', '知っ', 'て', 'いる', '方', '教え', 'て', 'ください', '。', '「', '貢献', '度', 'ランキング', '（', '総合', '）', '」', 'に', '百', '位', 'まで', '表示', 'さ', 'れ', 'て', 'い', 'ます', '。', '知恵袋', 'の', 'トップ', '（', 'メニュー', '）', 'の', '左側', 'に', 'あり']",['総合'],NO,総合,NO,NO
7,総合,農産物価格は五十年代中頃からほぼ横ばいで推移している（図Ⅱ‐十）。五十五〜六十年度間に農産物価格指数（総合）は，年率０．６％の上昇にとどまっている。農産物の行政価格についても，五十年代中頃からは,"['農産物', '価格', 'は', '五', '十', '年代', '中頃', 'から', 'ほぼ', '横ばい', 'で', '推移', 'し', 'て', 'いる', '（', '図', 'Ⅱ', '‐', '十', '）', '。', '五', '十', '五', '〜', '六', '十', '年度', '間', 'に', '農産物', '価格', '指数', '（', '総合', '）', 'は', '，', '年率', '０', '．', '６', '％', 'の', '上昇', 'に', 'とどまっ', 'て', 'いる', '。', '農産物', 'の', '行政', '価格', 'について', 'も', '，', '五', '十', '年代', '中頃', 'から', 'は']",['総合'],NO,総合,NO,NO
8,総合,の中二階付きハイツにびっくり★それから出版社から報告あり「紀伊國屋大手町ビル店」週間ランキング出ました！初めての『総合１位』です！。紀伊國屋のホームページでも公開されています。★,"['の', '中', '二', '階', '付き', 'ハイツ', 'に', 'びっくり', '★', 'それから', '出版', '社', 'から', '報告', 'あり', '「', '紀伊國屋', '大手町', 'ビル', '店', '」', '週間', 'ランキング', '出', 'まし', 'た', '！', '初めて', 'の', '『', '総合', '１', '位', '』', 'です', '！', '。', '紀伊國屋', 'の', 'ホームページ', 'で', 'も', '公開', 'さ', 'れ', 'て', 'い', 'ます', '。', '★']",['総合'],NO,総合,NO,NO
9,総合,物語には、似たような、しかし異なる種類の世俗的モラルと高度な倫理との総合が見られる。マデラン渓谷の高原牧場で、牛飼いがしばしば灰色のウール地の服を,"['物語', 'に', 'は', '、', '似', 'た', 'よう', 'な', '、', 'しかし', '異なる', '種類', 'の', '世俗', '的', 'モラル', 'と', '高度', 'な', '倫理', 'と', 'の', '総合', 'が', '見', 'られる', '。', 'マデラン', '渓谷', 'の', '高原', '牧場', 'で', '、', '牛', '飼い', 'が', 'しばしば', '灰色', 'の', 'ウール', '地', 'の', '服', 'を']",['総合'],NO,総合,NO,NO
