,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総工費,ＲＥＦＯＲＭ中古住宅を総工費六百五十万円で新居に！眺望のよさを生かしてＬＤＫを２階に。アジアンテイストの内装で,"['ＲＥＦＯＲＭ', '中古', '住宅', 'を', '総', '工費', '六', '百', '五', '十', '万', '円', 'で', '新居', 'に', '！', '眺望', 'の', 'よ', 'さ', 'を', '生かし', 'て', 'ＬＤＫ', 'を', '２', '階', 'に', '。', 'アジアンテイスト', 'の', '内装', 'で']","['総', '工費']",YES,総工費,NO,NO
1,総工費,いう微妙かつ単純なずれを埋め合わせていくのが通訳・翻訳者の仕事なんだと思います．総工費▶漢字語の微妙なずれです．「総工事費」．そつがない▶「そつ」って,"['いう', '微妙', 'かつ', '単純', 'な', 'ずれ', 'を', '埋め合わせ', 'て', 'いく', 'の', 'が', '通訳', '・', '翻訳', '者', 'の', '仕事', 'な', 'ん', 'だ', 'と', '思い', 'ます', '．', '総', '工費', '▶', '漢字', '語', 'の', '微妙', 'な', 'ずれ', 'です', '．', '「', '総', '工事', '費', '」', '．', 'そつ', 'が', 'ない', '▶「', 'そつ', '」', 'って']","['総', '工費']",YES,総工費,NO,NO
2,総工費,行われました。前回の修復工事から二十年程が経過。県が主体となり総工費およそ六千四百万円をかけ、平成十八年から修復工事が行われていました。４月二十六日から一般公開さ,"['行わ', 'れ', 'まし', 'た', '。', '前回', 'の', '修復', '工事', 'から', '二', '十', '年', '程', 'が', '経過', '。', '県', 'が', '主体', 'と', 'なり', '総', '工費', 'およそ', '六', '千', '四', '百', '万', '円', 'を', 'かけ', '、', '平成', '十', '八', '年', 'から', '修復', '工事', 'が', '行わ', 'れ', 'て', 'い', 'まし', 'た', '。', '４月', '二', '十', '六', '日', 'から', '一般', '公開', 'さ']","['総', '工費']",YES,総工費,NO,NO
3,総工費,ように建材や設備の素材のほとんど全てに純国産品を使用して造られた新議事堂の総工費は、完成当時の金額で約二千五百七十三万六千円にのぼっている。構造：鉄骨鉄筋コンクリート造構成：地上,"['よう', 'に', '建材', 'や', '設備', 'の', '素材', 'の', 'ほとんど', '全て', 'に', '純', '国産', '品', 'を', '使用', 'し', 'て', '造ら', 'れ', 'た', '新', '議事堂', 'の', '総', '工費', 'は', '、', '完成', '当時', 'の', '金額', 'で', '約', '二', '千', '五', '百', '七', '十', '三', '万', '六', '千', '円', 'に', 'のぼっ', 'て', 'いる', '。', '構造', '：', '鉄骨', '鉄筋コンクリート', '造', '構成', '：', '地上']","['総', '工費']",YES,総工費,NO,NO
4,総工費,まばら遊ぶ子どもたちにとって広々とした芝生広場は天国だが、さて維持・運営する地元には？総工費百三十五億円二千四年３月運営停止南国高知のスキー場もいまはこんな姿に…グリーンピア土佐横浪（高知県）地元の,"['まばら', '遊ぶ', '子ども', 'たち', 'にとって', '広々', 'と', 'し', 'た', '芝生', '広場', 'は', '天国', 'だ', 'が', '、', 'さて', '維持', '・', '運営', 'する', '地元', 'に', 'は', '？', '総', '工費', '百', '三', '十', '五', '億', '円', '二', '千', '四', '年', '３月', '運営', '停止', '南国', '高知', 'の', 'スキー', '場', 'も', 'いま', 'は', 'こんな', '姿', 'に', '…', 'グリーンピア', '土佐', '横', '浪', '（', '高知', '県', '）', '地元', 'の']","['総', '工費']",YES,総工費,NO,NO
5,総工費,は、こうした事業を、幕府が崩壊することを承知のうえで推進するのです。総工費二百四十万ドルという横須賀製鉄所建設の費用をどう捻出するのか、との栗本鋤雲の質問に、小栗は,"['は', '、', 'こうした', '事業', 'を', '、', '幕府', 'が', '崩壊', 'する', 'こと', 'を', '承知', 'の', 'うえ', 'で', '推進', 'する', 'の', 'です', '。', '総', '工費', '二', '百', '四', '十', '万', 'ドル', 'という', '横須賀', '製鉄', '所', '建設', 'の', '費用', 'を', 'どう', '捻出', 'する', 'の', 'か', '、', 'と', 'の', '栗本', '鋤雲', 'の', '質問', 'に', '、', '小栗', 'は']","['総', '工費']",YES,総工費,NO,NO
6,総工費,、関西大学では新しい中央総合図書館の建設が、避けられぬ課題としてクローズアップされてきた。総工費は五十億近く、失敗の許されぬ死活の大事業である。現学長の大西昭男氏と私は、,"['、', '関西大学', 'で', 'は', '新しい', '中央', '総合', '図書館', 'の', '建設', 'が', '、', '避け', 'られ', 'ぬ', '課題', 'として', 'クローズアップ', 'さ', 'れ', 'て', 'き', 'た', '。', '総', '工費', 'は', '五', '十', '億', '近く', '、', '失敗', 'の', '許さ', 'れ', 'ぬ', '死活', 'の', '大', '事業', 'で', 'ある', '。', '現', '学長', 'の', '大西', '昭男', '氏', 'と', '私', 'は', '、']","['総', '工費']",YES,総工費,NO,NO
7,総工費,造ったと思うんですけれども、これに掛かった金は幾らですか。六百四十七億、総工費。それから、外務省も、何か耐震性が弱いというので、今どこかへ仮,"['造っ', 'た', 'と', '思う', 'ん', 'です', 'けれども', '、', 'これ', 'に', '掛かっ', 'た', '金', 'は', '幾ら', 'です', 'か', '。', '六', '百', '四', '十', '七', '億', '、', '総', '工費', '。', 'それから', '、', '外務省', 'も', '、', '何', 'か', '耐震', '性', 'が', '弱い', 'と', 'いう', 'ので', '、', '今', 'どこ', 'か', 'へ', '仮']","['総', '工費']",YES,総工費,NO,NO
8,総工費,の橋を含む千六百ｍで結ぶもので、平成７年度の事業着手から十四年間の歳月と、総工費五十六億円をかけて完成しました。これまでこの間の道路は幅員も狭く、特に,"['の', '橋', 'を', '含む', '千', '六', '百', 'ｍ', 'で', '結ぶ', 'もの', 'で', '、', '平成', '７', '年度', 'の', '事業', '着手', 'から', '十', '四', '年間', 'の', '歳月', 'と', '、', '総', '工費', '五', '十', '六', '億', '円', 'を', 'かけ', 'て', '完成', 'し', 'まし', 'た', '。', 'これ', 'まで', 'この間', 'の', '道路', 'は', '幅員', 'も', '狭く', '、', '特に']","['総', '工費']",YES,総工費,NO,NO
9,総工費,ています。この農道橋は農水省の補助で建設され、すでに完成の能登大橋と合わせて総工費百二十億円といわれます。この能登大橋・広域農道橋の建設に「功労」を強調するのが元建設省技監で,"['て', 'い', 'ます', '。', 'この', '農道', '橋', 'は', '農水省', 'の', '補助', 'で', '建設', 'さ', 'れ', '、', 'すでに', '完成', 'の', '能登', '大橋', 'と', '合わせ', 'て', '総', '工費', '百', '二', '十', '億', '円', 'と', 'いわ', 'れ', 'ます', '。', 'この', '能登', '大橋', '・', '広域', '農道', '橋', 'の', '建設', 'に', '「', '功労', '」', 'を', '強調', 'する', 'の', 'が', '元', '建設省', '技', '監', 'で']","['総', '工費']",YES,総工費,NO,NO
