,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不便,いくのか。右利きのへんじんとしては、右肩・右腕の可動域が狭くなると何かと不便だ。根気よくリハビリ・運動を続けるしかないな。やっぱり『忍』と『努』だな,"['いく', 'の', 'か', '。', '右', '利き', 'の', 'へんじん', 'と', 'して', 'は', '、', '右', '肩', '・', '右腕', 'の', '可動', '域', 'が', '狭く', 'なる', 'と', '何かと', '不便だ', '。', '根気', 'よく', 'リハビリ', '・', '運動', 'を', '続ける', 'しか', 'ない', 'な', '。', 'やっぱり', '『', '忍', '』', 'と', '『', '努', '』', 'だ', 'な']",['不便だ'],NO,不便,NO,YES
1,不便,の遊び場もかねていた。ドイツ語でメニューが書かれているので、料理の注文は不便ではないが、料理の内容が分からない。とりあえず野菜が入った料理を選んだ。,"['の', '遊び場', 'も', 'かねて', 'いた', '。', 'ドイツ', '語', 'で', 'メニュー', 'が', '書か', 'れて', 'いる', 'ので', '、', '料理', 'の', '注文', 'は', '不便で', 'は', 'ない', 'が', '、', '料理', 'の', '内容', 'が', '分から', 'ない', '。', 'とりあえず', '野菜', 'が', '入った', '料理', 'を', '選んだ', '。']",['不便で'],NO,不便,NO,YES
2,不便,たらはたして不便か、という話があってね。数の表現がとても長くなるから不便だって言う人もいるんだけど、長くなると言っても、たかが三倍でしょ,"['たら', 'はたして', '不便', 'か', '、', 'と', 'いう', '話', 'が', 'あって', 'ね', '。', '数', 'の', '表現', 'が', 'とても', '長く', 'なる', 'から', '不便だ', 'って', '言う', '人', 'も', 'いる', 'んだ', 'けど', '、', '長く', 'なる', 'と', '言って', 'も', '、', 'たかが', '三', '倍', 'でしょ']",['不便'],NO,不便,NO,NO
3,不便,たらはたして不便か、という話があってね。数の表現がとても長くなるから不便だって言う人もいるんだけど、長くなると言っても、たかが三倍でしょ,"['たら', 'はたして', '不便', 'か', '、', 'と', 'いう', '話', 'が', 'あって', 'ね', '。', '数', 'の', '表現', 'が', 'とても', '長く', 'なる', 'から', '不便だ', 'って', '言う', '人', 'も', 'いる', 'んだ', 'けど', '、', '長く', 'なる', 'と', '言って', 'も', '、', 'たかが', '三', '倍', 'でしょ']",['不便だ'],NO,不便,NO,YES
4,不便,出入り口によく使っているみたいなことを言っていたけど、この環境って出入り口には不便よね？もしかして、ここにいなくちゃいけない用事が、他,"['出入り口', 'に', 'よく', '使って', 'いる', 'みたいな', 'こと', 'を', '言って', 'いた', 'けど', '、', 'この', '環境', 'って', '出入り口', 'に', 'は', '不便', 'よ', 'ね', '？', 'もし', 'かして', '、', 'ここ', 'に', 'い', 'なくちゃ', 'いけない', '用事', 'が', '、', '他']",['不便'],NO,不便,NO,NO
5,不便,。●ダイレクト便は高く、乗り換えが必要になると安い。簡単に言ってしまえば、不便なものほど安い！■オーバー・ブッキングには正当性がある格安とはいえお金を払っ,"['。●', 'ダイレクト', '便', 'は', '高く', '、', '乗り', '換え', 'が', '必要に', 'なる', 'と', '安い', '。', '簡単に', '言って', 'しまえば', '、', '不便な', 'もの', 'ほど', '安い', '！', '■', 'オーバー', '・', 'ブッキング', 'に', 'は', '正当', '性', 'が', 'ある', '格安', 'と', 'は', 'いえ', 'お', '金', 'を', '払っ']",['不便な'],NO,不便,NO,YES
6,不便,。実際の取引では両替手数料などに金利が組み込まれる形で機能していたが、不便であったことには変わりがない。そのような状態が中世後半になると緩和され,"['。', '実際', 'の', '取引', 'で', 'は', '両替', '手数', '料', 'など', 'に', '金利', 'が', '組み', '込ま', 'れる', '形', 'で', '機能', 'して', 'いた', 'が', '、', '不便であった', 'こと', 'に', 'は', '変わり', 'が', 'ない', '。', 'そのような', '状態', 'が', '中世', '後半', 'に', 'なる', 'と', '緩和', 'さ', 'れ']",['不便であった'],NO,不便,NO,YES
7,不便,、解決しよう」という気持ちさえ起こらなくなるらしい。●これらの他にも「日本の不便はお役所の産物」を裏づける事例は枚挙にいとまがない。＊郵政省が通信回線や,"['、', '解決', 'しよう', '」', 'と', 'いう', '気持ち', 'さえ', '起こら', 'なく', 'なる', 'らしい', '。', '●', 'これ', 'ら', 'の', '他', 'に', 'も', '「', '日本', 'の', '不便', 'は', 'お', '役所', 'の', '産物', '」', 'を', '裏づける', '事例', 'は', '枚挙', 'に', 'いとま', 'が', 'ない', '。', '＊', '郵政', '省', 'が', '通信', '回線', 'や']",['不便'],NO,不便,NO,NO
8,不便,良く使おうとする民族の発想からくる文化である。重いものだけでも勝手が不便であり、軽いものだけでも浅はかな印象が残ってしまう。両者を適当に合わせた,"['良く', '使おう', 'と', 'する', '民族', 'の', '発想', 'から', 'くる', '文化', 'である', '。', '重い', 'もの', 'だけ', 'でも', '勝手', 'が', '不便であり', '、', '軽い', 'もの', 'だけ', 'でも', '浅はかな', '印象', 'が', '残って', 'しまう', '。', '両者', 'を', '適当に', '合わせた']",['不便であり'],NO,不便,NO,YES
9,不便,ここは軍艦内であるから、待遇も、客船のようなわけにはいかない。いろいろ不便もあろうかと思うが、しばらくの間、辛抱してもらいたい。まず、食事について,"['ここ', 'は', '軍艦', '内', 'である', 'から', '、', '待遇', 'も', '、', '客船', 'の', 'ような', 'わけに', 'は', 'いか', 'ない', '。', 'いろいろ', '不便', 'も', 'あろう', 'か', 'と', '思う', 'が', '、', 'しばらく', 'の', '間', '、', '辛抱', 'して', 'もらい', 'たい', '。', 'まず', '、', '食事', 'に', 'ついて']",['不便'],NO,不便,NO,NO
10,不便,ＰＤＣ端末は日本国内でしか使えず、当然市場も日本国内に限られる。消費者、メーカーにとって不便と不利益を強いる結果となった。八十年代中ごろから国連の下部機関である国際電気通信連合（ＩＴＵ）,"['ＰＤＣ', '端末', 'は', '日本', '国', '内', 'で', 'しか', '使え', 'ず', '、', '当然', '市場', 'も', '日本', '国', '内', 'に', '限ら', 'れる', '。', '消費', '者', '、', 'メーカー', 'に', 'とって', '不便', 'と', '不利益', 'を', '強いる', '結果', 'と', 'なった', '。', '八十', '年', '代', '中ごろ', 'から', '国連', 'の', '下部', '機関', 'である', '国際', '電気', '通信', '連合', '（', 'ＩＴＵ', '）']",['不便'],NO,不便,NO,NO
11,不便,。でもどっちにしろ食べたいときは自分で煮物作ったりして食べますし、不便は無いです。でもベジタリアンの方って一緒にどっか行って、片方がお肉食べたりしてる,"['。', 'でも', 'どっち', 'に', 'しろ', '食べ', 'たい', 'とき', 'は', '自分', 'で', '煮物', '作ったり', 'して', '食べ', 'ます', 'し', '、', '不便', 'は', '無い', 'です', '。', 'でも', 'ベジタリアン', 'の', '方', 'って', '一緒に', 'どっか', '行って', '、', '片方', 'が', 'お', '肉', '食べたり', 'して', 'る']",['不便'],NO,不便,NO,NO
12,不便,を自ら探し出して使うというのが基本です。これには、便利な面と不便な面があります。必要な情報を、自ら自由に検索できるというのは、,"['を', '自ら', '探し', '出して', '使う', 'と', 'いう', 'の', 'が', '基本', 'です', '。', 'これ', 'に', 'は', '、', '便利な', '面', 'と', '不便な', '面', 'が', 'あり', 'ます', '。', '必要な', '情報', 'を', '、', '自ら', '自由に', '検索', 'できる', 'と', 'いう', 'の', 'は', '、']",['不便な'],NO,不便,NO,YES
13,不便,嫌いだな―」「へえ、どうして車が嫌いなのかな」「不便だからね。それに、あの、車がお尻から出すガスの臭いはたまらない,"['嫌いだ', 'な', '―', '」', '「', 'へえ', '、', 'どうして', '車', 'が', '嫌いな', 'の', 'か', 'な', '」', '「', '不便だ', 'から', 'ね', '。', 'それ', 'に', '、', 'あの', '、', '車', 'が', 'お', '尻', 'から', '出す', 'ガス', 'の', '臭い', 'は', 'たまら', 'ない']",['不便だ'],NO,不便,NO,YES
14,不便,の理屈はおっしゃいます。しかしもう少し長期で考えてみると、そこの人たちはやはり不便でもって行っている。逆に私鉄の方がそこに新線を延ばすならば、,"['の', '理屈', 'は', 'おっしゃい', 'ます', '。', 'しかし', 'もう', '少し', '長期', 'で', '考えて', 'みる', 'と', '、', 'そこ', 'の', '人', 'たち', 'は', 'やはり', '不便で', 'もって', '行って', 'いる', '。', '逆に', '私鉄', 'の', '方', 'が', 'そこ', 'に', '新', '線', 'を', '延ばす', 'ならば', '、']",['不便で'],NO,不便,NO,YES
15,不便,られなかった旅行の設定コースにもまず乗る事はない列車の連絡も悪くただただ不便な場所なのでバスツアーやドライブならまだしも列車での旅行はいろいろと困難,"['られ', 'なかった', '旅行', 'の', '設定', 'コース', 'に', 'も', 'まず', '乗る', '事', 'は', 'ない', '列車', 'の', '連絡', 'も', '悪く', 'ただただ', '不便な', '場所', 'な', 'ので', 'バス', 'ツアー', 'や', 'ドライブ', 'なら', 'まだしも', '列車', 'で', 'の', '旅行', 'は', 'いろいろ', 'と', '困難']",['不便な'],NO,不便,NO,YES
16,不便,３月完成と聞きましたよ。ただ暴走族対策で夜間駐車がかなり規制されそうですよ。しかし不便ですよね。つりをするなって言っているようなものですもんね。,"['３', '月', '完成', 'と', '聞き', 'ました', 'よ', '。', 'ただ', '暴走', '族', '対策', 'で', '夜間', '駐車', 'が', 'かなり', '規制', 'さ', 'れ', 'そうです', 'よ', '。', 'しかし', '不便です', 'よ', 'ね', '。', 'つり', 'を', 'する', 'なって', '言って', 'いる', 'ような', 'もの', 'です', 'もん', 'ね', '。']",['不便です'],NO,不便,NO,YES
17,不便,インターネット公売等を行っていきたい。Ｑ御調町で公民館の確定申告の会場数が前年より減り、不便となっている。今後どう対応するのか。Ａ実情等を再確認の上、対応したい,"['インターネット', '公売', '等', 'を', '行って', 'いき', 'たい', '。', 'Ｑ', '御調', '町', 'で', '公民', '館', 'の', '確定', '申告', 'の', '会場', '数', 'が', '前年', 'より', '減り', '、', '不便', 'と', 'なって', 'いる', '。', '今後', 'どう', '対応', 'する', 'の', 'か', '。', 'Ａ', '実情', '等', 'を', '再', '確認', 'の', '上', '、', '対応', 'し', 'たい']",['不便'],NO,不便,NO,NO
