,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不利,違反行為者が、違反行為を除去するための措置を自発的にとった場合や、外部的な条件が不利なため協定が効果的に行われていない場合などには、排除措置を命じる必要は,"['違反', '行為', '者', 'が', '、', '違反', '行為', 'を', '除去', 'する', 'ため', 'の', '措置', 'を', '自発', '的に', 'とった', '場合', 'や', '、', '外部', '的な', '条件', 'が', '不利な', 'ため', '協定', 'が', '効果', '的に', '行わ', 'れて', 'い', 'ない', '場合', 'など', 'に', 'は', '、', '排除', '措置', 'を', '命じる', '必要', 'は']",['不利な'],NO,不利,NO,YES
1,不利,過程に応じて、時に担当裁判官の具体的な訴訟指揮が、当事者からみて自己に不利な結論を示唆するような印象を受けたり、公平な裁判を期待しがたいのではないかとの,"['過程', 'に', '応じて', '、', '時に', '担当', '裁判', '官', 'の', '具体', '的な', '訴訟', '指揮', 'が', '、', '当事', '者', 'から', 'みて', '自己', 'に', '不利な', '結論', 'を', '示唆', 'する', 'ような', '印象', 'を', '受けたり', '、', '公平な', '裁判', 'を', '期待', 'し', 'がたい', 'ので', 'は', 'ない', 'か', 'と', 'の']",['不利な'],NO,不利,NO,YES
2,不利,３位以上は確定。ガクトはデイリー２位→１位→３位→４位なのでモーニング娘。よりは不利な気がする。,"['３', '位', '以上', 'は', '確定', '。', 'ガクト', 'は', 'デイリー', '２', '位', '→', '１', '位', '→', '３', '位', '→', '４', '位', 'な', 'ので', 'モーニング', '娘', '。', 'より', 'は', '不利な', '気', 'が', 'する', '。']",['不利な'],NO,不利,NO,YES
3,不利,あなた、本部の人を殴ったりしないでね。暴力沙汰を引き起こしたら、こちらが不利になるだけだから」「わかってるよ。できるだけ冷静に話し合うつもりだ。,"['あなた', '、', '本部', 'の', '人', 'を', '殴ったり', 'し', 'ないで', 'ね', '。', '暴力', '沙汰', 'を', '引き起こしたら', '、', 'こちら', 'が', '不利に', 'なる', 'だけ', 'だ', 'から', '」', '「', 'わかって', 'る', 'よ', '。', 'できる', 'だけ', '冷静に', '話し', '合う', 'つもりだ', '。']",['不利に'],NO,不利,NO,YES
4,不利,に追われることになり、有形無形の負担がのしかかります。また、解散時の状況によっては、不利になったり、あるいは与党内でも派閥・世代・主義主張によって有利不利の差が出るなど、得する者と,"['に', '追わ', 'れる', 'こと', 'に', 'なり', '、', '有形', '無形', 'の', '負担', 'が', 'のしかかり', 'ます', '。', 'また', '、', '解散', '時', 'の', '状況', 'に', 'よって', 'は', '、', '不利に', 'なったり', '、', 'あるいは', '与党', '内', 'でも', '派閥', '・', '世代', '・', '主義', '主張', 'に', 'よって', '有利', '不利', 'の', '差', 'が', '出る', 'など', '、', '得する', '者', 'と']",['不利に'],NO,不利,NO,YES
5,不利,に追われることになり、有形無形の負担がのしかかります。また、解散時の状況によっては、不利になったり、あるいは与党内でも派閥・世代・主義主張によって有利不利の差が出るなど、得する者と,"['に', '追わ', 'れる', 'こと', 'に', 'なり', '、', '有形', '無形', 'の', '負担', 'が', 'のしかかり', 'ます', '。', 'また', '、', '解散', '時', 'の', '状況', 'に', 'よって', 'は', '、', '不利に', 'なったり', '、', 'あるいは', '与党', '内', 'でも', '派閥', '・', '世代', '・', '主義', '主張', 'に', 'よって', '有利', '不利', 'の', '差', 'が', '出る', 'など', '、', '得する', '者', 'と']",['不利'],NO,不利,NO,NO
6,不利,が考えられるか。全局面構成から判断していただきましょう。相手のいいなりになってはたちまち不利になります。（中級程度）１図（両スソアキ）白１と受ければ黒２と,"['が', '考え', 'られる', 'か', '。', '全', '局面', '構成', 'から', '判断', 'して', 'いただき', 'ましょう', '。', '相手', 'の', 'いいなり', 'に', 'なって', 'は', 'たちまち', '不利に', 'なり', 'ます', '。', '（', '中級', '程度', '）', '１', '図', '（', '両', 'スソアキ', '）', '白', '１', 'と', '受ければ', '黒', '２', 'と']",['不利に'],NO,不利,NO,YES
7,不利,から見ても不利なのです。無実なら、なぜ姿をあらわさないのでしょう。彼に不利な証拠はありますが、釈明しだいでは取り消すことも可能です。では、どうして釈明し,"['から', '見て', 'も', '不利な', 'のです', '。', '無実', 'なら', '、', 'なぜ', '姿', 'を', 'あらわさ', 'ない', 'のでしょう', '。', '彼', 'に', '不利な', '証拠', 'は', 'あり', 'ます', 'が', '、', '釈明', 'しだい', 'で', 'は', '取り消す', 'こと', 'も', '可能です', '。', 'では', '、', 'どうして', '釈明', 'し']",['不利な'],NO,不利,NO,YES
8,不利,から見ても不利なのです。無実なら、なぜ姿をあらわさないのでしょう。彼に不利な証拠はありますが、釈明しだいでは取り消すことも可能です。では、どうして釈明し,"['から', '見て', 'も', '不利な', 'のです', '。', '無実', 'なら', '、', 'なぜ', '姿', 'を', 'あらわさ', 'ない', 'のでしょう', '。', '彼', 'に', '不利な', '証拠', 'は', 'あり', 'ます', 'が', '、', '釈明', 'しだい', 'で', 'は', '取り消す', 'こと', 'も', '可能です', '。', 'では', '、', 'どうして', '釈明', 'し']",['不利な'],NO,不利,NO,YES
9,不利,は迅速さを要請されない、言ってみれば、できるだけ早い時期に、かつ会社にとって不利でない時期にということでございます。これは、ともかくすぐ処分しなければならないということになります,"['は', '迅速', 'さ', 'を', '要請', 'さ', 'れ', 'ない', '、', '言って', 'みれば', '、', 'できる', 'だけ', '早い', '時期', 'に', '、', 'かつ', '会社', 'に', 'とって', '不利で', 'ない', '時期', 'に', 'と', 'いう', 'こと', 'で', 'ございます', '。', 'これ', 'は', '、', 'ともかく', 'すぐ', '処分', 'し', 'なければ', 'なら', 'ない', 'と', 'いう', 'こと', 'に', 'なり', 'ます']",['不利で'],NO,不利,NO,YES
