,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不満,ます．また，この場合は，管理業務に不備があることも考えられるので，不満の原因を聞き，それがもっともな場合には，平行して管理会社に改善を求め,"['ます', '．', 'また', '，', 'この', '場合', 'は', '，', '管理', '業務', 'に', '不備', 'が', 'ある', 'こと', 'も', '考え', 'られる', 'ので', '，', '不満の', '原因', 'を', '聞き', '，', 'それ', 'が', 'もっともな', '場合', 'に', 'は', '，', '平行', 'して', '管理', '会社', 'に', '改善', 'を', '求め']",['不満の'],NO,不満,NO,YES
1,不満,場所まで三枝子は、うるさく指図をする。のり子も私も、三枝子のやり方に不満を持っていても、何一つ言えない弱い立場だった。味方になる人が,"['場所', 'まで', '三枝子', 'は', '、', 'うるさく', '指図', 'を', 'する', '。', 'のり', '子', 'も', '私', 'も', '、', '三枝子', 'の', 'やり', '方', 'に', '不満', 'を', '持って', 'いて', 'も', '、', '何一つ', '言え', 'ない', '弱い', '立場', 'だった', '。', '味方', 'に', 'なる', '人', 'が']",['不満'],NO,不満,NO,NO
2,不満,と信じていた。そのために彼が時間を割くのは当然だと考え、不満は感じなかった。千九百三十七年の初めに、フィリピン大統領のケソンは、緊張を孕むアジア,"['と', '信じて', 'いた', '。', 'その', 'ため', 'に', '彼', 'が', '時間', 'を', '割く', 'の', 'は', '当然だ', 'と', '考え', '、', '不満', 'は', '感じ', 'なかった', '。', '千九百三十七', '年', 'の', '初め', 'に', '、', 'フィリピン', '大統領', 'の', 'ケソン', 'は', '、', '緊張', 'を', '孕む', 'アジア']",['不満'],NO,不満,NO,NO
3,不満,笑わんで。私たち真剣やから」と言い返されてしまったのである。悩んだり、不満を訴える年老いた患者さんを診るとき、「そう思えるのはボケていない、元気が,"['笑わ', 'ん', 'で', '。', '私', 'たち', '真剣や', 'から', '」', 'と', '言い', '返さ', 'れて', 'しまった', 'のである', '。', '悩んだり', '、', '不満', 'を', '訴える', '年老いた', '患者', 'さん', 'を', '診る', 'とき', '、', '「', 'そう', '思える', 'の', 'は', 'ボケて', 'い', 'ない', '、', '元気', 'が']",['不満'],NO,不満,NO,NO
4,不満,てわずか十五．八％の人が満足の傾向にある。一方不満についてみると，「やや不満」が十六．五％，「不満」が四十七．一％と合わせて六十三．六％と，ほぼ３人に２人が,"['て', 'わずか', '十五', '．', '八', '％', 'の', '人', 'が', '満足の', '傾向', 'に', 'ある', '。', '一方', '不満に', 'ついて', 'みる', 'と', '，', '「', 'やや', '不満', '」', 'が', '十六', '．', '五', '％', '，', '「', '不満', '」', 'が', '四十七', '．', '一', '％', 'と', '合わせて', '六十三', '．', '六', '％', 'と', '，', 'ほぼ', '３', '人', 'に', '２', '人', 'が']",['不満に'],NO,不満,NO,YES
5,不満,てわずか十五．八％の人が満足の傾向にある。一方不満についてみると，「やや不満」が十六．五％，「不満」が四十七．一％と合わせて六十三．六％と，ほぼ３人に２人が,"['て', 'わずか', '十五', '．', '八', '％', 'の', '人', 'が', '満足の', '傾向', 'に', 'ある', '。', '一方', '不満に', 'ついて', 'みる', 'と', '，', '「', 'やや', '不満', '」', 'が', '十六', '．', '五', '％', '，', '「', '不満', '」', 'が', '四十七', '．', '一', '％', 'と', '合わせて', '六十三', '．', '六', '％', 'と', '，', 'ほぼ', '３', '人', 'に', '２', '人', 'が']",['不満'],NO,不満,NO,NO
6,不満,てわずか十五．八％の人が満足の傾向にある。一方不満についてみると，「やや不満」が十六．五％，「不満」が四十七．一％と合わせて六十三．六％と，ほぼ３人に２人が,"['て', 'わずか', '十五', '．', '八', '％', 'の', '人', 'が', '満足の', '傾向', 'に', 'ある', '。', '一方', '不満に', 'ついて', 'みる', 'と', '，', '「', 'やや', '不満', '」', 'が', '十六', '．', '五', '％', '，', '「', '不満', '」', 'が', '四十七', '．', '一', '％', 'と', '合わせて', '六十三', '．', '六', '％', 'と', '，', 'ほぼ', '３', '人', 'に', '２', '人', 'が']",['不満'],NO,不満,NO,NO
7,不満,収められたナンバーのライヴ映像。ワールド・ミュージック的な要素がポイントなのでしょうが、曲の構成が不満です。いつものパット・メセニーのプレイの前後にただ何となくエスニックなインストルメンタルをくっつけ,"['収め', 'られた', 'ナンバー', 'の', 'ライヴ', '映像', '。', 'ワールド', '・', 'ミュージック', '的な', '要素', 'が', 'ポイント', 'な', 'のでしょう', 'が', '、', '曲', 'の', '構成', 'が', '不満です', '。', 'いつも', 'の', 'パット', '・', 'メセニー', 'の', 'プレイ', 'の', '前後', 'に', 'ただ', '何となく', 'エスニック', 'な', 'インストルメンタル', 'を', 'くっつけ']",['不満です'],NO,不満,NO,YES
8,不満,観戦した。内容は早稲田のラインアウトがまったく機能しないのでなんだか見ていて不満を感じた。かといって慶應のバックスにも攻撃力を感じられず、ミス,"['観戦', 'した', '。', '内容', 'は', '早稲田', 'の', 'ライン', 'アウト', 'が', 'まったく', '機能', 'し', 'ない', 'ので', 'なんだか', '見て', 'いて', '不満', 'を', '感じた', '。', 'かといって', '慶應', 'の', 'バックス', 'に', 'も', '攻撃', '力', 'を', '感じ', 'られ', 'ず', '、', 'ミス']",['不満'],NO,不満,NO,NO
9,不満,投げるだけですぅ。普段ためているストレスを解消するに使ってもよし、ジョージ・ブッシュ大統領に不満をぶつけるもよし。遊び方はあなた次第？ゲームはこちらをクリックにほんブログ村ニュースブログへ（,"['投げる', 'だけ', 'です', 'ぅ', '。', '普段', 'ためて', 'いる', 'ストレス', 'を', '解消', 'する', 'に', '使って', 'も', 'よし', '、', 'ジョージ', '・', 'ブッシュ', '大統領', 'に', '不満', 'を', 'ぶつける', 'も', 'よし', '。', '遊び', '方', 'は', 'あなた', '次第', '？', 'ゲーム', 'は', 'こちら', 'を', 'クリック', 'にほんブログ村', 'ニュースブログ', 'へ', '（']",['不満'],NO,不満,NO,NO
