,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不調,こう言うなんだよな！！「あのね、多貴。圭祐くんここのところちょっぴり不調でしょ？」母さんはそれでも頷こうとしない俺に、少しだけ俯くと、トーン,"['こう', '言う', 'なんだ', 'よ', 'な', '！', '！', '「', 'あの', 'ね', '、', '多', '貴', '。', '圭', '祐', 'くん', 'ここ', 'の', 'ところ', 'ちょっぴり', '不調でしょ', '？', '」', '母さん', 'は', 'それ', 'でも', '頷こう', 'と', 'し', 'ない', '俺', 'に', '、', '少し', 'だけ', '俯く', 'と', '、', 'トーン']",['不調でしょ'],NO,不調,NO,YES
1,不調,→夏●気・血・水でいうと→「気」「血」が滞りやすい●不調が出やすい部分→舌●調子が悪いと顔色が…→赤くなる,"['→', '夏', '●', '気', '・', '血', '・', '水', 'で', 'いう', 'と', '→', '「', '気', '」', '「', '血', '」', 'が', '滞り', 'やすい', '●', '不調', 'が', '出', 'やすい', '部分', '→', '舌', '●', '調子', 'が', '悪い', 'と', '顔色', 'が', '…→', '赤く', 'なる']",['不調'],NO,不調,NO,NO
2,不調,少し寂しくて。親の心は複雑だ。学園まつり秋雪は心配していた体の不調もなく、たくさんの行事に参加できた。夏の終りに催される学園まつりでは、,"['少し', '寂しくて', '。', '親', 'の', '心', 'は', '複雑だ', '。', '学園', 'まつり', '秋', '雪', 'は', '心配', 'して', 'いた', '体', 'の', '不調', 'も', 'なく', '、', 'たくさんの', '行事', 'に', '参加', 'できた', '。', '夏', 'の', '終り', 'に', '催さ', 'れる', '学園', 'まつり', 'で', 'は', '、']",['不調'],NO,不調,NO,NO
3,不調,して会いに来ただから込み上げるものがあるのだろう・・・久し振りだからねずっと不調だったから一日延ばしで今日まで待ち続けていたもしもこの日雨が降らなければ,"['して', '会い', 'に', '来た', 'だ', 'から', '込み上げる', 'もの', 'が', 'ある', 'のだろう', '・', '・', '・', '久し振りだ', 'から', 'ね', 'ずっと', '不調だった', 'から', '一', '日', '延ばし', 'で', '今日', 'まで', '待ち', '続けて', 'いた', 'もしも', 'この', '日', '雨', 'が', '降ら', 'なければ']",['不調だった'],NO,不調,NO,YES
4,不調,入ると自然に治りましたから、結果は母が正しかったんです」もちろん、不調の多い久田さんにも、しのぐ家系の血が脈々と息づいており、おたふく風邪で学校を,"['入る', 'と', '自然に', '治り', 'ました', 'から', '、', '結果', 'は', '母', 'が', '正しかった', 'んです', '」', 'もちろん', '、', '不調の', '多い', '久田', 'さん', 'に', 'も', '、', 'しのぐ', '家系', 'の', '血', 'が', '脈々と', '息づいて', 'おり', '、', 'おたふく', '風邪', 'で', '学校', 'を']",['不調の'],NO,不調,NO,YES
5,不調,・・怪しい粉は・・？？顔まで白いぞ・・・耳耳が不調なときに栄養のあるフォーミュラーと言う餌を購入しました。以前おくさんたちの時もウズラ〜さん,"['・', '・', '怪しい', '粉', 'は', '・', '・', '？', '？', '顔', 'まで', '白い', 'ぞ', '・', '・', '・', '耳', '耳', 'が', '不調な', 'とき', 'に', '栄養', 'の', 'ある', 'フォーミュラー', 'と', '言う', '餌', 'を', '購入', 'し', 'ました', '。', '以前', 'おくさん', 'たち', 'の', '時', 'も', 'ウズラ', '〜', 'さん']",['不調な'],NO,不調,NO,YES
6,不調,に目を向けると、そこではまださっきのレポーターとキャスターが、主に鷹塚さんの不調を話題にして会話を続けていた。母さんのむかつき所は、鷹塚さんを批判する,"['に', '目', 'を', '向ける', 'と', '、', 'そこ', 'で', 'は', 'まだ', 'さっき', 'の', 'レポーター', 'と', 'キャスター', 'が', '、', '主に', '鷹', '塚', 'さん', 'の', '不調', 'を', '話題', 'に', 'して', '会話', 'を', '続けて', 'いた', '。', '母さん', 'の', 'むかつき', '所', 'は', '、', '鷹', '塚', 'さん', 'を', '批判', 'する']",['不調'],NO,不調,NO,NO
7,不調,！ってことは、クルマのメンテを急いでやんなきゃ、だ。そんなとき、不調で悩んだら速攻、新鮮組に相談だ。メール＆手紙、待ってるヨ〜！ドラテク,"['！', 'って', 'こと', 'は', '、', 'クルマ', 'の', 'メンテ', 'を', '急いで', 'や', 'ん', 'なきゃ', '、', 'だ', '。', 'そんな', 'とき', '、', '不調で', '悩んだら', '速攻', '、', '新鮮', '組', 'に', '相談', 'だ', '。', 'メール', '＆', '手紙', '、', '待って', 'る', 'ヨ', '〜', '！', 'ドラテク']",['不調で'],NO,不調,NO,YES
8,不調,白朮（オケラ）、桔梗（キキョウ）などの生薬と配合し、下痢をともなう消化器の不調に見られる風寒をともなう内湿の症状の治療薬、藿香正気散に使用。黄芩（スカルキャップ,"['白朮', '（', 'オケラ', '）', '、', '桔梗', '（', 'キキョウ', '）', 'など', 'の', '生薬', 'と', '配合', 'し', '、', '下痢', 'を', 'ともなう', '消化', '器', 'の', '不調に', '見', 'られる', '風', '寒', 'を', 'ともなう', '内', '湿', 'の', '症状', 'の', '治療', '薬', '、', '藿香', '正', '気', '散', 'に', '使用', '。', '黄', '芩', '（', 'スカルキャップ']",['不調に'],NO,不調,NO,YES
9,不調,見た。２月二十八日ああ、忙殺される毎日に負けじと奮闘する不屈さ。体の不調だけには敏感にとおびえている臆病さ。でも何より、悲しみを悲しみとして流す,"['見た', '。', '２', '月', '二十八', '日', 'ああ', '、', '忙殺', 'さ', 'れる', '毎日', 'に', '負け', 'じ', 'と', '奮闘', 'する', '不屈', 'さ', '。', '体', 'の', '不調', 'だけ', 'に', 'は', '敏感に', 'と', 'おびえて', 'いる', '臆病', 'さ', '。', 'でも', '何より', '、', '悲し', 'み', 'を', '悲しみ', 'と', 'して', '流す']",['不調'],NO,不調,NO,NO
10,不調,、いろいろな講演会やワークショップなどを開催したりもしています。何か心に不調を感じたときや、家族の様子で心配なことがあっても、なかなか病院,"['、', 'いろいろな', '講演', '会', 'や', 'ワークショップ', 'など', 'を', '開催', 'したり', 'も', 'して', 'い', 'ます', '。', '何', 'か', '心', 'に', '不調', 'を', '感じた', 'とき', 'や', '、', '家族', 'の', '様子', 'で', '心配な', 'こと', 'が', 'あって', 'も', '、', 'なかなか', '病院']",['不調'],NO,不調,NO,NO
11,不調,不眠、自律神経失調症などの精神疾患は、気冷えから起こる。うつ病や自律神経失調症など、精神的に不調の人は、ほとんど例外なく三十六．五度に満たない低体温だという。「このタイプ,"['不眠', '、', '自律', '神経', '失調', '症', 'など', 'の', '精神', '疾患', 'は', '、', '気', '冷え', 'から', '起こる', '。', 'うつ病', 'や', '自律', '神経', '失調', '症', 'など', '、', '精神', '的に', '不調の', '人', 'は', '、', 'ほとんど', '例外', 'なく', '三十六', '．', '五', '度', 'に', '満たない', '低', '体温', 'だ', 'と', 'いう', '。', '「', 'この', 'タイプ']",['不調の'],NO,不調,NO,YES
12,不調,申し出を受けた」今にして思えば、琴江はすでに自分の体の不調に気づいていたせいではなかったかと通之進はいった。「今、申した,"['申し出', 'を', '受けた', '」', '今に', 'して', '思えば', '、', '琴', '江', 'は', 'すでに', '自分', 'の', '体', 'の', '不調に', '気づいて', 'いた', 'せい', 'で', 'は', 'なかった', 'か', 'と', '通', '之進', 'は', 'いった', '。', '「', '今', '、', '申した']",['不調に'],NO,不調,NO,YES
13,不調,不調だったんですが、ここ２週間ほど調子がよく復活しましてました。でもまた不調になりだしました。これはマウスの故障ですか？原因は何が考えられます,"['不調だった', 'んです', 'が', '、', 'ここ', '２', '週間', 'ほど', '調子', 'が', 'よく', '復活', 'し', 'まして', 'ました', '。', 'でも', 'また', '不調に', 'なり', 'だし', 'ました', '。', 'これ', 'は', 'マウス', 'の', '故障', 'です', 'か', '？', '原因', 'は', '何', 'が', '考え', 'られ', 'ます']",['不調だった'],NO,不調,NO,YES
14,不調,不調だったんですが、ここ２週間ほど調子がよく復活しましてました。でもまた不調になりだしました。これはマウスの故障ですか？原因は何が考えられます,"['不調だった', 'んです', 'が', '、', 'ここ', '２', '週間', 'ほど', '調子', 'が', 'よく', '復活', 'し', 'まして', 'ました', '。', 'でも', 'また', '不調に', 'なり', 'だし', 'ました', '。', 'これ', 'は', 'マウス', 'の', '故障', 'です', 'か', '？', '原因', 'は', '何', 'が', '考え', 'られ', 'ます']",['不調に'],NO,不調,NO,YES
15,不調,重く感じたり体がむくんだりイライラしたりするのも、このバランスが崩れるから。そんな不調を整えるためにも、飲料水は大切な役割を果たします」女性のためのクリニック,"['重く', '感じたり', '体', 'が', 'むくんだり', 'イライラ', 'したり', 'する', 'の', 'も', '、', 'この', 'バランス', 'が', '崩れる', 'から', '。', 'そんな', '不調', 'を', '整える', 'ため', 'に', 'も', '、', '飲料', '水', 'は', '大切な', '役割', 'を', '果たし', 'ます', '」', '女性', 'の', 'ため', 'の', 'クリニック']",['不調'],NO,不調,NO,NO
16,不調,や缶詰を食べ、煙草を吸い、焼酎を飲んだりして眠ってしまいました。不調なエンジンとの格闘で疲れていた。それに、波に揺られる船の上で,"['や', '缶詰', 'を', '食べ', '、', '煙草', 'を', '吸い', '、', '焼酎', 'を', '飲んだり', 'して', '眠って', 'しまい', 'ました', '。', '不調な', 'エンジン', 'と', 'の', '格闘', 'で', '疲れて', 'いた', '。', 'それ', 'に', '、', '波', 'に', '揺られる', '船', 'の', '上', 'で']",['不調な'],NO,不調,NO,YES
17,不調,体調は復活した。なんだ、ただ髪の毛がのびてイライラしていただけだった。不調のときは、爪を切ったり床屋に行ったりジタバタしているうちになんとかなるようだ,"['体調', 'は', '復活', 'した', '。', 'なんだ', '、', 'ただ', '髪', 'の', '毛', 'が', 'のびて', 'イライラ', 'して', 'いた', 'だけ', 'だった', '。', '不調の', 'とき', 'は', '、', '爪', 'を', '切ったり', '床屋', 'に', '行ったり', 'ジタバタ', 'して', 'いる', 'うち', 'に', 'なんとか', 'なる', 'ようだ']",['不調の'],NO,不調,NO,YES
18,不調,先行して、しぶとさを生かす？中山は合いそうな６・マコトスパルビエロ。×⇒不調ながら、内からあるいは伸びるかも？１・キクノサリーレ。×⇒中山なら、,"['先行', 'して', '、', 'しぶと', 'さ', 'を', '生かす', '？', '中山', 'は', '合い', 'そうな', '６', '・', 'マコトスパルビエロ', '。', '×', '⇒', '不調', 'ながら', '、', '内', 'から', 'あるいは', '伸びる', 'かも', '？', '１', '・', 'キクノサリーレ', '。', '×', '⇒', '中山', 'なら', '、']",['不調'],NO,不調,NO,NO
19,不調,についてもわたしは疑っています。お父様は晩年、とっくに発作で脳の機能が不調になっていたにもかかわらず、元気なご様子に見えました。でもやはり従来のあの方,"['に', 'ついて', 'も', 'わたし', 'は', '疑って', 'い', 'ます', '。', 'お', '父', '様', 'は', '晩年', '、', 'とっくに', '発作', 'で', '脳', 'の', '機能', 'が', '不調に', 'なって', 'いた', 'に', 'も', 'かかわら', 'ず', '、', '元気な', 'ご', '様子', 'に', '見え', 'ました', '。', 'でも', 'やはり', '従来', 'の', 'あの', '方']",['不調に'],NO,不調,NO,YES
