,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,全国民,、放送事業の目覚ましい発展と、影響力の著しさを感じとった政府は「放送の恩恵を全国民が享受するためには全国普及の必要があり、その技術対策および放送網のあり方としては、政府,"['、', '放送', '事業', 'の', '目覚ましい', '発展', 'と', '、', '影響', '力', 'の', '著し', 'さ', 'を', '感じ', 'とった', '政府', 'は', '「', '放送', 'の', '恩恵', 'を', '全', '国民', 'が', '享受', 'する', 'ため', 'に', 'は', '全国', '普及', 'の', '必要', 'が', 'あり', '、', 'その', '技術', '対策', 'および', '放送', '網', 'の', 'あり', '方', 'と', 'して', 'は', '、', '政府']","['全', '国民']",YES,全国民,NO,NO
1,全国民,国民生活を守ろうということで制定されたものでございまして、そういった趣旨から全国民の参加が必要ではないかというふうに考えております。また、仮に任意加入をし,"['国民', '生活', 'を', '守ろう', 'と', 'いう', 'こと', 'で', '制定', 'さ', 'れた', 'もの', 'で', 'ございまして', '、', 'そういった', '趣旨', 'から', '全', '国民', 'の', '参加', 'が', '必要で', 'は', 'ない', 'か', 'と', 'いう', 'ふうに', '考えて', 'おり', 'ます', '。', 'また', '、', '仮に', '任意', '加入', 'を', 'し']","['全', '国民']",YES,全国民,NO,NO
2,全国民,、管理・保全、頒布するという趣旨で設けられたのです。ＳＰＡＲには、居住外国人を含む全国民について、各人の氏名、年齢、性別、住所、国籍、婚姻関係、課税所得、課税対象資産、,"['、', '管理', '・', '保全', '、', '頒布', 'する', 'と', 'いう', '趣旨', 'で', '設け', 'られた', 'のです', '。', 'ＳＰＡＲ', 'に', 'は', '、', '居住', '外国', '人', 'を', '含む', '全', '国民', 'に', 'ついて', '、', '各人', 'の', '氏名', '、', '年齢', '、', '性別', '、', '住所', '、', '国籍', '、', '婚姻', '関係', '、', '課税', '所得', '、', '課税', '対象', '資産', '、']","['全', '国民']",YES,全国民,NO,NO
3,全国民,通産省、それぞれ努力をして、せっかくこの法律ができるわけでありますから、これを全国民に周知徹底させるため、先ほど尾身委員の方からは法律を解説したパンフレットというものもつくる,"['通産', '省', '、', 'それぞれ', '努力', 'を', 'して', '、', 'せっかく', 'この', '法律', 'が', 'できる', 'わけであり', 'ます', 'から', '、', 'これ', 'を', '全', '国民', 'に', '周知', '徹底', 'さ', 'せる', 'ため', '、', '先ほど', '尾', '身', '委員', 'の', '方', 'から', 'は', '法律', 'を', '解説', 'した', 'パンフレット', 'と', 'いう', 'もの', 'も', 'つくる']","['全', '国民']",YES,全国民,NO,NO
4,全国民,、ヘルスフードショップが繁盛している。図表１医療診察システム図表２医療保険の種類メディケア低所得者を除く全国民が加入する医療保険。外国人は、永住権を持っていれば加入できる。日本の国民健康保険制度と同じよう,"['、', 'ヘルスフードショップ', 'が', '繁盛', 'して', 'いる', '。', '図表', '１', '医療', '診察', 'システム', '図表', '２', '医療', '保険', 'の', '種類', 'メディケア', '低', '所得', '者', 'を', '除く', '全', '国民', 'が', '加入', 'する', '医療', '保険', '。', '外国', '人', 'は', '、', '永住', '権', 'を', '持って', 'いれば', '加入', 'できる', '。', '日本', 'の', '国民', '健康', '保険', '制度', 'と', '同じ', 'よう']","['全', '国民']",YES,全国民,NO,NO
5,全国民,、とみるべきだろう。首相就任以来、衰えをみせない超高支持率は信じがたいほどだ。ほとんど全国民が小泉に好感を抱き、期待を寄せている。こんな現象はかつて一度も体験した,"['、', 'と', 'みる', 'べきだろう', '。', '首相', '就任', '以来', '、', '衰え', 'を', 'みせ', 'ない', '超', '高', '支持', '率', 'は', '信じ', 'がたい', 'ほど', 'だ', '。', 'ほとんど', '全', '国民', 'が', '小泉', 'に', '好感', 'を', '抱き', '、', '期待', 'を', '寄せて', 'いる', '。', 'こんな', '現象', 'は', 'かつて', '一', '度', 'も', '体験', 'した']","['全', '国民']",YES,全国民,NO,NO
6,全国民,選ぶ有権者の厳しい目が求められている。提出法案数と成立数国会議員の地位と特権「全国民の代表」（憲四十三条）であり，「全体の奉仕者」（憲十五条２項）という,"['選ぶ', '有権者', 'の', '厳しい', '目', 'が', '求め', 'られて', 'いる', '。', '提出', '法案', '数', 'と', '成立', '数', '国会', '議員', 'の', '地位', 'と', '特権', '「', '全', '国民', 'の', '代表', '」', '（', '憲', '四十三', '条', '）', 'であり', '，', '「', '全体', 'の', '奉仕', '者', '」', '（', '憲', '十五', '条', '２', '項', '）', 'と', 'いう']","['全', '国民']",YES,全国民,NO,NO
7,全国民,中央の出生・死亡・婚姻（ＢＤＭ）登録センターが強制的に付番し、ＨＩＣの各地のメディケア事務所を通じて全国民に交付する、といったプランでした。このように、オーストラリアカード案は、個人の付番機関が,"['中央', 'の', '出生', '・', '死亡', '・', '婚姻', '（', 'ＢＤＭ', '）', '登録', 'センター', 'が', '強制', '的に', '付', '番', 'し', '、', 'ＨＩＣ', 'の', '各地', 'の', 'メディケア', '事務', '所', 'を', '通じて', '全', '国民', 'に', '交付', 'する', '、', 'と', 'いった', 'プラン', 'でした', '。', 'このように', '、', 'オーストラリア', 'カード', '案', 'は', '、', '個人', 'の', '付', '番', '機関', 'が']","['全', '国民']",YES,全国民,NO,NO
8,全国民,の協力の下，被災地への食料支援などを行ったが，死者三百四十七名，被災者は全国民の三十％を超える約三百四十五万人以上となった。（４）エルサルバドルの地震中米エルサルバドルの首都サンサルバドル,"['の', '協力', 'の', '下', '，', '被災', '地', 'へ', 'の', '食料', '支援', 'など', 'を', '行った', 'が', '，', '死者', '三百四十七', '名', '，', '被災', '者', 'は', '全', '国民', 'の', '三十', '％', 'を', '超える', '約', '三百四十五万', '人', '以上', 'と', 'なった', '。', '（', '４', '）', 'エルサルバドル', 'の', '地震', '中', '米', 'エルサルバドル', 'の', '首都', 'サンサルバドル']","['全', '国民']",YES,全国民,NO,NO
9,全国民,遂げたのは、千九百七十四年以来のことといわれる。ホスピスは九十年時点で千四百五十カ所がある。全国民を対象にした医療保険制度をもたないこの国では、メディケア（六十五歳以上の老人医療保険制度）,"['遂げた', 'の', 'は', '、', '千九百七十四', '年', '以来', 'の', 'こと', 'と', 'いわ', 'れる', '。', 'ホスピス', 'は', '九十', '年', '時点', 'で', '千四百五十', 'カ所', 'が', 'ある', '。', '全', '国民', 'を', '対象', 'に', 'した', '医療', '保険', '制度', 'を', 'もた', 'ない', 'この', '国', 'で', 'は', '、', 'メディケア', '（', '六十五', '歳', '以上', 'の', '老人', '医療', '保険', '制度', '）']","['全', '国民']",YES,全国民,NO,NO
10,全国民,負担の問題、現在は国庫補助が三分の一ということでありますけれども、これをナショナルミニマムとして全国民に保障するということになりますと、果たして今のような基礎年金部分に対する負担割合もこれでいい,"['負担', 'の', '問題', '、', '現在', 'は', '国庫', '補助', 'が', '三', '分', 'の', '一', 'と', 'いう', 'こと', 'で', 'あり', 'ます', 'けれども', '、', 'これ', 'を', 'ナショナルミニマム', 'と', 'して', '全', '国民', 'に', '保障', 'する', 'と', 'いう', 'こと', 'に', 'なり', 'ます', 'と', '、', '果たして', '今', 'の', 'ような', '基礎', '年金', '部分', 'に', '対する', '負担', '割合', 'も', 'これ', 'で', 'いい']","['全', '国民']",YES,全国民,NO,NO
11,全国民,表明された。このなかでラザク議長は、新体制の下では特定のコミュニティではなく、全国民が経済的な富を分かち合える経済発展を推進すると述べ、そのためには単に成長率と生産性,"['表明', 'さ', 'れた', '。', 'この', 'なか', 'で', 'ラザク', '議長', 'は', '、', '新', '体制', 'の', '下', 'で', 'は', '特定', 'の', 'コミュニティ', 'で', 'は', 'なく', '、', '全', '国民', 'が', '経済', '的な', '富', 'を', '分かち', '合える', '経済', '発展', 'を', '推進', 'する', 'と', '述べ', '、', 'その', 'ため', 'に', 'は', '単に', '成長', '率', 'と', '生産', '性']","['全', '国民']",YES,全国民,NO,NO
12,全国民,また文学的にもたいへんに興味をかきたてる存在であって、それ故、一般大衆から学者までほとんど全国民が「ひとこと言いたい」病に取り憑かれたわけだが、あくまでも政治的に対処す,"['また', '文学', '的に', 'も', 'たいへんに', '興味', 'を', 'かきたてる', '存在', 'であって', '、', 'それ故', '、', '一般', '大衆', 'から', '学者', 'まで', 'ほとんど', '全', '国民', 'が', '「', 'ひと', 'こ', 'と', '言い', 'たい', '」', '病', 'に', '取り', '憑か', 'れた', 'わけだ', 'が', '、', 'あくまでも', '政治', '的に', '対処', 'す']","['全', '国民']",YES,全国民,NO,NO
13,全国民,は千六百年から千八百六十八年までこの国を支配したが、目に見えない専制支配の網を全国民のうえに被せたのだ。そのため、階級の上のものから下のものまで,"['は', '千六百', '年', 'から', '千八百六十八', '年', 'まで', 'この', '国', 'を', '支配', 'した', 'が', '、', '目', 'に', '見え', 'ない', '専制', '支配', 'の', '網', 'を', '全', '国民', 'の', 'うえ', 'に', '被せた', 'のだ', '。', 'その', 'ため', '、', '階級', 'の', '上', 'の', 'もの', 'から', '下', 'の', 'もの', 'まで']","['全', '国民']",YES,全国民,NO,NO
14,全国民,思っていた。敗戦後、マッカーサー元帥の言うことを無条件に受け入れて、一夜のうちに全国民が民主主義者に衣換えしたことはよく言われる例だが、連れてこられたばかり,"['思って', 'いた', '。', '敗戦', '後', '、', 'マッカーサー', '元帥', 'の', '言う', 'こと', 'を', '無', '条件', 'に', '受け入れて', '、', '一夜', 'の', 'うち', 'に', '全', '国民', 'が', '民主', '主義', '者', 'に', '衣', '換え', 'した', 'こと', 'は', 'よく', '言わ', 'れる', '例', 'だ', 'が', '、', '連れて', 'こ', 'られた', 'ばかり']","['全', '国民']",YES,全国民,NO,NO
15,全国民,ときの預金で、国民が心配している五％に比べて、昭和銀行の方が百二十八倍も全国民の預金に占める割合は大きかった。しかもその昭和銀行には、日銀に対する当時の国会,"['とき', 'の', '預金', 'で', '、', '国民', 'が', '心配', 'して', 'いる', '五', '％', 'に', '比べて', '、', '昭和', '銀行', 'の', '方', 'が', '百二十八', '倍', 'も', '全', '国民', 'の', '預金', 'に', '占める', '割合', 'は', '大きかった', '。', 'しかも', 'その', '昭和', '銀行', 'に', 'は', '、', '日銀', 'に', '対する', '当時', 'の', '国会']","['全', '国民']",YES,全国民,NO,NO
16,全国民,があったが、皇太子と共にその夜、実に感動的な談話を発表して全国民をうならせた。翌日のハンセン病の療養所慰問においても、眼をみはるシーンが見,"['が', 'あった', 'が', '、', '皇太子', 'と', '共に', 'その', '夜', '、', '実に', '感動', '的な', '談話', 'を', '発表', 'して', '全', '国民', 'を', 'うなら', 'せた', '。', '翌日', 'の', 'ハンセン', '病', 'の', '療養', '所', '慰問', 'に', 'おいて', 'も', '、', '眼', 'を', 'みはる', 'シーン', 'が', '見']","['全', '国民']",YES,全国民,NO,NO
17,全国民,にしても他の公共事業にしても、マスメディアを通じて全国民の議論になるわけで、そこで全国民の意向というものが政治全体に反映してくれば、これは行政にも反映せざるを得ない。,"['に', 'して', 'も', '他の', '公共', '事業', 'に', 'して', 'も', '、', 'マスメディア', 'を', '通じて', '全', '国民', 'の', '議論', 'に', 'なる', 'わけで', '、', 'そこ', 'で', '全', '国民', 'の', '意向', 'と', 'いう', 'もの', 'が', '政治', '全体', 'に', '反映', 'して', 'くれば', '、', 'これ', 'は', '行政', 'に', 'も', '反映', 'せ', 'ざる', 'を', '得', 'ない', '。']","['全', '国民']",YES,全国民,NO,NO
18,全国民,にしても他の公共事業にしても、マスメディアを通じて全国民の議論になるわけで、そこで全国民の意向というものが政治全体に反映してくれば、これは行政にも反映せざるを得ない。,"['に', 'して', 'も', '他の', '公共', '事業', 'に', 'して', 'も', '、', 'マスメディア', 'を', '通じて', '全', '国民', 'の', '議論', 'に', 'なる', 'わけで', '、', 'そこ', 'で', '全', '国民', 'の', '意向', 'と', 'いう', 'もの', 'が', '政治', '全体', 'に', '反映', 'して', 'くれば', '、', 'これ', 'は', '行政', 'に', 'も', '反映', 'せ', 'ざる', 'を', '得', 'ない', '。']","['全', '国民']",YES,全国民,NO,NO
19,全国民,ことが西洋道徳の優越をも示すものであるならば、みずから進んでキリスト教を学び、全国民の改宗運動に乗り出すことさえ辞すべきではない。かくして彼は、親族の反対を押し切っ,"['こと', 'が', '西洋', '道徳', 'の', '優越', 'を', 'も', '示す', 'もの', 'である', 'ならば', '、', 'みずから', '進んで', 'キリスト教', 'を', '学び', '、', '全', '国民', 'の', '改宗', '運動', 'に', '乗り出す', 'こと', 'さえ', '辞す', 'べきで', 'は', 'ない', '。', 'かくして', '彼', 'は', '、', '親族', 'の', '反対', 'を', '押し', '切っ']","['全', '国民']",YES,全国民,NO,NO
20,全国民,れていると思いますが、やっぱり議員だけで議論しちゃだめですよね。憲法は全国民が認識を持って議論せにゃいけません。そのためには全国民を巻き込む努力を,"['れて', 'いる', 'と', '思い', 'ます', 'が', '、', 'やっぱり', '議員', 'だけ', 'で', '議論', 'しちゃ', 'だめです', 'よ', 'ね', '。', '憲法', 'は', '全', '国民', 'が', '認識', 'を', '持って', '議論', 'せ', 'に', 'ゃ', 'いけ', 'ませ', 'ん', '。', 'その', 'ため', 'に', 'は', '全', '国民', 'を', '巻き', '込む', '努力', 'を']","['全', '国民']",YES,全国民,NO,NO
21,全国民,れていると思いますが、やっぱり議員だけで議論しちゃだめですよね。憲法は全国民が認識を持って議論せにゃいけません。そのためには全国民を巻き込む努力を,"['れて', 'いる', 'と', '思い', 'ます', 'が', '、', 'やっぱり', '議員', 'だけ', 'で', '議論', 'しちゃ', 'だめです', 'よ', 'ね', '。', '憲法', 'は', '全', '国民', 'が', '認識', 'を', '持って', '議論', 'せ', 'に', 'ゃ', 'いけ', 'ませ', 'ん', '。', 'その', 'ため', 'に', 'は', '全', '国民', 'を', '巻き', '込む', '努力', 'を']","['全', '国民']",YES,全国民,NO,NO
22,全国民,住基ネットあす稼働６市区町は不参加全国民に十一けたの番号を付け、氏名、住所などの情報を市区町村から国の行政機関など,"['住', '基', 'ネット', 'あす', '稼働', '６', '市', '区', '町', 'は', '不', '参加', '全国', '民', 'に', '十一', 'けた', 'の', '番号', 'を', '付け', '、', '氏名', '、', '住所', 'など', 'の', '情報', 'を', '市区', '町村', 'から', '国', 'の', '行政', '機関', 'など']","['全国', '民']",YES,全国民,YES,NO
