,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各分野,尽力されました。文化の日表彰は、地方自治、産業、教育、民生など各分野において、多年にわたり県勢の伸展、県民福祉の増進、芸術文化の向上等に寄与され,"['尽力', 'さ', 'れ', 'ました', '。', '文化', 'の', '日', '表彰', 'は', '、', '地方', '自治', '、', '産業', '、', '教育', '、', '民生', 'など', '各', '分野', 'に', 'おいて', '、', '多年', 'に', 'わたり', '県', '勢', 'の', '伸', '展', '、', '県民', '福祉', 'の', '増進', '、', '芸術', '文化', 'の', '向上', '等', 'に', '寄与', 'さ', 'れ']","['各', '分野']",YES,各分野,NO,NO
1,各分野,を呼ぶようにできるかにあったろう。その上本編では、エジソンの発明を各分野での発明史上に位置づけようともしていた。例えば電話機の場合、まずグラハム・ベルの装置の,"['を', '呼ぶ', 'ように', 'できる', 'か', 'に', 'あったろう', '。', 'その', '上', '本', '編', 'で', 'は', '、', 'エジソン', 'の', '発明', 'を', '各', '分野', 'で', 'の', '発明', '史上', 'に', '位置づけよう', 'と', 'も', 'して', 'いた', '。', '例えば', '電話', '機', 'の', '場合', '、', 'まず', 'グラハム', '・', 'ベル', 'の', '装置', 'の']","['各', '分野']",YES,各分野,NO,NO
2,各分野,をしてはならない。四隊中の者は各々の志すところに従い、管理・砲術・航海・外国語・蒸気機関などの各分野で専門知識を養い、ともに勉励して万一にも怠りがあってはならない。五隊,"['を', 'して', 'は', 'なら', 'ない', '。', '四', '隊', '中', 'の', '者', 'は', '各々', 'の', '志す', 'ところ', 'に', '従い', '、', '管理', '・', '砲術', '・', '航海', '・', '外国', '語', '・', '蒸気', '機関', 'など', 'の', '各', '分野', 'で', '専門', '知識', 'を', '養い', '、', 'ともに', '勉励', 'して', '万一', 'に', 'も', '怠り', 'が', 'あって', 'は', 'なら', 'ない', '。', '五', '隊']","['各', '分野']",YES,各分野,NO,NO
3,各分野,千九百九十年に行われた社会福祉関係８法の改正である。これは，老人福祉を中心に社会福祉の各分野で，市町村を実施主体とする地域福祉型のサービス体系を実現しようとする改正であった。児童福祉法で,"['千九百九十', '年', 'に', '行わ', 'れた', '社会', '福祉', '関係', '８', '法', 'の', '改正', 'である', '。', 'これ', 'は', '，', '老人', '福祉', 'を', '中心', 'に', '社会', '福祉', 'の', '各', '分野', 'で', '，', '市町村', 'を', '実施', '主体', 'と', 'する', '地域', '福祉', '型', 'の', 'サービス', '体系', 'を', '実現', 'しよう', 'と', 'する', '改正', 'であった', '。', '児童', '福祉', '法', 'で']","['各', '分野']",YES,各分野,NO,NO
4,各分野,選挙に勝つことができる。有権者の心をつかむことは、それほど重要なことではない。各分野の力を持った地位に就いている友人たちを頼ることで、確実に選挙区を獲得し,"['選挙', 'に', '勝つ', 'こと', 'が', 'できる', '。', '有権者', 'の', '心', 'を', 'つかむ', 'こと', 'は', '、', 'それほど', '重要な', 'こと', 'で', 'は', 'ない', '。', '各', '分野', 'の', '力', 'を', '持った', '地位', 'に', '就いて', 'いる', '友人', 'たち', 'を', '頼る', 'こと', 'で', '、', '確実に', '選挙', '区', 'を', '獲得', 'し']","['各', '分野']",YES,各分野,NO,NO
5,各分野,第一に一般廃棄物管理型最終処分場の建設に取り組みます廃棄物対策監■■■■これまで、ごみ問題について、各分野での取り組みや実情などさまざまな角度から掲載してきました。廃棄物（ごみ）,"['第', '一', 'に', '一般', '廃棄', '物', '管理', '型', '最終', '処分', '場', 'の', '建設', 'に', '取り組み', 'ます', '廃棄', '物', '対策', '監', '■■■■', 'これ', 'まで', '、', 'ごみ', '問題', 'に', 'ついて', '、', '各', '分野', 'で', 'の', '取り組み', 'や', '実情', 'など', 'さまざまな', '角度', 'から', '掲載', 'して', 'き', 'ました', '。', '廃棄', '物', '（', 'ごみ', '）']","['各', '分野']",YES,各分野,NO,NO
6,各分野,を把握し，また，被申請人の行う発生源対策に資することを目的に，騒音，振動の各分野における専門委員を選任し，その専門分野における意見を求めるとともに，民間の試験研究機関に騒音・振動に関する分析調査,"['を', '把握', 'し', '，', 'また', '，', '被', '申請', '人', 'の', '行う', '発生', '源', '対策', 'に', '資する', 'こと', 'を', '目的', 'に', '，', '騒音', '，', '振動', 'の', '各', '分野', 'に', 'おける', '専門', '委員', 'を', '選任', 'し', '，', 'その', '専門', '分野', 'に', 'おける', '意見', 'を', '求める', 'と', 'ともに', '，', '民間', 'の', '試験', '研究', '機関', 'に', '騒音', '・', '振動', 'に', '関する', '分析', '調査']","['各', '分野']",YES,各分野,NO,NO
7,各分野,には、ちょっとにわかには信じがたいインパクトがある。実質二十日。もちろんこれは同店が各分野のプロショップ（フレーム、エンジン、ＦＲＰ外装、塗装など）と密接な提携関係を築いているから,"['に', 'は', '、', 'ちょっと', 'にわかに', 'は', '信じ', 'がたい', 'インパクト', 'が', 'ある', '。', '実質', '二十', '日', '。', 'もちろん', 'これ', 'は', '同', '店', 'が', '各', '分野', 'の', 'プロ', 'ショップ', '（', 'フレーム', '、', 'エンジン', '、', 'ＦＲＰ', '外装', '、', '塗装', 'など', '）', 'と', '密接な', '提携', '関係', 'を', '築いて', 'いる', 'から']","['各', '分野']",YES,各分野,NO,NO
8,各分野,構造・装置等の改善近年，鉄道における車両の構造・装置は，大きく変化している。これは，各分野における科学技術の発達や労働力不足，環境問題等の社会環境の変化等外的要素に起因するところが少なくない。最近,"['構造', '・', '装置', '等', 'の', '改善', '近年', '，', '鉄道', 'に', 'おける', '車両', 'の', '構造', '・', '装置', 'は', '，', '大きく', '変化', 'して', 'いる', '。', 'これ', 'は', '，', '各', '分野', 'に', 'おける', '科学', '技術', 'の', '発達', 'や', '労働', '力', '不足', '，', '環境', '問題', '等', 'の', '社会', '環境', 'の', '変化', '等', '外', '的', '要素', 'に', '起因', 'する', 'ところ', 'が', '少なく', 'ない', '。', '最近']","['各', '分野']",YES,各分野,NO,NO
9,各分野,に関して討議が行われた。（ⅲ）国連開発計画（ＵＮＤＰ）ＵＮＤＰは国連システムによる各分野での技術援助の中心的資金供与機関であり，科学技術分野では千九百八十七年１月に新たに設置された「開発,"['に', '関して', '討議', 'が', '行わ', 'れた', '。', '（', 'ⅲ', '）', '国連', '開発', '計画', '（', 'ＵＮＤＰ', '）', 'ＵＮＤＰ', 'は', '国連', 'システム', 'に', 'よる', '各', '分野', 'で', 'の', '技術', '援助', 'の', '中心', '的', '資金', '供与', '機関', 'であり', '，', '科学', '技術', '分野', 'で', 'は', '千九百八十七', '年', '１', '月', 'に', '新たに', '設置', 'さ', 'れた', '「', '開発']","['各', '分野']",YES,各分野,NO,NO
