,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各学校,を起こす可能性が高いでしょう。専門技術を身につけるにはとてもよい時期なので、各学校の申し込みをするのもよいでしょう。愛はこぶもの〜今年の相性〜すばらしい出会い,"['を', '起こす', '可能', '性', 'が', '高い', 'でしょう', '。', '専門', '技術', 'を', '身', 'に', 'つける', 'に', 'は', 'とても', 'よい', '時期', 'な', 'ので', '、', '各', '学校', 'の', '申し込み', 'を', 'する', 'の', 'も', 'よい', 'でしょう', '。', '愛', 'はこぶ', 'もの', '〜', '今年', 'の', '相性', '〜', 'すばらしい', '出会い']","['各', '学校']",YES,各学校,NO,NO
1,各学校,いたしましては、これは音楽や社会科におきます国旗や国歌の指導のみならず、各学校、多くの学校でそれなりにきちっとした指導が行われるもの、こう考えているわけで,"['いたし', 'まして', 'は', '、', 'これ', 'は', '音楽', 'や', '社会', '科', 'に', 'おき', 'ます', '国旗', 'や', '国歌', 'の', '指導', 'のみ', 'なら', 'ず', '、', '各', '学校', '、', '多く', 'の', '学校', 'で', 'それなり', 'に', 'きちっと', 'した', '指導', 'が', '行わ', 'れる', 'もの', '、', 'こう', '考えて', 'いる', 'わけで']","['各', '学校']",YES,各学校,NO,NO
2,各学校,れる見通しだ。国の指導に振り回されず、主体的に教育方針を展開できるのだから、各学校の腕の見せ所となる。教育現場の意見の主張によって中央省庁が動いた貴重な実例,"['れる', '見通し', 'だ', '。', '国', 'の', '指導', 'に', '振り', '回さ', 'れ', 'ず', '、', '主体', '的に', '教育', '方針', 'を', '展開', 'できる', 'のだ', 'から', '、', '各', '学校', 'の', '腕', 'の', '見せ所', 'と', 'なる', '。', '教育', '現場', 'の', '意見', 'の', '主張', 'に', 'よって', '中央', '省庁', 'が', '動いた', '貴重な', '実例']","['各', '学校']",YES,各学校,NO,NO
3,各学校,一年間の中で最低限入学式と卒業式におきましてこのような義務づけを行って、各学校における教育課程の実施をすべての学校にお願いしているということでございます。○竹村泰子君今,"['一', '年間', 'の', '中', 'で', '最低', '限', '入学', '式', 'と', '卒業', '式', 'に', 'おき', 'まして', 'このような', '義務づけ', 'を', '行って', '、', '各', '学校', 'に', 'おける', '教育', '課程', 'の', '実施', 'を', 'すべて', 'の', '学校', 'に', 'お', '願い', 'して', 'いる', 'と', 'いう', 'こと', 'で', 'ございます', '。', '○', '竹村', '泰子', '君', '今']","['各', '学校']",YES,各学校,NO,NO
4,各学校,ことが大切だと思っておりますが、その具体的な実施方法につきましては、各学校、校長や設置者である教育委員会の判断にゆだねられているところでございます。その際に,"['こと', 'が', '大切だ', 'と', '思って', 'おり', 'ます', 'が', '、', 'その', '具体', '的な', '実施', '方法', 'に', 'つき', 'まして', 'は', '、', '各', '学校', '、', '校長', 'や', '設置', '者', 'である', '教育', '委員', '会', 'の', '判断', 'に', 'ゆだね', 'られて', 'いる', 'ところ', 'で', 'ございます', '。', 'その', '際', 'に']","['各', '学校']",YES,各学校,NO,NO
5,各学校,保育園からいただいています。最初に教育長に許可をもらって、リサイクル製品を持って、各学校にお願いに行きました。八百津小学校では、回収パックがどのように使われるか,"['保育', '園', 'から', 'いただいて', 'い', 'ます', '。', '最初に', '教育', '長', 'に', '許可', 'を', 'もらって', '、', 'リサイクル', '製品', 'を', '持って', '、', '各', '学校', 'に', 'お', '願い', 'に', '行き', 'ました', '。', '八百津', '小学校', 'で', 'は', '、', '回収', 'パック', 'が', 'どのように', '使わ', 'れる', 'か']","['各', '学校']",YES,各学校,NO,NO
6,各学校,、外国語指導助手の配置を一層促進する必要があります。高度情報化社会への対応については、各学校のコンピュータ等の情報機器の整備やインターネットへの接続など、情報教育の基盤整備を進めるとともに、,"['、', '外国', '語', '指導', '助手', 'の', '配置', 'を', '一層', '促進', 'する', '必要', 'が', 'あり', 'ます', '。', '高度', '情報', '化', '社会', 'へ', 'の', '対応', 'に', 'ついて', 'は', '、', '各', '学校', 'の', 'コンピュータ', '等', 'の', '情報', '機器', 'の', '整備', 'や', 'インターネット', 'へ', 'の', '接続', 'など', '、', '情報', '教育', 'の', '基盤', '整備', 'を', '進める', 'と', 'ともに', '、']","['各', '学校']",YES,各学校,NO,NO
7,各学校,の目と口を丸く大きくひろげさせるにじゅうぶんなものがあった。かれは、各学校の陸上競技部のコーチがうらやましがるにちがいない、すばらしい疾走ぶりをみせて、そこをたちのいた,"['の', '目', 'と', '口', 'を', '丸く', '大きく', 'ひろげ', 'させる', 'に', 'じゅうぶんな', 'もの', 'が', 'あった', '。', 'かれ', 'は', '、', '各', '学校', 'の', '陸上', '競技', '部', 'の', 'コーチ', 'が', 'うらやまし', 'がる', 'に', 'ちがいない', '、', 'すばらしい', '疾走', 'ぶり', 'を', 'みせて', '、', 'そこ', 'を', 'たちのいた']","['各', '学校']",YES,各学校,NO,NO
8,各学校,大事だと思っておるわけでございまして、先生のおっしゃるような専門的な職員を各学校に配置できるというところまではなかなか私どもも踏み切れないわけでございますけれども、御趣旨を,"['大事だ', 'と', '思って', 'おる', 'わけで', 'ございまして', '、', '先生', 'の', 'おっしゃる', 'ような', '専門', '的な', '職員', 'を', '各', '学校', 'に', '配置', 'できる', 'と', 'いう', 'ところ', 'まで', 'は', 'なかなか', '私', 'ども', 'も', '踏み', '切れ', 'ない', 'わけで', 'ございます', 'けれども', '、', '御', '趣旨', 'を']","['各', '学校']",YES,各学校,NO,NO
9,各学校,九月から実施した。４箸持参に伴い町内調理場は、箸を忘れる児童生徒の対策として、各学校に生徒数の十％程度の箸を配送した。・箸を忘れる数は、十一月末現在において、,"['九', '月', 'から', '実施', 'した', '。', '４', '箸', '持参', 'に', '伴い', '町', '内', '調理場', 'は', '、', '箸', 'を', '忘れる', '児童', '生徒', 'の', '対策', 'と', 'して', '、', '各', '学校', 'に', '生徒', '数', 'の', '十', '％', '程度', 'の', '箸', 'を', '配送', 'した', '。', '・', '箸', 'を', '忘れる', '数', 'は', '、', '十一', '月', '末', '現在', 'に', 'おいて', '、']","['各', '学校']",YES,各学校,NO,NO
10,各学校,の実態等に関する調査結果」というのがあるのですが、この中身を見せていただきますと、各学校におけるコンピューターのハード面での整備はかなり進んできております。しかし、その反面で、,"['の', '実態', '等', 'に', '関する', '調査', '結果', '」', 'と', 'いう', 'の', 'が', 'ある', 'のです', 'が', '、', 'この', '中身', 'を', '見せて', 'いただき', 'ます', 'と', '、', '各', '学校', 'に', 'おける', 'コンピューター', 'の', 'ハード', '面', 'で', 'の', '整備', 'は', 'かなり', '進んで', 'きて', 'おり', 'ます', '。', 'しかし', '、', 'その', '反面', 'で', '、']","['各', '学校']",YES,各学校,NO,NO
11,各学校,のみである給食中学校には中等教育学校前期課程を含む。（資料）文部科学省調べ２食事内容・環境の改善各学校では，近年，学校給食の多様化が図られており，例えば，学校給食の食材として地域,"['のみ', 'である', '給食', '中学校', 'に', 'は', '中等', '教育', '学校', '前期', '課程', 'を', '含む', '。', '（', '資料', '）', '文部', '科学', '省', '調べ', '２', '食事', '内容', '・', '環境', 'の', '改善', '各', '学校', 'で', 'は', '，', '近年', '，', '学校', '給食', 'の', '多様', '化', 'が', '図ら', 'れて', 'おり', '，', '例えば', '，', '学校', '給食', 'の', '食', '材', 'と', 'して', '地域']","['各', '学校']",YES,各学校,NO,NO
12,各学校,いうような指導内容を示しているわけではございませんが、御指摘のように、各学校におきましては、諸外国の国旗も含めまして国旗をデザインするというような,"['いう', 'ような', '指導', '内容', 'を', '示して', 'いる', 'わけで', 'は', 'ございませ', 'ん', 'が', '、', '御', '指摘', 'の', 'ように', '、', '各', '学校', 'に', 'おき', 'まして', 'は', '、', '諸', '外国', 'の', '国旗', 'も', '含め', 'まして', '国旗', 'を', 'デザイン', 'する', 'と', 'いう', 'ような']","['各', '学校']",YES,各学校,NO,NO
13,各学校,要素を提供しているといえる。また、小・中学校に置かれる特別支援教育コーディネーター（仮称）について、各学校で具体的にいかなる機能や役割を担わせるかは、学校や地域の実情によって多様,"['要素', 'を', '提供', 'して', 'いる', 'と', 'いえる', '。', 'また', '、', '小', '・', '中学校', 'に', '置か', 'れる', '特別', '支援', '教育', 'コーディネーター', '（', '仮称', '）', 'に', 'ついて', '、', '各', '学校', 'で', '具体', '的に', 'いかなる', '機能', 'や', '役割', 'を', '担わ', 'せる', 'か', 'は', '、', '学校', 'や', '地域', 'の', '実情', 'に', 'よって', '多様']","['各', '学校']",YES,各学校,NO,NO
14,各学校,求められることに留意する必要がある。例えば、学校における教員等の配置についても、各学校に配置された教員がその学校の児童生徒の教育を担当する形態に加えて、特定,"['求め', 'られる', 'こと', 'に', '留意', 'する', '必要', 'が', 'ある', '。', '例えば', '、', '学校', 'に', 'おける', '教員', '等', 'の', '配置', 'に', 'ついて', 'も', '、', '各', '学校', 'に', '配置', 'さ', 'れた', '教員', 'が', 'その', '学校', 'の', '児童', '生徒', 'の', '教育', 'を', '担当', 'する', '形態', 'に', '加えて', '、', '特定']","['各', '学校']",YES,各学校,NO,NO
15,各学校,意味し、二つの条件が認められて初めて単位が認定されることになっている。そこで各学校は教務内規で履修に必要な出席日数と時数の下限を法定日数、時数の三分の二、または,"['意味', 'し', '、', '二', 'つ', 'の', '条件', 'が', '認め', 'られて', '初めて', '単位', 'が', '認定', 'さ', 'れる', 'こと', 'に', 'なって', 'いる', '。', 'そこ', 'で', '各', '学校', 'は', '教務', '内規', 'で', '履修', 'に', '必要な', '出席', '日数', 'と', '時', '数', 'の', '下限', 'を', '法定', '日数', '、', '時', '数', 'の', '三', '分', 'の', '二', '、', 'または']","['各', '学校']",YES,各学校,NO,NO
16,各学校,求める学校の教育環境、子どもにとっての学習環境の改善につながっていくのである。これまでに各学校で開発され、改善が重ねられてきた「個別の指導計画」の中には優れ,"['求める', '学校', 'の', '教育', '環境', '、', '子ども', 'に', 'とって', 'の', '学習', '環境', 'の', '改善', 'に', 'つながって', 'いく', 'のである', '。', 'これ', 'まで', 'に', '各', '学校', 'で', '開発', 'さ', 'れ', '、', '改善', 'が', '重ね', 'られて', 'きた', '「', '個別', 'の', '指導', '計画', '」', 'の', '中', 'に', 'は', '優れ']","['各', '学校']",YES,各学校,NO,NO
17,各学校,とすることとし，表Ⅰ‐２‐２のとおり改めた。これは，各学校において，地域，学校や生徒の実態に合わせて授業時数を定めることができるようにするとともに,"['と', 'する', 'こと', 'と', 'し', '，', '表', 'Ⅰ', '‐', '２', '‐', '２', 'の', 'とおり', '改めた', '。', 'これ', 'は', '，', '各', '学校', 'に', 'おいて', '，', '地域', '，', '学校', 'や', '生徒', 'の', '実態', 'に', '合わせて', '授業', '時', '数', 'を', '定める', 'こと', 'が', 'できる', 'ように', 'する', 'と', 'ともに']","['各', '学校']",YES,各学校,NO,NO
18,各学校,を推進している。水難事故については，特に，海浜や河川等の事故発生率が高いことから各学校において水泳心得の指導を徹底するとともに，事故発生率の低い水泳プールの整備・充実を図ったり，水泳指導者講習会等を,"['を', '推進', 'して', 'いる', '。', '水難', '事故', 'に', 'ついて', 'は', '，', '特に', '，', '海浜', 'や', '河川', '等', 'の', '事故', '発生', '率', 'が', '高い', 'こと', 'から', '各', '学校', 'に', 'おいて', '水泳', '心得', 'の', '指導', 'を', '徹底', 'する', 'と', 'ともに', '，', '事故', '発生', '率', 'の', '低い', '水泳', 'プール', 'の', '整備', '・', '充実', 'を', '図ったり', '，', '水泳', '指導', '者', '講習', '会', '等', 'を']","['各', '学校']",YES,各学校,NO,NO
19,各学校,８年（千九百九十六）７月十九日《二十一世紀を展望した我が国の教育のあり方について》各学校において一人ひとりの子どもを大切にした教育指導ができるような環境づくりが大切である。とりわけ,"['８', '年', '（', '千九百九十六', '）', '７', '月', '十九', '日', '《', '二十一', '世紀', 'を', '展望', 'した', '我が国', 'の', '教育', 'の', 'あり', '方', 'に', 'ついて', '》', '各', '学校', 'に', 'おいて', '一人ひとり', 'の', '子ども', 'を', '大切に', 'した', '教育', '指導', 'が', 'できる', 'ような', '環境', 'づくり', 'が', '大切である', '。', 'とりわけ']","['各', '学校']",YES,各学校,NO,NO
20,各学校,ます。だから、郷土料理をセンターがつくれないということはございません。そこで、各学校の行事計画に合わせてその給食の献立を考えるという点につきましては、単独校,"['ます', '。', 'だから', '、', '郷土', '料理', 'を', 'センター', 'が', 'つくれ', 'ない', 'と', 'いう', 'こと', 'は', 'ございませ', 'ん', '。', 'そこ', 'で', '、', '各', '学校', 'の', '行事', '計画', 'に', '合わせて', 'その', '給食', 'の', '献立', 'を', '考える', 'と', 'いう', '点', 'に', 'つき', 'まして', 'は', '、', '単独', '校']","['各', '学校']",YES,各学校,NO,NO
21,各学校,必要がありません。通学区域外から入学できる児童・生徒の人数（受け入れ数）は、毎年、各学校の受け入れ体制（施設など）や児童・生徒数の推移などを考慮して決定します。受け入れ数以上の希望,"['必要', 'が', 'あり', 'ませ', 'ん', '。', '通学', '区域', '外', 'から', '入学', 'できる', '児童', '・', '生徒', 'の', '人数', '（', '受け入れ', '数', '）', 'は', '、', '毎年', '、', '各', '学校', 'の', '受け入れ', '体制', '（', '施設', 'など', '）', 'や', '児童', '・', '生徒', '数', 'の', '推移', 'など', 'を', '考慮', 'して', '決定', 'し', 'ます', '。', '受け入れ', '数', '以上', 'の', '希望']","['各', '学校']",YES,各学校,NO,NO
22,各学校,（メンバーの氏名、電話番号が必要）※利用できる施設、可能な種目などは、各学校かスポーツ課へお問い合わせください問合せスポーツ課（☎三十四．六六三二）４月１日（火）から「後期高齢者医療制度」,"['（', 'メンバー', 'の', '氏名', '、', '電話', '番号', 'が', '必要', '）', '※', '利用', 'できる', '施設', '、', '可能な', '種目', 'など', 'は', '、', '各', '学校', 'か', 'スポーツ', '課', 'へ', 'お', '問い合わせ', 'ください', '問', '合せ', 'スポーツ', '課', '（', '☎', '三十四', '．', '六六三二', '）', '４', '月', '１', '日', '（', '火', '）', 'から', '「', '後期', '高齢', '者', '医療', '制度', '」']","['各', '学校']",YES,各学校,NO,NO
