,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未就学,（２）労災就労保育援護費（１）の労災年金受給権者又はその家族が，就労のため未就学の児童を保育所，幼稚園等に預けている場合で，保育に係る費用を援護する必要が,"['（', '２', '）', '労災', '就労', '保育', '援護', '費', '（', '１', '）', 'の', '労災', '年金', '受給', '権', '者', '又は', 'その', '家族', 'が', '，', '就労', 'の', 'ため', '未', '就学', 'の', '児童', 'を', '保育', '所', '，', '幼稚園', '等', 'に', '預けて', 'いる', '場合', 'で', '，', '保育', 'に', '係る', '費用', 'を', '援護', 'する', '必要', 'が']","['未', '就学']",YES,未就学,NO,NO
1,未就学,、午後０時三十分〜、電話で女性会館（☎２４８‐７３３０・申込順）へどうぞ※託児あり（１歳〜未就学、要予約）ドラマ「ラストフレンズ」から考えるデートＤＶとき：十月三十日（木）、午後２時,"['、', '午後', '０', '時', '三十', '分', '〜', '、', '電話', 'で', '女性', '会館', '（', '☎', '２４８', '‐', '７３３０・', '申込', '順', '）', 'へ', 'どうぞ', '※', '託児', 'あり', '（', '１', '歳', '〜', '未', '就学', '、', '要', '予約', '）', 'ドラマ', '「', 'ラストフレンズ', '」', 'から', '考える', 'デート', 'ＤＶ', 'とき', '：', '十', '月', '三十', '日', '（', '木', '）', '、', '午後', '２', '時']","['未', '就学']",YES,未就学,NO,NO
2,未就学,サウンド・オブ・ミュージックメドレーほか◇入場料無料（要整理券）☆整理券は文化センター、やまのべホールにあります。☆未就学のお子さんも入場していただけます。◆問い合わせ文化センター内天理シティーオーケストラ事務局（☎６３‐５７７９／月曜日と,"['サウンド', '・', 'オブ', '・', 'ミュージックメドレー', 'ほか', '◇', '入場', '料', '無料', '（', '要', '整理', '券', '）', '☆', '整理', '券', 'は', '文化', 'センター', '、', 'やま', 'のべ', 'ホール', 'に', 'あり', 'ます', '。', '☆', '未', '就学', 'の', 'お', '子', 'さん', 'も', '入場', 'して', 'いただけ', 'ます', '。', '◆', '問い合わせ', '文化', 'センター', '内', '天理', 'シティーオーケストラ', '事務', '局', '（', '☎', '６３', '‐', '５７７９', '／', '月曜日', 'と']","['未', '就学']",YES,未就学,NO,NO
3,未就学,まちだ中央公民館サタデーコンサート係（〒１９４‐００１３、原町田６‐８‐１、☎七百二十八．〇〇七一）へ。※未就学の方は入場できません。※附室からの親子鑑賞をご希望の方（３組まで）,"['まち', 'だ', '中央', '公民', '館', 'サタデーコンサート', '係', '（', '〒', '１９４', '‐', '００１３', '、', '原', '町田', '６', '‐', '８', '‐', '１', '、', '☎', '七百二十八', '．', '〇〇七一', '）', 'へ', '。', '※', '未', '就学', 'の', '方', 'は', '入場', 'でき', 'ませ', 'ん', '。※', '附', '室', 'から', 'の', '親子', '鑑賞', 'を', 'ご', '希望', 'の', '方', '（', '３', '組', 'まで', '）']","['未', '就学']",YES,未就学,NO,NO
4,未就学,千歳烏山駅前（南烏山５‐十七‐５）に多機能型子育て支援施設「子育てステーション烏山」を開設しました。１おでかけひろば未就学（主に０〜〜３歳）のお子さんと保護者が気軽に立ち寄り、交流できる「ひろば」,"['千歳烏山', '駅前', '（', '南', '烏', '山', '５', '‐', '十七', '‐', '５', '）', 'に', '多', '機能', '型', '子育て', '支援', '施設', '「', '子育て', 'ステーション', '烏', '山', '」', 'を', '開設', 'し', 'ました', '。', '１', 'おでかけ', 'ひろば', '未', '就学', '（', '主に', '０', '〜', '〜', '３', '歳', '）', 'の', 'お', '子', 'さん', 'と', '保護', '者', 'が', '気軽に', '立ち寄り', '、', '交流', 'できる', '「', 'ひろば', '」']","['未', '就学']",YES,未就学,NO,NO
5,未就学,子どもに事故などないよう充分な注意を払ってください。●水遊びができるのは、未就学の児童のみです。問合せ庁舎管理課ＴＥＬ八百二十九．一一七三観光大使「浦和うなこちゃん」の石像が設置されました,"['子ども', 'に', '事故', 'など', 'ない', 'よう', '充分な', '注意', 'を', '払って', 'ください', '。', '●', '水', '遊び', 'が', 'できる', 'の', 'は', '、', '未', '就学', 'の', '児童', 'のみ', 'です', '。', '問', '合せ', '庁舎', '管理', '課', 'ＴＥＬ', '八百二十九', '．', '一一七三', '観光', '大使', '「', '浦和', 'う', 'な', 'こ', 'ちゃん', '」', 'の', '石像', 'が', '設置', 'さ', 'れ', 'ました']","['未', '就学']",YES,未就学,NO,NO
6,未就学,場深川南部保健相談所２階調理実習室（枝川１‐８‐十五‐百二）人３歳〜未就学の幼児と保護者二十組（申込順）費無料内お話、簡単な調理実習,"['場', '深川', '南部', '保健', '相談', '所', '２', '階', '調理', '実習', '室', '（', '枝', '川', '１', '‐', '８', '‐', '十五', '‐', '百二', '）', '人', '３', '歳', '〜', '未', '就学', 'の', '幼児', 'と', '保護', '者', '二十', '組', '（', '申込', '順', '）', '費', '無料', '内', 'お', '話', '、', '簡単な', '調理', '実習']","['未', '就学']",YES,未就学,NO,NO
7,未就学,】＞おとな￥四千九十＞こども（小学生）￥二千五百＞幼児（３才〜未就学）￥千二百＞ゴールデン六十五￥三千百五十（六十五才以上）＞・上記プラス￥千七百十でお値打ち,"['】', '＞', 'おとな', '￥', '四千九十', '＞', 'こども', '（', '小学生', '）', '￥', '二千五百', '＞', '幼児', '（', '３', '才', '〜', '未', '就学', '）', '￥', '千二百', '＞', 'ゴールデン', '六十五', '￥', '三千百五十', '（', '六十五', '才', '以上', '）', '＞', '・', '上記', 'プラス', '￥', '千七百十', 'で', 'お', '値打ち']","['未', '就学']",YES,未就学,NO,NO
8,未就学,できなかったかによって、社会関係のあり方にずい分大きな違いがでてくるということです。未就学でことばがもてず、ただ、生活慣習が家族や地域社会の人びとと共有できているだけの,"['でき', 'なかった', 'か', 'に', 'よって', '、', '社会', '関係', 'の', 'あり', '方', 'に', 'ずい分', '大きな', '違い', 'が', 'でて', 'くる', 'と', 'いう', 'こと', 'です', '。', '未', '就学', 'で', 'ことば', 'が', 'もて', 'ず', '、', 'ただ', '、', '生活', '慣習', 'が', '家族', 'や', '地域', '社会', 'の', '人びと', 'と', '共有', 'できて', 'いる', 'だけ', 'の']","['未', '就学']",YES,未就学,NO,NO
9,未就学,から光熱費のことが出ていますが。。。我が家は夫婦二人、子供二人（未就学です）祖父母の６人家族ですが、水道代２万円、電気１万３千円、ガス１万３千円です。静岡県の,"['から', '光熱', '費', 'の', 'こと', 'が', '出て', 'い', 'ます', 'が', '。', '。', '。', '我が家', 'は', '夫婦', '二', '人', '、', '子供', '二', '人', '（', '未', '就学', 'です', '）', '祖父母', 'の', '６', '人', '家族', 'です', 'が', '、', '水', '道代', '２万', '円', '、', '電気', '１万３千', '円', '、', 'ガス', '１万３千', '円', 'です', '。', '静岡', '県', 'の']","['未', '就学']",YES,未就学,NO,NO
