,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未成年,は引越しの際、後から追加の請求をされ払ってしまったことがあるのですが、未成年でないので介入出来ないと言われました。大人になったら、自分が一旦納得した,"['は', '引越', 'し', 'の', '際', '、', '後', 'から', '追加', 'の', '請求', 'を', 'さ', 'れ', '払って', 'しまった', 'こと', 'が', 'ある', 'のです', 'が', '、', '未', '成年', 'で', 'ない', 'ので', '介入', '出来', 'ない', 'と', '言わ', 'れ', 'ました', '。', '大人', 'に', 'なったら', '、', '自分', 'が', '一旦', '納得', 'した']","['未', '成年']",YES,未成年,NO,NO
1,未成年,＊ワクチン済み＊お腹の虫駆除済み＊ノミダニ駆除済み＊お一人暮らしの方、同棲中の方はご遠慮下さい。＊未成年の方は保護者の方といらして下さい。＊賃貸住宅の方、分譲マンションの方は,"['＊', 'ワクチン', '済み', '＊', 'お', '腹の虫', '駆除', '済み', '＊', 'ノミダニ', '駆除', '済み', '＊', 'お', '一', '人', '暮らし', 'の', '方', '、', '同棲', '中', 'の', '方', 'は', 'ご', '遠慮', '下さい', '。', '＊', '未', '成年', 'の', '方', 'は', '保護', '者', 'の', '方', 'と', 'いら', 'して', '下さい', '。＊', '賃貸', '住宅', 'の', '方', '、', '分譲', 'マンション', 'の', '方', 'は']","['未', '成年']",YES,未成年,NO,NO
2,未成年,てみてください。申告は３月にありますから、お父様にやり方を聞いてみてくださいね。未成年ですから、国民年金の支払い義務はありません。,"['て', 'みて', 'ください', '。', '申告', 'は', '３', '月', 'に', 'あり', 'ます', 'から', '、', 'お', '父', '様', 'に', 'やり', '方', 'を', '聞いて', 'みて', 'ください', 'ね', '。', '未', '成年', 'です', 'から', '、', '国民', '年金', 'の', '支払い', '義務', 'は', 'あり', 'ませ', 'ん', '。']","['未', '成年']",YES,未成年,NO,NO
3,未成年,一方が、子を引きとって養育しなければなりません。したがって、離婚に際しては、未成年の子の親権者（監護・養育する人）を、かならず夫婦の一方に定めることが要求され,"['一方', 'が', '、', '子', 'を', '引きとって', '養育', 'し', 'なければ', 'なり', 'ませ', 'ん', '。', 'したがって', '、', '離婚', 'に', '際して', 'は', '、', '未', '成年', 'の', '子', 'の', '親権', '者', '（', '監護', '・', '養育', 'する', '人', '）', 'を', '、', 'かならず', '夫婦', 'の', '一方', 'に', '定める', 'こと', 'が', '要求', 'さ', 'れ']","['未', '成年']",YES,未成年,NO,NO
4,未成年,し〜〜！！（´ゝ｀）何でそんな事するのさぁ〜〜？君！まだ未成年だろぉ〜〜？（゜д゜）未成年の設定なんですか？,"['し', '〜〜！！（´', 'ゝ', '｀', '）', '何で', 'そんな', '事', 'する', 'の', 'さ', 'ぁ', '〜〜？', '君', '！', 'まだ', '未', '成年', 'だろ', 'ぉ', '〜', '〜', '？', '（', '゜', 'д', '゜', '）', '未', '成年', 'の', '設定', 'な', 'んです', 'か', '？']","['未', '成年']",YES,未成年,NO,NO
5,未成年,し〜〜！！（´ゝ｀）何でそんな事するのさぁ〜〜？君！まだ未成年だろぉ〜〜？（゜д゜）未成年の設定なんですか？,"['し', '〜〜！！（´', 'ゝ', '｀', '）', '何で', 'そんな', '事', 'する', 'の', 'さ', 'ぁ', '〜〜？', '君', '！', 'まだ', '未', '成年', 'だろ', 'ぉ', '〜', '〜', '？', '（', '゜', 'д', '゜', '）', '未', '成年', 'の', '設定', 'な', 'んです', 'か', '？']","['未', '成年']",YES,未成年,NO,NO
6,未成年,ございます。○日笠委員私は、交通遺児、災害遺児、また病別で両親を亡くしたいわゆる未成年の方々、何人ぐらいいらっしゃるかということで各省庁に電話していろいろ聞きましたけれども,"['ございます', '。', '○', '日', '笠', '委員', '私', 'は', '、', '交通', '遺児', '、', '災害', '遺児', '、', 'また', '病', '別', 'で', '両親', 'を', '亡くした', 'いわゆる', '未', '成年', 'の', '方々', '、', '何', '人', 'ぐらい', 'いらっしゃる', 'か', 'と', 'いう', 'こと', 'で', '各', '省庁', 'に', '電話', 'して', 'いろいろ', '聞き', 'ました', 'けれども']","['未', '成年']",YES,未成年,NO,NO
7,未成年,中心とする窃盗犯の増加が大きく影響しているとみられる。第Ⅱ‐２‐十四図未成年で伸びの著しい犯罪者率（検挙人員／当該人口）（備考）警察庁「昭和四十五年の犯罪,"['中心', 'と', 'する', '窃盗', '犯', 'の', '増加', 'が', '大きく', '影響', 'して', 'いる', 'と', 'み', 'られる', '。', '第', 'Ⅱ', '‐', '２', '‐', '十四', '図', '未', '成年', 'で', '伸び', 'の', '著しい', '犯罪', '者', '率', '（', '検挙', '人員', '／', '当該', '人口', '）', '（', '備考', '）', '警察', '庁', '「', '昭和', '四十五', '年', 'の', '犯罪']","['未', '成年']",YES,未成年,NO,NO
8,未成年,その透明性を届けるということも決定をさせていただきました。その範囲が配偶者や未成年の子供たちまで及ぶのだという形で、きちっとした透明性を確保する決意を示していることも,"['その', '透明', '性', 'を', '届ける', 'と', 'いう', 'こと', 'も', '決定', 'を', 'さ', 'せて', 'いただき', 'ました', '。', 'その', '範囲', 'が', '配偶', '者', 'や', '未', '成年', 'の', '子供', 'たち', 'まで', '及ぶ', 'のだ', 'と', 'いう', '形', 'で', '、', 'きちっと', 'した', '透明', '性', 'を', '確保', 'する', '決意', 'を', '示して', 'いる', 'こと', 'も']","['未', '成年']",YES,未成年,NO,NO
9,未成年,か。親の承諾書などが必要になるのでしょうか。よろしくお願いします。プロバイダ・電話加入ともに、未成年は親または保証人の同意が必要です。↓とある電話加入権サイトのコピペです。未成年の方,"['か', '。', '親', 'の', '承諾', '書', 'など', 'が', '必要に', 'なる', 'のでしょう', 'か', '。', 'よろしく', 'お', '願い', 'し', 'ます', '。', 'プロバイダ', '・', '電話', '加入', 'ともに', '、', '未', '成年', 'は', '親', 'または', '保証人', 'の', '同意', 'が', '必要です', '。↓', 'とある', '電話', '加入', '権', 'サイト', 'の', 'コピペ', 'です', '。', '未', '成年', 'の', '方']","['未', '成年']",YES,未成年,NO,NO
