,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未満,（小児まひ）ワクチン服用のお知らせ詳細は本誌二十三ページをご覧ください対象生後３カ月〜九十カ月（７歳６カ月）未満の子ども▼料金市内にお住まいで、対象年齢内のお子さんは無料。▼受付区民センター２階第１会議室,"['（', '小児', 'まひ', '）', 'ワクチン', '服用', 'の', 'お', '知らせ', '詳細', 'は', '本誌', '二十三', 'ページ', 'を', 'ご覧', 'ください', '対象', '生後', '３', 'カ月', '〜', '九十', 'カ月', '（', '７', '歳', '６', 'カ月', '）', '未満', 'の', '子ども', '▼', '料金', '市', '内', 'に', 'お', '住まい', 'で', '、', '対象', '年齢', '内', 'の', 'お', '子', 'さん', 'は', '無料', '。', '▼', '受付', '区民', 'センター', '２', '階', '第', '１', '会議', '室']",['未満'],NO,未満,NO,NO
1,未満,これら自家用操縦士、事業用操縦士、計器飛行証明、陸上多発のライセンスだけでは、まだ最大離陸重量が五千七百キログラム（五．七トン）未満の飛行機しか操縦できない。「最大離陸重量が五千七百キログラム」の飛行機とは…？それは,"['これ', 'ら', '自家', '用', '操縦', '士', '、', '事業', '用', '操縦', '士', '、', '計器', '飛行', '証明', '、', '陸上', '多発', 'の', 'ライセンス', 'だけ', 'で', 'は', '、', 'まだ', '最大', '離陸', '重量', 'が', '五千七百', 'キロ', 'グラム', '（', '五', '．', '七', 'トン', '）', '未満', 'の', '飛行機', 'しか', '操縦', 'でき', 'ない', '。', '「', '最大', '離陸', '重量', 'が', '五千七百', 'キロ', 'グラム', '」', 'の', '飛行機', 'と', 'は', '…', '？', 'それ', 'は']",['未満'],NO,未満,NO,NO
2,未満,恥骨弓開角，出口横径，出口前後径で構成されている．恥骨弓（開）角（恥骨下角）七十五°未満の狭小の場合には，ＣＰＤまたは分娩遷延に気をつける．このときは出口（,"['恥', '骨', '弓', '開', '角', '，', '出口', '横', '径', '，', '出口', '前後', '径', 'で', '構成', 'さ', 'れて', 'いる', '．', '恥', '骨', '弓', '（', '開', '）', '角', '（', '恥', '骨', '下', '角', '）', '七十五', '°', '未満', 'の', '狭小', 'の', '場合', 'に', 'は', '，', 'ＣＰＤ', 'または', '分', '娩遷', '延', 'に', '気', 'を', 'つける', '．', 'この', 'とき', 'は', '出口', '（']",['未満'],NO,未満,NO,NO
3,未満,この結果，譲渡収入金額が，出資した土地の時価の２分の１（３億円÷２＝１億五千万円）未満となるため，「みなし譲渡」の規定（所法五十九１，所令百六十九）により，甲,"['この', '結果', '，', '譲渡', '収入', '金額', 'が', '，', '出資', 'した', '土地', 'の', '時価', 'の', '２', '分', 'の', '１', '（', '３億', '円', '÷', '２', '＝', '１億五千万', '円', '）', '未満', 'と', 'なる', 'ため', '，', '「', 'みなし', '譲渡', '」', 'の', '規定', '（', '所', '法', '五十九１', '，', '所', '令', '百六十九', '）', 'に', 'より', '，', '甲']",['未満'],NO,未満,NO,NO
4,未満,前年収入の合計額等が、減免基準額（単身世帯で八十八万円、１人増すごとに四十四万円加算した額）未満３住民税課税者と生計を共にしていない４本人などが住居用以外に処分可能な土地、家屋,"['前年', '収入', 'の', '合計', '額', '等', 'が', '、', '減免', '基準', '額', '（', '単身', '世帯', 'で', '八十八万', '円', '、', '１', '人', '増す', 'ごと', 'に', '四十四万', '円', '加算', 'した', '額', '）', '未満', '３', '住民', '税', '課税', '者', 'と', '生計', 'を', '共に', 'して', 'い', 'ない', '４', '本人', 'など', 'が', '住居', '用', '以外', 'に', '処分', '可能な', '土地', '、', '家屋']",['未満'],NO,未満,NO,NO
5,未満,かもしれないが、これは十．一五モード燃費の測定方法が二千二十ｋｇ以上未満で区別されるからだ。同様に千七百七十ｋｇ以上と未満で違い、エスティマのＶ６、３ℓモデルも９．４ｋｍ／ℓと９．０ｋｍ／ℓと２つの数字が,"['かも', 'しれ', 'ない', 'が', '、', 'これ', 'は', '十', '．', '一五', 'モード', '燃費', 'の', '測定', '方法', 'が', '二千二十', 'ｋｇ', '以上', '未満', 'で', '区別', 'さ', 'れる', 'から', 'だ', '。', '同様に', '千七百七十', 'ｋｇ', '以上', 'と', '未満', 'で', '違い', '、', 'エスティマ', 'の', 'Ｖ', '６', '、', '３', 'ℓ', 'モデル', 'も', '９', '．', '４', 'ｋｍ', '／', 'ℓ', 'と', '９', '．', '０', 'ｋｍ', '／', 'ℓ', 'と', '２', 'つ', 'の', '数字', 'が']",['未満'],NO,未満,NO,NO
6,未満,かもしれないが、これは十．一五モード燃費の測定方法が二千二十ｋｇ以上未満で区別されるからだ。同様に千七百七十ｋｇ以上と未満で違い、エスティマのＶ６、３ℓモデルも９．４ｋｍ／ℓと９．０ｋｍ／ℓと２つの数字が,"['かも', 'しれ', 'ない', 'が', '、', 'これ', 'は', '十', '．', '一五', 'モード', '燃費', 'の', '測定', '方法', 'が', '二千二十', 'ｋｇ', '以上', '未満', 'で', '区別', 'さ', 'れる', 'から', 'だ', '。', '同様に', '千七百七十', 'ｋｇ', '以上', 'と', '未満', 'で', '違い', '、', 'エスティマ', 'の', 'Ｖ', '６', '、', '３', 'ℓ', 'モデル', 'も', '９', '．', '４', 'ｋｍ', '／', 'ℓ', 'と', '９', '．', '０', 'ｋｍ', '／', 'ℓ', 'と', '２', 'つ', 'の', '数字', 'が']",['未満'],NO,未満,NO,NO
7,未満,ことにちょっかいを入れるとかあるいは定昇だけでいいとか、物価が安定しているから未満なら勧告は必要ないんじゃないか、そういうお立場はとらないですね。○玉置国務大臣後ほど,"['ことに', 'ちょっか', 'い', 'を', '入れる', 'と', 'か', 'あるいは', '定昇', 'だけ', 'で', 'いい', 'と', 'か', '、', '物価', 'が', '安定', 'して', 'いる', 'から', '未満', 'なら', '勧告', 'は', '必要', 'ない', 'んじゃ', 'ない', 'か', '、', 'そういう', 'お', '立場', 'は', 'とら', 'ないで', 'す', 'ね', '。', '○', '玉置', '国務', '大臣', '後', 'ほど']",['未満'],NO,未満,NO,NO
8,未満,６カ月未満」です。急性灰白髄炎（ポリオ）生ワクチン服用のお知らせ対象生後３か月から九十か月（７歳６か月）未満の人で、今回が初めてか、または２回目の服用をする人。このワクチンは,"['６', 'カ月', '未満', '」', 'です', '。', '急性', '灰', '白', '髄', '炎', '（', 'ポリオ', '）', '生', 'ワクチン', '服用', 'の', 'お', '知らせ', '対象', '生後', '３', 'か月', 'から', '九十', 'か月', '（', '７', '歳', '６', 'か月', '）', '未満', 'の', '人', 'で', '、', '今回', 'が', '初めて', 'か', '、', 'または', '２', '回', '目', 'の', '服用', 'を', 'する', '人', '。', 'この', 'ワクチン', 'は']",['未満'],NO,未満,NO,NO
9,未満,６カ月未満」です。急性灰白髄炎（ポリオ）生ワクチン服用のお知らせ対象生後３か月から九十か月（７歳６か月）未満の人で、今回が初めてか、または２回目の服用をする人。このワクチンは,"['６', 'カ月', '未満', '」', 'です', '。', '急性', '灰', '白', '髄', '炎', '（', 'ポリオ', '）', '生', 'ワクチン', '服用', 'の', 'お', '知らせ', '対象', '生後', '３', 'か月', 'から', '九十', 'か月', '（', '７', '歳', '６', 'か月', '）', '未満', 'の', '人', 'で', '、', '今回', 'が', '初めて', 'か', '、', 'または', '２', '回', '目', 'の', '服用', 'を', 'する', '人', '。', 'この', 'ワクチン', 'は']",['未満'],NO,未満,NO,NO
