,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未詳,野干玉／烏玉／烏珠】黒い珠、またはヒオウギの実のことというが、未詳。うばたま。むばたま。ぬばたま−の【射干玉の】（枕詞）,"['野干', '玉', '／', '烏', '玉', '／', '烏', '珠', '】', '黒い', '珠', '、', 'または', 'ヒオウギ', 'の', '実の', 'こと', 'と', 'いう', 'が', '、', '未', '詳', '。', 'うば', 'たま', '。', 'む', 'ば', 'たま', '。', 'ぬ', 'ば', 'たま', '−', 'の', '【', '射干', '玉', 'の', '】', '（', '枕詞', '）']","['未', '詳']",YES,未詳,NO,NO
1,未詳,だったのは、鄭逸梅の挙げる呉昌碩の弟子の多くが今やわからなくなっており、未詳とせねばならなかったことである。これら未詳の人名について、前出の丁羲元氏（丁氏,"['だった', 'の', 'は', '、', '鄭逸', '梅', 'の', '挙げる', '呉', '昌', '碩', 'の', '弟子', 'の', '多く', 'が', '今や', 'わから', 'なく', 'なって', 'おり', '、', '未', '詳', 'と', 'せ', 'ねば', 'なら', 'なかった', 'こと', 'である', '。', 'これ', 'ら', '未', '詳', 'の', '人名', 'に', 'ついて', '、', '前出', 'の', '丁', '羲元', '氏', '（', '丁', '氏']","['未', '詳']",YES,未詳,NO,NO
2,未詳,だったのは、鄭逸梅の挙げる呉昌碩の弟子の多くが今やわからなくなっており、未詳とせねばならなかったことである。これら未詳の人名について、前出の丁羲元氏（丁氏,"['だった', 'の', 'は', '、', '鄭逸', '梅', 'の', '挙げる', '呉', '昌', '碩', 'の', '弟子', 'の', '多く', 'が', '今や', 'わから', 'なく', 'なって', 'おり', '、', '未', '詳', 'と', 'せ', 'ねば', 'なら', 'なかった', 'こと', 'である', '。', 'これ', 'ら', '未', '詳', 'の', '人名', 'に', 'ついて', '、', '前出', 'の', '丁', '羲元', '氏', '（', '丁', '氏']","['未', '詳']",YES,未詳,NO,NO
3,未詳,方はきっと録音されて、人知れずどこかに眠っているにちがいない。いまのところ未詳である。大庭みな子の賀茂高女時代は、女学生の力まで徴用せざるを得なかった戦時下であり、また「,"['方', 'は', 'きっと', '録音', 'さ', 'れて', '、', '人知れず', 'どこ', 'か', 'に', '眠って', 'いる', 'に', 'ちがいない', '。', 'いま', 'の', 'ところ', '未', '詳', 'である', '。', '大庭', 'みな', '子', 'の', '賀茂', '高', '女', '時代', 'は', '、', '女', '学生', 'の', '力', 'まで', '徴用', 'せ', 'ざる', 'を', '得', 'なかった', '戦時', '下', 'であり', '、', 'また', '「']","['未', '詳']",YES,未詳,NO,NO
4,未詳,、事業完了後大阪市に残した。『天保日記』はその中の一つである。著者は未詳だが、大坂の豪商鴻池善右衛門の一族または別家の主人らしい。かなり学問を積んだ人,"['、', '事業', '完了', '後', '大阪', '市', 'に', '残した', '。', '『', '天', '保', '日記', '』', 'は', 'その', '中', 'の', '一', 'つ', 'である', '。', '著者', 'は', '未', '詳', 'だ', 'が', '、', '大', '坂', 'の', '豪商', '鴻池', '善', '右', '衛', '門', 'の', '一族', 'または', '別', '家', 'の', '主人', 'らしい', '。', 'かなり', '学問', 'を', '積んだ', '人']","['未', '詳']",YES,未詳,NO,NO
5,未詳,っけ？ひさ‐ぎ【楸】植物の名。キササゲ、またはアカメガシワというが未詳。,"['っけ', '？', 'ひさ', '‐', 'ぎ', '【', '楸', '】', '植物', 'の', '名', '。', 'キササゲ', '、', 'または', 'アカメガシワ', 'と', 'いう', 'が', '未', '詳', '。']","['未', '詳']",YES,未詳,NO,NO
6,未詳,に買えた。九生前の姿。生きていた時の容姿で。十未詳。十一『旧事紀』国造本紀に「吉備ノ穴ノ国造」がある。これと,"['に', '買えた', '。', '九', '生前', 'の', '姿', '。', '生きて', 'いた', '時', 'の', '容姿', 'で', '。', '十', '未', '詳', '。', '十一', '『', '旧事紀', '』', '国造本紀', 'に', '「', '吉', '備', 'ノ', '穴', 'ノ', '国', '造', '」', 'が', 'ある', '。', 'これ', 'と']","['未', '詳']",YES,未詳,NO,NO
7,未詳,重くした。国じゅうの人たちがこのことに苦しんでいた。（十八）往昔有王名曰悪行未詳。（十九）厳暴残酷暴虐なこと。『北斉書』蔡儁伝「太昌中、出為済州刺史、,"['重く', 'した', '。', '国', 'じゅう', 'の', '人', 'たち', 'が', 'この', 'こと', 'に', '苦しんで', 'いた', '。', '（', '十八', '）', '往昔', '有', '王', '名', '曰', '悪行', '未', '詳', '。', '（', '十九', '）', '厳暴', '残酷', '暴虐', 'な', 'こと', '。', '『', '北斉書', '』', '蔡', '儁伝', '「', '太', '昌', '中', '、', '出', '為', '済', '州', '刺', '史', '、']","['未', '詳']",YES,未詳,NO,NO
8,未詳,、調べてみよう。伊勢物語▶平安時代の歌物語。百二十五段から成る本が多い。作者・成立年代ともに未詳。原形は、『古今和歌集』（九百五年）以前に、在原業平の歌を中心に成立し,"['、', '調べて', 'みよう', '。', '伊勢', '物語', '▶', '平安', '時代', 'の', '歌', '物語', '。', '百二十五', '段', 'から', '成る', '本', 'が', '多い', '。', '作者', '・', '成立', '年代', 'ともに', '未', '詳', '。', '原形', 'は', '、', '『', '古今', '和歌', '集', '』', '（', '九百五', '年', '）', '以前', 'に', '、', '在', '原', '業', '平', 'の', '歌', 'を', '中心', 'に', '成立', 'し']","['未', '詳']",YES,未詳,NO,NO
9,未詳,』には、六十人の比丘も阿羅漢果を得た、とする。哀陽夫人のことは未詳。十七漢の李夫人の死去には以下、李夫人・王昭君・楊貴妃は、いずれも有名な,"['』', 'に', 'は', '、', '六十', '人', 'の', '比', '丘', 'も', '阿', '羅', '漢', '果', 'を', '得た', '、', 'と', 'する', '。', '哀陽', '夫人', 'の', 'こと', 'は', '未', '詳', '。', '十七', '漢', 'の', '李', '夫人', 'の', '死去', 'に', 'は', '以下', '、', '李', '夫人', '・', '王昭君', '・', '楊貴妃', 'は', '、', 'いずれ', 'も', '有名な']","['未', '詳']",YES,未詳,NO,NO
10,未詳,にのろしをあげる場所を設けたためこう名付く。→補注五十八（６）未詳。山城（京都府）とも下野（栃木県）ともいう。（７）大和国,"['に', 'のろし', 'を', 'あげる', '場所', 'を', '設けた', 'ため', 'こう名', '付く', '。', '→', '補注', '五十八', '（', '６', '）', '未', '詳', '。', '山', '城', '（', '京都', '府', '）', 'と', 'も', '下野', '（', '栃木', '県', '）', 'と', 'も', 'いう', '。', '（', '７', '）', '大和', '国']","['未', '詳']",YES,未詳,NO,NO
11,未詳,で鑑賞文を書いてみよう。■万葉集歌集。二十巻。八世紀後半にほぼ成立。撰者は未詳であるが、大伴家持がなんらかの形でかかわったと見られる。長歌約二百六十首、旋頭歌,"['で', '鑑賞', '文', 'を', '書いて', 'みよう', '。', '■', '万葉', '集', '歌集', '。', '二十', '巻', '。', '八', '世紀', '後半', 'に', 'ほぼ', '成立', '。', '撰', '者', 'は', '未', '詳', 'である', 'が', '、', '大伴家持', 'が', 'なんらか', 'の', '形', 'で', 'かかわった', 'と', '見', 'られる', '。', '長歌', '約', '二百六十', '首', '、', '旋頭歌']","['未', '詳']",YES,未詳,NO,NO
12,未詳,たのは浄御原令制下になってからである。もっとも浄御原令自体は「田令」？（編目名自体も未詳）のみならずすべて失われ、その条文は明確なものとしてはただの一条たり,"['たの', 'は', '浄御原令', '制', '下', 'に', 'なって', 'から', 'である', '。', 'もっとも', '浄御原令', '自体', 'は', '「', '田', '令', '」', '？', '（', '編', '目', '名', '自体', 'も', '未', '詳', '）', 'のみ', 'なら', 'ず', 'すべて', '失わ', 'れ', '、', 'その', '条文', 'は', '明確な', 'もの', 'と', 'して', 'は', 'ただ', 'の', '一', '条', 'たり']","['未', '詳']",YES,未詳,NO,NO
13,未詳,幅と奥ゆきを与えているといえる。表題作「夜の光芒」は、初出は未詳だが、短篇集『消えない影』（昭四十八・４／サンケイ新聞社刊）に収録され,"['幅', 'と', '奥', 'ゆき', 'を', '与えて', 'いる', 'と', 'いえる', '。', '表題', '作', '「', '夜', 'の', '光', '芒', '」', 'は', '、', '初', '出', 'は', '未', '詳', 'だ', 'が', '、', '短', '篇', '集', '『', '消え', 'ない', '影', '』', '（', '昭', '四十八・４', '／', 'サンケイ', '新聞', '社', '刊', '）', 'に', '収録', 'さ', 'れ']","['未', '詳']",YES,未詳,NO,NO
