,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無念,に捕虜収容所に勤務することになったといういわくつきの右足に、彼はおそらくいうにいわれぬ無念の思いをこめたものと思われます。血染めの足型は乾燥して茶色に,"['に', '捕虜', '収容', '所', 'に', '勤務', 'する', 'こと', 'に', 'なった', 'と', 'いう', 'いわくつき', 'の', '右', '足', 'に', '、', '彼', 'は', 'おそらく', 'いう', 'に', 'いわ', 'れ', 'ぬ', '無念の', '思い', 'を', 'こめた', 'もの', 'と', '思わ', 'れ', 'ます', '。', '血', '染め', 'の', '足型', 'は', '乾燥', 'して', '茶色', 'に']",['無念の'],NO,無念,NO,YES
1,無念,の一大庭園のようであったのである。モンゴルの侵略がアジアに与えた衝撃しかし、無念にも、ジンギスカンの率いる蒙古馬賊がこの文明の庭園を踏みにじり、自分たちの故郷の荒野同然,"['の', '一', '大', '庭園', 'の', 'ようであった', 'のである', '。', 'モンゴル', 'の', '侵略', 'が', 'アジア', 'に', '与えた', '衝撃', 'しか', 'し', '、', '無念に', 'も', '、', 'ジンギスカン', 'の', '率いる', '蒙古', '馬', '賊', 'が', 'この', '文明', 'の', '庭園', 'を', '踏みにじり', '、', '自分', 'たち', 'の', '故郷', 'の', '荒野', '同然']",['無念に'],NO,無念,NO,YES
2,無念,はボードマン、ポランドー組が、ルーズベルト飛行場ではパングボーン、ハーンドン組が、お互い先を越された無念の表情を浮かべつつも、彼らの記録をまだ破ることができるとの期待を胸に,"['は', 'ボードマン', '、', 'ポランドー', '組', 'が', '、', 'ルーズベルト', '飛行', '場', 'で', 'は', 'パングボーン', '、', 'ハーンドン', '組', 'が', '、', 'お互い', '先', 'を', '越さ', 'れた', '無念の', '表情', 'を', '浮かべ', 'つつ', 'も', '、', '彼', 'ら', 'の', '記録', 'を', 'まだ', '破る', 'こと', 'が', 'できる', 'と', 'の', '期待', 'を', '胸', 'に']",['無念の'],NO,無念,NO,YES
3,無念,、「あまりにも魅力的で可愛い笑顔なので、どうしてもカメラに収めたかった」と無念そうだ。確かに本当に可愛かった。泣きだしそうな笑顔もまた、いたいけで,"['、', '「', 'あまりに', 'も', '魅力', '的で', '可愛い', '笑顔', 'な', 'ので', '、', 'どうしても', 'カメラ', 'に', '収め', 'たかった', '」', 'と', '無念', 'そうだ', '。', '確かに', '本当に', '可愛かった', '。', '泣き', 'だし', 'そうな', '笑顔', 'も', 'また', '、', 'いたいけで']",['無念'],NO,無念,NO,NO
4,無念,笠原親景、中山為重たちが必死に防戦を繰り返したが、やがて屋敷に火が放たれ、無念にも一族は幼い一幡を目の前にして次々と自害し、一幡も炎,"['笠原', '親', '景', '、', '中山', '為', '重', 'たち', 'が', '必死に', '防戦', 'を', '繰り返した', 'が', '、', 'やがて', '屋敷', 'に', '火', 'が', '放た', 'れ', '、', '無念に', 'も', '一族', 'は', '幼い', '一幡', 'を', '目の前', 'に', 'して', '次々', 'と', '自害', 'し', '、', '一幡', 'も', '炎']",['無念に'],NO,無念,NO,YES
5,無念,？」「生け捕れとの、頭領様の御指図だ」与助の声には、無念のおもいがこもっている。与助は十名の忍びを指揮して、山林の中へ,"['？', '」', '「', '生け捕れ', 'と', 'の', '、', '頭領', '様', 'の', '御', '指図', 'だ', '」', '与', '助', 'の', '声', 'に', 'は', '、', '無念の', 'おもい', 'が', 'こもって', 'いる', '。', '与', '助', 'は', '十', '名', 'の', '忍び', 'を', '指揮', 'して', '、', '山林', 'の', '中', 'へ']",['無念の'],NO,無念,NO,YES
6,無念,正しく分析し、デマンド・プル・インフレーションへの警戒心を強めることは可能であったように思われる。その無念の思いが白書の「認知ラグ」短縮という発想を生み出したといっていい。こうした,"['正しく', '分析', 'し', '、', 'デマンド', '・', 'プル', '・', 'インフレーション', 'へ', 'の', '警戒', '心', 'を', '強める', 'こと', 'は', '可能であった', 'ように', '思わ', 'れる', '。', 'その', '無念の', '思い', 'が', '白書', 'の', '「', '認知', 'ラグ', '」', '短縮', 'と', 'いう', '発想', 'を', '生み', '出した', 'と', 'いって', 'い', 'い', '。', 'こうした']",['無念の'],NO,無念,NO,YES
7,無念,。男はちっと舌打ちして、天を仰ぎ、歯を食いしばり、しばらくして心底無念そうに、もう一枚一リュー硬貨を入れた。二人は礼を言い、ノエルを,"['。', '男', 'はち', 'っと', '舌打ち', 'して', '、', '天', 'を', '仰ぎ', '、', '歯', 'を', '食いしばり', '、', 'しばらく', 'して', '心底', '無念', 'そうに', '、', 'もう', '一', '枚', '一', 'リュー', '硬貨', 'を', '入れた', '。', '二', '人', 'は', '礼', 'を', '言い', '、', 'ノエル', 'を']",['無念'],NO,無念,NO,NO
8,無念,うなずける。（竹内誠一郎）フリーで華麗な舞を見せ、逆転で初優勝した安藤無念プラスに○…４連覇を逃した村主は淡々とした様子で「悔しさ,"['うなずける', '。', '（', '竹内', '誠一郎', '）', 'フリーで', '華麗な', '舞', 'を', '見せ', '、', '逆転', 'で', '初', '優勝', 'した', '安藤', '無念', 'プラス', 'に', '○', '…', '４', '連覇', 'を', '逃した', '村', '主', 'は', '淡々と', 'した', '様子', 'で', '「', '悔し', 'さ']",['無念'],NO,無念,NO,NO
9,無念,兄君を挑戦的に眺め、皆様に御挨拶されました。摂政様は流石に動揺され、無念の表情も凄じくお父上を睨まれました。中納言宗輔様は不満気に「前関白様、摂政様御養女に,"['兄', '君', 'を', '挑戦', '的に', '眺め', '、', '皆様', 'に', '御挨拶', 'さ', 'れ', 'ました', '。', '摂政', '様', 'は', '流石', 'に', '動揺', 'さ', 'れ', '、', '無念の', '表情', 'も', '凄', 'じく', 'お', '父上', 'を', '睨ま', 'れ', 'ました', '。', '中納言', '宗輔', '様', 'は', '不満', '気', 'に', '「', '前', '関白', '様', '、', '摂政', '様', '御', '養女', 'に']",['無念の'],NO,無念,NO,YES
