,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無性,と、自惚さを蔭で皆なに笑はれてゐるやうにも思はれて、礼吉は無性に腹立たしかつた。その結果、お静を責めたことも再三ではなかつた。,"['と', '、', '自', '惚', 'さ', 'を', '蔭', 'で', '皆', 'な', 'に', '笑', 'はれて', 'ゐる', 'や', 'うに', 'も', '思', 'は', 'れて', '、', '礼', '吉', 'は', '無性に', '腹立たし', 'か', 'つた', '。', 'その', '結果', '、', 'お', '静', 'を', '責めた', 'こと', 'も', '再三', 'で', 'は', 'なか', 'つた', '。']",['無性に'],NO,無性,NO,YES
1,無性,・・娘はいつものように義母の家で食べてるので夫と私用。無性に食べたくなったほっけ、本当はアボカドを乗せたかったけど夫が苦手なので,"['・', '・', '娘', 'は', 'いつも', 'の', 'ように', '義母', 'の', '家', 'で', '食べて', 'る', 'ので', '夫', 'と', '私用', '。', '無性に', '食べ', 'たく', 'なった', 'ほっけ', '、', '本当', 'は', 'アボカド', 'を', '乗せ', 'たかった', 'けど', '夫', 'が', '苦手な', 'ので']",['無性に'],NO,無性,NO,YES
2,無性,が、あれほどに切望し努力して来たことが一顧だにされなかったことが無性に腹立たしく、自分たちの非力が無闇と悲しかった。しかし、その半面では、,"['が', '、', 'あれほど', 'に', '切望', 'し', '努力', 'して', '来た', 'こと', 'が', '一', '顧', 'だに', 'さ', 'れ', 'なかった', 'こと', 'が', '無性に', '腹立たしく', '、', '自分', 'たち', 'の', '非力', 'が', '無', '闇', 'と', '悲しかった', '。', 'しかし', '、', 'その', '半面', 'で', 'は', '、']",['無性に'],NO,無性,NO,YES
3,無性,です。ＣＭやラジオなどでビートルズの音楽を耳にする影響でビートルズのＣＤが無性に欲しくなりました。そこでお聞きしたいのですが、ビートルズの“赤盤”“青盤,"['です', '。', 'ＣＭ', 'や', 'ラジオ', 'など', 'で', 'ビートルズ', 'の', '音楽', 'を', '耳', 'に', 'する', '影響', 'で', 'ビートルズ', 'の', 'ＣＤ', 'が', '無性に', '欲しく', 'なり', 'ました', '。', 'そこ', 'で', 'お', '聞き', 'し', 'たい', 'のです', 'が', '、', 'ビートルズ', 'の', '“', '赤', '盤', '”', '“', '青', '盤']",['無性に'],NO,無性,NO,YES
4,無性,何もやる気もなく、自分自身に強い嫌悪感を持っています。またほかの人たちに対して無性に怒りがわいてきて感情が制御できません。こんな状態で生きられるのでしょうか。,"['何も', 'やる', '気', 'も', 'なく', '、', '自分', '自身', 'に', '強い', '嫌悪', '感', 'を', '持って', 'い', 'ます', '。', 'また', 'ほか', 'の', '人', 'たち', 'に', '対して', '無性に', '怒り', 'が', 'わいて', 'きて', '感情', 'が', '制御', 'でき', 'ませ', 'ん', '。', 'こんな', '状態', 'で', '生き', 'られる', 'のでしょう', 'か', '。']",['無性に'],NO,無性,NO,YES
5,無性,は滅びる。地球も消える。太陽系も消える。全部消えてしまう。その果てしない闇が無性に恐ろしかった。だが、いまは違う。地下に存在しているのは恐ろしい水ではない,"['は', '滅びる', '。', '地球', 'も', '消える', '。', '太陽', '系', 'も', '消える', '。', '全部', '消えて', 'しまう', '。', 'その', '果てしない', '闇', 'が', '無性に', '恐ろしかった', '。', 'だが', '、', 'いま', 'は', '違う', '。', '地下', 'に', '存在', 'して', 'いる', 'の', 'は', '恐ろしい', '水', 'で', 'は', 'ない']",['無性に'],NO,無性,NO,YES
6,無性,みんカラブログ】内チョロＱデータバンク【日本ブログ村】にランキング登録ちう♪下記のリンク先をポチッとしてくれると無性にこうくんが喜びます＾＾一日一回のクリック、どうぞご支援宜しくお願いします＜（＿,"['み', 'ん', 'カラブログ', '】', '内', 'チョロ', 'Ｑ', 'データバンク', '【', '日本', 'ブログ', '村', '】', 'に', 'ランキング', '登録', 'ちう', '♪', '下記', 'の', 'リンク', '先', 'を', 'ポチッと', 'して', 'くれる', 'と', '無性に', 'こうくん', 'が', '喜び', 'ます', '＾', '＾', '一', '日', '一', '回', 'の', 'クリック', '、', 'どうぞ', 'ご', '支援', '宜しく', 'お', '願い', 'し', 'ます', '＜', '（', '＿']",['無性に'],NO,無性,NO,YES
7,無性,目指せ長淵剛だーっ！←古っさて。本日の我が家の晩御飯ですが…朝から無性にタイカレーが食べたかったので、久々にゲーンキョワーン（グリーンカレー）を作りました♪深め,"['目指せ', '長', '淵', '剛', 'だ', 'ー', 'っ', '！←', '古', 'っ', 'さて', '。', '本日', 'の', '我が家', 'の', '晩', '御飯', 'です', 'が', '…', '朝', 'から', '無性に', 'タイカレー', 'が', '食べ', 'たかった', 'ので', '、', '久々に', 'ゲーンキョワーン', '（', 'グリーンカレー', '）', 'を', '作り', 'ました', '♪', '深め']",['無性に'],NO,無性,NO,YES
8,無性,に至るまで。自然との対話と瞑想に入ろうとしていた矢先の闖入者共に無性に腹を立て、ぼくは八つ当り的に金もうけだけしか考えない土建屋、不動産屋に腹を,"['に', '至る', 'まで', '。', '自然', 'と', 'の', '対話', 'と', '瞑想', 'に', '入ろう', 'と', 'して', 'いた', '矢先', 'の', '闖入', '者', '共に', '無性に', '腹', 'を', '立て', '、', 'ぼく', 'は', '八つ当り', '的に', '金もうけ', 'だけ', 'しか', '考え', 'ない', '土建', '屋', '、', '不動産', '屋', 'に', '腹', 'を']",['無性に'],NO,無性,NO,YES
9,無性,が鎌首をもたげ始めていたのだ。彼女のことを考えると、いとおしく、切ない想いに無性に胸が締め付けられる…。「ダメだ、それはできない」レディンは,"['が', '鎌', '首', 'を', 'もたげ', '始めて', 'いた', 'のだ', '。', '彼女', 'の', 'こと', 'を', '考える', 'と', '、', 'いと', 'おしく', '、', '切ない', '想い', 'に', '無性に', '胸', 'が', '締め', '付け', 'られる', '…', '。', '「', 'ダメだ', '、', 'それ', 'は', 'でき', 'ない', '」', 'レディン', 'は']",['無性に'],NO,無性,NO,YES
