,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無意味,は，その後何通りもアメリカの研究者によって作成され，それぞれの無意味綴り間の相関関係，異なる無意味綴りそのものの連想価（ａｓｓｏｃｉａｔｉｏｎｖａｌｕｅ）や熟知度（ｆａｍｉｌｉａｒｉｔｙ）が算出され，それら,"['は', '，', 'その後', '何', '通り', 'も', 'アメリカ', 'の', '研究', '者', 'に', 'よって', '作成', 'さ', 'れ', '，', 'それぞれ', 'の', '無意味', '綴り', '間', 'の', '相関', '関係', '，', '異なる', '無意味', '綴', 'り', 'そのもの', 'の', '連想', '価', '（', 'ａｓｓｏｃｉａｔｉｏｎｖａｌｕｅ', '）', 'や', '熟知', '度', '（', 'ｆａｍｉｌｉａｒｉｔｙ', '）', 'が', '算出', 'さ', 'れ', '，', 'それ', 'ら']",['無意味'],NO,無意味,NO,NO
1,無意味,は，その後何通りもアメリカの研究者によって作成され，それぞれの無意味綴り間の相関関係，異なる無意味綴りそのものの連想価（ａｓｓｏｃｉａｔｉｏｎｖａｌｕｅ）や熟知度（ｆａｍｉｌｉａｒｉｔｙ）が算出され，それら,"['は', '，', 'その後', '何', '通り', 'も', 'アメリカ', 'の', '研究', '者', 'に', 'よって', '作成', 'さ', 'れ', '，', 'それぞれ', 'の', '無意味', '綴り', '間', 'の', '相関', '関係', '，', '異なる', '無意味', '綴', 'り', 'そのもの', 'の', '連想', '価', '（', 'ａｓｓｏｃｉａｔｉｏｎｖａｌｕｅ', '）', 'や', '熟知', '度', '（', 'ｆａｍｉｌｉａｒｉｔｙ', '）', 'が', '算出', 'さ', 'れ', '，', 'それ', 'ら']",['無意味'],NO,無意味,NO,NO
2,無意味,なっておりますが、この十二海里を漁業禁止区域としている現在では漁業に関する水域は全く無意味となっているのではないかというふうに思うわけです。そこで、以上述べてまいりまし,"['なって', 'おり', 'ます', 'が', '、', 'この', '十二', '海里', 'を', '漁業', '禁止', '区域', 'と', 'して', 'いる', '現在', 'で', 'は', '漁業', 'に', '関する', '水域', 'は', '全く', '無意味', 'と', 'なって', 'いる', 'ので', 'は', 'ない', 'か', 'と', 'いう', 'ふうに', '思う', 'わけです', '。', 'そこ', 'で', '、', '以上', '述べて', 'まいり', 'まし']",['無意味'],NO,無意味,NO,NO
3,無意味,白４までとなり、後続の攻めはない。この結果は黒１が無意味の着手。黒３との関係を調整してタダでは生かさない手順の工夫を,"['白', '４', 'まで', 'と', 'なり', '、', '後続', 'の', '攻め', 'は', 'ない', '。', 'この', '結果', 'は', '黒', '１', 'が', '無意味', 'の', '着手', '。', '黒', '３', 'と', 'の', '関係', 'を', '調整', 'して', 'タダ', 'で', 'は', '生かさ', 'ない', '手順', 'の', '工夫', 'を']",['無意味'],NO,無意味,NO,NO
4,無意味,があるまい、坂本」「―いいや、そんなことはない。おれは、無意味な軽挙をしないだけだ。勇気ならば」「―噓を言うな。,"['が', 'ある', 'まい', '、', '坂本', '」', '「', '―', 'いい', 'や', '、', 'そんな', 'こと', 'は', 'ない', '。', 'おれ', 'は', '、', '無意味な', '軽', '挙', 'を', 'し', 'ない', 'だけ', 'だ', '。', '勇気', 'ならば', '」', '「', '―', '噓', 'を', '言う', 'な', '。']",['無意味な'],NO,無意味,NO,YES
5,無意味,を謝罪したことについて、イラク国民は「遅すぎる」と反発している。大統領が謝罪しても無意味だとの突き放した見方もあり、不満は簡単に収まりそうもない。「,"['を', '謝罪', 'した', 'こと', 'に', 'ついて', '、', 'イラク', '国民', 'は', '「', '遅', 'すぎる', '」', 'と', '反発', 'して', 'いる', '。', '大統領', 'が', '謝罪', 'して', 'も', '無意味だ', 'と', 'の', '突き放した', '見方', 'も', 'あり', '、', '不満', 'は', '簡単に', '収まり', 'そう', 'も', 'ない', '。', '「']",['無意味だ'],NO,無意味,NO,YES
6,無意味,の命が危ないのだ。ともかく何かがおこらないと三人の存在は無意味であり、無意味は殺されることにすぐつながるのだ。甘利弥八郎だけが顔の筋ひとつ動かさなかった。,"['の', '命', 'が', '危ない', 'のだ', '。', 'ともかく', '何', 'か', 'が', 'おこら', 'ない', 'と', '三', '人', 'の', '存在', 'は', '無意味であり', '、', '無意味', 'は', '殺さ', 'れる', 'こと', 'に', 'すぐ', 'つながる', 'のだ', '。', '甘利', '弥', '八郎', 'だけ', 'が', '顔', 'の', '筋', 'ひと', 'つ', '動かさ', 'なかった', '。']",['無意味であり'],NO,無意味,NO,YES
7,無意味,の命が危ないのだ。ともかく何かがおこらないと三人の存在は無意味であり、無意味は殺されることにすぐつながるのだ。甘利弥八郎だけが顔の筋ひとつ動かさなかった。,"['の', '命', 'が', '危ない', 'のだ', '。', 'ともかく', '何', 'か', 'が', 'おこら', 'ない', 'と', '三', '人', 'の', '存在', 'は', '無意味であり', '、', '無意味', 'は', '殺さ', 'れる', 'こと', 'に', 'すぐ', 'つながる', 'のだ', '。', '甘利', '弥', '八郎', 'だけ', 'が', '顔', 'の', '筋', 'ひと', 'つ', '動かさ', 'なかった', '。']",['無意味'],NO,無意味,NO,NO
8,無意味,出かける意味はない。歩いて五分の有名な先生の大邸宅へ行ってみるのと同じくらい、無意味である…。七夏も終りの頃になった。その日も、環状,"['出かける', '意味', 'は', 'ない', '。', '歩いて', '五', '分', 'の', '有名な', '先生', 'の', '大', '邸宅', 'へ', '行って', 'みる', 'の', 'と', '同じ', 'くらい', '、', '無意味である', '…', '。', '七', '夏', 'も', '終り', 'の', '頃', 'に', 'なった', '。', 'その', '日', 'も', '、', '環状']",['無意味である'],NO,無意味,NO,YES
9,無意味,がどれくらいあるのかを知る事ができるのでしょうか？結果を公表しないのなら無意味な気がしますが、皆さんはどう思いますか？いずれ使うのでしょう。‐‐,"['が', 'どれ', 'くらい', 'ある', 'の', 'か', 'を', '知る', '事', 'が', 'できる', 'のでしょう', 'か', '？', '結果', 'を', '公表', 'し', 'ない', 'の', 'なら', '無意味な', '気', 'が', 'し', 'ます', 'が', '、', '皆さん', 'は', 'どう', '思い', 'ます', 'か', '？', 'いずれ', '使う', 'のでしょう', '。', '‐‐']",['無意味な'],NO,無意味,NO,YES
