,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無職,彼氏が無職の三十五歳の友人に二十万貸して返さないから取りに行ったらまた十万貸してほしいと,"['彼', '氏', 'が', '無職', 'の', '三十五', '歳', 'の', '友人', 'に', '二十万', '貸して', '返さ', 'ない', 'から', '取り', 'に', '行ったら', 'また', '十万', '貸して', 'ほしい', 'と']",['無職'],NO,無職,NO,NO
1,無職,クレジットカードを作った時は有職者で、途中から無職になった場合、クレジットカードは今までのように使えるんでしょうか？もちろん使えますよ,"['クレジット', 'カード', 'を', '作った', '時', 'は', '有', '職', '者', 'で', '、', '途中', 'から', '無職', 'に', 'なった', '場合', '、', 'クレジット', 'カード', 'は', '今', 'まで', 'の', 'ように', '使える', 'んでしょう', 'か', '？', 'もちろん', '使え', 'ます', 'よ']",['無職'],NO,無職,NO,NO
2,無職,」（四十一年）による。２．（）内は四十一年の数値である。第Ⅱ‐十三表無職の主婦の就業希望率（備考）総理府統計局「就業構造基本調査」による。（家庭に対する意識の,"['」', '（', '四十一', '年', '）', 'に', 'よる', '。', '２', '．', '（', '）', '内', 'は', '四十一', '年', 'の', '数値', 'である', '。', '第', 'Ⅱ', '‐', '十三', '表', '無職', 'の', '主婦', 'の', '就業', '希望', '率', '（', '備考', '）', '総理', '府', '統計', '局', '「', '就業', '構造', '基本', '調査', '」', 'に', 'よる', '。', '（', '家庭', 'に', '対する', '意識', 'の']",['無職'],NO,無職,NO,NO
3,無職,ようにいった。「君が、刑事でよかったよ。もし、君が無職で前科でもあったら、間違いなく容疑者の一人になって、訊問されているはずだ,"['ように', 'いった', '。', '「', '君', 'が', '、', '刑事', 'で', 'よかった', 'よ', '。', 'もし', '、', '君', 'が', '無職', 'で', '前科', 'でも', 'あったら', '、', '間違い', 'なく', '容疑', '者', 'の', '一', '人', 'に', 'なって', '、', '訊問', 'さ', 'れて', 'いる', 'はずだ']",['無職'],NO,無職,NO,NO
4,無職,保険証は金曜日に返しに行く予定です。丁度用があって職場にいくので。無職になりのんびりできるかと思いきや結構やらないといけないことが多くて忙しい,"['保険', '証', 'は', '金曜日', 'に', '返し', 'に', '行く', '予定', 'です', '。', '丁度', '用', 'が', 'あって', '職場', 'に', 'いく', 'ので', '。', '無職', 'に', 'なり', 'のんびり', 'できる', 'か', 'と', '思い', 'きや', '結構', 'やら', 'ない', 'と', 'いけない', 'こと', 'が', '多くて', '忙しい']",['無職'],NO,無職,NO,NO
5,無職,ゴルディに尋ねた。わたしの金を持ってるんでしょ。それはそうと、ジョン・リチャードは無職だったのに、贅沢な暮らしをしてた。あの家にアウディに、キュート,"['ゴルディ', 'に', '尋ねた', '。', 'わたし', 'の', '金', 'を', '持って', 'る', 'んでしょ', '。', 'それ', 'は', 'そう', 'と', '、', 'ジョン', '・', 'リチャード', 'は', '無職', 'だった', 'のに', '、', '贅沢な', '暮らし', 'を', 'して', 'た', '。', 'あの', '家', 'に', 'アウディ', 'に', '、', 'キュート']",['無職'],NO,無職,NO,NO
6,無職,はただ働いてないだけなんだけど、肩書きとして「家事手伝い」のほうが、「無職」より聞こえがいいから。,"['は', 'ただ', '働いて', 'ない', 'だけ', 'な', 'んだ', 'けど', '、', '肩書き', 'と', 'して', '「', '家事', '手伝い', '」', 'の', 'ほう', 'が', '、', '「', '無職', '」', 'より', '聞こえ', 'が', 'いい', 'から', '。']",['無職'],NO,無職,NO,NO
7,無職,はっきり、こう―容疑がかかっているというわけではないんでして。ただ、甥ごさんはいわゆる―無職で、多少風来坊という趣がありますからね」「それはよく存じています,"['はっきり', '、', 'こう', '―', '容疑', 'が', 'かかって', 'いる', 'と', 'いう', 'わけで', 'は', 'ない', 'んでして', '。', 'ただ', '、', '甥', 'ごさん', 'は', 'いわゆる', '―', '無職', 'で', '、', '多少', '風来坊', 'と', 'いう', '趣', 'が', 'あり', 'ます', 'から', 'ね', '」', '「', 'それ', 'は', 'よく', '存じて', 'い', 'ます']",['無職'],NO,無職,NO,NO
8,無職,資本主義体制下では女性就業人口比は大きな変化をしにくいことを考えると、「働けるはず」にみえる無職の女性がすべて職業労働に就くことは、かなり徹底した政策をとらない限り困難である,"['資本', '主義', '体制', '下', 'で', 'は', '女性', '就業', '人口', '比', 'は', '大きな', '変化', 'を', 'し', 'にくい', 'こと', 'を', '考える', 'と', '、', '「', '働ける', 'はず', '」', 'に', 'みえる', '無職', 'の', '女性', 'が', 'すべて', '職業', '労働', 'に', '就く', 'こと', 'は', '、', 'かなり', '徹底', 'した', '政策', 'を', 'とら', 'ない', '限り', '困難である']",['無職'],NO,無職,NO,NO
9,無職,たくは無かったけど仕方ない…まぁこれだけしてもらってほんとちょっとうれしかった。今日から無職ではないけど解雇されるまで仕事が無い日が１週間ほど続く…その間次の仕事の,"['たく', 'は', '無かった', 'けど', '仕方ない', '…', 'ま', 'ぁ', 'これ', 'だけ', 'して', 'もらって', 'ほんと', 'ちょっと', 'うれしかった', '。', '今日', 'から', '無職', 'で', 'は', 'ない', 'けど', '解雇', 'さ', 'れる', 'まで', '仕事', 'が', '無い', '日', 'が', '１', '週間', 'ほど', '続く', '…', 'その', '間', '次の', '仕事', 'の']",['無職'],NO,無職,NO,NO
