,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無関心,をふりまわすのは、善人ぶりたい偽善か、それとも人間一人一人の無限の異相についての無知、無関心かのいずれかである。原理と現実とのギャップに対処する仕方のひとつは、,"['を', 'ふり', 'まわす', 'の', 'は', '、', '善人', 'ぶり', 'たい', '偽善', 'か', '、', 'それとも', '人間', '一人一人', 'の', '無限の', '異', '相', 'に', 'ついて', 'の', '無知', '、', '無関心', 'か', 'の', 'いずれ', 'か', 'である', '。', '原理', 'と', '現実', 'と', 'の', 'ギャップ', 'に', '対処', 'する', '仕方', 'の', 'ひと', 'つ', 'は', '、']",['無関心'],NO,無関心,NO,NO
1,無関心,その中で、マシーンが支配する市政府の非能率、不経済、腐敗を厳しく攻撃する一方で、無関心な市民、自らの利益しか考えないビジネスマン、モラルばかり重視する改革者を批判している。,"['その', '中', 'で', '、', 'マシーン', 'が', '支配', 'する', '市政', '府', 'の', '非', '能率', '、', '不経済', '、', '腐敗', 'を', '厳しく', '攻撃', 'する', '一方', 'で', '、', '無関心な', '市民', '、', '自ら', 'の', '利益', 'しか', '考え', 'ない', 'ビジネスマン', '、', 'モラル', 'ばかり', '重視', 'する', '改革', '者', 'を', '批判', 'して', 'いる', '。']",['無関心な'],NO,無関心,NO,YES
2,無関心,です。仔犬は本来、目を輝かせ好奇心旺盛・天真爛漫で元気すぎる程です！落ち着きがない・無関心、無反応・それは仔犬の本質ではありません。犬達は犬幼稚園Ｂｕｄｄｙ,"['です', '。', '仔犬', 'は', '本来', '、', '目', 'を', '輝か', 'せ', '好奇心', '旺盛', '・', '天真爛漫で', '元気', 'すぎる', '程', 'です', '！', '落ち着き', 'が', 'ない', '・', '無関心', '、', '無', '反応', '・', 'それ', 'は', '仔犬', 'の', '本質', 'で', 'は', 'あり', 'ませ', 'ん', '。', '犬', '達', 'は', '犬', '幼稚園', 'Ｂｕｄｄｙ']",['無関心'],NO,無関心,NO,NO
3,無関心,ものだった。」なぜなら彼女は人生を愛していたが、彼は人生に無関心だったからだ。サルトル流に言えば、二人のあいだには人間とモノとの,"['もの', 'だった', '。', '」', 'なぜなら', '彼女', 'は', '人生', 'を', '愛して', 'いた', 'が', '、', '彼', 'は', '人生', 'に', '無関心だった', 'から', 'だ', '。', 'サルトル', '流', 'に', '言えば', '、', '二', '人', 'の', 'あいだ', 'に', 'は', '人間', 'と', 'モノ', 'と', 'の']",['無関心だった'],NO,無関心,NO,YES
4,無関心,仏教もキリスト教もともに、互いに相手を無視したり、あるいは軽視したり、また無関心な態度を取ってきたとしても、自然科学が現代社会に投げかけ突きつけているようなさまざまな課題,"['仏教', 'も', 'キリスト教', 'も', 'ともに', '、', '互いに', '相手', 'を', '無視', 'したり', '、', 'あるいは', '軽視', 'したり', '、', 'また', '無関心な', '態度', 'を', '取って', 'きた', 'と', 'して', 'も', '、', '自然', '科学', 'が', '現代', '社会', 'に', '投げ', 'かけ', '突きつけて', 'いる', 'ような', 'さまざまな', '課題']",['無関心な'],NO,無関心,NO,YES
5,無関心,父の選んだ笑顔の黒枠の写真の前に手を合わせるであろう姿。そして無関心を装い続けた同級生、担任の赤坂先生、教頭、校長先生、そして吉川達が口を揃えて,"['父', 'の', '選んだ', '笑顔', 'の', '黒', '枠', 'の', '写真', 'の', '前', 'に', '手', 'を', '合わせる', 'であろう', '姿', '。', 'そして', '無関心', 'を', '装い', '続けた', '同級生', '、', '担任', 'の', '赤坂', '先生', '、', '教頭', '、', '校長', '先生', '、', 'そして', '吉川', '達', 'が', '口', 'を', '揃えて']",['無関心'],NO,無関心,NO,NO
6,無関心,奪われてしまった。すべては「政治掛帥」（政治優先）とされ、政治に無関心な民衆はすべて「闘争・批判・改革」の対象となった。村という村は、党幹部によって,"['奪わ', 'れて', 'しまった', '。', 'すべて', 'は', '「', '政治', '掛', '帥', '」', '（', '政治', '優先', '）', 'と', 'さ', 'れ', '、', '政治', 'に', '無関心な', '民衆', 'は', 'すべて', '「', '闘争', '・', '批判', '・', '改革', '」', 'の', '対象', 'と', 'なった', '。', '村', 'と', 'いう', '村', 'は', '、', '党', '幹部', 'に', 'よって']",['無関心な'],NO,無関心,NO,YES
7,無関心,原敬は農業振興に対してきわめて冷淡であった。だがそのことは政友会など政党勢力が農村政策にまったく無関心であったということを意味しない。米穀輸入関税問題での政友会の態度は基本的には国内農業保護の,"['原', '敬', 'は', '農業', '振興', 'に', '対して', 'きわめて', '冷淡であった', '。', 'だが', 'その', 'こと', 'は', '政', '友', '会', 'など', '政党', '勢力', 'が', '農村', '政策', 'に', 'まったく', '無関心であった', 'と', 'いう', 'こと', 'を', '意味', 'し', 'ない', '。', '米穀', '輸入', '関税', '問題', 'で', 'の', '政', '友', '会', 'の', '態度', 'は', '基本', '的に', 'は', '国', '内', '農業', '保護', 'の']",['無関心であった'],NO,無関心,NO,YES
8,無関心,の道を開くこともある。これがクローデル悲劇の源である。我々は、それに対して無関心ではいられない。それが単に極端で過剰なもの、狂気じみた信仰心の逆説,"['の', '道', 'を', '開く', 'こと', 'も', 'ある', '。', 'これ', 'が', 'クローデル', '悲劇', 'の', '源', 'である', '。', '我々', 'は', '、', 'それ', 'に', '対して', '無関心で', 'は', 'い', 'られ', 'ない', '。', 'それ', 'が', '単に', '極端で', '過剰な', 'もの', '、', '狂気', 'じみた', '信仰', '心', 'の', '逆説']",['無関心で'],NO,無関心,NO,YES
9,無関心,従来型のエンタテインメント企業は、インターネットからの挑戦に対して、不安と興奮と、場合によっては無関心な態度で応じている。なかには、決して回収できない巨額の投資に、赤字の,"['従来', '型', 'の', 'エンタテインメント', '企業', 'は', '、', 'インターネット', 'から', 'の', '挑戦', 'に', '対して', '、', '不安', 'と', '興奮', 'と', '、', '場合', 'に', 'よって', 'は', '無関心な', '態度', 'で', '応じて', 'いる', '。', 'なか', 'に', 'は', '、', '決して', '回収', 'でき', 'ない', '巨額の', '投資', 'に', '、', '赤字', 'の']",['無関心な'],NO,無関心,NO,YES
