,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,無駄,建ちゃん…無駄な１点があったけど。誰が何と言おうが内容は悪くなかったけど。てか,"['建', 'ちゃん', '…', '無駄な', '１', '点', 'が', 'あった', 'けど', '。', '誰', 'が', '何と', '言おう', 'が', '内容', 'は', '悪く', 'なかった', 'けど', '。', 'て', 'か']",['無駄な'],NO,無駄,NO,YES
1,無駄,その人自身が救われない。だから、若い人をつかまえて、「キミ、人生に無駄はないんだよ」といっているにすぎないのだ。無駄ばかりの遠回り人生が役立つのは,"['その', '人', '自身', 'が', '救わ', 'れ', 'ない', '。', 'だから', '、', '若い', '人', 'を', 'つかまえて', '、', '「', 'キミ', '、', '人生', 'に', '無駄', 'は', 'ない', 'んだ', 'よ', '」', 'と', 'いって', 'いる', 'に', 'すぎ', 'ない', 'のだ', '。', '無駄', 'ばかりの', '遠回り', '人生', 'が', '役立つ', 'の', 'は']",['無駄'],NO,無駄,NO,NO
2,無駄,その人自身が救われない。だから、若い人をつかまえて、「キミ、人生に無駄はないんだよ」といっているにすぎないのだ。無駄ばかりの遠回り人生が役立つのは,"['その', '人', '自身', 'が', '救わ', 'れ', 'ない', '。', 'だから', '、', '若い', '人', 'を', 'つかまえて', '、', '「', 'キミ', '、', '人生', 'に', '無駄', 'は', 'ない', 'んだ', 'よ', '」', 'と', 'いって', 'いる', 'に', 'すぎ', 'ない', 'のだ', '。', '無駄', 'ばかりの', '遠回り', '人生', 'が', '役立つ', 'の', 'は']",['無駄'],NO,無駄,NO,NO
3,無駄,とも見え、その上に舷側板を付けた半構造船とも思える。しかし、木材を無駄にする丸木船を造ったか、は疑問である。構造船の技術が確立していた中国,"['と', 'も', '見え', '、', 'その', '上', 'に', '舷側', '板', 'を', '付けた', '半', '構造', '船', 'と', 'も', '思える', '。', 'しかし', '、', '木材', 'を', '無駄に', 'する', '丸木', '船', 'を', '造った', 'か', '、', 'は', '疑問', 'である', '。', '構造', '船', 'の', '技術', 'が', '確立', 'して', 'いた', '中国']",['無駄に'],NO,無駄,NO,YES
4,無駄,を許さないので、浪費しなくて済む。すなわちキリシタンになれば、それらの費用を無駄にしなくて済む、と思われた。第三に、彼には身体の健康,"['を', '許さ', 'ない', 'ので', '、', '浪費', 'し', 'なくて', '済む', '。', 'すなわち', 'キリシタン', 'に', 'なれば', '、', 'それ', 'ら', 'の', '費用', 'を', '無駄に', 'し', 'なくて', '済む', '、', 'と', '思わ', 'れた', '。', '第', '三', 'に', '、', '彼', 'に', 'は', '身体', 'の', '健康']",['無駄に'],NO,無駄,NO,YES
5,無駄,もしめぐりめぐってきたチャンスをしっかりとつかんで自分のものとし、きれぎれの時間を無駄にせず利用していたら、自分の研究を新しい分野にまでおしひろげ、不朽の名声,"['もし', 'めぐり', 'めぐって', 'きた', 'チャンス', 'を', 'しっかり', 'と', 'つかんで', '自分', 'の', 'もの', 'と', 'し', '、', 'きれぎれの', '時間', 'を', '無駄に', 'せ', 'ず', '利用', 'して', 'いたら', '、', '自分', 'の', '研究', 'を', '新しい', '分野', 'に', 'まで', 'おし', 'ひろげ', '、', '不朽', 'の', '名声']",['無駄に'],NO,無駄,NO,YES
6,無駄,たか？オークションに出ているということは、使わないってこと。はっきりいって、無駄なお金ですよ。友達が、八十万かけて、英語教材買ったけど、３歳になる,"['たか', '？', 'オークション', 'に', '出て', 'いる', 'と', 'いう', 'こと', 'は', '、', '使わ', 'ない', 'って', 'こと', '。', 'はっきり', 'いって', '、', '無駄な', 'お', '金', 'です', 'よ', '。', '友達', 'が', '、', '八十万', 'かけて', '、', '英語', '教材', '買った', 'けど', '、', '３', '歳', 'に', 'なる']",['無駄な'],NO,無駄,NO,YES
7,無駄,を温愛でねむらせようとしても無駄だきみたちのすべてに肯定をもとめても無駄だぼくは拒絶された思想としてその意味のために生きよううすぐらい秩序の段階を底,"['を', '温', '愛で', 'ねむら', 'せよう', 'と', 'して', 'も', '無駄だ', 'きみ', 'たち', 'の', 'すべて', 'に', '肯定', 'を', 'もとめて', 'も', '無駄だ', 'ぼく', 'は', '拒絶', 'さ', 'れた', '思想', 'と', 'して', 'その', '意味', 'の', 'ため', 'に', '生きよう', 'うすぐらい', '秩序', 'の', '段階', 'を', '底']",['無駄だ'],NO,無駄,NO,YES
8,無駄,を温愛でねむらせようとしても無駄だきみたちのすべてに肯定をもとめても無駄だぼくは拒絶された思想としてその意味のために生きよううすぐらい秩序の段階を底,"['を', '温', '愛で', 'ねむら', 'せよう', 'と', 'して', 'も', '無駄だ', 'きみ', 'たち', 'の', 'すべて', 'に', '肯定', 'を', 'もとめて', 'も', '無駄だ', 'ぼく', 'は', '拒絶', 'さ', 'れた', '思想', 'と', 'して', 'その', '意味', 'の', 'ため', 'に', '生きよう', 'うすぐらい', '秩序', 'の', '段階', 'を', '底']",['無駄だ'],NO,無駄,NO,YES
9,無駄,往ってみよう）と、小屋を出た。往って、途中、入れちがう可能性もあり、無駄でなくもないが、無駄なら二人のために喜悦すべきことであった。ともかくも、,"['往', 'って', 'みよう', '）', 'と', '、', '小屋', 'を', '出た', '。', '往', 'って', '、', '途中', '、', '入れ', 'ちがう', '可能', '性', 'も', 'あり', '、', '無駄で', 'なく', 'も', 'ない', 'が', '、', '無駄', 'なら', '二', '人', 'の', 'ため', 'に', '喜', '悦', 'す', 'べき', 'こと', 'であった', '。', 'ともかくも', '、']",['無駄で'],NO,無駄,NO,YES
10,無駄,往ってみよう）と、小屋を出た。往って、途中、入れちがう可能性もあり、無駄でなくもないが、無駄なら二人のために喜悦すべきことであった。ともかくも、,"['往', 'って', 'みよう', '）', 'と', '、', '小屋', 'を', '出た', '。', '往', 'って', '、', '途中', '、', '入れ', 'ちがう', '可能', '性', 'も', 'あり', '、', '無駄で', 'なく', 'も', 'ない', 'が', '、', '無駄', 'なら', '二', '人', 'の', 'ため', 'に', '喜', '悦', 'す', 'べき', 'こと', 'であった', '。', 'ともかくも', '、']",['無駄'],NO,無駄,NO,NO
11,無駄,だ。早く起きるのは、善しとしてだ。でもな、俺に言わせりゃ、無駄な努力だと思う。大体、弁当ってものは、所栓、弁当だ。落ちついて,"['だ', '。', '早く', '起きる', 'の', 'は', '、', '善し', 'と', 'して', 'だ', '。', 'でも', 'な', '、', '俺', 'に', '言わ', 'せりゃ', '、', '無駄な', '努力', 'だ', 'と', '思う', '。', '大体', '、', '弁当', 'って', 'もの', 'は', '、', '所', '栓', '、', '弁当', 'だ', '。', '落ちついて']",['無駄な'],NO,無駄,NO,YES
12,無駄,、重複すること、略すこと、誇張すること、さらには、ある意図のもとに故意に無駄をすることさえ必要となってくる。ことに近代文学に於て、文学が知性的に,"['、', '重複', 'する', 'こと', '、', '略す', 'こと', '、', '誇張', 'する', 'こと', '、', 'さらに', 'は', '、', 'ある', '意図', 'の', 'もと', 'に', '故意', 'に', '無駄', 'を', 'する', 'こと', 'さえ', '必要', 'と', 'なって', 'くる', '。', 'ことに', '近代', '文学', 'に', '於', 'て', '、', '文学', 'が', '知性', '的に']",['無駄'],NO,無駄,NO,NO
