,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総勢,建設中のビルの鉄骨に腰をかけて歌う『ＮＴＴファシリティーズ』の企業ＣＭ。これに登場する総勢六十七名の男性たちはれっきとした合唱団のメンバーで、その名も『六本木男声合唱団』。,"['建設', '中', 'の', 'ビル', 'の', '鉄骨', 'に', '腰', 'を', 'かけて', '歌う', '『', 'ＮＴＴ', 'ファシリティーズ', '』', 'の', '企業', 'ＣＭ', '。', 'これ', 'に', '登場', 'する', '総勢', '六十七', '名', 'の', '男性', 'たち', 'は', 'れっきとした', '合唱', '団', 'の', 'メンバー', 'で', '、', 'その', '名', 'も', '『', '六本木', '男声', '合唱', '団', '』', '。']",['総勢'],NO,総勢,NO,NO
1,総勢,２日に開催されました。卓球、ソフトテニス、駅伝の３種目が開催され、各区代表の総勢三百二十四人の参加により熱戦が繰り広げられました。結果は次のとおりです。■,"['２', '日', 'に', '開催', 'さ', 'れ', 'ました', '。', '卓球', '、', 'ソフトテニス', '、', '駅伝', 'の', '３', '種目', 'が', '開催', 'さ', 'れ', '、', '各', '区', '代表', 'の', '総勢', '三百二十四', '人', 'の', '参加', 'に', 'より', '熱戦', 'が', '繰り広げ', 'られ', 'ました', '。', '結果', 'は', '次の', 'とおり', 'です', '。', '■']",['総勢'],NO,総勢,NO,NO
2,総勢,、この地区の副知事も招待！…あとは、サンタムール村から、エシャリエ夫妻を招待。総勢二十八名程度になる予定です。…十一時過ぎに、農協銀行の支店長と保険の外交員が市役所に,"['、', 'この', '地区', 'の', '副', '知事', 'も', '招待', '！', '…', 'あと', 'は', '、', 'サンタムール', '村', 'から', '、', 'エシャリエ', '夫妻', 'を', '招待', '。', '総勢', '二十八', '名', '程度', 'に', 'なる', '予定', 'です', '。', '…', '十一', '時', '過ぎ', 'に', '、', '農協', '銀行', 'の', '支店', '長', 'と', '保険', 'の', '外交', '員', 'が', '市', '役所', 'に']",['総勢'],NO,総勢,NO,NO
3,総勢,。他にも、杉重政、内藤興盛などの諸将が従っていた。その軍は、総勢一万余である。大内氏の支配下にある、長門、周防、さらに九州の豊前、筑前など,"['。', '他', 'に', 'も', '、', '杉', '重', '政', '、', '内藤', '興', '盛', 'など', 'の', '諸', '将', 'が', '従って', 'いた', '。', 'その', '軍', 'は', '、', '総勢', '一万', '余', 'である', '。', '大内', '氏', 'の', '支配', '下', 'に', 'ある', '、', '長', '門', '、', '周防', '、', 'さらに', '九州', 'の', '豊', '前', '、', '筑前', 'など']",['総勢'],NO,総勢,NO,NO
4,総勢,だって。帰りの新幹線でも、昼だというのに、既に宴会を始めていた総勢四名。皆、個人的に飲みに行ったり食事したりする間柄だ。そして、誰も,"['だって', '。', '帰り', 'の', '新幹線', 'でも', '、', '昼', 'だ', 'と', 'いう', 'のに', '、', '既に', '宴会', 'を', '始めて', 'いた', '総勢', '四', '名', '。', '皆', '、', '個人', '的に', '飲み', 'に', '行ったり', '食事', 'したり', 'する', '間柄', 'だ', '。', 'そして', '、', '誰', 'も']",['総勢'],NO,総勢,NO,NO
5,総勢,取れた隊員たちの演技披露■車両分列行進…消防ポンプ自動車・はしご自動車・救急自動車等によるパレード■消防活動訓練…消防団員の訓練成果の披露。総勢十台の消防団車両の一斉放水■はしご乗り…所沢鳶職組合の皆さんによる伝統のはしご乗りの披露◎当日は,"['取れた', '隊員', 'たち', 'の', '演技', '披露', '■', '車両', '分', '列', '行進', '…', '消防', 'ポンプ', '自動車', '・', 'はしご', '自動車', '・', '救急', '自動車', '等', 'に', 'よる', 'パレード', '■', '消防', '活動', '訓練', '…', '消防', '団員', 'の', '訓練', '成果', 'の', '披露', '。', '総勢', '十', '台', 'の', '消防', '団', '車両', 'の', '一斉', '放水', '■', 'はしご', '乗り', '…', '所沢', '鳶職', '組合', 'の', '皆さん', 'に', 'よる', '伝統', 'の', 'はしご', '乗り', 'の', '披露', '◎', '当日', 'は']",['総勢'],NO,総勢,NO,NO
6,総勢,’０４」が６月二十四日に発売になる。今回はシリーズ最多の登録選手数を誇り、総勢１万人以上。そのほか、最新システムを搭載した充実の出来となっている。〈問い合わせ先：セガカスタマーサポートセンター,"['’', '０４', '」', 'が', '６', '月', '二十四', '日', 'に', '発売', 'に', 'なる', '。', '今回', 'は', 'シリーズ', '最多', 'の', '登録', '選手', '数', 'を', '誇り', '、', '総勢', '１万', '人', '以上', '。', 'そのほか', '、', '最新', 'システム', 'を', '搭載', 'した', '充実', 'の', '出来', 'と', 'なって', 'いる', '。', '〈', '問い合わせ', '先', '：', 'セガカスタマーサポートセンター']",['総勢'],NO,総勢,NO,NO
7,総勢,が嗣いだ。この年三月、義光も兵五百を率いて名護屋に参陣した。総勢三十万を超す大動員だった。この在陣中、義光は家康と親交を深めていた。,"['が', '嗣', 'い', 'だ', '。', 'この', '年', '三', '月', '、', '義光', 'も', '兵', '五百', 'を', '率いて', '名護', '屋', 'に', '参', '陣', 'した', '。', '総勢', '三十万', 'を', '超す', '大', '動員', 'だった', '。', 'この', '在', '陣中', '、', '義光', 'は', '家', '康', 'と', '親交', 'を', '深めて', 'いた', '。']",['総勢'],NO,総勢,NO,NO
8,総勢,北磐関幻影達の軍（幻義俠組と名乗っている）は総勢三万五千ほどであった。四月上旬に嵬崘塞をやっと進発した。嵬崘塞の正規兵、地元の郷兵,"['北', '磐関', '幻影', '達', 'の', '軍', '（', '幻', '義', '俠組', 'と', '名乗って', 'いる', '）', 'は', '総勢', '三万五千', 'ほど', 'であった', '。', '四', '月', '上旬', 'に', '嵬', '崘塞', 'を', 'やっと', '進', '発した', '。', '嵬', '崘塞', 'の', '正規', '兵', '、', '地元', 'の', '郷', '兵']",['総勢'],NO,総勢,NO,NO
9,総勢,大出血！出玉プレゼント十一」に応募できるのだ。賞品は下の囲みの通り。抽選で総勢八百十名が当選する。楽しくプレイして「大出血！出玉プレゼント十一」に応募しよう「大出血！,"['大', '出血', '！', '出玉', 'プレゼント', '十一', '」', 'に', '応募', 'できる', 'のだ', '。', '賞品', 'は', '下', 'の', '囲み', 'の', '通り', '。', '抽選', 'で', '総勢', '八百十', '名', 'が', '当選', 'する', '。', '楽しく', 'プレイ', 'して', '「', '大', '出血', '！', '出玉', 'プレゼント', '十一', '」', 'に', '応募', 'しよう', '「', '大', '出血', '！']",['総勢'],NO,総勢,NO,NO
