,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総工費,ＲＥＦＯＲＭ中古住宅を総工費六百五十万円で新居に！眺望のよさを生かしてＬＤＫを２階に。アジアンテイストの内装で,"['ＲＥＦＯＲＭ', '中古', '住宅', 'を', '総', '工費', '六百五十万', '円', 'で', '新居', 'に', '！', '眺望', 'の', 'よ', 'さ', 'を', '生かして', 'ＬＤＫ', 'を', '２', '階', 'に', '。', 'アジアンテイスト', 'の', '内装', 'で']","['総', '工費']",YES,総工費,NO,NO
1,総工費,いう微妙かつ単純なずれを埋め合わせていくのが通訳・翻訳者の仕事なんだと思います．総工費▶漢字語の微妙なずれです．「総工事費」．そつがない▶「そつ」って,"['いう', '微妙', 'かつ', '単純な', 'ずれ', 'を', '埋め合わせて', 'いく', 'の', 'が', '通訳', '・', '翻訳', '者', 'の', '仕事', 'な', 'んだ', 'と', '思い', 'ます', '．', '総', '工費', '▶', '漢字', '語', 'の', '微妙な', 'ずれ', 'です', '．', '「', '総', '工事', '費', '」', '．', 'そつ', 'が', 'ない', '▶「', 'そつ', '」', 'って']","['総', '工費']",YES,総工費,NO,NO
2,総工費,行われました。前回の修復工事から二十年程が経過。県が主体となり総工費およそ六千四百万円をかけ、平成十八年から修復工事が行われていました。４月二十六日から一般公開さ,"['行わ', 'れ', 'ました', '。', '前回', 'の', '修復', '工事', 'から', '二十', '年', '程', 'が', '経過', '。', '県', 'が', '主体', 'と', 'なり', '総', '工費', 'およそ', '六千四百万', '円', 'を', 'かけ', '、', '平成', '十八', '年', 'から', '修復', '工事', 'が', '行わ', 'れて', 'い', 'ました', '。', '４', '月', '二十六', '日', 'から', '一般', '公開', 'さ']","['総', '工費']",YES,総工費,NO,NO
3,総工費,ように建材や設備の素材のほとんど全てに純国産品を使用して造られた新議事堂の総工費は、完成当時の金額で約二千五百七十三万六千円にのぼっている。構造：鉄骨鉄筋コンクリート造構成：地上,"['ように', '建材', 'や', '設備', 'の', '素材', 'の', 'ほとんど', '全て', 'に', '純', '国産', '品', 'を', '使用', 'して', '造ら', 'れた', '新', '議事', '堂', 'の', '総', '工費', 'は', '、', '完成', '当時', 'の', '金額', 'で', '約', '二千五百七十三万六千', '円', 'に', 'のぼって', 'いる', '。', '構造', '：', '鉄骨', '鉄筋コンクリート造', '構成', '：', '地上']","['総', '工費']",YES,総工費,NO,NO
4,総工費,まばら遊ぶ子どもたちにとって広々とした芝生広場は天国だが、さて維持・運営する地元には？総工費百三十五億円二千四年３月運営停止南国高知のスキー場もいまはこんな姿に…グリーンピア土佐横浪（高知県）地元の,"['まばら', '遊ぶ', '子ども', 'たち', 'に', 'とって', '広々', 'と', 'した', '芝生', '広場', 'は', '天国', 'だ', 'が', '、', 'さて', '維持', '・', '運営', 'する', '地元', 'に', 'は', '？', '総', '工費', '百三十五億', '円', '二千四', '年', '３', '月', '運営', '停止', '南国', '高知', 'の', 'スキー', '場', 'も', 'いま', 'は', 'こんな', '姿', 'に', '…', 'グリーンピア', '土佐', '横', '浪', '（', '高知', '県', '）', '地元', 'の']","['総', '工費']",YES,総工費,NO,NO
5,総工費,は、こうした事業を、幕府が崩壊することを承知のうえで推進するのです。総工費二百四十万ドルという横須賀製鉄所建設の費用をどう捻出するのか、との栗本鋤雲の質問に、小栗は,"['は', '、', 'こうした', '事業', 'を', '、', '幕府', 'が', '崩壊', 'する', 'こと', 'を', '承知', 'の', 'うえ', 'で', '推進', 'する', 'のです', '。', '総', '工費', '二百四十万', 'ドル', 'と', 'いう', '横須賀', '製鉄', '所', '建設', 'の', '費用', 'を', 'どう', '捻出', 'する', 'の', 'か', '、', 'と', 'の', '栗本', '鋤', '雲', 'の', '質問', 'に', '、', '小栗', 'は']","['総', '工費']",YES,総工費,NO,NO
6,総工費,、関西大学では新しい中央総合図書館の建設が、避けられぬ課題としてクローズアップされてきた。総工費は五十億近く、失敗の許されぬ死活の大事業である。現学長の大西昭男氏と私は、,"['、', '関西', '大学', 'で', 'は', '新しい', '中央', '総合', '図書', '館', 'の', '建設', 'が', '、', '避け', 'られ', 'ぬ', '課題', 'と', 'して', 'クローズアップ', 'さ', 'れて', 'きた', '。', '総', '工費', 'は', '五十億', '近く', '、', '失敗', 'の', '許さ', 'れ', 'ぬ', '死活', 'の', '大', '事業', 'である', '。', '現', '学長', 'の', '大西', '昭男', '氏', 'と', '私', 'は', '、']","['総', '工費']",YES,総工費,NO,NO
7,総工費,造ったと思うんですけれども、これに掛かった金は幾らですか。六百四十七億、総工費。それから、外務省も、何か耐震性が弱いというので、今どこかへ仮,"['造った', 'と', '思う', 'んです', 'けれども', '、', 'これ', 'に', '掛かった', '金', 'は', '幾ら', 'です', 'か', '。', '六百四十七億', '、', '総', '工費', '。', 'それ', 'から', '、', '外務', '省', 'も', '、', '何', 'か', '耐震', '性', 'が', '弱い', 'と', 'いう', 'ので', '、', '今', 'どこ', 'か', 'へ', '仮']","['総', '工費']",YES,総工費,NO,NO
8,総工費,の橋を含む千六百ｍで結ぶもので、平成７年度の事業着手から十四年間の歳月と、総工費五十六億円をかけて完成しました。これまでこの間の道路は幅員も狭く、特に,"['の', '橋', 'を', '含む', '千六百', 'ｍ', 'で', '結ぶ', 'もの', 'で', '、', '平成', '７', '年度', 'の', '事業', '着手', 'から', '十四', '年間', 'の', '歳月', 'と', '、', '総', '工費', '五十六億', '円', 'を', 'かけて', '完成', 'し', 'ました', '。', 'これ', 'まで', 'この', '間', 'の', '道路', 'は', '幅員', 'も', '狭く', '、', '特に']","['総', '工費']",YES,総工費,NO,NO
9,総工費,ています。この農道橋は農水省の補助で建設され、すでに完成の能登大橋と合わせて総工費百二十億円といわれます。この能登大橋・広域農道橋の建設に「功労」を強調するのが元建設省技監で,"['てい', 'ます', '。', 'この', '農道', '橋', 'は', '農水', '省', 'の', '補助', 'で', '建設', 'さ', 'れ', '、', 'すでに', '完成', 'の', '能登', '大橋', 'と', '合わせて', '総', '工費', '百二十億', '円', 'と', 'いわ', 'れ', 'ます', '。', 'この', '能登', '大橋', '・', '広域', '農道', '橋', 'の', '建設', 'に', '「', '功労', '」', 'を', '強調', 'する', 'の', 'が', '元', '建設', '省', '技監', 'で']","['総', '工費']",YES,総工費,NO,NO
