,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総括,点はやはり、協定締結公表という行為が妥当な判断であったかどうか、私自身としては総括の余地があります。高瀬何ゆえ、協定締結の意図にこだわるかというと、,"['点', 'は', 'やはり', '、', '協定', '締結', '公表', 'と', 'いう', '行為', 'が', '妥当な', '判断', 'であった', 'か', 'どう', 'か', '、', '私', '自身', 'と', 'して', 'は', '総括', 'の', '余地', 'が', 'あり', 'ます', '。', '高瀬', '何', 'ゆえ', '、', '協定', '締結', 'の', '意図', 'に', 'こだわる', 'か', 'と', 'いう', 'と', '、']",['総括'],NO,総括,NO,NO
1,総括,無料じゃないですかぁ〜そこに協力して欲しいと言っても難しいんですよね。。。総括がこう言っておりました。「授業サポートさせてもらうのは、県や市町村・先生方や高校,"['無料', 'じゃ', 'ないで', 'すか', 'ぁ', '〜', 'そこ', 'に', '協力', 'して', '欲しい', 'と', '言って', 'も', '難しい', 'んです', 'よ', 'ね', '。', '。', '。', '総括', 'が', 'こう', '言って', 'おり', 'ました', '。', '「', '授業', 'サポート', 'さ', 'せて', 'もらう', 'の', 'は', '、', '県', 'や', '市町村', '・', '先生', '方', 'や', '高校']",['総括'],NO,総括,NO,NO
2,総括,の領域の図２・８を照らし合わせて見ることによって，この図十四・８による本書の総括が容易になるだろう。括弧はこの本の各章を示している。私事では,"['の', '領域', 'の', '図', '２・８', 'を', '照らし合わせて', '見る', 'こと', 'に', 'よって', '，', 'この', '図', '十四・８', 'に', 'よる', '本書', 'の', '総括', 'が', '容易に', 'なる', 'だろう', '。', '括弧', 'は', 'この', '本', 'の', '各', '章', 'を', '示して', 'いる', '。', '私事', 'で', 'は']",['総括'],NO,総括,NO,NO
3,総括,騒音サウオン噪音挿画サフグワ插畫そうかいサウカイ滄海・蒼海※青海原の意総括ソウクワツ總轄・總括象眼ザウガン象嵌・象眼総毛立つソウケダツ寒氣起つ※本來、,"['騒音', 'サウオン', '噪音', '挿画', 'サフグワ', '插畫', 'そうかい', 'サウカイ', '滄海', '・', '蒼', '海', '※', '青', '海原', 'の', '意', '総括', 'ソウクワツ', '總轄', '・', '總括', '象眼', 'ザウガン', '象嵌', '・', '象眼', '総', '毛', '立つ', 'ソウケダツ', '寒', '氣起', 'つ', '※', '本', '來', '、']",['総括'],NO,総括,NO,NO
4,総括,段階的なズレがあったと考えられる。福田のばあい、大戦後における資本主義的生産関係と階級対立の総括たるべく、失業と恐慌の克服たるべく国家はいかなる働きをもつべきか、という,"['段階', '的な', 'ズレ', 'が', 'あった', 'と', '考え', 'られる', '。', '福田', 'の', 'ばあい', '、', '大戦', '後', 'に', 'おける', '資本', '主義', '的', '生産', '関係', 'と', '階級', '対立', 'の', '総括', 'たる', 'べく', '、', '失業', 'と', '恐慌', 'の', '克服', 'たる', 'べく', '国家', 'は', 'いかなる', '働き', 'を', 'もつ', 'べき', 'か', '、', 'と', 'いう']",['総括'],NO,総括,NO,NO
5,総括,ではないかと思います。当然、制定過程も含まれると思います。一度きちんと歴史の総括をした上で、特に戦前、戦後あるいは戦争そのもの、その総括をした上で,"['では', 'ない', 'か', 'と', '思い', 'ます', '。', '当然', '、', '制定', '過程', 'も', '含ま', 'れる', 'と', '思い', 'ます', '。', '一', '度', 'きちんと', '歴史', 'の', '総括', 'を', 'した', '上', 'で', '、', '特に', '戦前', '、', '戦後', 'あるいは', '戦争', 'そのもの', '、', 'その', '総括', 'を', 'した', '上', 'で']",['総括'],NO,総括,NO,NO
6,総括,ではないかと思います。当然、制定過程も含まれると思います。一度きちんと歴史の総括をした上で、特に戦前、戦後あるいは戦争そのもの、その総括をした上で,"['では', 'ない', 'か', 'と', '思い', 'ます', '。', '当然', '、', '制定', '過程', 'も', '含ま', 'れる', 'と', '思い', 'ます', '。', '一', '度', 'きちんと', '歴史', 'の', '総括', 'を', 'した', '上', 'で', '、', '特に', '戦前', '、', '戦後', 'あるいは', '戦争', 'そのもの', '、', 'その', '総括', 'を', 'した', '上', 'で']",['総括'],NO,総括,NO,NO
7,総括,破綻していることに、良く現われている。もう一度仮説形成に戻って言うと、それは総括によって始まる。複製に対応するようなものは場合によって生じたり生じなかったりする。そして,"['破綻', 'して', 'いる', 'こと', 'に', '、', '良く', '現われて', 'いる', '。', 'もう', '一', '度', '仮説', '形成', 'に', '戻って', '言う', 'と', '、', 'それ', 'は', '総括', 'に', 'よって', '始まる', '。', '複製', 'に', '対応', 'する', 'ような', 'もの', 'は', '場合', 'に', 'よって', '生じたり', '生じ', 'なかったり', 'する', '。', 'そして']",['総括'],NO,総括,NO,NO
8,総括,れる生徒への支援の手だて」における視点については知１に準ずる。■観点別評価の総括例えば，４つの観点の重みを以下のように配分してみる。（１）,"['れる', '生徒', 'へ', 'の', '支援', 'の', '手だて', '」', 'に', 'おける', '視点', 'に', 'ついて', 'は', '知', '１', 'に', '準ずる', '。', '■', '観点', '別', '評価', 'の', '総括', '例えば', '，', '４', 'つ', 'の', '観点', 'の', '重', 'み', 'を', '以下', 'の', 'ように', '配分', 'して', 'みる', '。', '（', '１', '）']",['総括'],NO,総括,NO,NO
9,総括,ではない）。論者は既判力に関する基本的態度から説明を始めるべきであろう。ＣＶ３．総括★四百三十九これまでは、日本でもドイツでも、相殺の抗弁に関する既判力,"['では', 'ない', '）', '。', '論者', 'は', '既判力', 'に', '関する', '基本', '的', '態度', 'から', '説明', 'を', '始める', 'べきであろう', '。', 'ＣＶ', '３', '．', '総括', '★', '四百三十九', 'これ', 'まで', 'は', '、', '日本', 'でも', 'ドイツ', 'でも', '、', '相殺', 'の', '抗弁', 'に', '関する', '既判力']",['総括'],NO,総括,NO,NO
