,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総数,Ｒｅｐｏｒｔｓ，千九百六十五，千九百六十七，千九百六十九，千九百七十一，千九百七十三，千九百七十四による。２．総数は，指標犯罪（ＣｒｉｍｅＩｎｄｅｘＯｆｆｅｎｓｅｓ）発生件数の総数である。３．殺人に,"['Ｒｅｐｏｒｔｓ', '，', '千九百六十五', '，', '千九百六十七', '，', '千九百六十九', '，', '千九百七十一', '，', '千九百七十三', '，', '千九百七十四', 'に', 'よる', '。', '２', '．', '総数', 'は', '，', '指標', '犯罪', '（', 'ＣｒｉｍｅＩｎｄｅｘＯｆｆｅｎｓｅｓ', '）', '発生', '件数', 'の', '総数', 'である', '。', '３', '．', '殺人', 'に']",['総数'],NO,総数,NO,NO
1,総数,Ｒｅｐｏｒｔｓ，千九百六十五，千九百六十七，千九百六十九，千九百七十一，千九百七十三，千九百七十四による。２．総数は，指標犯罪（ＣｒｉｍｅＩｎｄｅｘＯｆｆｅｎｓｅｓ）発生件数の総数である。３．殺人に,"['Ｒｅｐｏｒｔｓ', '，', '千九百六十五', '，', '千九百六十七', '，', '千九百六十九', '，', '千九百七十一', '，', '千九百七十三', '，', '千九百七十四', 'に', 'よる', '。', '２', '．', '総数', 'は', '，', '指標', '犯罪', '（', 'ＣｒｉｍｅＩｎｄｅｘＯｆｆｅｎｓｅｓ', '）', '発生', '件数', 'の', '総数', 'である', '。', '３', '．', '殺人', 'に']",['総数'],NO,総数,NO,NO
2,総数,前掲Ⅰ‐十九表及び同Ⅰ‐十図２に示すとおりである。平成２年においては，総数で，検挙件数二千五百三十五件，検挙人員千九百七十一人と，前年に比べて，件数で８．３％，人員で,"['前掲', 'Ⅰ', '‐', '十九', '表', '及び', '同', 'Ⅰ', '‐', '十', '図', '２', 'に', '示す', 'とおり', 'である', '。', '平成', '２', '年', 'に', 'おいて', 'は', '，', '総数', 'で', '，', '検挙', '件数', '二千五百三十五', '件', '，', '検挙', '人員', '千九百七十一', '人', 'と', '，', '前年', 'に', '比べて', '，', '件数', 'で', '８', '．', '３', '％', '，', '人員', 'で']",['総数'],NO,総数,NO,NO
3,総数,。勾留請求事件のうち，裁判官によって勾留が許可された事件の比率（勾留許可率）は，総数で前年同様九十九．五％と高い比率となっている。Ⅲ‐３表罪名別検察庁既済事件の逮捕・勾留別人員注１．,"['。', '勾留', '請求', '事件', 'の', 'うち', '，', '裁判', '官', 'に', 'よって', '勾留', 'が', '許可', 'さ', 'れた', '事件', 'の', '比率', '（', '勾留', '許可', '率', '）', 'は', '，', '総数', 'で', '前年', '同様', '九十九', '．', '五', '％', 'と', '高い', '比率', 'と', 'なって', 'いる', '。', 'Ⅲ', '‐', '３', '表', '罪名', '別', '検察', '庁', '既済', '事件', 'の', '逮捕', '・', '勾留', '別', '人員', '注', '１', '．']",['総数'],NO,総数,NO,NO
4,総数,人員を見たものである。窃盗・詐欺・横領（遺失物等横領を含む。）が最も多く，精神障害者等の総数二千八十一人の五十三．六％を占めているが，罪名別検挙人員総数中に占める精神障害者等の比率では，放火の十一．九％,"['人員', 'を', '見た', 'もの', 'である', '。', '窃盗', '・', '詐欺', '・', '横領', '（', '遺失物', '等', '横領', 'を', '含む', '。', '）', 'が', '最も', '多く', '，', '精神', '障害', '者', '等', 'の', '総数', '二千八十一', '人', 'の', '五十三', '．', '六', '％', 'を', '占めて', 'いる', 'が', '，', '罪名', '別', '検挙', '人員', '総数', '中', 'に', '占める', '精神', '障害', '者', '等', 'の', '比率', 'で', 'は', '，', '放火', 'の', '十一', '．', '九', '％']",['総数'],NO,総数,NO,NO
5,総数,人員を見たものである。窃盗・詐欺・横領（遺失物等横領を含む。）が最も多く，精神障害者等の総数二千八十一人の五十三．六％を占めているが，罪名別検挙人員総数中に占める精神障害者等の比率では，放火の十一．九％,"['人員', 'を', '見た', 'もの', 'である', '。', '窃盗', '・', '詐欺', '・', '横領', '（', '遺失物', '等', '横領', 'を', '含む', '。', '）', 'が', '最も', '多く', '，', '精神', '障害', '者', '等', 'の', '総数', '二千八十一', '人', 'の', '五十三', '．', '六', '％', 'を', '占めて', 'いる', 'が', '，', '罪名', '別', '検挙', '人員', '総数', '中', 'に', '占める', '精神', '障害', '者', '等', 'の', '比率', 'で', 'は', '，', '放火', 'の', '十一', '．', '九', '％']",['総数'],NO,総数,NO,NO
6,総数,大小を問わず各種の無線通信設備を設置している。五十六年度末現在，船舶に開設された海上移動業務用無線局等の総数は約８万２千局に達し，前年度に比べ２．５％の増加となっており，その内訳は第２‐,"['大小', 'を', '問わ', 'ず', '各種の', '無線', '通信', '設備', 'を', '設置', 'して', 'いる', '。', '五十六', '年度', '末', '現在', '，', '船舶', 'に', '開設', 'さ', 'れた', '海上', '移動', '業務', '用', '無線', '局', '等', 'の', '総数', 'は', '約', '８万２千', '局', 'に', '達し', '，', '前', '年度', 'に', '比べ', '２', '．', '５', '％', 'の', '増加', 'と', 'なって', 'おり', '，', 'その', '内訳', 'は', '第', '２', '‐']",['総数'],NO,総数,NO,NO
7,総数,を対比したものである。六十一年の新受刑者では，刑法犯を犯して服役した者が総数の六十一．三％，特別法犯を犯して服役した者が三十八．七％となっている。罪名別では，,"['を', '対比', 'した', 'もの', 'である', '。', '六十一', '年', 'の', '新', '受刑', '者', 'で', 'は', '，', '刑法', '犯', 'を', '犯して', '服役', 'した', '者', 'が', '総数', 'の', '六十一', '．', '三', '％', '，', '特別', '法', '犯', 'を', '犯して', '服役', 'した', '者', 'が', '三十八', '．', '七', '％', 'と', 'なって', 'いる', '。', '罪名', '別', 'で', 'は', '，']",['総数'],NO,総数,NO,NO
8,総数,は聖ヂョーヂ組合の寄附名簿を発表したが、寄進者名はすべて番号によつて示されたのみである。総数二十四名、その内年金を納める者七名にすぎず、他は一時的の寄進者である。年金は,"['は', '聖', 'ヂョーヂ', '組合', 'の', '寄附', '名簿', 'を', '発表', 'した', 'が', '、', '寄進', '者', '名', 'は', 'すべて', '番号', 'に', 'よつて', '示さ', 'れた', 'のみ', 'である', '。', '総数', '二十四', '名', '、', 'その内', '年金', 'を', '納める', '者', '七', '名', 'に', 'すぎ', 'ず', '、', '他', 'は', '一時的', 'の', '寄進', '者', 'である', '。', '年金', 'は']",['総数'],NO,総数,NO,NO
9,総数,宗室（黄帯子）と、太祖の父の傍系の子孫の覚羅（紅帯子）。その総数は道光帝時代に三万余人いたというから、日本の皇族を想像すると間違える。食うや,"['宗室', '（', '黄', '帯', '子', '）', 'と', '、', '太', '祖', 'の', '父', 'の', '傍', '系', 'の', '子孫', 'の', '覚', '羅', '（', '紅', '帯', '子', '）', '。', 'その', '総数', 'は', '道', '光', '帝', '時代', 'に', '三万', '余人', 'いた', 'と', 'いう', 'から', '、', '日本', 'の', '皇族', 'を', '想像', 'する', 'と', '間違える', '。', '食う', 'や']",['総数'],NO,総数,NO,NO
