,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,総領事,」「夜陰に紛れて収容所を出たのではなかったのですか」「いや、総領事はあくまで俺の身の上を案じてくれた。支那服の上に作業衣を着せて、公役作業員,"['」', '「', '夜', '陰に', '紛れて', '収容', '所', 'を', '出た', 'ので', 'は', 'なかった', 'のです', 'か', '」', '「', 'いや', '、', '総', '領事', 'は', 'あくまで', '俺', 'の', '身の上', 'を', '案じて', 'くれた', '。', '支那', '服', 'の', '上', 'に', '作業', '衣', 'を', '着せて', '、', '公', '役', '作業', '員']","['総', '領事']",YES,総領事,NO,NO
1,総領事,このディナーの主賓はボキューズで、自分たちはつけ足しだと思っていたので、明子が総領事の隣りの席、自分が総領事夫人の隣りの席を与えられたとき、おやと,"['この', 'ディナー', 'の', '主賓', 'は', 'ボキューズ', 'で', '、', '自分', 'たち', 'は', 'つけ足し', 'だ', 'と', '思って', 'いた', 'ので', '、', '明子', 'が', '総', '領事', 'の', '隣り', 'の', '席', '、', '自分', 'が', '総', '領事', '夫人', 'の', '隣り', 'の', '席', 'を', '与え', 'られた', 'とき', '、', 'おや', 'と']","['総', '領事']",YES,総領事,NO,NO
2,総領事,このディナーの主賓はボキューズで、自分たちはつけ足しだと思っていたので、明子が総領事の隣りの席、自分が総領事夫人の隣りの席を与えられたとき、おやと,"['この', 'ディナー', 'の', '主賓', 'は', 'ボキューズ', 'で', '、', '自分', 'たち', 'は', 'つけ足し', 'だ', 'と', '思って', 'いた', 'ので', '、', '明子', 'が', '総', '領事', 'の', '隣り', 'の', '席', '、', '自分', 'が', '総', '領事', '夫人', 'の', '隣り', 'の', '席', 'を', '与え', 'られた', 'とき', '、', 'おや', 'と']","['総', '領事']",YES,総領事,NO,NO
3,総領事,た。この席でシーボルトは老中安藤に、日本が和親条約を結んでいる国の公使や総領事は、各国の国王の代理であるから、国際法に従って丁重に扱わなければならないと教え,"['た', '。', 'この', '席', 'で', 'シーボルト', 'は', '老中', '安藤', 'に', '、', '日本', 'が', '和', '親', '条約', 'を', '結んで', 'いる', '国', 'の', '公使', 'や', '総', '領事', 'は', '、', '各国', 'の', '国王', 'の', '代理', 'である', 'から', '、', '国際', '法', 'に', '従って', '丁重に', '扱わ', 'なければ', 'なら', 'ない', 'と', '教え']","['総', '領事']",YES,総領事,NO,NO
4,総領事,は戦前、香港の日本領事館にいて、日本が香港を占領すると同時に広東の総領事として転出して行ったんだ。あんたはリー・ジュリアンを覚えているだろう？」「イギリス人と,"['は', '戦前', '、', '香港', 'の', '日本', '領事', '館', 'に', 'いて', '、', '日本', 'が', '香港', 'を', '占領', 'する', 'と', '同時に', '広東', 'の', '総', '領事', 'と', 'して', '転出', 'して', '行った', 'んだ', '。', 'あんた', 'は', 'リー', '・', 'ジュリアン', 'を', '覚えて', 'いる', 'だろう', '？', '」', '「', 'イギリス', '人', 'と']","['総', '領事']",YES,総領事,NO,NO
5,総領事,が、たとえひと晩だって、あなたをあんなところに置いておけませんよ」総領事は説明を続けた。ブラジルの警察当局の取り調べは受けなければならないが、言葉に気を,"['が', '、', 'たとえ', 'ひと', '晩', 'だって', '、', 'あなた', 'を', 'あんな', 'ところ', 'に', '置いて', 'おけ', 'ませ', 'ん', 'よ', '」', '総', '領事', 'は', '説明', 'を', '続けた', '。', 'ブラジル', 'の', '警察', '当局', 'の', '取り調べ', 'は', '受け', 'なければ', 'なら', 'ない', 'が', '、', '言葉', 'に', '気', 'を']","['総', '領事']",YES,総領事,NO,NO
6,総領事,仲間じゃないから、そりゃあ、気づかれないように注意してますよ」「でも、総領事も上野さんもご存じってことがどうしてお分かりになるんですか」「あの人たちも知ってるって,"['仲間', 'じゃ', 'ない', 'から', '、', 'そり', 'ゃあ', '、', '気づか', 'れ', 'ない', 'ように', '注意', 'して', 'ます', 'よ', '」', '「', 'でも', '、', '総', '領事', 'も', '上野', 'さん', 'も', 'ご存じ', 'って', 'こと', 'が', 'どうして', 'お', '分かり', 'に', 'なる', 'んです', 'か', '」', '「', 'あの', '人', 'たち', 'も', '知って', 'る', 'って']","['総', '領事']",YES,総領事,NO,NO
7,総領事,そろそろ茶番劇はやめようじゃないか」それをきいてボキューズが肩をすくめると、総領事は副領事に例のものを持ってきてくれといった。トロワグロとアリックスが辻静雄,"['そろそろ', '茶番劇', 'は', 'やめ', 'ようじゃ', 'ない', 'か', '」', 'それ', 'を', 'きいて', 'ボキューズ', 'が', '肩', 'を', 'すくめる', 'と', '、', '総', '領事', 'は', '副', '領事', 'に', '例の', 'もの', 'を', '持って', 'きて', 'くれ', 'と', 'いった', '。', 'トロワグロ', 'と', 'アリックス', 'が', '辻', '静雄']","['総', '領事']",YES,総領事,NO,NO
8,総領事,が分ったのは、鱒のムースと神戸牛のペッパー・ステーキを食べ終ったときだった。総領事がボキューズに笑いかけてこういったのだ。「ポール、そろそろ茶番劇はやめようじゃない,"['が', '分った', 'の', 'は', '、', '鱒', 'の', 'ムース', 'と', '神戸', '牛', 'の', 'ペッパー', '・', 'ステーキ', 'を', '食べ', '終った', 'とき', 'だった', '。', '総', '領事', 'が', 'ボキューズ', 'に', '笑い', 'かけて', 'こういった', 'の', 'だ', '。', '「', 'ポール', '、', 'そろそろ', '茶番劇', 'は', 'やめ', 'ようじゃ', 'ない']","['総', '領事']",YES,総領事,NO,NO
9,総領事,あるヒースフィールドというパブリック・スクールに入学予約を申し込んだのだった。ちょうどそのころ、神戸のイギリス領事館の総領事に会うと、彼がイギリスのいいパブリック・スクールに入れたいならいまから予約しておかないと,"['ある', 'ヒースフィールド', 'と', 'いう', 'パブリック', '・', 'スクール', 'に', '入学', '予約', 'を', '申し込んだ', 'のだった', '。', 'ちょうど', 'そのころ', '、', '神戸', 'の', 'イギリス', '領事', '館', 'の', '総', '領事', 'に', '会う', 'と', '、', '彼', 'が', 'イギリス', 'の', 'いい', 'パブリック', '・', 'スクール', 'に', '入れ', 'たい', 'なら', 'いま', 'から', '予約', 'して', 'おか', 'ない', 'と']","['総', '領事']",YES,総領事,NO,NO
10,総領事,れる前に、ブラジルのおぞましい刑務所に最高六か月入らなくてはならない。いちばんいいのは、と総領事はアドバイスしてくれた。パラグアイからパスポートなしで国境を越えたと言うことだ。その忠告,"['れる', '前', 'に', '、', 'ブラジル', 'の', 'おぞましい', '刑務所', 'に', '最高', '六', 'か月', '入ら', 'なくて', 'は', 'なら', 'ない', '。', 'いちばん', 'いい', 'の', 'は', '、', 'と', '総', '領事', 'は', 'アドバイス', 'して', 'くれた', '。', 'パラグアイ', 'から', 'パスポート', 'なし', 'で', '国境', 'を', '越えた', 'と', '言う', 'こと', 'だ', '。', 'その', '忠告']","['総', '領事']",YES,総領事,NO,NO
11,総領事,ような、そういう報道が現地でなされたようであります。また、現地の総領事が、この尖閣諸島は日本の領土だと、この問題は日本と香港の関係に,"['ような', '、', 'そういう', '報道', 'が', '現地', 'で', 'なされた', 'ようであり', 'ます', '。', 'また', '、', '現地', 'の', '総', '領事', 'が', '、', 'この', '尖閣諸島', 'は', '日本', 'の', '領土', 'だ', 'と', '、', 'この', '問題', 'は', '日本', 'と', '香港', 'の', '関係', 'に']","['総', '領事']",YES,総領事,NO,NO
