,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,諸仏,、十段に区画し、最上段に諸仏五尊を置き、そのすぐ下に初地より十地まで諸仏を配している。この両段の諸仏には金泥が塗られている。中央部下方に、「,"['、', '十', '段', 'に', '区画', 'し', '、', '最', '上段', 'に', '諸', '仏', '五', '尊', 'を', '置き', '、', 'その', 'すぐ', '下', 'に', '初', '地', 'より', '十', '地', 'まで', '諸', '仏', 'を', '配して', 'いる', '。', 'この', '両', '段', 'の', '諸', '仏', 'に', 'は', '金', '泥', 'が', '塗ら', 'れて', 'いる', '。', '中央', '部', '下方', 'に', '、', '「']","['諸', '仏']",YES,諸仏,NO,NO
1,諸仏,、十段に区画し、最上段に諸仏五尊を置き、そのすぐ下に初地より十地まで諸仏を配している。この両段の諸仏には金泥が塗られている。中央部下方に、「,"['、', '十', '段', 'に', '区画', 'し', '、', '最', '上段', 'に', '諸', '仏', '五', '尊', 'を', '置き', '、', 'その', 'すぐ', '下', 'に', '初', '地', 'より', '十', '地', 'まで', '諸', '仏', 'を', '配して', 'いる', '。', 'この', '両', '段', 'の', '諸', '仏', 'に', 'は', '金', '泥', 'が', '塗ら', 'れて', 'いる', '。', '中央', '部', '下方', 'に', '、', '「']","['諸', '仏']",YES,諸仏,NO,NO
2,諸仏,、十段に区画し、最上段に諸仏五尊を置き、そのすぐ下に初地より十地まで諸仏を配している。この両段の諸仏には金泥が塗られている。中央部下方に、「,"['、', '十', '段', 'に', '区画', 'し', '、', '最', '上段', 'に', '諸', '仏', '五', '尊', 'を', '置き', '、', 'その', 'すぐ', '下', 'に', '初', '地', 'より', '十', '地', 'まで', '諸', '仏', 'を', '配して', 'いる', '。', 'この', '両', '段', 'の', '諸', '仏', 'に', 'は', '金', '泥', 'が', '塗ら', 'れて', 'いる', '。', '中央', '部', '下方', 'に', '、', '「']","['諸', '仏']",YES,諸仏,NO,NO
3,諸仏,のすぐれた徳は、類まれで比べるものがありません。深く、そして明らかに諸仏の真理の世界を念じ、その深奥を究め尽くしています。無知と欲と怒り,"['の', 'すぐれた', '徳', 'は', '、', '類', 'まれ', 'で', '比べる', 'もの', 'が', 'あり', 'ませ', 'ん', '。', '深く', '、', 'そして', '明らかに', '諸', '仏', 'の', '真理', 'の', '世界', 'を', '念じ', '、', 'その', '深', '奥', 'を', '究め', '尽くして', 'い', 'ます', '。', '無知', 'と', '欲', 'と', '怒り']","['諸', '仏']",YES,諸仏,NO,NO
4,諸仏,見ることを得るのだ」という『正法眼蔵啓迪』における西有穆山の解釈は前者に属し、「諸仏と大円鑑と、胡来胡現、漢来漢現、胡と胡、漢と漢、仏と仏、,"['見る', 'こと', 'を', '得る', 'のだ', '」', 'と', 'いう', '『', '正法眼蔵', '啓', '迪', '』', 'に', 'おける', '西', '有', '穆山', 'の', '解釈', 'は', '前者', 'に', '属し', '、', '「', '諸', '仏', 'と', '大', '円', '鑑', 'と', '、', '胡来', '胡現', '、', '漢', '来', '漢', '現', '、', '胡', 'と', '胡', '、', '漢', 'と', '漢', '、', '仏', 'と', '仏', '、']","['諸', '仏']",YES,諸仏,NO,NO
5,諸仏,の四つで押さえる）ということも新たな意味をもって展開できるのではないか。これまでは諸仏は阿弥陀仏を讃嘆する役割のみを強調されてきた。しかし諸仏は行者の疑いをとどめ,"['の', '四', 'つ', 'で', '押さえる', '）', 'と', 'いう', 'こと', 'も', '新たな', '意味', 'を', 'もって', '展開', 'できる', 'ので', 'は', 'ない', 'か', '。', 'これ', 'まで', 'は', '諸', '仏', 'は', '阿弥陀', '仏', 'を', '讃嘆', 'する', '役割', 'のみ', 'を', '強調', 'さ', 'れて', 'きた', '。', 'しかし', '諸', '仏', 'は', '行者', 'の', '疑い', 'を', 'とどめ']","['諸', '仏']",YES,諸仏,NO,NO
6,諸仏,の四つで押さえる）ということも新たな意味をもって展開できるのではないか。これまでは諸仏は阿弥陀仏を讃嘆する役割のみを強調されてきた。しかし諸仏は行者の疑いをとどめ,"['の', '四', 'つ', 'で', '押さえる', '）', 'と', 'いう', 'こと', 'も', '新たな', '意味', 'を', 'もって', '展開', 'できる', 'ので', 'は', 'ない', 'か', '。', 'これ', 'まで', 'は', '諸', '仏', 'は', '阿弥陀', '仏', 'を', '讃嘆', 'する', '役割', 'のみ', 'を', '強調', 'さ', 'れて', 'きた', '。', 'しかし', '諸', '仏', 'は', '行者', 'の', '疑い', 'を', 'とどめ']","['諸', '仏']",YES,諸仏,NO,NO
7,諸仏,ことではないもであるから、「諸仏はこの円鑑に同参同見なり」と言われ、「諸仏は大円鑑の鋳像なり」と言われるわけである。そもそも仏とは、たんなる個人として,"['こと', 'で', 'は', 'ない', 'も', 'である', 'から', '、', '「', '諸', '仏', 'は', 'この', '円', '鑑', 'に', '同', '参', '同', '見', 'なり', '」', 'と', '言わ', 'れ', '、', '「', '諸', '仏', 'は', '大', '円', '鑑', 'の', '鋳', '像', 'なり', '」', 'と', '言わ', 'れる', 'わけである', '。', 'そもそも', '仏', 'と', 'は', '、', 'たんなる', '個人', 'と', 'して']","['諸', '仏']",YES,諸仏,NO,NO
8,諸仏,ことではないもであるから、「諸仏はこの円鑑に同参同見なり」と言われ、「諸仏は大円鑑の鋳像なり」と言われるわけである。そもそも仏とは、たんなる個人として,"['こと', 'で', 'は', 'ない', 'も', 'である', 'から', '、', '「', '諸', '仏', 'は', 'この', '円', '鑑', 'に', '同', '参', '同', '見', 'なり', '」', 'と', '言わ', 'れ', '、', '「', '諸', '仏', 'は', '大', '円', '鑑', 'の', '鋳', '像', 'なり', '」', 'と', '言わ', 'れる', 'わけである', '。', 'そもそも', '仏', 'と', 'は', '、', 'たんなる', '個人', 'と', 'して']","['諸', '仏']",YES,諸仏,NO,NO
9,諸仏,大事な言葉です。単に、いろんな仏ということではない。一人が諸仏と。一人ひとりが諸仏。さらに親鸞聖人が特に諸仏といわれる場合は、名を称する人、本願に生きる,"['大事な', '言葉', 'です', '。', '単に', '、', 'いろんな', '仏', 'と', 'いう', 'こと', 'で', 'は', 'ない', '。', '一', '人', 'が', '諸', '仏', 'と', '。', '一人ひとり', 'が', '諸', '仏', '。', 'さらに', '親鸞', '聖人', 'が', '特に', '諸', '仏', 'と', 'いわ', 'れる', '場合', 'は', '、', '名', 'を', '称する', '人', '、', '本願', 'に', '生きる']","['諸', '仏']",YES,諸仏,NO,NO
10,諸仏,大事な言葉です。単に、いろんな仏ということではない。一人が諸仏と。一人ひとりが諸仏。さらに親鸞聖人が特に諸仏といわれる場合は、名を称する人、本願に生きる,"['大事な', '言葉', 'です', '。', '単に', '、', 'いろんな', '仏', 'と', 'いう', 'こと', 'で', 'は', 'ない', '。', '一', '人', 'が', '諸', '仏', 'と', '。', '一人ひとり', 'が', '諸', '仏', '。', 'さらに', '親鸞', '聖人', 'が', '特に', '諸', '仏', 'と', 'いわ', 'れる', '場合', 'は', '、', '名', 'を', '称する', '人', '、', '本願', 'に', '生きる']","['諸', '仏']",YES,諸仏,NO,NO
11,諸仏,大事な言葉です。単に、いろんな仏ということではない。一人が諸仏と。一人ひとりが諸仏。さらに親鸞聖人が特に諸仏といわれる場合は、名を称する人、本願に生きる,"['大事な', '言葉', 'です', '。', '単に', '、', 'いろんな', '仏', 'と', 'いう', 'こと', 'で', 'は', 'ない', '。', '一', '人', 'が', '諸', '仏', 'と', '。', '一人ひとり', 'が', '諸', '仏', '。', 'さらに', '親鸞', '聖人', 'が', '特に', '諸', '仏', 'と', 'いわ', 'れる', '場合', 'は', '、', '名', 'を', '称する', '人', '、', '本願', 'に', '生きる']","['諸', '仏']",YES,諸仏,NO,NO
12,諸仏,ば、そこに諸仏の意味を見出すことになる。親鸞は「弥陀」に「弥陀を諸仏と申す。過度人道のこころなり」（『浄土和讃』）と左訓（語の左に,"['ば', '、', 'そこ', 'に', '諸', '仏', 'の', '意味', 'を', '見出す', 'こと', 'に', 'なる', '。', '親鸞', 'は', '「', '弥陀', '」', 'に', '「', '弥陀', 'を', '諸', '仏', 'と', '申す', '。', '過度', '人道', 'の', 'ここ', 'ろ', 'なり', '」', '（', '『', '浄土', '和讃', '』', '）', 'と', '左', '訓', '（', '語', 'の', '左', 'に']","['諸', '仏']",YES,諸仏,NO,NO
13,諸仏,ば、そこに諸仏の意味を見出すことになる。親鸞は「弥陀」に「弥陀を諸仏と申す。過度人道のこころなり」（『浄土和讃』）と左訓（語の左に,"['ば', '、', 'そこ', 'に', '諸', '仏', 'の', '意味', 'を', '見出す', 'こと', 'に', 'なる', '。', '親鸞', 'は', '「', '弥陀', '」', 'に', '「', '弥陀', 'を', '諸', '仏', 'と', '申す', '。', '過度', '人道', 'の', 'ここ', 'ろ', 'なり', '」', '（', '『', '浄土', '和讃', '』', '）', 'と', '左', '訓', '（', '語', 'の', '左', 'に']","['諸', '仏']",YES,諸仏,NO,NO
14,諸仏,のがわれわれのような凡夫である。ここに弥陀如来というのは、三世・十方におわします諸仏の本師・本仏であるから、久遠実成の古仏なのだ。だから今のわれわれのように、弥陀以外,"['の', 'が', 'われわれ', 'の', 'ような', '凡夫', 'である', '。', 'ここ', 'に', '弥陀', '如来', 'と', 'いう', 'の', 'は', '、', '三', '世', '・', '十', '方', 'に', 'お', 'わし', 'ます', '諸', '仏', 'の', '本', '師', '・', '本', '仏', 'である', 'から', '、', '久遠', '実', '成', 'の', '古', '仏', 'な', 'のだ', '。', 'だから', '今', 'の', 'われわれ', 'の', 'ように', '、', '弥', '陀', '以外']","['諸', '仏']",YES,諸仏,NO,NO
15,諸仏,傾向がある。それは明らかな誤解である。中世を生きた親鸞は、当然、諸仏も諸神もまた魑魅魍魎も認める当時の世界観を共有していたし、実際そのような,"['傾向', 'が', 'ある', '。', 'それ', 'は', '明らかな', '誤解', 'である', '。', '中世', 'を', '生きた', '親鸞', 'は', '、', '当然', '、', '諸', '仏', 'も', '諸', '神', 'も', 'また', '魑魅', '魍魎', 'も', '認める', '当時', 'の', '世界', '観', 'を', '共有', 'して', 'いた', 'し', '、', '実際', 'そのような']","['諸', '仏']",YES,諸仏,NO,NO
