,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,諸制度,結婚制度に依存せざるをえない。男性に生活保障を依存する多数の女性の存在は，社会福祉などの諸制度がそれを前提に作られる理由ともなっている。これらの三者は互いに補完しあっ,"['結婚', '制度', 'に', '依存', 'せ', 'ざる', 'を', 'え', 'ない', '。', '男性', 'に', '生活', '保障', 'を', '依存', 'する', '多数', 'の', '女性', 'の', '存在', 'は', '，', '社会', '福祉', 'など', 'の', '諸', '制度', 'が', 'それ', 'を', '前提', 'に', '作ら', 'れる', '理由', 'と', 'も', 'なって', 'いる', '。', 'これ', 'ら', 'の', '三', '者', 'は', '互いに', '補完', 'し', 'あっ']","['諸', '制度']",YES,諸制度,NO,NO
1,諸制度,ほかの改正内容１．「市の責務」の中で規定されている都市計画法などによる諸制度の記載を削除します（第４条）２．まちづくり協議会の準備段階にある組織に対して、その活動,"['ほか', 'の', '改正', '内容', '１', '．', '「', '市', 'の', '責務', '」', 'の', '中', 'で', '規定', 'さ', 'れて', 'いる', '都市', '計画', '法', 'など', 'に', 'よる', '諸', '制度', 'の', '記載', 'を', '削除', 'し', 'ます', '（', '第', '４', '条', '）', '２', '．', 'まち', 'づくり', '協議', '会', 'の', '準備', '段階', 'に', 'ある', '組織', 'に', '対して', '、', 'その', '活動']","['諸', '制度']",YES,諸制度,NO,NO
2,諸制度,なく千八百八十九（明治二十二）年に発布された明治憲法、すなわち大日本帝国憲法である。これらの諸制度は、すべて欧米からの直輸入である。そこに江戸時代の面影を認めることは、まったく,"['なく', '千八百八十九', '（', '明治', '二十二', '）', '年', 'に', '発布', 'さ', 'れた', '明治', '憲法', '、', 'すなわち', '大', '日本', '帝国', '憲法', 'である', '。', 'これ', 'ら', 'の', '諸', '制度', 'は', '、', 'すべて', '欧', '米', 'から', 'の', '直輸入', 'である', '。', 'そこ', 'に', '江戸', '時代', 'の', '面影', 'を', '認める', 'こと', 'は', '、', 'まったく']","['諸', '制度']",YES,諸制度,NO,NO
3,諸制度,両法案とも自衛隊が自信と誇りを持ってこれらの新たな任務の遂行に専念できるよう、諸制度の確立を図ろうということであろうと思います。これらの法案は、その意味において大変,"['両', '法案', 'と', 'も', '自衛', '隊', 'が', '自信', 'と', '誇り', 'を', '持って', 'これ', 'ら', 'の', '新たな', '任務', 'の', '遂行', 'に', '専念', 'できる', 'よう', '、', '諸', '制度', 'の', '確立', 'を', '図ろう', 'と', 'いう', 'こと', 'であろう', 'と', '思い', 'ます', '。', 'これ', 'ら', 'の', '法案', 'は', '、', 'その', '意味', 'に', 'おいて', '大変']","['諸', '制度']",YES,諸制度,NO,NO
4,諸制度,＝忠誠心を支えた要因として，これまでは，終身雇傭制を典型とする日本的経営の諸制度の機能を求めるのが一般的であった．それとともに，ＭＥ化の進展を中心,"['＝', '忠誠', '心', 'を', '支えた', '要因', 'と', 'して', '，', 'これ', 'まで', 'は', '，', '終身', '雇傭', '制', 'を', '典型', 'と', 'する', '日本', '的', '経営', 'の', '諸', '制度', 'の', '機能', 'を', '求める', 'の', 'が', '一般', '的であった', '．', 'それ', 'と', 'ともに', '，', 'ＭＥ', '化', 'の', '進展', 'を', '中心']","['諸', '制度']",YES,諸制度,NO,NO
5,諸制度,行動の規則性だということである。ハイエクによれば，秩序が成立するのは，計画された諸制度の意図した結果として生まれる場合（組織の規制），または，経済主体の意図的行動が，,"['行動', 'の', '規則', '性', 'だ', 'と', 'いう', 'こと', 'である', '。', 'ハイエク', 'に', 'よれば', '，', '秩序', 'が', '成立', 'する', 'の', 'は', '，', '計画', 'さ', 'れた', '諸', '制度', 'の', '意図', 'した', '結果', 'と', 'して', '生まれる', '場合', '（', '組織', 'の', '規制', '）', '，', 'または', '，', '経済', '主体', 'の', '意図', '的', '行動', 'が', '，']","['諸', '制度']",YES,諸制度,NO,NO
6,諸制度,うちにその幕を閉じた。しかし、このお祭り騒ぎのなかで、現在のアメリカの諸制度が次の百年にふさわしいかどうかを真剣に考えた者がはたして何人いただろうか,"['うち', 'に', 'その', '幕', 'を', '閉じた', '。', 'しかし', '、', 'この', 'お祭り騒ぎ', 'の', 'なか', 'で', '、', '現在', 'の', 'アメリカ', 'の', '諸', '制度', 'が', '次の', '百', '年', 'に', 'ふさわしい', 'か', 'どう', 'か', 'を', '真剣に', '考えた', '者', 'が', 'はたして', '何', '人', 'いた', 'だろう', 'か']","['諸', '制度']",YES,諸制度,NO,NO
7,諸制度,ひとつなのである。したがって、このプロセスを阻むために必要なのは、「国家とその諸制度から個人を解放する」ことよりもむしろ、「われわれがわれわれを国家とそれに結びつく,"['ひと', 'つ', 'な', 'のである', '。', 'したがって', '、', 'この', 'プロセス', 'を', '阻む', 'ため', 'に', '必要な', 'の', 'は', '、', '「', '国家', 'と', 'その', '諸', '制度', 'から', '個人', 'を', '解放', 'する', '」', 'こと', 'より', 'も', 'むしろ', '、', '「', 'われわれ', 'が', 'われわれ', 'を', '国家', 'と', 'それ', 'に', '結びつく']","['諸', '制度']",YES,諸制度,NO,NO
8,諸制度,第十一章住環境整備の諸制度野澤康十一．一住環境整備の諸制度と住環境指標本章では，住宅建設五箇年計画や住環境整備に関連する各種の,"['第', '十一', '章', '住', '環境', '整備', 'の', '諸', '制度', '野澤', '康', '十一', '．', '一', '住', '環境', '整備', 'の', '諸', '制度', 'と', '住', '環境', '指', '標本', '章', 'で', 'は', '，', '住宅', '建設', '五', '箇年', '計画', 'や', '住', '環境', '整備', 'に', '関連', 'する', '各種の']","['諸', '制度']",YES,諸制度,NO,NO
9,諸制度,第十一章住環境整備の諸制度野澤康十一．一住環境整備の諸制度と住環境指標本章では，住宅建設五箇年計画や住環境整備に関連する各種の,"['第', '十一', '章', '住', '環境', '整備', 'の', '諸', '制度', '野澤', '康', '十一', '．', '一', '住', '環境', '整備', 'の', '諸', '制度', 'と', '住', '環境', '指', '標本', '章', 'で', 'は', '，', '住宅', '建設', '五', '箇年', '計画', 'や', '住', '環境', '整備', 'に', '関連', 'する', '各種の']","['諸', '制度']",YES,諸制度,NO,NO
10,諸制度,られており，意思決定は自己責任で行われることになる。いわゆる自律的人間を前提とした人的資源管理の諸制度が導入される。このように，年功パラダイムを超えた新しいパラダイムにおいては，経営の,"['られて', 'おり', '，', '意思', '決定', 'は', '自己', '責任', 'で', '行わ', 'れる', 'こと', 'に', 'なる', '。', 'いわゆる', '自律', '的', '人間', 'を', '前提', 'と', 'した', '人', '的', '資源', '管理', 'の', '諸', '制度', 'が', '導入', 'さ', 'れる', '。', 'このように', '，', '年功', 'パラダイム', 'を', '超えた', '新しい', 'パラダイム', 'に', 'おいて', 'は', '，', '経営', 'の']","['諸', '制度']",YES,諸制度,NO,NO
11,諸制度,日清戦争（明治二十七〜二十八年）以降のことである。さらに、経済的な面で、資本主義国家としての諸制度も導入された。千八百七十八（明治十一）年、東京と大阪に株式取引所が設置され,"['日', '清', '戦争', '（', '明治', '二十七', '〜', '二十八', '年', '）', '以降', 'の', 'こと', 'である', '。', 'さらに', '、', '経済', '的な', '面', 'で', '、', '資本', '主義', '国家', 'と', 'して', 'の', '諸', '制度', 'も', '導入', 'さ', 'れた', '。', '千八百七十八', '（', '明治', '十一', '）', '年', '、', '東京', 'と', '大阪', 'に', '株式', '取引', '所', 'が', '設置', 'さ', 'れ']","['諸', '制度']",YES,諸制度,NO,NO
12,諸制度,五は、戦後確立され定着してきた福祉、社会保障、教育、労働条件と権利にかかわる諸制度を相次いで破壊してきたことです。その六に、国鉄の分割・民営化を初め、電電,"['五', 'は', '、', '戦後', '確立', 'さ', 'れ', '定着', 'して', 'きた', '福祉', '、', '社会', '保障', '、', '教育', '、', '労働', '条件', 'と', '権利', 'に', 'かかわる', '諸', '制度', 'を', '相次いで', '破壊', 'して', 'きた', 'こと', 'です', '。', 'その', '六', 'に', '、', '国鉄', 'の', '分割', '・', '民営', '化', 'を', '初め', '、', '電', '電']","['諸', '制度']",YES,諸制度,NO,NO
13,諸制度,に多様な能力開発制度の運営を本社人事部門が担っている．〈評価・査定〉評価・査定のための諸制度としては，図２‐４に示されているように，業務分担表，自己申告制度，業務目標，,"['に', '多様な', '能力', '開発', '制度', 'の', '運営', 'を', '本社', '人事', '部門', 'が', '担って', 'いる', '．', '〈', '評価', '・', '査定', '〉', '評価', '・', '査定', 'の', 'ため', 'の', '諸', '制度', 'と', 'して', 'は', '，', '図', '２', '‐', '４', 'に', '示さ', 'れて', 'いる', 'ように', '，', '業務', '分担', '表', '，', '自己', '申告', '制度', '，', '業務', '目標', '，']","['諸', '制度']",YES,諸制度,NO,NO
14,諸制度,総論に当たる社会保障の歴史や構造を学ぶ。第７章までに学んできた社会保障の諸制度はどのようにしてできてきて，どういう構造になっているのか，,"['総論', 'に', '当たる', '社会', '保障', 'の', '歴史', 'や', '構造', 'を', '学ぶ', '。', '第', '７', '章', 'まで', 'に', '学んで', 'きた', '社会', '保障', 'の', '諸', '制度', 'は', 'どのように', 'して', 'できて', 'きて', '，', 'どういう', '構造', 'に', 'なって', 'いる', 'の', 'か', '，']","['諸', '制度']",YES,諸制度,NO,NO
15,諸制度,なければならない。医療や介護、年金の制度は老人の人格や尊厳を度外視してはいけない、諸制度は人の為にあるはずだ。若者達がそれらの制度を維持するために、自分達,"['なければ', 'なら', 'ない', '。', '医療', 'や', '介護', '、', '年金', 'の', '制度', 'は', '老人', 'の', '人格', 'や', '尊厳', 'を', '度外視', 'して', 'は', 'いけない', '、', '諸', '制度', 'は', '人', 'の', '為', 'に', 'ある', 'はずだ', '。', '若者', '達', 'が', 'それ', 'ら', 'の', '制度', 'を', '維持', 'する', 'ため', 'に', '、', '自分', '達']","['諸', '制度']",YES,諸制度,NO,NO
