,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,非公式,の「側用人」的な権限を与をれていた。すなわち、会長や頭取の名のもとに非公式ながら、経営手腕をふるうことができたのである。この慣習は三和銀行内部の権力構造を複雑怪奇なもの,"['の', '「', '側', '用', '人', '」', '的な', '権限', 'を', '与', 'を', 'れて', 'いた', '。', 'すなわち', '、', '会長', 'や', '頭取', 'の', '名', 'の', 'もと', 'に', '非公式', 'ながら', '、', '経営', '手腕', 'を', 'ふるう', 'こと', 'が', 'できた', 'のである', '。', 'この', '慣習', 'は', '三和', '銀行', '内部', 'の', '権力', '構造', 'を', '複雑怪奇な', 'もの']",['非公式'],NO,非公式,NO,NO
1,非公式,そして私の知っている顔と言えばチョン・グァンモ会長と祝辞を述べたキム・スファン枢機卿だけだった。非公式の記録ではあるが、私は解放（千九百四十五年八月十五日）後の朝鮮の地,"['そして', '私', 'の', '知って', 'いる', '顔', 'と', '言えば', 'チョン', '・', 'グァンモ', '会長', 'と', '祝辞', 'を', '述べた', 'キム', '・', 'スファン', '枢機卿', 'だけ', 'だった', '。', '非公式の', '記録', 'で', 'は', 'ある', 'が', '、', '私', 'は', '解放', '（', '千九百四十五', '年', '八', '月', '十五', '日', '）', '後', 'の', '朝鮮', 'の', '地']",['非公式の'],NO,非公式,NO,YES
2,非公式,ており、優勝チームが世界大会への出場権を得る。これは国際サッカー連盟の主催でないという意味で非公式ではあるものの、ジュニアユース年代にとって唯一の世界大会であり、国際経験への期待という面での,"['ており', '、', '優勝', 'チーム', 'が', '世界', '大会', 'へ', 'の', '出場', '権', 'を', '得る', '。', 'これ', 'は', '国際', 'サッカー', '連盟', 'の', '主催', 'で', 'ない', 'と', 'いう', '意味', 'で', '非公式で', 'は', 'ある', 'もの', 'の', '、', 'ジュニアユース', '年代', 'に', 'とって', '唯一', 'の', '世界', '大会', 'であり', '、', '国際', '経験', 'へ', 'の', '期待', 'と', 'いう', '面', 'で', 'の']",['非公式で'],NO,非公式,NO,YES
3,非公式,たと告げたことだ―これもオズワルド一流の計算ずくのうそだったのである。亡命ロシア人たちは非公式な支援団体をつくり、ある家庭がマリナと幼いジューンを預かることにした。すると、オズワルド,"['たと', '告げた', 'こと', 'だ', '―', 'これ', 'も', 'オズワルド', '一流', 'の', '計算', 'ずく', 'の', 'うそ', 'だった', 'のである', '。', '亡命', 'ロシア', '人', 'たち', 'は', '非公式な', '支援', '団体', 'を', 'つくり', '、', 'ある', '家庭', 'が', 'マリナ', 'と', '幼い', 'ジューン', 'を', '預かる', 'こと', 'に', 'した', '。', 'すると', '、', 'オズワルド']",['非公式な'],NO,非公式,NO,YES
4,非公式,ブログ上では）ノーコメントとさせていただきます。ただし、（リアルの）友人等との非公式な場では、話題にする事もあります。,"['ブログ', '上', 'で', 'は', '）', 'ノーコメント', 'と', 'さ', 'せて', 'いただき', 'ます', '。', 'ただし', '、', '（', 'リアル', 'の', '）', '友人', '等', 'と', 'の', '非公式な', '場', 'で', 'は', '、', '話題', 'に', 'する', '事', 'も', 'あり', 'ます', '。']",['非公式な'],NO,非公式,NO,YES
5,非公式,彼に関して、話すのはやめましょう。彼は過去の人です。非公式｜もう有名でないか、人気がない、うまくいっていない、または役に,"['彼', 'に', '関して', '、', '話す', 'の', 'は', 'やめ', 'ましょう', '。', '彼', 'は', '過去', 'の', '人', 'です', '。', '非公式', '｜', 'もう', '有名で', 'ない', 'か', '、', '人気', 'が', 'ない', '、', 'うまく', 'いって', 'い', 'ない', '、', 'または', '役', 'に']",['非公式'],NO,非公式,NO,NO
6,非公式,いうと？Ｂ●わざわざ行くってことは、現地で関係者と会うってこと。非公式でトライアウトやメディカルチェックを受けている場合もある。「市場に出る前に決めてくれたら,"['いう', 'と', '？', 'Ｂ', '●', 'わざわざ', '行く', 'って', 'こと', 'は', '、', '現地', 'で', '関係', '者', 'と', '会う', 'って', 'こと', '。', '非公式で', 'トライ', 'アウト', 'や', 'メディカルチェック', 'を', '受けて', 'いる', '場合', 'も', 'ある', '。', '「', '市場', 'に', '出る', '前', 'に', '決めて', 'くれたら']",['非公式で'],NO,非公式,NO,YES
7,非公式,たとえ問題がこじれても警察一家の枠内でうまく収められるようにと情報交換の場が非公式に設けられたのである。その席で顔を合わせることはあっても、陣内は,"['たとえ', '問題', 'が', 'こじれて', 'も', '警察', '一家', 'の', '枠', '内', 'で', 'うまく', '収め', 'られる', 'ように', 'と', '情報', '交換', 'の', '場', 'が', '非公式に', '設け', 'られた', 'のである', '。', 'その', '席', 'で', '顔', 'を', '合わせる', 'こと', 'は', 'あって', 'も', '、', '陣', '内', 'は']",['非公式に'],NO,非公式,NO,YES
8,非公式,にのしかかる重債務救済について途上国側から切実な訴えが相次いだ。外相レベルでのＧ８と途上国の非公式な会合はケルン・サミットでも開かれたが、首脳レベルでは今回が初めてである。,"['に', 'のしかかる', '重', '債務', '救済', 'に', 'ついて', '途上', '国', '側', 'から', '切実な', '訴え', 'が', '相次いだ', '。', '外', '相', 'レベル', 'で', 'の', 'Ｇ', '８', 'と', '途上', '国', 'の', '非公式な', '会合', 'は', 'ケルン', '・', 'サミット', 'でも', '開か', 'れた', 'が', '、', '首脳', 'レベル', 'で', 'は', '今回', 'が', '初めて', 'である', '。']",['非公式な'],NO,非公式,NO,YES
9,非公式,と会見もしくは懇談するほか、夜回りと称する家庭訪問がなされる。政治家の一日は、この非公式な、夜の会合なしにはおわらないのが常である。記者クラブは、官庁の,"['と', '会見', 'もしくは', '懇談', 'する', 'ほか', '、', '夜回り', 'と', '称する', '家庭', '訪問', 'が', 'なされる', '。', '政治', '家', 'の', '一', '日', 'は', '、', 'この', '非公式な', '、', '夜', 'の', '会合', 'なし', 'に', 'は', 'おわら', 'ない', 'の', 'が', '常', 'である', '。', '記者', 'クラブ', 'は', '、', '官庁', 'の']",['非公式な'],NO,非公式,NO,YES
10,非公式,北京で第２回６カ国協議。作業部会の設置で合意４月１―２日中国・大連で自民党山崎拓前幹事長と平沢議員が、非公式に北朝鮮高官と会談十九―二十一日北朝鮮の金正日総書記が訪中、胡錦濤主席と会談二十九日米国が北朝鮮,"['北京', 'で', '第', '２', '回', '６', 'カ国', '協議', '。', '作業', '部会', 'の', '設置', 'で', '合意', '４', '月', '１', '―', '２', '日', '中国', '・', '大', '連', 'で', '自民党', '山崎', '拓', '前', '幹事', '長', 'と', '平沢', '議員', 'が', '、', '非公式に', '北朝鮮', '高官', 'と', '会談', '十九', '―', '二十一', '日', '北朝鮮', 'の', '金正日', '総', '書記', 'が', '訪', '中', '、', '胡錦濤', '主席', 'と', '会談', '二十九', '日', '米国', 'が', '北朝鮮']",['非公式に'],NO,非公式,NO,YES
