,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,非論理,ことができるとしている非論理は放擲されている。日本国憲法がその立脚の原点に踏まえているこの非論理はより多く究明されるべきである。（十二）宮澤俊義『全訂日本国憲法』（補訂芦部信喜）日本評論社,"['こと', 'が', 'できる', 'と', 'して', 'いる', '非', '論理', 'は', '放', '擲', 'さ', 'れて', 'いる', '。', '日本', '国', '憲法', 'が', 'その', '立脚', 'の', '原点', 'に', '踏まえて', 'いる', 'この', '非', '論理', 'は', 'より', '多く', '究明', 'さ', 'れる', 'べきである', '。', '（', '十二', '）', '宮', '澤俊', '義', '『', '全', '訂日', '本国', '憲法', '』', '（', '補', '訂芦', '部', '信', '喜', '）', '日本', '評論', '社']","['非', '論理']",YES,非論理,NO,NO
1,非論理,ことができるとしている非論理は放擲されている。日本国憲法がその立脚の原点に踏まえているこの非論理はより多く究明されるべきである。（十二）宮澤俊義『全訂日本国憲法』（補訂芦部信喜）日本評論社,"['こと', 'が', 'できる', 'と', 'して', 'いる', '非', '論理', 'は', '放', '擲', 'さ', 'れて', 'いる', '。', '日本', '国', '憲法', 'が', 'その', '立脚', 'の', '原点', 'に', '踏まえて', 'いる', 'この', '非', '論理', 'は', 'より', '多く', '究明', 'さ', 'れる', 'べきである', '。', '（', '十二', '）', '宮', '澤俊', '義', '『', '全', '訂日', '本国', '憲法', '』', '（', '補', '訂芦', '部', '信', '喜', '）', '日本', '評論', '社']","['非', '論理']",YES,非論理,NO,NO
2,非論理,、筋が通っているか否かという問題です。ところが、石原発言をめぐって、全く非論理な反発が起きました。日本の言論界を覆う無知、不勉強、非論理には甚だしい,"['、', '筋', 'が', '通って', 'いる', 'か', '否', 'か', 'と', 'いう', '問題', 'です', '。', 'ところが', '、', '石原', '発言', 'を', 'めぐって', '、', '全く', '非', '論理', 'な', '反発', 'が', '起き', 'ました', '。', '日本', 'の', '言論', '界', 'を', '覆う', '無知', '、', '不', '勉強', '、', '非', '論理', 'に', 'は', '甚だしい']","['非', '論理']",YES,非論理,NO,NO
3,非論理,、筋が通っているか否かという問題です。ところが、石原発言をめぐって、全く非論理な反発が起きました。日本の言論界を覆う無知、不勉強、非論理には甚だしい,"['、', '筋', 'が', '通って', 'いる', 'か', '否', 'か', 'と', 'いう', '問題', 'です', '。', 'ところが', '、', '石原', '発言', 'を', 'めぐって', '、', '全く', '非', '論理', 'な', '反発', 'が', '起き', 'ました', '。', '日本', 'の', '言論', '界', 'を', '覆う', '無知', '、', '不', '勉強', '、', '非', '論理', 'に', 'は', '甚だしい']","['非', '論理']",YES,非論理,NO,NO
4,非論理,、原文横組）フランス語＝明晰という神話に大きな疑問符を打つバイイの指摘は日本語＝非論理という偏見を打破する視点を提供してくれる。バイイの所説を嚙み砕けば、言語そのものに,"['、', '原文', '横', '組', '）', 'フランス', '語', '＝', '明晰', 'と', 'いう', '神話', 'に', '大きな', '疑問', '符', 'を', '打つ', 'バイイ', 'の', '指摘', 'は', '日本', '語', '＝', '非', '論理', 'と', 'いう', '偏見', 'を', '打破', 'する', '視点', 'を', '提供', 'して', 'くれる', '。', 'バイイ', 'の', '所', '説', 'を', '嚙', 'み', '砕けば', '、', '言語', 'そのもの', 'に']","['非', '論理']",YES,非論理,NO,NO
5,非論理,て、全く非論理な反発が起きました。日本の言論界を覆う無知、不勉強、非論理には甚だしいものがあります。石原発言は、選挙に先立つ三月十日の出馬表明の,"['て', '、', '全く', '非', '論理', 'な', '反発', 'が', '起き', 'ました', '。', '日本', 'の', '言論', '界', 'を', '覆う', '無知', '、', '不', '勉強', '、', '非', '論理', 'に', 'は', '甚だしい', 'もの', 'が', 'あり', 'ます', '。', '石原', '発言', 'は', '、', '選挙', 'に', '先立つ', '三', '月', '十', '日', 'の', '出馬', '表明', 'の']","['非', '論理']",YES,非論理,NO,NO
6,非論理,て、全く非論理な反発が起きました。日本の言論界を覆う無知、不勉強、非論理には甚だしいものがあります。石原発言は、選挙に先立つ三月十日の出馬表明の,"['て', '、', '全く', '非', '論理', 'な', '反発', 'が', '起き', 'ました', '。', '日本', 'の', '言論', '界', 'を', '覆う', '無知', '、', '不', '勉強', '、', '非', '論理', 'に', 'は', '甚だしい', 'もの', 'が', 'あり', 'ます', '。', '石原', '発言', 'は', '、', '選挙', 'に', '先立つ', '三', '月', '十', '日', 'の', '出馬', '表明', 'の']","['非', '論理']",YES,非論理,NO,NO
7,非論理,第九条を措定しているということができる。しかし、反面まさにその点において、同憲法は致命的な非論理を犯し、信頼するべき諸国民の公正と信義から、ほかでもない自国民たる日本国民を,"['第', '九', '条', 'を', '措定', 'して', 'いる', 'と', 'いう', 'こと', 'が', 'できる', '。', 'しかし', '、', '反面', 'まさに', 'その', '点', 'に', 'おいて', '、', '同', '憲法', 'は', '致命', '的な', '非', '論理', 'を', '犯し', '、', '信頼', 'する', 'べき', '諸', '国民', 'の', '公正', 'と', '信義', 'から', '、', 'ほか', 'で', 'も', 'ない', '自国', '民', 'たる', '日本', '国民', 'を']","['非', '論理']",YES,非論理,NO,NO
8,非論理,日本国憲法が諸外国人のみを平和を愛し、公正であり、その信義に信頼することができるとしている非論理は放擲されている。日本国憲法がその立脚の原点に踏まえているこの非論理はより多く究明さ,"['日本', '国', '憲法', 'が', '諸', '外国', '人', 'のみ', 'を', '平和', 'を', '愛し', '、', '公正であり', '、', 'その', '信義', 'に', '信頼', 'する', 'こと', 'が', 'できる', 'と', 'して', 'いる', '非', '論理', 'は', '放', '擲', 'さ', 'れて', 'いる', '。', '日本', '国', '憲法', 'が', 'その', '立脚', 'の', '原点', 'に', '踏まえて', 'いる', 'この', '非', '論理', 'は', 'より', '多く', '究明', 'さ']","['非', '論理']",YES,非論理,NO,NO
9,非論理,日本国憲法が諸外国人のみを平和を愛し、公正であり、その信義に信頼することができるとしている非論理は放擲されている。日本国憲法がその立脚の原点に踏まえているこの非論理はより多く究明さ,"['日本', '国', '憲法', 'が', '諸', '外国', '人', 'のみ', 'を', '平和', 'を', '愛し', '、', '公正であり', '、', 'その', '信義', 'に', '信頼', 'する', 'こと', 'が', 'できる', 'と', 'して', 'いる', '非', '論理', 'は', '放', '擲', 'さ', 'れて', 'いる', '。', '日本', '国', '憲法', 'が', 'その', '立脚', 'の', '原点', 'に', '踏まえて', 'いる', 'この', '非', '論理', 'は', 'より', '多く', '究明', 'さ']","['非', '論理']",YES,非論理,NO,NO
