,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,非難,ように、両腕を組み両眼を固く閉ざした広元。やがて、主人実朝への激しい非難の言葉を語り終えた義時が、更に黙想を続け未だ一言の返事もしない広元,"['ように', '、', '両腕', 'を', '組み', '両眼', 'を', '固く', '閉ざした', '広', '元', '。', 'やがて', '、', '主人', '実', '朝', 'へ', 'の', '激しい', '非難', 'の', '言葉', 'を', '語り', '終えた', '義', '時', 'が', '、', '更に', '黙想', 'を', '続け', '未だ', '一言', 'の', '返事', 'も', 'し', 'ない', '広', '元']",['非難'],NO,非難,NO,NO
1,非難,女たち』の歌詞では「黒人の女の子は一晩中ファックしたがる」というくだりが黒人運動家から非難を浴びた。これは、アトランティック・レコーズ社長のアーメット・アーティガンのとりなしで事なきをえた。ミック,"['女', 'たち', '』', 'の', '歌詞', 'で', 'は', '「', '黒人', 'の', '女の子', 'は', '一晩', '中', 'ファック', 'した', 'が', 'る', '」', 'と', 'いう', 'くだり', 'が', '黒人', '運動', '家', 'から', '非難', 'を', '浴びた', '。', 'これ', 'は', '、', 'アトランティック', '・', 'レコーズ', '社長', 'の', 'アーメット', '・', 'アーティガン', 'の', 'とりなし', 'で', '事', 'なき', 'を', 'えた', '。', 'ミック']",['非難'],NO,非難,NO,NO
2,非難,をアルカイダの庇護者と決めつけ、アルイスラミアに所属するアブドゥルカシムをその手先だとして双方に非難の矢を射はじめた。こうした方針はＳＲＲＣ最高幹部会議で検討され、アイディード議長が決断した,"['を', 'アルカイダ', 'の', '庇護', '者', 'と', '決めつけ', '、', 'アルイスラミア', 'に', '所属', 'する', 'アブドゥルカシム', 'を', 'その', '手先', 'だ', 'と', 'して', '双方', 'に', '非難', 'の', '矢', 'を', '射', 'はじめた', '。', 'こうした', '方針', 'は', 'ＳＲＲＣ', '最高', '幹部', '会議', 'で', '検討', 'さ', 'れ', '、', 'アイディード', '議長', 'が', '決断', 'した']",['非難'],NO,非難,NO,NO
3,非難,雨滴を飛び散らして脱いだ。菊乃は黙つてその様子を眺めながら、道徳的な非難をじつと心で投げつけてゐる気持になつた。菊乃にはどうして江木がそんな,"['雨', '滴', 'を', '飛び', '散らして', '脱いだ', '。', '菊', '乃', 'は', '黙', 'つて', 'その', '様子', 'を', '眺め', 'ながら', '、', '道徳', '的な', '非難', 'を', 'じ', 'つ', 'と', '心', 'で', '投げ', 'つけて', 'ゐる', '気持', 'に', 'な', 'つた', '。', '菊', '乃', 'に', 'は', 'どうして', '江', '木', 'が', 'そんな']",['非難'],NO,非難,NO,NO
4,非難,た。「これと似たような手紙は、どうですか？」「非難の手紙なら、いくらでも来ますよ」と沼田は笑って、「駅員,"['た', '。', '「', 'これ', 'と', '似た', 'ような', '手紙', 'は', '、', 'どう', 'です', 'か', '？', '」', '「', '非難', 'の', '手紙', 'なら', '、', 'いくら', 'でも', '来', 'ます', 'よ', '」', 'と', '沼田', 'は', '笑って', '、', '「', '駅員']",['非難'],NO,非難,NO,NO
5,非難,であるらしい・・・。「だったら、お金をくれよ！！」という非難にも似た声もあったりするが、どう投稿するか？非常に悩む・,"['である', 'らしい', '・・・', '。', '「', 'だったら', '、', 'お', '金', 'を', 'くれよ', '！', '！', '」', 'と', 'いう', '非難', 'に', 'も', '似た', '声', 'も', 'あったり', 'する', 'が', '、', 'どう', '投稿', 'する', 'か', '？', '非常に', '悩む', '・']",['非難'],NO,非難,NO,NO
6,非難,できた娘エリゴネ。いずれもオレステスの身内に当たる人々であったが、法廷では激しい非難を彼に浴びせかけた。多くの論議が戦わされた末、陪審員らが肯か否,"['できた', '娘', 'エリゴネ', '。', 'いずれ', 'も', 'オレステス', 'の', '身内', 'に', '当たる', '人々', 'であった', 'が', '、', '法廷', 'で', 'は', '激しい', '非難', 'を', '彼', 'に', '浴びせ', 'かけた', '。', '多く', 'の', '論議', 'が', '戦わ', 'さ', 'れた', '末', '、', '陪審', '員', 'ら', 'が', '肯か', '否']",['非難'],NO,非難,NO,NO
7,非難,られないのであり、もしマルクスの思想を全体主義的だというのなら、ヨーロッパの政治思想全体がその非難を受ける可能性があると考えていた。（６）本書、九ページ。この点,"['られ', 'ない', 'のであり', '、', 'もし', 'マルクス', 'の', '思想', 'を', '全体', '主義', '的だ', 'と', 'いう', 'の', 'なら', '、', 'ヨーロッパ', 'の', '政治', '思想', '全体', 'が', 'その', '非難', 'を', '受ける', '可能', '性', 'が', 'ある', 'と', '考えて', 'いた', '。', '（', '６', '）', '本書', '、', '九', 'ページ', '。', 'この', '点']",['非難'],NO,非難,NO,NO
8,非難,一角獣アドルフとの交歓のエピソード（第八章）を描いたものもあり、スミザースは世論の非難を恐れて、これを発表することを差し控え、ビアズレーに内証で湮滅してしまったという,"['一角', '獣', 'アドルフ', 'と', 'の', '交歓', 'の', 'エピソード', '（', '第', '八', '章', '）', 'を', '描いた', 'もの', 'も', 'あり', '、', 'スミザース', 'は', '世論', 'の', '非難', 'を', '恐れて', '、', 'これ', 'を', '発表', 'する', 'こと', 'を', '差し控え', '、', 'ビアズレー', 'に', '内証', 'で', '湮滅', 'して', 'しまった', 'と', 'いう']",['非難'],NO,非難,NO,NO
9,非難,新）委員そうすると、我々は戦争に一方的に加担をするというような非難を受けるおそれも出てくる。それが第一線に復帰する、戦力になる、こういうこと,"['新', '）', '委員', 'そう', 'する', 'と', '、', '我々', 'は', '戦争', 'に', '一方的に', '加担', 'を', 'する', 'と', 'いう', 'ような', '非難', 'を', '受ける', 'お', 'それ', 'も', '出て', 'くる', '。', 'それ', 'が', '第一線', 'に', '復帰', 'する', '、', '戦力', 'に', 'なる', '、', 'こういう', 'こと']",['非難'],NO,非難,NO,NO
10,非難,でしかない。それが証道上人を追い出して東寺の大勧進を拝命したのだから、当然非難は集中してくる。しかし、文観は動じなかった。彼が志すのは、妙適興隆,"['で', 'しか', 'ない', '。', 'それ', 'が', '証', '道', '上人', 'を', '追い出して', '東', '寺', 'の', '大', '勧進', 'を', '拝', '命', 'した', 'のだ', 'から', '、', '当然', '非難', 'は', '集中', 'して', 'くる', '。', 'しかし', '、', '文', '観', 'は', '動じ', 'なかった', '。', '彼', 'が', '志す', 'の', 'は', '、', '妙', '適', '興隆']",['非難'],NO,非難,NO,NO
11,非難,ながら、私と似た立場を理解しようと努力もしたし、ラスコリニコフの残忍さを非難もした。この本を全部読み終えた後、私がこのように生きていてもいい,"['ながら', '、', '私', 'と', '似た', '立場', 'を', '理解', 'しよう', 'と', '努力', 'も', 'した', 'し', '、', 'ラスコリニコフ', 'の', '残忍', 'さ', 'を', '非難', 'も', 'した', '。', 'この', '本', 'を', '全部', '読み', '終えた', '後', '、', '私', 'が', 'このように', '生きて', 'いて', 'も', 'いい']",['非難'],NO,非難,NO,NO
12,非難,が自分でも驚くほど冷たい口調で言ったので、香代子は「えっ？」と非難の目を振り向けた。「いいえ、そんなにはっきりした形ではありません,"['が', '自分', 'でも', '驚く', 'ほど', '冷たい', '口調', 'で', '言った', 'ので', '、', '香代子', 'は', '「', 'えっ', '？', '」', 'と', '非難', 'の', '目', 'を', '振り向けた', '。', '「', 'いいえ', '、', 'そんなに', 'はっきり', 'した', '形', 'で', 'は', 'あり', 'ませ', 'ん']",['非難'],NO,非難,NO,NO
13,非難,その人達に相談してはいかがでしょうか。そうすればその上司は多くの人の非難を浴び、会社に居づらくなるでしょう。,"['その', '人', '達', 'に', '相談', 'して', 'は', 'いかがでしょう', 'か', '。', 'そう', 'すれば', 'その', '上司', 'は', '多く', 'の', '人', 'の', '非難', 'を', '浴び', '、', '会社', 'に', '居', 'づらく', 'なる', 'でしょう', '。']",['非難'],NO,非難,NO,NO
14,非難,計画を立てている」と一席ぶったのをもとに書かれたものだろう。劇作家協会の非難を逆手にとって探偵奇談「女中難」のＰＲを試みているようなフシもある。「女中難」,"['計画', 'を', '立てて', 'いる', '」', 'と', '一', '席', 'ぶった', 'の', 'を', 'もと', 'に', '書か', 'れた', 'もの', 'だろう', '。', '劇作家', '協会', 'の', '非難', 'を', '逆手', 'に', 'とって', '探偵', '奇', '談', '「', '女', '中', '難', '」', 'の', 'ＰＲ', 'を', '試みて', 'いる', 'ような', 'フシ', 'も', 'ある', '。', '「', '女', '中', '難', '」']",['非難'],NO,非難,NO,NO
15,非難,、インドを訪問し、「アフガンでの介入政策は失敗した」と、パキスタンの外交姿勢を非難。アブドラ外相も同日、タジキスタンを訪れ、ロシアのイワノフ国防相と会談し、ロシアからの武器供与も,"['、', 'インド', 'を', '訪問', 'し', '、', '「', 'アフガン', 'で', 'の', '介入', '政策', 'は', '失敗', 'した', '」', 'と', '、', 'パキスタン', 'の', '外交', '姿勢', 'を', '非難', '。', 'アブドラ', '外', '相', 'も', '同日', '、', 'タジキスタン', 'を', '訪れ', '、', 'ロシア', 'の', 'イワノフ', '国防', '相', 'と', '会談', 'し', '、', 'ロシア', 'から', 'の', '武器', '供与', 'も']",['非難'],NO,非難,NO,NO
16,非難,可能ですよ」部屋を埋めた母親たちは、動揺した様子を見せ、数人が非難の溜息を洩らした。游子が慌ててとりなす調子で、「ですから、家庭,"['可能です', 'よ', '」', '部屋', 'を', '埋めた', '母親', 'たち', 'は', '、', '動揺', 'した', '様子', 'を', '見せ', '、', '数', '人', 'が', '非難', 'の', '溜息', 'を', '洩らした', '。', '游子', 'が', '慌てて', 'とりなす', '調子', 'で', '、', '「', 'ですから', '、', '家庭']",['非難'],NO,非難,NO,NO
