,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,不利,違反行為者が、違反行為を除去するための措置を自発的にとった場合や、外部的な条件が不利なため協定が効果的に行われていない場合などには、排除措置を命じる必要は,"['違反', '行為', '者', 'が', '、', '違反', '行為', 'を', '除去', 'する', 'ため', 'の', '措置', 'を', '自発', '的', 'に', 'とっ', 'た', '場合', 'や', '、', '外部', '的', 'な', '条件', 'が', '不利', 'な', 'ため', '協定', 'が', '効果', '的', 'に', '行わ', 'れ', 'て', 'い', 'ない', '場合', 'など', 'に', 'は', '、', '排除', '措置', 'を', '命じる', '必要', 'は']",['不利'],NO,不利,NO,NO
1,不利,過程に応じて、時に担当裁判官の具体的な訴訟指揮が、当事者からみて自己に不利な結論を示唆するような印象を受けたり、公平な裁判を期待しがたいのではないかとの,"['過程', 'に', '応じ', 'て', '、', '時', 'に', '担当', '裁判', '官', 'の', '具体', '的', 'な', '訴訟', '指揮', 'が', '、', '当事', '者', 'から', 'み', 'て', '自己', 'に', '不利', 'な', '結論', 'を', '示唆', 'する', 'よう', 'な', '印象', 'を', '受け', 'たり', '、', '公平', 'な', '裁判', 'を', '期待', 'し', 'がたい', 'の', 'で', 'は', 'ない', 'か', 'と', 'の']",['不利'],NO,不利,NO,NO
2,不利,３位以上は確定。ガクトはデイリー２位→１位→３位→４位なのでモーニング娘。よりは不利な気がする。,"['３', '位', '以上', 'は', '確定', '。', 'ガクト', 'は', 'デイリー', '２', '位', '→', '１', '位', '→', '３', '位', '→', '４', '位', 'な', 'の', 'で', 'モーニング', '娘', '。', 'より', 'は', '不利', 'な', '気', 'が', 'する', '。']",['不利'],NO,不利,NO,NO
3,不利,あなた、本部の人を殴ったりしないでね。暴力沙汰を引き起こしたら、こちらが不利になるだけだから」「わかってるよ。できるだけ冷静に話し合うつもりだ。,"['あなた', '、', '本部', 'の', '人', 'を', '殴っ', 'たり', 'し', 'ない', 'で', 'ね', '。', '暴力', '沙汰', 'を', '引き起こし', 'たら', '、', 'こちら', 'が', '不利', 'に', 'なる', 'だけ', 'だ', 'から', '」', '「', 'わかっ', 'てる', 'よ', '。', 'できる', 'だけ', '冷静', 'に', '話し合う', 'つもり', 'だ', '。']",['不利'],NO,不利,NO,NO
4,不利,に追われることになり、有形無形の負担がのしかかります。また、解散時の状況によっては、不利になったり、あるいは与党内でも派閥・世代・主義主張によって有利不利の差が出るなど、得する者と,"['に', '追わ', 'れる', 'こと', 'に', 'なり', '、', '有形', '無形', 'の', '負担', 'が', 'のしかかり', 'ます', '。', 'また', '、', '解散', '時', 'の', '状況', 'に', 'よっ', 'て', 'は', '、', '不利', 'に', 'なっ', 'たり', '、', 'あるいは', '与党', '内', 'で', 'も', '派閥', '・', '世代', '・', '主義', '主張', 'に', 'よっ', 'て', '有利', '不利', 'の', '差', 'が', '出る', 'など', '、', '得する', '者', 'と']",['不利'],NO,不利,NO,NO
5,不利,に追われることになり、有形無形の負担がのしかかります。また、解散時の状況によっては、不利になったり、あるいは与党内でも派閥・世代・主義主張によって有利不利の差が出るなど、得する者と,"['に', '追わ', 'れる', 'こと', 'に', 'なり', '、', '有形', '無形', 'の', '負担', 'が', 'のしかかり', 'ます', '。', 'また', '、', '解散', '時', 'の', '状況', 'に', 'よっ', 'て', 'は', '、', '不利', 'に', 'なっ', 'たり', '、', 'あるいは', '与党', '内', 'で', 'も', '派閥', '・', '世代', '・', '主義', '主張', 'に', 'よっ', 'て', '有利', '不利', 'の', '差', 'が', '出る', 'など', '、', '得する', '者', 'と']",['不利'],NO,不利,NO,NO
6,不利,が考えられるか。全局面構成から判断していただきましょう。相手のいいなりになってはたちまち不利になります。（中級程度）１図（両スソアキ）白１と受ければ黒２と,"['が', '考え', 'られる', 'か', '。', '全', '局面', '構成', 'から', '判断', 'し', 'て', 'いただき', 'ましょう', '。', '相手', 'の', 'いい', 'なり', 'に', 'なっ', 'て', 'は', 'たちまち', '不利', 'に', 'なり', 'ます', '。', '（', '中級', '程度', '）', '１', '図', '（', '両', 'スソアキ', '）', '白', '１', 'と', '受けれ', 'ば', '黒', '２', 'と']",['不利'],NO,不利,NO,NO
7,不利,から見ても不利なのです。無実なら、なぜ姿をあらわさないのでしょう。彼に不利な証拠はありますが、釈明しだいでは取り消すことも可能です。では、どうして釈明し,"['から', '見', 'て', 'も', '不利', 'な', 'の', 'です', '。', '無実', 'なら', '、', 'なぜ', '姿', 'を', 'あらわさ', 'ない', 'の', 'でしょう', '。', '彼', 'に', '不利', 'な', '証拠', 'は', 'あり', 'ます', 'が', '、', '釈明', 'しだい', 'で', 'は', '取り消す', 'こと', 'も', '可能', 'です', '。', 'で', 'は', '、', 'どう', 'し', 'て', '釈明', 'し']",['不利'],NO,不利,NO,NO
8,不利,から見ても不利なのです。無実なら、なぜ姿をあらわさないのでしょう。彼に不利な証拠はありますが、釈明しだいでは取り消すことも可能です。では、どうして釈明し,"['から', '見', 'て', 'も', '不利', 'な', 'の', 'です', '。', '無実', 'なら', '、', 'なぜ', '姿', 'を', 'あらわさ', 'ない', 'の', 'でしょう', '。', '彼', 'に', '不利', 'な', '証拠', 'は', 'あり', 'ます', 'が', '、', '釈明', 'しだい', 'で', 'は', '取り消す', 'こと', 'も', '可能', 'です', '。', 'で', 'は', '、', 'どう', 'し', 'て', '釈明', 'し']",['不利'],NO,不利,NO,NO
9,不利,は迅速さを要請されない、言ってみれば、できるだけ早い時期に、かつ会社にとって不利でない時期にということでございます。これは、ともかくすぐ処分しなければならないということになります,"['は', '迅速', 'さ', 'を', '要請', 'さ', 'れ', 'ない', '、', '言っ', 'て', 'みれ', 'ば', '、', 'できる', 'だけ', '早い', '時期', 'に', '、', 'かつ', '会社', 'に', 'とっ', 'て', '不利', 'で', 'ない', '時期', 'に', 'と', 'いう', 'こと', 'で', 'ござい', 'ます', '。', 'これ', 'は', '、', 'ともかく', 'すぐ', '処分', 'し', 'なけれ', 'ば', 'なら', 'ない', 'と', 'いう', 'こと', 'に', 'なり', 'ます']",['不利'],NO,不利,NO,NO
