,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,全日本,の松浦宏治さん（当時阪南大学）が仲良くしてくれて、それからです。当時は、関西から全日本に入ってるのは、松浦さんと東美さんくらいしかいなかったんで、そういう人と,"['の', '松浦', '宏治', 'さん', '（', '当時', '阪南', '大学', '）', 'が', '仲良く', 'し', 'て', 'くれ', 'て', '、', 'それ', 'から', 'です', '。', '当時', 'は', '、', '関西', 'から', '全', '日本', 'に', '入っ', 'てる', 'の', 'は', '、', '松浦', 'さん', 'と', '東美', 'さん', 'くらい', 'しか', 'い', 'なかっ', 'た', 'ん', 'で', '、', 'そう', 'いう', '人', 'と']","['全', '日本']",YES,全日本,NO,NO
1,全日本,。エントリーの台数こそ減ったとはいえ、レースのレベルは相当に高い。今、全日本の上位を走る十代のドライバーが出てきたとしても、決勝の三十四台に残ることは,"['。', 'エントリー', 'の', '台数', 'こそ', '減っ', 'た', 'と', 'は', 'いえ', '、', 'レース', 'の', 'レベル', 'は', '相当', 'に', '高い', '。', '今', '、', '全', '日本', 'の', '上位', 'を', '走る', '十', '代', 'の', 'ドライバー', 'が', '出', 'て', 'き', 'た', 'と', 'し', 'て', 'も', '、', '決勝', 'の', '三十', '四', '台', 'に', '残る', 'こと', 'は']","['全', '日本']",YES,全日本,NO,NO
2,全日本,に有力選手が集まらなくなってしまう。権威ある全日本選手権でさえもそうだ。選手にとって、全日本を制することの意味が、十数年前と明らかに変わってきている。以前は、全日本,"['に', '有力', '選手', 'が', '集まら', 'なく', 'なっ', 'て', 'しまう', '。', '権威', 'ある', '全', '日本', '選手', '権', 'で', 'さえ', 'も', 'そう', 'だ', '。', '選手', 'に', 'とっ', 'て', '、', '全', '日本', 'を', '制する', 'こと', 'の', '意味', 'が', '、', '十', '数', '年', '前', 'と', '明らか', 'に', '変わっ', 'て', 'き', 'て', 'いる', '。', '以前', 'は', '、', '全', '日本']","['全', '日本']",YES,全日本,NO,NO
3,全日本,に有力選手が集まらなくなってしまう。権威ある全日本選手権でさえもそうだ。選手にとって、全日本を制することの意味が、十数年前と明らかに変わってきている。以前は、全日本,"['に', '有力', '選手', 'が', '集まら', 'なく', 'なっ', 'て', 'しまう', '。', '権威', 'ある', '全', '日本', '選手', '権', 'で', 'さえ', 'も', 'そう', 'だ', '。', '選手', 'に', 'とっ', 'て', '、', '全', '日本', 'を', '制する', 'こと', 'の', '意味', 'が', '、', '十', '数', '年', '前', 'と', '明らか', 'に', '変わっ', 'て', 'き', 'て', 'いる', '。', '以前', 'は', '、', '全', '日本']","['全', '日本']",YES,全日本,NO,NO
4,全日本,に有力選手が集まらなくなってしまう。権威ある全日本選手権でさえもそうだ。選手にとって、全日本を制することの意味が、十数年前と明らかに変わってきている。以前は、全日本,"['に', '有力', '選手', 'が', '集まら', 'なく', 'なっ', 'て', 'しまう', '。', '権威', 'ある', '全', '日本', '選手', '権', 'で', 'さえ', 'も', 'そう', 'だ', '。', '選手', 'に', 'とっ', 'て', '、', '全', '日本', 'を', '制する', 'こと', 'の', '意味', 'が', '、', '十', '数', '年', '前', 'と', '明らか', 'に', '変わっ', 'て', 'き', 'て', 'いる', '。', '以前', 'は', '、', '全', '日本']","['全', '日本']",YES,全日本,NO,NO
5,全日本,成績：箱根０８年１区７位全日本０８年１区４位０７年１区９位０６年４区十七位,"['成績', '：', '箱根', '０８', '年', '１', '区', '７', '位', '全', '日本', '０８', '年', '１', '区', '４', '位', '０７', '年', '１', '区', '９', '位', '０６', '年', '４', '区', '十', '七', '位']","['全', '日本']",YES,全日本,NO,NO
6,全日本,レーシングタイプでなく、信頼性の高い３ピース方式を使用しているのが目につく。ＧＴ‐４で全日本に参加するのは、現時点で広坂、足立、加藤（隆）の３選手の予定と,"['レーシング', 'タイプ', 'で', 'なく', '、', '信頼', '性', 'の', '高い', '３', 'ピース', '方式', 'を', '使用', 'し', 'て', 'いる', 'の', 'が', '目', 'に', 'つく', '。', 'ＧＴ', '‐', '４', 'で', '全', '日本', 'に', '参加', 'する', 'の', 'は', '、', '現', '時点', 'で', '広', '坂', '、', '足立', '、', '加藤', '（', '隆', '）', 'の', '３', '選手', 'の', '予定', 'と']","['全', '日本']",YES,全日本,NO,NO
7,全日本,の事情でまたまたカムバック。岡山国体の監督などして現役に戻り、山口国体でセントジョージ優勝。全日本も制した。このときなどは、お金がなくなり宿泊費が払えない。賞金が１位,"['の', '事情', 'で', 'またまた', 'カムバック', '。', '岡山', '国体', 'の', '監督', 'など', 'し', 'て', '現役', 'に', '戻り', '、', '山口', '国体', 'で', 'セント', 'ジョージ', '優勝', '。', '全', '日本', 'も', '制し', 'た', '。', 'この', 'とき', 'など', 'は', '、', 'お', '金', 'が', 'なくなり', '宿泊', '費', 'が', '払え', 'ない', '。', '賞金', 'が', '１', '位']","['全', '日本']",YES,全日本,NO,NO
8,全日本,■■■■■氏（レオパレスウィンズ所属全日本）■■■■■■氏（元ＪＴマーヴェラス所属全日本）■小学生の部月日▼十一月十五日（土）時間▼十四時三十分〜十七時三十分■,"['■', '■', '■', '■', '■', '氏', '（', 'レオ', 'パレス', 'ウィンズ', '所属', '全', '日本', '）', '■', '■', '■', '■', '■', '■', '氏', '（', '元', 'ＪＴ', 'マーヴェラス', '所属', '全', '日本', '）', '■', '小学', '生', 'の', '部', '月', '日', '▼', '十', '一', '月', '十', '五', '日', '（', '土', '）', '時間', '▼', '十', '四', '時', '三十', '分', '〜', '十', '七', '時', '三十', '分', '■']","['全', '日本']",YES,全日本,NO,NO
9,全日本,■■■■■氏（レオパレスウィンズ所属全日本）■■■■■■氏（元ＪＴマーヴェラス所属全日本）■小学生の部月日▼十一月十五日（土）時間▼十四時三十分〜十七時三十分■,"['■', '■', '■', '■', '■', '氏', '（', 'レオ', 'パレス', 'ウィンズ', '所属', '全', '日本', '）', '■', '■', '■', '■', '■', '■', '氏', '（', '元', 'ＪＴ', 'マーヴェラス', '所属', '全', '日本', '）', '■', '小学', '生', 'の', '部', '月', '日', '▼', '十', '一', '月', '十', '五', '日', '（', '土', '）', '時間', '▼', '十', '四', '時', '三十', '分', '〜', '十', '七', '時', '三十', '分', '■']","['全', '日本']",YES,全日本,NO,NO
10,全日本,）になって、馳浩が全日本に入団し、藤原がスポット参戦した。でも、これで全日本が変わることはないだろう。むしろ、馳や藤原が全日本色に染まってしまうか、染まったふり,"['）', 'に', 'なっ', 'て', '、', '馳', '浩', 'が', '全', '日本', 'に', '入団', 'し', '、', '藤原', 'が', 'スポット', '参戦', 'し', 'た', '。', 'で', 'も', '、', 'これ', 'で', '全', '日本', 'が', '変わる', 'こと', 'は', 'ない', 'だろう', '。', 'むしろ', '、', '馳', 'や', '藤原', 'が', '全', '日本', '色', 'に', '染まっ', 'て', 'しまう', 'か', '、', '染まっ', 'た', 'ふり']","['全', '日本']",YES,全日本,NO,NO
11,全日本,）になって、馳浩が全日本に入団し、藤原がスポット参戦した。でも、これで全日本が変わることはないだろう。むしろ、馳や藤原が全日本色に染まってしまうか、染まったふり,"['）', 'に', 'なっ', 'て', '、', '馳', '浩', 'が', '全', '日本', 'に', '入団', 'し', '、', '藤原', 'が', 'スポット', '参戦', 'し', 'た', '。', 'で', 'も', '、', 'これ', 'で', '全', '日本', 'が', '変わる', 'こと', 'は', 'ない', 'だろう', '。', 'むしろ', '、', '馳', 'や', '藤原', 'が', '全', '日本', '色', 'に', '染まっ', 'て', 'しまう', 'か', '、', '染まっ', 'た', 'ふり']","['全', '日本']",YES,全日本,NO,NO
12,全日本,）になって、馳浩が全日本に入団し、藤原がスポット参戦した。でも、これで全日本が変わることはないだろう。むしろ、馳や藤原が全日本色に染まってしまうか、染まったふり,"['）', 'に', 'なっ', 'て', '、', '馳', '浩', 'が', '全', '日本', 'に', '入団', 'し', '、', '藤原', 'が', 'スポット', '参戦', 'し', 'た', '。', 'で', 'も', '、', 'これ', 'で', '全', '日本', 'が', '変わる', 'こと', 'は', 'ない', 'だろう', '。', 'むしろ', '、', '馳', 'や', '藤原', 'が', '全', '日本', '色', 'に', '染まっ', 'て', 'しまう', 'か', '、', '染まっ', 'た', 'ふり']","['全', '日本']",YES,全日本,NO,NO
13,全日本,近い強さを誇ったゲーリー・オブライトが、それほどの実績を示せないのも不思議ではない。全日本には全日本のプロレスがあり、オブライトはそれを受け入れてリングに上がっているんだから,"['近い', '強', 'さ', 'を', '誇っ', 'た', 'ゲーリー', '・', 'オブ', 'ライト', 'が', '、', 'それ', 'ほど', 'の', '実績', 'を', '示せ', 'ない', 'の', 'も', '不思議', 'で', 'は', 'ない', '。', '全', '日本', 'に', 'は', '全', '日本', 'の', 'プロレス', 'が', 'あり', '、', 'オブ', 'ライト', 'は', 'それ', 'を', '受け入れ', 'て', 'リング', 'に', '上がっ', 'て', 'いる', 'ん', 'だ', 'から']","['全', '日本']",YES,全日本,NO,NO
14,全日本,近い強さを誇ったゲーリー・オブライトが、それほどの実績を示せないのも不思議ではない。全日本には全日本のプロレスがあり、オブライトはそれを受け入れてリングに上がっているんだから,"['近い', '強', 'さ', 'を', '誇っ', 'た', 'ゲーリー', '・', 'オブ', 'ライト', 'が', '、', 'それ', 'ほど', 'の', '実績', 'を', '示せ', 'ない', 'の', 'も', '不思議', 'で', 'は', 'ない', '。', '全', '日本', 'に', 'は', '全', '日本', 'の', 'プロレス', 'が', 'あり', '、', 'オブ', 'ライト', 'は', 'それ', 'を', '受け入れ', 'て', 'リング', 'に', '上がっ', 'て', 'いる', 'ん', 'だ', 'から']","['全', '日本']",YES,全日本,NO,NO
15,全日本,た。（八回に）古田が打って、いけるという雰囲気になった。きょうは全日本の持ち味が全部出た。最後も勝って（通算成績を）タイにしたい」,"['た', '。', '（', '八', '回', 'に', '）', '古田', 'が', '打っ', 'て', '、', 'いける', 'と', 'いう', '雰囲気', 'に', 'なっ', 'た', '。', 'きょう', 'は', '全', '日本', 'の', '持ち味', 'が', '全部', '出', 'た', '。', '最後', 'も', '勝っ', 'て', '（', '通算', '成績', 'を', '）', 'タイ', 'に', 'し', 'たい', '」']","['全', '日本']",YES,全日本,NO,NO
16,全日本,たところで全日本はまったく変わらない平成九年（千九百九十七）になって、馳浩が全日本に入団し、藤原がスポット参戦した。でも、これで全日本が変わることはないだろう。むしろ、,"['た', 'ところ', 'で', '全', '日本', 'は', 'まったく', '変わら', 'ない', '平成', '九', '年', '（', '千', '九百', '九十', '七', '）', 'に', 'なっ', 'て', '、', '馳', '浩', 'が', '全', '日本', 'に', '入団', 'し', '、', '藤原', 'が', 'スポット', '参戦', 'し', 'た', '。', 'で', 'も', '、', 'これ', 'で', '全', '日本', 'が', '変わる', 'こと', 'は', 'ない', 'だろう', '。', 'むしろ', '、']","['全', '日本']",YES,全日本,NO,NO
17,全日本,たところで全日本はまったく変わらない平成九年（千九百九十七）になって、馳浩が全日本に入団し、藤原がスポット参戦した。でも、これで全日本が変わることはないだろう。むしろ、,"['た', 'ところ', 'で', '全', '日本', 'は', 'まったく', '変わら', 'ない', '平成', '九', '年', '（', '千', '九百', '九十', '七', '）', 'に', 'なっ', 'て', '、', '馳', '浩', 'が', '全', '日本', 'に', '入団', 'し', '、', '藤原', 'が', 'スポット', '参戦', 'し', 'た', '。', 'で', 'も', '、', 'これ', 'で', '全', '日本', 'が', '変わる', 'こと', 'は', 'ない', 'だろう', '。', 'むしろ', '、']","['全', '日本']",YES,全日本,NO,NO
18,全日本,たところで全日本はまったく変わらない平成九年（千九百九十七）になって、馳浩が全日本に入団し、藤原がスポット参戦した。でも、これで全日本が変わることはないだろう。むしろ、,"['た', 'ところ', 'で', '全', '日本', 'は', 'まったく', '変わら', 'ない', '平成', '九', '年', '（', '千', '九百', '九十', '七', '）', 'に', 'なっ', 'て', '、', '馳', '浩', 'が', '全', '日本', 'に', '入団', 'し', '、', '藤原', 'が', 'スポット', '参戦', 'し', 'た', '。', 'で', 'も', '、', 'これ', 'で', '全', '日本', 'が', '変わる', 'こと', 'は', 'ない', 'だろう', '。', 'むしろ', '、']","['全', '日本']",YES,全日本,NO,NO
19,全日本,てる人は高田さんと俺がつながってないように見てるかもしれない。「全日本とかノアとか、そっちから来た」みたいに思ってる人も多いと思い,"['てる', '人', 'は', '高田', 'さん', 'と', '俺', 'が', 'つながっ', 'て', 'ない', 'よう', 'に', '見', 'てる', 'か', 'も', 'しれ', 'ない', '。', '「', '全', '日本', 'と', 'か', 'ノア', 'と', 'か', '、', 'そっち', 'から', '来', 'た', '」', 'みたい', 'に', '思っ', 'てる', '人', 'も', '多い', 'と', '思い']","['全', '日本']",YES,全日本,NO,NO
