,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,全開,てストレスになる。さかんにリードを引っ張って飼い主を先導する犬も、やはり権勢本能を全開にしていますから、ストレスのある状態です。この状態の犬では、,"['て', 'ストレス', 'に', 'なる', '。', 'さかん', 'に', 'リード', 'を', '引っ張っ', 'て', '飼い主', 'を', '先導', 'する', '犬', 'も', '、', 'やはり', '権勢', '本能', 'を', '全開', 'に', 'し', 'て', 'い', 'ます', 'から', '、', 'ストレス', 'の', 'ある', '状態', 'です', '。', 'この', '状態', 'の', '犬', 'で', 'は', '、']",['全開'],NO,全開,NO,NO
1,全開,左右どちらかを向いている。子宮口が全開に陣痛は１〜２分間隔に。子宮口は８〜十ｃｍ（全開の状態）。骨盤の形にあわせて、赤ちゃんは旋回しながら降りてくる。子宮口,"['左右', 'どちら', 'か', 'を', '向い', 'て', 'いる', '。', '子宮', '口', 'が', '全開', 'に', '陣痛', 'は', '１', '〜', '２', '分', '間隔', 'に', '。', '子宮', '口', 'は', '８', '〜', '十', 'ｃｍ', '（', '全開', 'の', '状態', '）', '。', '骨盤', 'の', '形', 'に', 'あわせ', 'て', '、', '赤ちゃん', 'は', '旋回', 'し', 'ながら', '降り', 'て', 'くる', '。', '子宮', '口']",['全開'],NO,全開,NO,NO
2,全開,左右どちらかを向いている。子宮口が全開に陣痛は１〜２分間隔に。子宮口は８〜十ｃｍ（全開の状態）。骨盤の形にあわせて、赤ちゃんは旋回しながら降りてくる。子宮口,"['左右', 'どちら', 'か', 'を', '向い', 'て', 'いる', '。', '子宮', '口', 'が', '全開', 'に', '陣痛', 'は', '１', '〜', '２', '分', '間隔', 'に', '。', '子宮', '口', 'は', '８', '〜', '十', 'ｃｍ', '（', '全開', 'の', '状態', '）', '。', '骨盤', 'の', '形', 'に', 'あわせ', 'て', '、', '赤ちゃん', 'は', '旋回', 'し', 'ながら', '降り', 'て', 'くる', '。', '子宮', '口']",['全開'],NO,全開,NO,NO
3,全開,１型ポゴ機に搭乗したコールマン大佐は、操縦桿を巧みに操作してエンジンの出力を制御するスロットルを全開にした。爆音を轟かせて浮かび上がったＸＦＹ‐１型ポゴ機は、飛行船用の高さ五十六メートル,"['１', '型', 'ポゴ', '機', 'に', '搭乗', 'し', 'た', 'コールマン', '大佐', 'は', '、', '操縦', '桿', 'を', '巧み', 'に', '操作', 'し', 'て', 'エンジン', 'の', '出力', 'を', '制御', 'する', 'スロットル', 'を', '全開', 'に', 'し', 'た', '。', '爆音', 'を', '轟か', 'せ', 'て', '浮かび上がっ', 'た', 'ＸＦＹ', '‐', '１', '型', 'ポゴ', '機', 'は', '、', '飛行', '船用', 'の', '高', 'さ', '五十', '六', 'メートル']",['全開'],NO,全開,NO,NO
4,全開,ソフトで。せやから、わたしの粘膜も、じきに安心して、性感、全開に、させてまうんです。刺激をそのまんま、受け入れて、貪欲に感じ入っ,"['ソフト', 'で', '。', 'せ', 'や', 'から', '、', 'わたし', 'の', '粘膜', 'も', '、', 'じき', 'に', '安心', 'し', 'て', '、', '性感', '、', '全開', 'に', '、', 'さ', 'せ', 'て', 'まう', 'ん', 'です', '。', '刺激', 'を', 'その', 'まんま', '、', '受け入れ', 'て', '、', '貪欲', 'に', '感じ入っ']",['全開'],NO,全開,NO,NO
5,全開,たホーチミンの街を走り抜けていた。古いローカルバスとすれ違う。クーラーがなく、窓を全開にしているが、停止したバスの中は、風が入らないのでサウナ状態のよう,"['た', 'ホーチミン', 'の', '街', 'を', '走り抜け', 'て', 'い', 'た', '。', '古い', 'ローカル', 'バス', 'と', 'すれ違う', '。', 'クーラー', 'が', 'なく', '、', '窓', 'を', '全開', 'に', 'し', 'て', 'いる', 'が', '、', '停止', 'し', 'た', 'バス', 'の', '中', 'は', '、', '風', 'が', '入ら', 'ない', 'の', 'で', 'サウナ', '状態', 'の', 'よう']",['全開'],NO,全開,NO,NO
6,全開,の番なので時間がかかるのだ。ようやく私の番がきた。のどを全開にしてグビッとひと飲みすると、これが何と甘茶のようなウスラ甘い水。ビールを,"['の', '番', 'な', 'の', 'で', '時間', 'が', 'かかる', 'の', 'だ', '。', 'ようやく', '私', 'の', '番', 'が', 'き', 'た', '。', 'のど', 'を', '全開', 'に', 'し', 'て', 'グ', 'ビッ', 'と', 'ひと', '飲み', 'する', 'と', '、', 'これ', 'が', '何', 'と', '甘茶', 'の', 'よう', 'な', 'ウスラ甘い', '水', '。', 'ビール', 'を']",['全開'],NO,全開,NO,NO
7,全開,し、ブッシュ類からボディ補強パーツまでサスペンションまわりがビシッと決まっていた。ハーフウエット路面での試乗だったから全開バリバリって感じにはいかなかったけど、オレなりの評価はこうだ。足は車高調タイプ,"['し', '、', 'ブッシュ', '類', 'から', 'ボディ', '補強', 'パーツ', 'まで', 'サスペンション', 'まわり', 'が', 'ビシッ', 'と', '決まっ', 'て', 'い', 'た', '。', 'ハーフ', 'ウエット', '路面', 'で', 'の', '試乗', 'だっ', 'た', 'から', '全開', 'バリバリ', 'って', '感じ', 'に', 'は', 'いか', 'なかっ', 'た', 'けど', '、', 'オレ', 'なり', 'の', '評価', 'は', 'こう', 'だ', '。', '足', 'は', '車高', '調', 'タイプ']",['全開'],NO,全開,NO,NO
8,全開,連続だった。イベント終了後にもインタビューに応じた田原は、さらに“トシちゃん節”全開。リポーターに向かって「みんなと違ってメタボじゃないからね〜」と機敏な動きで,"['連続', 'だっ', 'た', '。', 'イベント', '終了', '後', 'に', 'も', 'インタビュー', 'に', '応じ', 'た', '田原', 'は', '、', 'さらに', '“', 'トシ', 'ちゃん', '節', '”', '全開', '。', 'リポーター', 'に', '向かっ', 'て', '「', 'みんな', 'と', '違っ', 'て', 'メタボ', 'じゃ', 'ない', 'から', 'ね〜', '」', 'と', '機敏', 'な', '動き', 'で']",['全開'],NO,全開,NO,NO
9,全開,ちょっこっとな「仕事」でもないようなどーーーでもええ事で全開にはりあってこようとするのやめて頭がおかしくなるうううううううううううううううう全員,"['ちょっ', 'こっ', 'と', 'な', '「', '仕事', '」', 'で', 'も', 'ない', 'よう', 'な', 'どー', 'ー', 'ー', 'で', 'も', 'ええ', '事', 'で', '全開', 'に', 'はりあっ', 'て', 'こよう', 'と', 'する', 'の', 'やめ', 'て', '頭', 'が', 'おかしく', 'なる', 'ううううう', 'ううううう', 'ううううう', 'う', '全員']",['全開'],NO,全開,NO,NO
10,全開,は、スカットルから採り入れた外気を足元に流す補助ベンチレーション用である。これには半開、全開とふたつの作動位置がある。ダッシュボードの下、左側はＴ字型のボンネットリリースレバーが備わる。ドライバー,"['は', '、', 'スカットル', 'から', '採り入れ', 'た', '外気', 'を', '足元', 'に', '流す', '補助', 'ベンチレーション', '用', 'で', 'ある', '。', 'これ', 'に', 'は', '半開', '、', '全開', 'と', 'ふた', 'つ', 'の', '作動', '位置', 'が', 'ある', '。', 'ダッシュボード', 'の', '下', '、', '左側', 'は', 'Ｔ', '字', '型', 'の', 'ボンネット', 'リリース', 'レバー', 'が', '備わる', '。', 'ドライバー']",['全開'],NO,全開,NO,NO
11,全開,を机の上に放ると、空気を入れ替えるために三つある窓の内の一つを全開にした。充満していた合体臭が開けた窓に吸いこまれていって、すぐに,"['を', '机', 'の', '上', 'に', '放る', 'と', '、', '空気', 'を', '入れ替える', 'ため', 'に', '三', 'つ', 'ある', '窓', 'の', '内', 'の', '一', 'つ', 'を', '全開', 'に', 'し', 'た', '。', '充満', 'し', 'て', 'い', 'た', '合体', '臭', 'が', '開け', 'た', '窓', 'に', '吸いこま', 'れ', 'て', 'いっ', 'て', '、', 'すぐ', 'に']",['全開'],NO,全開,NO,NO
12,全開,！！！案の定息子の部屋の、ＰＣテーブルの脇に、ウ○ニョが窓を全開にして、拭き取って、雑巾掛け、消臭剤を撒いて・・・・ノンちゃんは、,"['！', '！', '！', '案の定', '息子', 'の', '部屋', 'の', '、', 'ＰＣ', 'テーブル', 'の', '脇', 'に', '、', 'ウ', '○', 'ニョ', 'が', '窓', 'を', '全開', 'に', 'し', 'て', '、', '拭き取っ', 'て', '、', '雑巾', '掛け', '、', '消臭', '剤', 'を', '撒い', 'て', '・', '・', '・', '・', 'ノン', 'ちゃん', 'は', '、']",['全開'],NO,全開,NO,NO
13,全開,砂糖黍畑。タイアもドアもなくなり、錆の浮いたトラックが一台、ボンネットをぱっくりと全開にして、エンジンの持ち去られたがらんどうの口中をさらしている。そうした荒れ果て,"['砂糖', '黍', '畑', '。', 'タイア', 'も', 'ドア', 'も', 'なくなり', '、', '錆', 'の', '浮い', 'た', 'トラック', 'が', '一', '台', '、', 'ボンネット', 'を', 'ぱっくり', 'と', '全開', 'に', 'し', 'て', '、', 'エンジン', 'の', '持ち去ら', 'れ', 'た', 'がらんどう', 'の', '口', '中', 'を', 'さらし', 'て', 'いる', '。', 'そう', 'し', 'た', '荒れ', '果て']",['全開'],NO,全開,NO,NO
14,全開,側に仕えているはずの女房も、女童もいない。中宮が、御簾を全開にして外から丸見えの状態で座っているなど、大問題になりかねなかったが、,"['側', 'に', '仕え', 'て', 'いる', 'はず', 'の', '女房', 'も', '、', '女童', 'も', 'い', 'ない', '。', '中宮', 'が', '、', '御簾', 'を', '全開', 'に', 'し', 'て', '外', 'から', '丸見え', 'の', '状態', 'で', '座っ', 'て', 'いる', 'など', '、', '大', '問題', 'に', 'なり', 'かね', 'なかっ', 'た', 'が', '、']",['全開'],NO,全開,NO,NO
