,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各国,な気運は，国際的な潮流となっており，渡り鳥や絶滅のおそれのある生物を各国が協力して保護していくことを目的とした各種の国際協力が要請されている。,"['な', '気運', 'は', '，', '国際', '的', 'な', '潮流', 'と', 'なっ', 'て', 'おり', '，', '渡り鳥', 'や', '絶滅', 'の', 'おそれ', 'の', 'ある', '生物', 'を', '各国', 'が', '協力', 'し', 'て', '保護', 'し', 'て', 'いく', 'こと', 'を', '目的', 'と', 'し', 'た', '各種', 'の', '国際', '協力', 'が', '要請', 'さ', 'れ', 'て', 'いる', '。']",['各国'],NO,各国,NO,NO
1,各国,とおり中間合意というのがございまして、それに基づきまして各国が千九百八十九年の秋に各国の農業交渉に関する考え方を提出しろということでございまして、八十九年の秋の終わり、冬,"['とおり', '中間', '合意', 'と', 'いう', 'の', 'が', 'ござい', 'まし', 'て', '、', 'それ', 'に', '基づき', 'まし', 'て', '各国', 'が', '千', '九百', '八十', '九', '年', 'の', '秋', 'に', '各国', 'の', '農業', '交渉', 'に', '関する', '考え', '方', 'を', '提出', 'しろ', 'と', 'いう', 'こと', 'で', 'ござい', 'まし', 'て', '、', '八十', '九', '年', 'の', '秋', 'の', '終わり', '、', '冬']",['各国'],NO,各国,NO,NO
2,各国,とおり中間合意というのがございまして、それに基づきまして各国が千九百八十九年の秋に各国の農業交渉に関する考え方を提出しろということでございまして、八十九年の秋の終わり、冬,"['とおり', '中間', '合意', 'と', 'いう', 'の', 'が', 'ござい', 'まし', 'て', '、', 'それ', 'に', '基づき', 'まし', 'て', '各国', 'が', '千', '九百', '八十', '九', '年', 'の', '秋', 'に', '各国', 'の', '農業', '交渉', 'に', '関する', '考え', '方', 'を', '提出', 'しろ', 'と', 'いう', 'こと', 'で', 'ござい', 'まし', 'て', '、', '八十', '九', '年', 'の', '秋', 'の', '終わり', '、', '冬']",['各国'],NO,各国,NO,NO
3,各国,は原則として自らの主権と独立と繁栄を自らの手で確保しなければならない。したがって、各国は常に、軍事力を中心とする自国のパワー（国力）を高めようと努力することになる,"['は', '原則', 'と', 'し', 'て', '自ら', 'の', '主権', 'と', '独立', 'と', '繁栄', 'を', '自ら', 'の', '手', 'で', '確保', 'し', 'なけれ', 'ば', 'なら', 'ない', '。', 'したがっ', 'て', '、', '各国', 'は', '常', 'に', '、', '軍事', '力', 'を', '中心', 'と', 'する', '自国', 'の', 'パワー', '（', '国力', '）', 'を', '高めよう', 'と', '努力', 'する', 'こと', 'に', 'なる']",['各国'],NO,各国,NO,NO
4,各国,六月まで、延々九ヶ月にわたって行われたが、まともな会議はあまり開かれず、各国の代表とその随員たちは、オーストリア首相メッテルニヒの巧妙な策略によって、毎晩のように開かれる,"['六', '月', 'まで', '、', '延々', '九', 'ヶ月', 'に', 'わたっ', 'て', '行わ', 'れ', 'た', 'が', '、', 'まとも', 'な', '会議', 'は', 'あまり', '開か', 'れ', 'ず', '、', '各国', 'の', '代表', 'と', 'その', '随員', 'たち', 'は', '、', 'オーストリア', '首相', 'メッテルニヒ', 'の', '巧妙', 'な', '策略', 'に', 'よっ', 'て', '、', '毎晩', 'の', 'よう', 'に', '開か', 'れる']",['各国'],NO,各国,NO,NO
5,各国,われわれは、これらの集団が、各国の地方社会において基礎的な政治単位であって、各国の政治構造に影響を与えてきたという事実を無視してはならないと私は信じている。,"['われわれ', 'は', '、', 'これ', 'ら', 'の', '集団', 'が', '、', '各国', 'の', '地方', '社会', 'に', 'おい', 'て', '基礎', '的', 'な', '政治', '単位', 'で', 'あっ', 'て', '、', '各国', 'の', '政治', '構造', 'に', '影響', 'を', '与え', 'て', 'き', 'た', 'と', 'いう', '事実', 'を', '無視', 'し', 'て', 'は', 'なら', 'ない', 'と', '私', 'は', '信じ', 'て', 'いる', '。']",['各国'],NO,各国,NO,NO
6,各国,われわれは、これらの集団が、各国の地方社会において基礎的な政治単位であって、各国の政治構造に影響を与えてきたという事実を無視してはならないと私は信じている。,"['われわれ', 'は', '、', 'これ', 'ら', 'の', '集団', 'が', '、', '各国', 'の', '地方', '社会', 'に', 'おい', 'て', '基礎', '的', 'な', '政治', '単位', 'で', 'あっ', 'て', '、', '各国', 'の', '政治', '構造', 'に', '影響', 'を', '与え', 'て', 'き', 'た', 'と', 'いう', '事実', 'を', '無視', 'し', 'て', 'は', 'なら', 'ない', 'と', '私', 'は', '信じ', 'て', 'いる', '。']",['各国'],NO,各国,NO,NO
7,各国,であり、単純に比較することはできない。欧州主要国のみとの比較ではあるが、各国の研究関係従事者数を見ると、我が国は九十六．八万人と最も多く、続いてドイツ、フランス、,"['で', 'あり', '、', '単純', 'に', '比較', 'する', 'こと', 'は', 'でき', 'ない', '。', '欧州', '主要', '国', 'のみ', 'と', 'の', '比較', 'で', 'は', 'ある', 'が', '、', '各国', 'の', '研究', '関係', '従事', '者', '数', 'を', '見る', 'と', '、', '我が', '国', 'は', '九十', '六', '．', '八', '万', '人', 'と', '最も', '多く', '、', '続い', 'て', 'ドイツ', '、', 'フランス', '、']",['各国'],NO,各国,NO,NO
8,各国,について意見交換を行った。２安全研究協力原子力の安全研究は，世界的な関心事であり，各国において積極的に推進されているが，同時に一国だけでは対応が困難なもの又は,"['に', 'つい', 'て', '意見', '交換', 'を', '行っ', 'た', '。', '２', '安全', '研究', '協力', '原子', '力', 'の', '安全', '研究', 'は', '，', '世界', '的', 'な', '関心', '事', 'で', 'あり', '，', '各国', 'に', 'おい', 'て', '積極', '的', 'に', '推進', 'さ', 'れ', 'て', 'いる', 'が', '，', '同時', 'に', '一', '国', 'だけ', 'で', 'は', '対応', 'が', '困難', 'な', 'もの', '又', 'は']",['各国'],NO,各国,NO,NO
9,各国,れた。その結果，各国の実状に応じた一層の防災協力の推進，災害時の各国の対応と国際緊急援助の一層の連携を図ること，さらにこれらの活動を支援するため，,"['れ', 'た', '。', 'その', '結果', '，', '各国', 'の', '実状', 'に', '応じ', 'た', '一層', 'の', '防災', '協力', 'の', '推進', '，', '災害', '時', 'の', '各国', 'の', '対応', 'と', '国際', '緊急', '援助', 'の', '一層', 'の', '連携', 'を', '図る', 'こと', '，', 'さらに', 'これ', 'ら', 'の', '活動', 'を', '支援', 'する', 'ため', '，']",['各国'],NO,各国,NO,NO
10,各国,れた。その結果，各国の実状に応じた一層の防災協力の推進，災害時の各国の対応と国際緊急援助の一層の連携を図ること，さらにこれらの活動を支援するため，,"['れ', 'た', '。', 'その', '結果', '，', '各国', 'の', '実状', 'に', '応じ', 'た', '一層', 'の', '防災', '協力', 'の', '推進', '，', '災害', '時', 'の', '各国', 'の', '対応', 'と', '国際', '緊急', '援助', 'の', '一層', 'の', '連携', 'を', '図る', 'こと', '，', 'さらに', 'これ', 'ら', 'の', '活動', 'を', '支援', 'する', 'ため', '，']",['各国'],NO,各国,NO,NO
11,各国,監視（サーベイランス）を通じて各国経済政策の国際協調を進める一方，世界経済見通しを作成し，これをもとに各国の経済政策運営のあり方について検討する。（３）国際収支赤字を出している加盟国に対し赤字の是正,"['監視', '（', 'サーベイランス', '）', 'を', '通じ', 'て', '各国', '経済', '政策', 'の', '国際', '協調', 'を', '進める', '一方', '，', '世界', '経済', '見通し', 'を', '作成', 'し', '，', 'これ', 'を', 'もと', 'に', '各国', 'の', '経済', '政策', '運営', 'の', 'あり', '方', 'に', 'つい', 'て', '検討', 'する', '。', '（', '３', '）', '国際', '収支', '赤字', 'を', '出し', 'て', 'いる', '加盟', '国', 'に', '対し', '赤字', 'の', '是正']",['各国'],NO,各国,NO,NO
