,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各県,自衛隊が入隊者を募集するときは各県に今年は〜人集めろと言われるのですか、それとも全国で〜人集めろといわ,"['自衛', '隊', 'が', '入隊', '者', 'を', '募集', 'する', 'とき', 'は', '各県', 'に', '今年', 'は', '〜', '人', '集めろ', 'と', '言わ', 'れる', 'の', 'です', 'か', '、', 'それ', 'と', 'も', '全国', 'で〜', '人', '集めろ', 'と', 'いわ']",['各県'],NO,各県,NO,NO
1,各県,私が山形大学医学部に入学したのは昭和四十八年の「秋」です。当時、各県一医大を作るという政策で、旭川医科大学、愛媛大学医学部および山形大学医学部が新設になり、秋,"['私', 'が', '山形', '大学', '医学', '部', 'に', '入学', 'し', 'た', 'の', 'は', '昭和', '四十', '八', '年', 'の', '「', '秋', '」', 'です', '。', '当時', '、', '各県', '一', '医大', 'を', '作る', 'と', 'いう', '政策', 'で', '、', '旭川', '医科', '大学', '、', '愛媛', '大学', '医学', '部', 'および', '山形', '大学', '医学', '部', 'が', '新設', 'に', 'なり', '、', '秋']",['各県'],NO,各県,NO,NO
2,各県,思っております。○山下栄一君文部省が中央で研修を行われて、それを受けて各県でやるという方式も一つの方法かと思いますが、やはり全教員がぶつかる問題です,"['思っ', 'て', 'おり', 'ます', '。', '○', '山下', '栄一', '君', '文部', '省', 'が', '中央', 'で', '研修', 'を', '行わ', 'れ', 'て', '、', 'それ', 'を', '受け', 'て', '各県', 'で', 'やる', 'と', 'いう', '方式', 'も', '一', 'つ', 'の', '方法', 'か', 'と', '思い', 'ます', 'が', '、', 'やはり', '全', '教員', 'が', 'ぶつかる', '問題', 'です']",['各県'],NO,各県,NO,NO
3,各県,じゃないと決済がおりないみたいなこと言われて諦めてたんですが、２ヶ月前に各県によって取り決めが曖昧な事がわかっていろいろ文句言ったら話しが進みましたよ。,"['じゃ', 'ない', 'と', '決済', 'が', 'おり', 'ない', 'みたい', 'な', 'こと', '言わ', 'れ', 'て', '諦め', 'て', 'た', 'ん', 'です', 'が', '、', '２', 'ヶ月', '前', 'に', '各県', 'に', 'よっ', 'て', '取り決め', 'が', '曖昧', 'な', '事', 'が', 'わかっ', 'て', 'いろいろ', '文句', '言っ', 'たら', '話し', 'が', '進み', 'まし', 'た', 'よ', '。']",['各県'],NO,各県,NO,NO
4,各県,ホームページに各県の窓口の紹介のページがあります。更にそこの県名をクリックすると各県のページに飛んで、窓口の開いている時間などが載ってます。東京や大阪,"['ホーム', 'ページ', 'に', '各県', 'の', '窓口', 'の', '紹介', 'の', 'ページ', 'が', 'あり', 'ます', '。', '更に', 'そこ', 'の', '県名', 'を', 'クリック', 'する', 'と', '各県', 'の', 'ページ', 'に', '飛ん', 'で', '、', '窓口', 'の', '開い', 'て', 'いる', '時間', 'など', 'が', '載っ', 'て', 'ます', '。', '東京', 'や', '大阪']",['各県'],NO,各県,NO,NO
5,各県,ホームページに各県の窓口の紹介のページがあります。更にそこの県名をクリックすると各県のページに飛んで、窓口の開いている時間などが載ってます。東京や大阪,"['ホーム', 'ページ', 'に', '各県', 'の', '窓口', 'の', '紹介', 'の', 'ページ', 'が', 'あり', 'ます', '。', '更に', 'そこ', 'の', '県名', 'を', 'クリック', 'する', 'と', '各県', 'の', 'ページ', 'に', '飛ん', 'で', '、', '窓口', 'の', '開い', 'て', 'いる', '時間', 'など', 'が', '載っ', 'て', 'ます', '。', '東京', 'や', '大阪']",['各県'],NO,各県,NO,NO
6,各県,ている中央郵便局は，二十四時間営業です。また，福島県会津若松郵便局，千葉県柏郵便局，静岡県浜松郵便局のような各県の拠点都市の郵便局も二十四時間営業です。なお，郵便局には本局，支局という区別はあり,"['て', 'いる', '中央', '郵便', '局', 'は', '，', '二十', '四', '時間', '営業', 'です', '。', 'また', '，', '福島', '県', '会津若松', '郵便', '局', '，', '千葉', '県', '柏', '郵便', '局', '，', '静岡', '県', '浜松', '郵便', '局', 'の', 'よう', 'な', '各県', 'の', '拠点', '都市', 'の', '郵便', '局', 'も', '二十', '四', '時間', '営業', 'です', '。', 'なお', '，', '郵便', '局', 'に', 'は', '本局', '，', '支局', 'と', 'いう', '区別', 'は', 'あり']",['各県'],NO,各県,NO,NO
7,各県,そこを受験したからだ。その息子もかなりの秀才だった。しかし、各県から合格者は一人だけ、という厳しさで、彼はあえなく落ちてしまった。父親は,"['そこ', 'を', '受験', 'し', 'た', 'から', 'だ', '。', 'その', '息子', 'も', 'かなり', 'の', '秀才', 'だっ', 'た', '。', 'しかし', '、', '各県', 'から', '合格', '者', 'は', '一人', 'だけ', '、', 'と', 'いう', '厳し', 'さ', 'で', '、', '彼', 'は', 'あえなく', '落ち', 'て', 'しまっ', 'た', '。', '父親', 'は']",['各県'],NO,各県,NO,NO
8,各県,豪雨が降った。特に抜き打ち的な西日本各地の豪雨により広島，兵庫，長崎，佐賀の各県では山崩れ，がけ崩れ，中小河川の氾濫等で大きな被害が発生した。この７月豪雨による被害,"['豪雨', 'が', '降っ', 'た', '。', '特に', '抜き打ち', '的', 'な', '西', '日本', '各地', 'の', '豪雨', 'に', 'より', '広島', '，', '兵庫', '，', '長崎', '，', '佐賀', 'の', '各県', 'で', 'は', '山崩れ', '，', 'がけ崩れ', '，', '中', '小', '河川', 'の', '氾濫', '等', 'で', '大きな', '被害', 'が', '発生', 'し', 'た', '。', 'この', '７', '月', '豪雨', 'に', 'よる', '被害']",['各県'],NO,各県,NO,NO
9,各県,の公布によって、地租改正事業は本格的実施の段階に入る。しかし、その実際の着手は、各県によって違うが、早いものは、千八百七十二年壬申地券の交付のときから始まっている。したがって、壬申地券,"['の', '公布', 'に', 'よっ', 'て', '、', '地租', '改正', '事業', 'は', '本格', '的', '実施', 'の', '段階', 'に', '入る', '。', 'しかし', '、', 'その', '実際', 'の', '着手', 'は', '、', '各県', 'に', 'よっ', 'て', '違う', 'が', '、', '早い', 'もの', 'は', '、', '千', '八百', '七十', '二', '年', '壬申', '地券', 'の', '交付', 'の', 'とき', 'から', '始まっ', 'て', 'いる', '。', 'したがっ', 'て', '、', '壬申', '地券']",['各県'],NO,各県,NO,NO
