,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各部,からアイロンをかけます。地直しをしたあと，型紙を布の方向に合わせ，各部に必要な縫いしろの分量を考えて配置し，裁ち切り線にしるしをつけてから裁断します,"['から', 'アイロン', 'を', 'かけ', 'ます', '。', '地直し', 'を', 'し', 'た', 'あと', '，', '型紙', 'を', '布', 'の', '方向', 'に', '合わせ', '，', '各部', 'に', '必要', 'な', '縫いしろ', 'の', '分量', 'を', '考え', 'て', '配置', 'し', '，', '裁ち切り', '線', 'に', 'しるし', 'を', 'つけ', 'て', 'から', '裁断', 'し', 'ます']",['各部'],NO,各部,NO,NO
1,各部,では、三項目であったが、これらは、いずれも、日本語と韓国語に共通して各部のなかでももっとも多くの慣用句を生み出すものばかりである。そうして、例えば、「,"['で', 'は', '、', '三', '項目', 'で', 'あっ', 'た', 'が', '、', 'これ', 'ら', 'は', '、', 'いずれ', 'も', '、', '日本', '語', 'と', '韓国', '語', 'に', '共通', 'し', 'て', '各部', 'の', 'なか', 'で', 'も', 'もっとも', '多く', 'の', '慣用', '句', 'を', '生み出す', 'もの', 'ばかり', 'で', 'ある', '。', 'そう', 'し', 'て', '、', '例えば', '、', '「']",['各部'],NO,各部,NO,NO
2,各部,〔貞一〕大佐、馬奈木〔敬信〕中佐等とともにすみやかに処理すべき必要を進言す。すなわち陸軍の各部が各別に行動し軍の意思が一途にいでざるよう考えらる。よろしく各責任者は官邸,"['〔', '貞一', '〕', '大佐', '、', '馬奈木', '〔', '敬信', '〕', '中佐', '等', 'と', 'とも', 'に', 'すみやか', 'に', '処理', 'す', 'べき', '必要', 'を', '進言', 'す', '。', 'すなわち', '陸軍', 'の', '各部', 'が', '各別', 'に', '行動', 'し', '軍', 'の', '意思', 'が', '一途', 'に', 'いで', 'ざる', 'よう', '考え', 'ら', 'る', '。', 'よろしく', '各', '責任', '者', 'は', '官邸']",['各部'],NO,各部,NO,NO
3,各部,その横幅を目一杯使いドライバーを包み込む様に埋め込まれた多連メーターパネル。各部にちりばめられたクロームパーツ・・・今じゃすっかり見なくなった三角窓・,"['その', '横幅', 'を', '目', '一杯', '使い', 'ドライバー', 'を', '包み込む', '様', 'に', '埋め込ま', 'れ', 'た', '多連', 'メーター', 'パネル', '。', '各部', 'に', 'ちりばめ', 'られ', 'た', 'クローム', 'パーツ', '・', '・', '・', '今', 'じゃ', 'すっかり', '見', 'なく', 'なっ', 'た', '三角', '窓', '・']",['各部'],NO,各部,NO,NO
4,各部,．このようなズレを緩和する目的で，いったんＭｓ点近傍の温度に保った熱浴に投入保持し，各部が同じ温度になってから改めて焼入れする操作をマルテンパと称する．通常熱浴から引き上げて,"['．', 'この', 'よう', 'な', 'ズレ', 'を', '緩和', 'する', '目的', 'で', '，', 'いったん', 'Ｍｓ', '点', '近傍', 'の', '温度', 'に', '保っ', 'た', '熱', '浴', 'に', '投入', '保持', 'し', '，', '各部', 'が', '同じ', '温度', 'に', 'なっ', 'て', 'から', '改めて', '焼入れ', 'する', '操作', 'を', 'マルテンパ', 'と', '称する', '．', '通常', '熱', '浴', 'から', '引き上げ', 'て']",['各部'],NO,各部,NO,NO
5,各部,という行為に働き、結果、全身で叩っ斬るという演技が生み出される。また、各部の形状的な解釈は、手足等一連の動作が流れるような自然さを生むべく、応力設定を,"['と', 'いう', '行為', 'に', '働き', '、', '結果', '、', '全身', 'で', '叩っ斬る', 'と', 'いう', '演技', 'が', '生み出さ', 'れる', '。', 'また', '、', '各部', 'の', '形状', '的', 'な', '解釈', 'は', '、', '手足', '等', '一連', 'の', '動作', 'が', '流れる', 'よう', 'な', '自然', 'さ', 'を', '生む', 'べく', '、', '応力', '設定', 'を']",['各部'],NO,各部,NO,NO
6,各部,ずあんまり先走ったことはよそう。ポツポツいこうじゃないか。とにかく落ち着いてやりたいから、各部でもそういう方針でやってもらいたい」と、ざっくばらんに私の編集に対する心構えと,"['ず', 'あんまり', '先走っ', 'た', 'こと', 'は', 'よそう', '。', 'ポツポツ', 'いこう', 'じゃ', 'ない', 'か', '。', 'とにかく', '落ち着い', 'て', 'やり', 'たい', 'から', '、', '各部', 'で', 'も', 'そう', 'いう', '方針', 'で', 'やっ', 'て', 'もらい', 'たい', '」', 'と', '、', 'ざっくばらん', 'に', '私', 'の', '編集', 'に', '対する', '心構え', 'と']",['各部'],NO,各部,NO,NO
7,各部,ものである。マンジャロッティーの感性と力学的な冷静な判断が、椅子の構造上必要な各部を一体化して、３次元曲面での構成を実現化させている。スプーンを曲げたような独特,"['もの', 'で', 'ある', '。', 'マンジャロッティー', 'の', '感性', 'と', '力学', '的', 'な', '冷静', 'な', '判断', 'が', '、', '椅子', 'の', '構造', '上', '必要', 'な', '各部', 'を', '一体', '化', 'し', 'て', '、', '３', '次元', '曲面', 'で', 'の', '構成', 'を', '実現', '化', 'さ', 'せ', 'て', 'いる', '。', 'スプーン', 'を', '曲げ', 'た', 'よう', 'な', '独特']",['各部'],NO,各部,NO,NO
8,各部,。細部の形は、粘土で実際に作りながら決めていきます。輪郭と各部の大きさ・位置は雑誌などで、作るイメージの顔と似たようなものを探して,"['。', '細部', 'の', '形', 'は', '、', '粘土', 'で', '実際', 'に', '作り', 'ながら', '決め', 'て', 'いき', 'ます', '。', '輪郭', 'と', '各部', 'の', '大き', 'さ', '・', '位置', 'は', '雑誌', 'など', 'で', '、', '作る', 'イメージ', 'の', '顔', 'と', '似', 'た', 'よう', 'な', 'もの', 'を', '探し', 'て']",['各部'],NO,各部,NO,NO
9,各部,力いっぱい叩っ斬る」演技としました。まあ、これも前作の再挑戦として、関節や各部の解釈を、新しい解釈で色々と試してみたかったってことですね。ちなみにこの,"['力', 'いっぱい', '叩っ斬る', '」', '演技', 'と', 'し', 'まし', 'た', '。', 'まあ', '、', 'これ', 'も', '前作', 'の', '再', '挑戦', 'と', 'し', 'て', '、', '関節', 'や', '各部', 'の', '解釈', 'を', '、', '新しい', '解釈', 'で', '色々', 'と', '試し', 'て', 'み', 'たかっ', 'た', 'って', 'こと', 'です', 'ね', '。', 'ちなみ', 'に', 'この']",['各部'],NO,各部,NO,NO
10,各部,、メルセデスエンジンに大きな負担をかけることになってしまった。あまりにも過激にコンパクト化したマシンは各部で不具合が生じ、尖った性格のマシンになってしまったのだ。リヤサスペンションにも特殊,"['、', 'メルセデス', 'エンジン', 'に', '大きな', '負担', 'を', 'かける', 'こと', 'に', 'なっ', 'て', 'しまっ', 'た', '。', 'あまり', 'に', 'も', '過激', 'に', 'コンパクト', '化', 'し', 'た', 'マシン', 'は', '各部', 'で', '不', '具合', 'が', '生じ', '、', '尖っ', 'た', '性格', 'の', 'マシン', 'に', 'なっ', 'て', 'しまっ', 'た', 'の', 'だ', '。', 'リヤサス', 'ペンション', 'に', 'も', '特殊']",['各部'],NO,各部,NO,NO
11,各部,にして二千番弱のものが、Ｍ符号付きであった。ニコンＳの時代になると、各部の工作は格段に良くなってくる。ボディーの砂型鋳物にも加工の跡がなくなり、,"['に', 'し', 'て', '二千', '番', '弱', 'の', 'もの', 'が', '、', 'Ｍ', '符号', '付き', 'で', 'あっ', 'た', '。', 'ニコン', 'Ｓ', 'の', '時代', 'に', 'なる', 'と', '、', '各部', 'の', '工作', 'は', '格段', 'に', '良く', 'なっ', 'て', 'くる', '。', 'ボディー', 'の', '砂型', '鋳物', 'に', 'も', '加工', 'の', '跡', 'が', 'なくなり', '、']",['各部'],NO,各部,NO,NO
12,各部,千九百六十四年（昭和三十九年）「団結の年」は、会長山本伸一が各部の友に贈った、四首の和歌で幕を開いた。黎明の我等が,"['千', '九百', '六十', '四', '年', '（', '昭和', '三十', '九', '年', '）', '「', '団結', 'の', '年', '」', 'は', '、', '会長', '山本', '伸一', 'が', '各部', 'の', '友', 'に', '贈っ', 'た', '、', '四', '首', 'の', '和歌', 'で', '幕', 'を', '開い', 'た', '。', '黎明', 'の', '我', '等', 'が']",['各部'],NO,各部,NO,NO
13,各部,は当然の装備▲徹底した防水対策はタイロッドにタミヤのラバーバッグを使用。さらにスポンジを各部に追加して万全▲アンダーカウルはシャシーへきっちりとネジ４本で固定して、脱落などの,"['は', '当然', 'の', '装備', '▲', '徹底', 'し', 'た', '防水', '対策', 'は', 'タイ', 'ロッド', 'に', 'タミヤ', 'の', 'ラバー', 'バッグ', 'を', '使用', '。', 'さらに', 'スポンジ', 'を', '各部', 'に', '追加', 'し', 'て', '万全', '▲', 'アンダー', 'カウル', 'は', 'シャシー', 'へ', 'きっちり', 'と', 'ネジ', '４', '本', 'で', '固定', 'し', 'て', '、', '脱落', 'など', 'の']",['各部'],NO,各部,NO,NO
