,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,未熟,があるものだなというふうに感じながらあの代表質問をつくらせていただきました。大変未熟でありましたけれども、今度この委員会で少しまた勉強させていただきたいなというふうに,"['が', 'ある', 'もの', 'だ', 'な', 'と', 'いう', 'ふう', 'に', '感じ', 'ながら', 'あの', '代表', '質問', 'を', 'つくら', 'せ', 'て', 'いただき', 'まし', 'た', '。', '大変', '未熟', 'で', 'あり', 'まし', 'た', 'けれど', 'も', '、', '今度', 'この', '委員', '会', 'で', '少し', 'また', '勉強', 'さ', 'せ', 'て', 'いただき', 'たい', 'な', 'と', 'いう', 'ふう', 'に']",['未熟'],NO,未熟,NO,NO
1,未熟,きいたのは、そら耳だつたかしら。措辞必ずしも冗漫でないと保せず、イメージも未熟で、他の佳篇をおいてこれだけ引用するのは作者に対して心苦しいのだが、とにかく,"['きい', 'た', 'の', 'は', '、', 'そら', '耳だつ', 'た', 'かしら', '。', '措辞', '必ず', 'しも', '冗漫', 'で', 'ない', 'と', '保せ', 'ず', '、', 'イメージ', 'も', '未熟', 'で', '、', '他', 'の', '佳篇', 'を', 'おい', 'て', 'これ', 'だけ', '引用', 'する', 'の', 'は', '作者', 'に', '対し', 'て', '心苦しい', 'の', 'だ', 'が', '、', 'とにかく']",['未熟'],NO,未熟,NO,NO
2,未熟,や、丸山教の開祖・伊藤六郎兵衛の説く「しまつ、つつしみ、たしなみ」といった通俗道徳がとりだされ、未熟な世直しの運動になっていったとされる。安丸にとっては、民衆宗教は社会変革の,"['や', '、', '丸山', '教', 'の', '開祖', '・', '伊藤', '六郎', '兵衛', 'の', '説く', '「', 'しまつ', '、', 'つつしみ', '、', 'たしなみ', '」', 'と', 'いっ', 'た', '通俗', '道徳', 'が', 'とりださ', 'れ', '、', '未熟', 'な', '世直し', 'の', '運動', 'に', 'なっ', 'て', 'いっ', 'た', 'と', 'さ', 'れる', '。', '安', '丸', 'に', 'とっ', 'て', 'は', '、', '民衆', '宗教', 'は', '社会', '変革', 'の']",['未熟'],NO,未熟,NO,NO
3,未熟,手本役は、真田幸村と穴山小助である。仲間の中では未熟だが、相手はもっと未熟だから初等教育の見本役としてはちょうどよかった。小太郎のいる方向へ、幸村と小助,"['手本', '役', 'は', '、', '真田', '幸村', 'と', '穴山', '小助', 'で', 'ある', '。', '仲間', 'の', '中', 'で', 'は', '未熟', 'だ', 'が', '、', '相手', 'は', 'もっと', '未熟', 'だ', 'から', '初等', '教育', 'の', '見本', '役', 'と', 'し', 'て', 'は', 'ちょうど', 'よかっ', 'た', '。', '小太郎', 'の', 'いる', '方向', 'へ', '、', '幸村', 'と', '小助']",['未熟'],NO,未熟,NO,NO
4,未熟,手本役は、真田幸村と穴山小助である。仲間の中では未熟だが、相手はもっと未熟だから初等教育の見本役としてはちょうどよかった。小太郎のいる方向へ、幸村と小助,"['手本', '役', 'は', '、', '真田', '幸村', 'と', '穴山', '小助', 'で', 'ある', '。', '仲間', 'の', '中', 'で', 'は', '未熟', 'だ', 'が', '、', '相手', 'は', 'もっと', '未熟', 'だ', 'から', '初等', '教育', 'の', '見本', '役', 'と', 'し', 'て', 'は', 'ちょうど', 'よかっ', 'た', '。', '小太郎', 'の', 'いる', '方向', 'へ', '、', '幸村', 'と', '小助']",['未熟'],NO,未熟,NO,NO
5,未熟,た著者たちの不手際であろう。ブッダは、デーヴァダッタはまだ入団したばかりの若い僧侶で、未熟で未経験であるとほのめかしている。しかし、この先〔百四十六頁〕で見るように、かなり,"['た', '著者', 'たち', 'の', '不', '手際', 'で', 'あろう', '。', 'ブッダ', 'は', '、', 'デーヴァダッタ', 'は', 'まだ', '入団', 'し', 'た', 'ばかり', 'の', '若い', '僧侶', 'で', '、', '未熟', 'で', '未', '経験', 'で', 'ある', 'と', 'ほのめかし', 'て', 'いる', '。', 'しかし', '、', 'この', '先', '〔', '百', '四十', '六', '頁', '〕', 'で', '見る', 'よう', 'に', '、', 'かなり']",['未熟'],NO,未熟,NO,NO
6,未熟,」「平衡反応」などが出現する．Ｉ感覚従来，新生児は感覚器の発達は未熟と考えられていたが，最近になって多くの機能を備えていることがわかっ,"['」', '「', '平衡', '反応', '」', 'など', 'が', '出現', 'する', '．', 'Ｉ', '感覚', '従来', '，', '新生', '児', 'は', '感覚', '器', 'の', '発達', 'は', '未熟', 'と', '考え', 'られ', 'て', 'い', 'た', 'が', '，', '最近', 'に', 'なっ', 'て', '多く', 'の', '機能', 'を', '備え', 'て', 'いる', 'こと', 'が', 'わかっ']",['未熟'],NO,未熟,NO,NO
7,未熟,華麗なる未熟Ⅰ先日、ポリーニをきいた。御承知と思うけど、ポリーニは千九百四十二年、イタリアの,"['華麗', 'なる', '未熟', 'Ⅰ', '先日', '、', 'ポリーニ', 'を', 'きい', 'た', '。', '御', '承知', 'と', '思う', 'けど', '、', 'ポリーニ', 'は', '千', '九百', '四十', '二', '年', '、', 'イタリア', 'の']",['未熟'],NO,未熟,NO,NO
8,未熟,は、その度に病院に走っていましたが、主治医には「消化機能がまだ未熟なんだね〜」と言われます。吐いた内容を見て、前の晩の,"['は', '、', 'その', '度', 'に', '病院', 'に', '走っ', 'て', 'い', 'まし', 'た', 'が', '、', '主治', '医', 'に', 'は', '「', '消化', '機能', 'が', 'まだ', '未熟', 'な', 'ん', 'だ', 'ね〜', '」', 'と', '言わ', 'れ', 'ます', '。', '吐い', 'た', '内容', 'を', '見', 'て', '、', '前', 'の', '晩', 'の']",['未熟'],NO,未熟,NO,NO
9,未熟,ます。彼女を頼る人たちがいます。みな。純粋な人たちです。ボクはまだまだ未熟だから、教えて欲しいのです。,"['ます', '。', '彼女', 'を', '頼る', '人', 'たち', 'が', 'い', 'ます', '。', 'みな', '。', '純粋', 'な', '人', 'たち', 'です', '。', 'ボク', 'は', 'まだまだ', '未熟', 'だ', 'から', '、', '教え', 'て', '欲しい', 'の', 'です', '。']",['未熟'],NO,未熟,NO,NO
